ID	Am2_463	Am2_464	Am4_461	Am5_461	Am6_462	Am6_464
TRINITY_DN126421_c2_g1_i1	161.773	1628.92	208.44	271.976	197.525	2301.81
TRINITY_DN43988_c0_g1_i1	1	1	0	3	2	1
TRINITY_DN127387_c0_g1_i2	219	117	607	532	271	391
TRINITY_DN131026_c3_g5_i2	220.168	179.367	413.801	386.892	377.875	305.759
TRINITY_DN174159_c0_g1_i1	0.401786	0	0	2.56576	0	1.79306
TRINITY_DN129065_c4_g6_i1	260	172	295	605	411	334
TRINITY_DN127022_c2_g2_i2	525	727	973	1118	1070	1020
TRINITY_DN96901_c0_g1_i1	27	9	45	50	32	40
TRINITY_DN154039_c0_g1_i1	2.00415	3.00527	4	9.00735	10.0367	6
TRINITY_DN130180_c1_g7_i9	187.591	162.762	388.438	288.04	211.967	282.435
TRINITY_DN94558_c0_g1_i1	0	0	0	1	0	0
TRINITY_DN120448_c1_g1_i3	294	269	994	359	1048	156
TRINITY_DN128780_c0_g1_i1	458	1052	965	867	677	1429
TRINITY_DN114358_c0_g2_i1	21	37	58	38	41	61
TRINITY_DN133551_c0_g1_i1	116	307	353	294	270	335
TRINITY_DN140561_c0_g1_i1	6	5	5	22	0	2
TRINITY_DN129746_c0_g2_i1	44	303.767	56	63	53	518
TRINITY_DN127265_c3_g3_i2	64	73	101	114.241	69	102
TRINITY_DN2318_c0_g1_i1	13	9	36	41	46	26
TRINITY_DN185232_c0_g1_i1	0	0	1	0	0	3
TRINITY_DN44093_c0_g1_i1	3	2	3	6	7	5
TRINITY_DN131463_c0_g1_i2	386	752	615	740	720	1058
TRINITY_DN184110_c0_g1_i1	1	0	2	2	1	2
TRINITY_DN113938_c0_g1_i1	43.5505	24.087	79.682	26.8341	52.8667	34.8152
TRINITY_DN133707_c3_g2_i2	19	18	44	43	42	62
TRINITY_DN104264_c0_g3_i1	0	1	2	10	1	1
TRINITY_DN121351_c0_g1_i1	343	476	529	640	521	570
TRINITY_DN2712_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN84823_c0_g1_i1	3	6	10	17	8	7
TRINITY_DN123695_c0_g4_i2	50	55	55	63	60	56
TRINITY_DN122714_c15_g1_i1	373	743	533	661	562	1306
TRINITY_DN102078_c0_g1_i1	709.58	1294.05	809.519	888.715	599.361	1708.05
TRINITY_DN48821_c0_g1_i1	1	2	2	0	1	3
TRINITY_DN75392_c0_g2_i1	1	1	6	1	1	0
TRINITY_DN130934_c0_g1_i1	23	198	33	21	21	316
TRINITY_DN123711_c0_g1_i1	257	566	474	567	488	945
TRINITY_DN136537_c1_g1_i1	29	78	46	61	70	95
TRINITY_DN71418_c0_g2_i1	9	13	34	55.2451	45	35
TRINITY_DN106507_c0_g1_i1	2	2	1	0	0	1
TRINITY_DN124189_c0_g5_i1	586	1060	803	737	789	1027
TRINITY_DN133161_c1_g1_i12	167.411	194.218	264.535	248.775	332.412	353.255
TRINITY_DN23431_c0_g1_i1	4	7	7	15	4	17
TRINITY_DN100055_c0_g2_i1	0	0	3	0	0	0
TRINITY_DN122646_c0_g1_i1	4	16	6	16	8	15
TRINITY_DN46159_c0_g1_i1	71.7297	47.9938	174.827	102.23	112.469	76.3097
