gid	log2RPKM	sex	cutoff
TRINITY_DN142384_c0_g1_i1	3.695826472	meanmale	FC1
TRINITY_DN124874_c1_g1_i1	4.81876284	meanmale	FC1
TRINITY_DN131565_c0_g5_i1	5.481082476	meanmale	FC1
TRINITY_DN126159_c0_g1_i2	4.820053768	meanmale	FC1
TRINITY_DN127436_c2_g1_i1	0.746413865	meanmale	FC1
TRINITY_DN121490_c3_g1_i3	0.806864675	meanmale	FC1
TRINITY_DN209985_c0_g1_i1	2.037014511	meanmale	FC1
TRINITY_DN133889_c1_g7_i1	7.475448404	meanmale	FC1
TRINITY_DN119926_c0_g1_i1	4.640289807	meanmale	FC1
TRINITY_DN116044_c0_g2_i1	1.797348975	meanmale	FC3
TRINITY_DN133889_c1_g4_i7	7.009833723	meanmale	FC3
TRINITY_DN116044_c0_g1_i1	1.633177706	meanmale	FC3
TRINITY_DN129533_c4_g2_i3	4.668167223	meanmale	FC3
TRINITY_DN129733_c3_g5_i1	2.35869776	meanmale	FC3
TRINITY_DN130291_c2_g1_i1	2.00944824	meanmale	FC3
TRINITY_DN127614_c0_g1_i2	1.536465195	meanmale	FC3
TRINITY_DN125925_c5_g1_i1	2.173972953	meanmale	FC3
TRINITY_DN130234_c0_g4_i4	3.117526413	meanmale	FC3
TRINITY_DN134625_c0_g1_i4	3.160467781	meanmale	FC3
TRINITY_DN129279_c4_g4_i1	3.829599097	meanmale	FC5
TRINITY_DN180950_c0_g1_i1	1.258533458	meanmale	FC5
TRINITY_DN27210_c0_g1_i1	4.665474004	meanmale	FC5
TRINITY_DN113348_c0_g3_i1	2.52082262	meanmale	FC7
TRINITY_DN121465_c5_g2_i1	4.356335192	meanmale	FC7
TRINITY_DN128130_c4_g11_i1	1.559628111	meanmale	FC7
TRINITY_DN127093_c0_g4_i1	3.196013745	meanmale	FC7
TRINITY_DN127464_c0_g2_i1	3.318120695	meanmale	FC7
TRINITY_DN127464_c0_g7_i1	3.428376493	meanmale	FC7
TRINITY_DN127055_c1_g5_i1	1.280023632	meanmale	FC7
TRINITY_DN135864_c0_g11_i1	2.911148197	meanmale	FC7
TRINITY_DN142384_c0_g1_i1	1.572316694	meanfemale	FC1
TRINITY_DN124874_c1_g1_i1	2.678068191	meanfemale	FC1
TRINITY_DN131565_c0_g5_i1	3.26517011	meanfemale	FC1
TRINITY_DN126159_c0_g1_i2	2.489139287	meanfemale	FC1
TRINITY_DN127436_c2_g1_i1	-1.808423748	meanfemale	FC1
TRINITY_DN121490_c3_g1_i3	-1.941548415	meanfemale	FC1
TRINITY_DN209985_c0_g1_i1	-0.756933576	meanfemale	FC1
TRINITY_DN133889_c1_g7_i1	4.653407096	meanfemale	FC1
TRINITY_DN119926_c0_g1_i1	1.73958909	meanfemale	FC1
TRINITY_DN116044_c0_g2_i1	-1.162312967	meanfemale	FC3
TRINITY_DN133889_c1_g4_i7	3.870435572	meanfemale	FC3
TRINITY_DN116044_c0_g1_i1	-1.52350021	meanfemale	FC3
TRINITY_DN129533_c4_g2_i3	1.388127251	meanfemale	FC3
TRINITY_DN129733_c3_g5_i1	-1.126569371	meanfemale	FC3
TRINITY_DN130291_c2_g1_i1	-1.568105131	meanfemale	FC3
TRINITY_DN127614_c0_g1_i2	-2.225304894	meanfemale	FC3
TRINITY_DN125925_c5_g1_i1	-1.915994176	meanfemale	FC3
TRINITY_DN130234_c0_g4_i4	-1.616801855	meanfemale	FC3
TRINITY_DN134625_c0_g1_i4	-1.798221537	meanfemale	FC3
TRINITY_DN129279_c4_g4_i1	-1.526065602	meanfemale	FC5
TRINITY_DN180950_c0_g1_i1	-4.586260587	meanfemale	FC5
TRINITY_DN27210_c0_g1_i1	-2.223150589	meanfemale	FC5
TRINITY_DN113348_c0_g3_i1	-5.556847569	meanfemale	FC7
TRINITY_DN121465_c5_g2_i1	-3.500944294	meanfemale	FC7
TRINITY_DN128130_c4_g11_i1	-13.28771238	meanfemale	FC7
TRINITY_DN127093_c0_g4_i1	-13.28771238	meanfemale	FC7
TRINITY_DN127464_c0_g2_i1	-13.28771238	meanfemale	FC7
TRINITY_DN127464_c0_g7_i1	-13.28771238	meanfemale	FC7
TRINITY_DN127055_c1_g5_i1	-13.28771238	meanfemale	FC7
TRINITY_DN135864_c0_g11_i1	-13.28771238	meanfemale	FC7
