Log2RPKM	Sex	bias
4.914738624	"meanmale"	"female"
-0.235429928666667	"meanmale"	"female"
2.280164202	"meanmale"	"female"
-0.530591295333333	"meanmale"	"female"
4.670460455	"meanmale"	"female"
5.99361128933333	"meanmale"	"female"
5.44671586633333	"meanmale"	"female"
3.38950104866667	"meanmale"	"female"
0.186041334666667	"meanmale"	"female"
-0.236097482666667	"meanmale"	"female"
0.434144649	"meanmale"	"female"
0.0420336653333333	"meanmale"	"female"
-0.409215951	"meanmale"	"female"
-2.84187526966667	"meanmale"	"female"
4.18452227933333	"meanmale"	"female"
1.719957694	"meanmale"	"female"
2.80362885333333	"meanmale"	"female"
4.143022436	"meanmale"	"female"
5.03417117733333	"meanmale"	"female"
0.578167642333333	"meanmale"	"female"
0.144706704666667	"meanmale"	"female"
-3.00740641733333	"meanmale"	"female"
4.01202418666667	"meanmale"	"female"
2.79064479133333	"meanmale"	"female"
-3.30345172333333	"meanmale"	"female"
2.810622769	"meanmale"	"female"
-1.153955601	"meanmale"	"female"
0.898485507333333	"meanmale"	"female"
1.50963779533333	"meanmale"	"female"
-0.419951187333333	"meanmale"	"female"
-0.526669310666667	"meanmale"	"female"
4.96349401133333	"meanmale"	"female"
-0.097430874	"meanmale"	"female"
5.044247382	"meanmale"	"female"
0.596154954333333	"meanmale"	"female"
3.24045665166667	"meanmale"	"female"
3.27278559633333	"meanmale"	"female"
5.668354093	"meanmale"	"female"
1.67204534366667	"meanmale"	"female"
3.22436527866667	"meanmale"	"female"
4.374973877	"meanmale"	"female"
1.52542641466667	"meanmale"	"female"
3.42070859933333	"meanmale"	"female"
1.36744959166667	"meanmale"	"female"
4.47877767766667	"meanmale"	"female"
3.05753832133333	"meanmale"	"female"
6.03635079666667	"meanmale"	"female"
-1.60904366266667	"meanmale"	"female"
3.053422669	"meanmale"	"female"
2.729729218	"meanmale"	"female"
1.37089927766667	"meanmale"	"female"
2.42198296033333	"meanmale"	"female"
5.243527687	"meanmale"	"female"
2.18183870333333	"meanmale"	"female"
2.66326788866667	"meanmale"	"female"
1.28730655366667	"meanmale"	"female"
1.29227035733333	"meanmale"	"female"
2.32210872333333	"meanmale"	"female"
4.35240132733333	"meanmale"	"female"
3.02895782266667	"meanmale"	"female"
3.18789321333333	"meanmale"	"female"
4.12070481133333	"meanmale"	"female"
3.62991823933333	"meanmale"	"female"
2.09666449333333	"meanmale"	"female"
1.39212261033333	"meanmale"	"female"
2.33816919	"meanmale"	"female"
0.441145141333333	"meanmale"	"female"
1.04087940333333	"meanmale"	"female"
1.56583900033333	"meanmale"	"female"
1.022319082	"meanmale"	"female"
5.44552831733333	"meanmale"	"female"
5.85491574566667	"meanmale"	"female"
4.99565449733333	"meanmale"	"female"
1.05825866566667	"meanmale"	"female"
1.58748962333333	"meanmale"	"female"
3.73660202366667	"meanmale"	"female"
5.78316879833333	"meanmale"	"female"
4.203708145	"meanmale"	"female"
1.33927802366667	"meanmale"	"female"
0.615714999	"meanmale"	"female"
4.149328634	"meanmale"	"female"
3.39324583366667	"meanmale"	"female"
5.22798942033333	"meanmale"	"female"
-2.962789194	"meanmale"	"female"
5.21710540066667	"meanmale"	"female"
6.62551493166667	"meanmale"	"female"
1.35134049433333	"meanmale"	"female"
2.97291336533333	"meanmale"	"female"
3.17158172066667	"meanmale"	"female"
1.927145012	"meanmale"	"female"
1.17763605733333	"meanmale"	"female"
3.85410717533333	"meanmale"	"female"
2.023406931	"meanmale"	"female"
3.597778586	"meanmale"	"female"
3.25871606	"meanmale"	"female"
1.410265572	"meanmale"	"female"
4.01870736033333	"meanmale"	"female"
5.17093679666667	"meanmale"	"female"
2.50758151733333	"meanmale"	"female"
3.87708127966667	"meanmale"	"female"
0.222312779	"meanmale"	"female"
5.631918701	"meanmale"	"female"
4.153274455	"meanmale"	"female"
-0.0367238563333333	"meanmale"	"female"
2.92827475233333	"meanmale"	"female"
2.94307855266667	"meanmale"	"female"
1.18229658133333	"meanmale"	"female"
-1.883541445	"meanmale"	"female"
3.47785646233333	"meanmale"	"female"
3.135573082	"meanmale"	"female"
4.530437324	"meanmale"	"female"
3.289252431	"meanmale"	"female"
2.76378535733333	"meanmale"	"female"
4.93970874233333	"meanmale"	"female"
2.02128547133333	"meanmale"	"female"
1.911454156	"meanmale"	"female"
6.45187005166667	"meanmale"	"female"
-0.385106997666667	"meanmale"	"female"
0.396846188	"meanmale"	"female"
3.65869764833333	"meanmale"	"female"
5.84347412633333	"meanmale"	"female"
3.25116757	"meanmale"	"female"
3.74668934633333	"meanmale"	"female"
-2.14767713566667	"meanmale"	"female"
2.33583596933333	"meanmale"	"female"
1.73637548966667	"meanmale"	"female"
6.02663863	"meanmale"	"female"
0.341647594333333	"meanmale"	"female"
3.628663031	"meanmale"	"female"
4.54391197033333	"meanmale"	"female"
5.64405569266667	"meanmale"	"female"
0.418778493	"meanmale"	"female"
4.00480637166667	"meanmale"	"female"
-0.063909425	"meanmale"	"female"
0.35237688	"meanmale"	"female"
2.80313337566667	"meanmale"	"female"
0.215781524666667	"meanmale"	"female"
0.394271387	"meanmale"	"female"
-1.282247618	"meanmale"	"female"
-0.726754403666667	"meanmale"	"female"
0.798937985666667	"meanmale"	"female"
2.72907930133333	"meanmale"	"female"
1.207861259	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
-0.439896558333333	"meanmale"	"female"
3.61897892966667	"meanmale"	"female"
1.93003605466667	"meanmale"	"female"
4.77551051866667	"meanmale"	"female"
3.88063627	"meanmale"	"female"
3.15362670266667	"meanmale"	"female"
0.601773098	"meanmale"	"female"
0.925941748333333	"meanmale"	"female"
1.74922260166667	"meanmale"	"female"
-1.234174417	"meanmale"	"female"
3.45079058733333	"meanmale"	"female"
1.55514139366667	"meanmale"	"female"
-0.877916337	"meanmale"	"female"
0.203456485666667	"meanmale"	"female"
1.80386970966667	"meanmale"	"female"
-0.0719006053333333	"meanmale"	"female"
3.41912346166667	"meanmale"	"female"
3.37481325366667	"meanmale"	"female"
5.59938956	"meanmale"	"female"
4.018026365	"meanmale"	"female"
5.84084921333333	"meanmale"	"female"
2.87296189466667	"meanmale"	"female"
3.784434904	"meanmale"	"female"
2.68516003766667	"meanmale"	"female"
-1.77139824333333	"meanmale"	"female"
5.83832605733333	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
4.28852056233333	"meanmale"	"female"
3.00830651366667	"meanmale"	"female"
4.00887715066667	"meanmale"	"female"
3.73403309866667	"meanmale"	"female"
2.440045341	"meanmale"	"female"
0.0916718293333332	"meanmale"	"female"
4.17193101366667	"meanmale"	"female"
5.56044818966667	"meanmale"	"female"
-0.193312212333333	"meanmale"	"female"
-1.048714249	"meanmale"	"female"
2.07026123466667	"meanmale"	"female"
2.69685395866667	"meanmale"	"female"
1.499165847	"meanmale"	"female"
3.61714104133333	"meanmale"	"female"
2.49991645133333	"meanmale"	"female"
-3.566257571	"meanmale"	"female"
-1.86656362	"meanmale"	"female"
3.26043200966667	"meanmale"	"female"
0.989228823666667	"meanmale"	"female"
4.93076372433333	"meanmale"	"female"
1.786322044	"meanmale"	"female"
-2.03556896533333	"meanmale"	"female"
0.298558297	"meanmale"	"female"
-2.35462986533333	"meanmale"	"female"
4.091888073	"meanmale"	"female"
0.661976679333333	"meanmale"	"female"
3.27035661	"meanmale"	"female"
2.77762230633333	"meanmale"	"female"
3.725101382	"meanmale"	"female"
2.479824113	"meanmale"	"female"
1.90227363233333	"meanmale"	"female"
3.56241501533333	"meanmale"	"female"
2.59156985066667	"meanmale"	"female"
4.01606268333333	"meanmale"	"female"
4.97386167133333	"meanmale"	"female"
4.48405427266667	"meanmale"	"female"
6.452853412	"meanmale"	"female"
0.545558703	"meanmale"	"female"
1.554146653	"meanmale"	"female"
3.21330650233333	"meanmale"	"female"
1.46686434933333	"meanmale"	"female"
-0.138797038333333	"meanmale"	"female"
2.888435599	"meanmale"	"female"
