"gid"	"Log2RPKM"	"sex"
"TRINITY_DN100099_c0_g1_i1"	1.08275336226554	"meanmale"
"TRINITY_DN100099_c0_g2_i1"	1.19819762660137	"meanmale"
"TRINITY_DN100132_c0_g1_i2"	3.18444369675148	"meanmale"
"TRINITY_DN100266_c0_g1_i1"	1.22092151563452	"meanmale"
"TRINITY_DN100287_c0_g1_i1"	2.3357026004109	"meanmale"
"TRINITY_DN100287_c0_g2_i1"	5.48476204578701	"meanmale"
"TRINITY_DN100311_c0_g1_i1"	2.51416299313783	"meanmale"
"TRINITY_DN100358_c0_g1_i1"	2.16864510021293	"meanmale"
"TRINITY_DN100376_c0_g2_i1"	3.21975183061941	"meanmale"
"TRINITY_DN100376_c0_g3_i1"	0.848780951309189	"meanmale"
"TRINITY_DN100379_c0_g1_i1"	1.40215355183172	"meanmale"
"TRINITY_DN100410_c0_g1_i1"	1.2671953318059	"meanmale"
"TRINITY_DN100549_c0_g1_i1"	2.52835561725417	"meanmale"
"TRINITY_DN100586_c0_g2_i1"	3.80090567379427	"meanmale"
"TRINITY_DN100595_c0_g1_i1"	6.50497251398909	"meanmale"
"TRINITY_DN100638_c0_g2_i1"	5.47992527402195	"meanmale"
"TRINITY_DN100681_c0_g1_i1"	6.87747910338248	"meanmale"
"TRINITY_DN100684_c0_g1_i1"	4.08192055113234	"meanmale"
"TRINITY_DN100706_c0_g3_i1"	4.1783126346126	"meanmale"
"TRINITY_DN100751_c0_g1_i1"	2.27413838268182	"meanmale"
"TRINITY_DN100779_c0_g1_i1"	1.84246931424284	"meanmale"
"TRINITY_DN100835_c0_g1_i1"	2.35277481024926	"meanmale"
"TRINITY_DN100986_c0_g2_i2"	0.865663182230421	"meanmale"
"TRINITY_DN100998_c0_g1_i1"	3.92610466058628	"meanmale"
"TRINITY_DN101035_c0_g3_i1"	1.19763279368678	"meanmale"
"TRINITY_DN101074_c0_g1_i1"	1.62193955800629	"meanmale"
"TRINITY_DN101150_c0_g1_i1"	2.42261652938373	"meanmale"
"TRINITY_DN101150_c0_g2_i1"	0.363320486414884	"meanmale"
"TRINITY_DN101180_c0_g1_i1"	1.60881705402025	"meanmale"
"TRINITY_DN101193_c0_g1_i1"	1.57448894529489	"meanmale"
"TRINITY_DN101232_c0_g1_i1"	1.4673548461326	"meanmale"
"TRINITY_DN101244_c0_g1_i1"	1.04445196379968	"meanmale"
"TRINITY_DN101269_c0_g2_i1"	2.29613589866451	"meanmale"
"TRINITY_DN101294_c0_g1_i1"	1.79691680866195	"meanmale"
"TRINITY_DN101325_c0_g1_i1"	2.78450586031641	"meanmale"
"TRINITY_DN101326_c0_g1_i1"	1.29928490359978	"meanmale"
"TRINITY_DN101332_c0_g1_i1"	4.74291313652328	"meanmale"
"TRINITY_DN101361_c0_g1_i2"	3.11365916514858	"meanmale"
"TRINITY_DN101365_c0_g1_i1"	1.78361322524809	"meanmale"
"TRINITY_DN101409_c0_g1_i1"	1.44895693014972	"meanmale"
"TRINITY_DN101432_c0_g2_i1"	1.17613851680193	"meanmale"
"TRINITY_DN101437_c0_g1_i1"	4.91908251279969	"meanmale"
"TRINITY_DN101472_c0_g1_i1"	1.35459821275331	"meanmale"
"TRINITY_DN101477_c0_g1_i2"	1.25252406156668	"meanmale"
"TRINITY_DN101481_c0_g1_i2"	0.709925611795217	"meanmale"
"TRINITY_DN101488_c0_g2_i2"	5.04307621693836	"meanmale"
"TRINITY_DN101537_c1_g1_i2"	1.75448985115697	"meanmale"
"TRINITY_DN101542_c0_g1_i1"	4.04810308543098	"meanmale"
"TRINITY_DN101558_c0_g1_i1"	1.75847245322724	"meanmale"
"TRINITY_DN101570_c0_g1_i1"	2.50166050549406	"meanmale"
"TRINITY_DN101610_c0_g2_i1"	8.58959284972214	"meanmale"
"TRINITY_DN101738_c0_g2_i1"	1.4224654024672	"meanmale"
"TRINITY_DN101739_c1_g1_i2"	3.80089613350228	"meanmale"
"TRINITY_DN101758_c0_g1_i1"	6.78030637037012	"meanmale"
"TRINITY_DN101809_c0_g1_i2"	2.32174054446043	"meanmale"
"TRINITY_DN101813_c0_g1_i1"	1.65655469940734	"meanmale"
"TRINITY_DN101821_c0_g1_i1"	1.55679244250506	"meanmale"
"TRINITY_DN101833_c0_g1_i1"	4.84562468878885	"meanmale"
"TRINITY_DN101867_c0_g1_i1"	1.38087407881863	"meanmale"
"TRINITY_DN101895_c0_g1_i1"	1.77632115005513	"meanmale"
"TRINITY_DN101897_c0_g1_i1"	1.63847724560368	"meanmale"
"TRINITY_DN101901_c0_g1_i2"	2.24097285647496	"meanmale"
"TRINITY_DN101903_c0_g1_i1"	3.40896090172293	"meanmale"
"TRINITY_DN101903_c0_g2_i2"	3.34609645736988	"meanmale"
"TRINITY_DN101924_c0_g1_i2"	2.32800423132787	"meanmale"
"TRINITY_DN101949_c0_g1_i1"	1.3547360127592	"meanmale"
"TRINITY_DN101950_c0_g1_i1"	2.12384016081803	"meanmale"
"TRINITY_DN101953_c0_g1_i3"	0.96701772621168	"meanmale"
"TRINITY_DN101967_c0_g1_i4"	2.5845483480507	"meanmale"
"TRINITY_DN101988_c0_g1_i1"	4.91317951518966	"meanmale"
"TRINITY_DN102000_c0_g1_i1"	1.65741980372267	"meanmale"
"TRINITY_DN102010_c0_g1_i1"	4.91149170012298	"meanmale"
"TRINITY_DN102010_c0_g3_i1"	2.44137050592287	"meanmale"
"TRINITY_DN102026_c0_g1_i2"	1.59261456670004	"meanmale"
"TRINITY_DN102067_c0_g2_i1"	3.93155352855519	"meanmale"
"TRINITY_DN102070_c0_g3_i2"	6.1388845763686	"meanmale"
"TRINITY_DN102078_c0_g2_i1"	3.39113078176548	"meanmale"
"TRINITY_DN102085_c0_g1_i1"	3.67892399052531	"meanmale"
"TRINITY_DN102094_c0_g1_i1"	-0.618759349624145	"meanmale"
"TRINITY_DN102094_c0_g3_i1"	0.477541954459513	"meanmale"
"TRINITY_DN102104_c0_g1_i1"	3.1623210838887	"meanmale"
"TRINITY_DN102108_c0_g1_i1"	1.93446820965149	"meanmale"
"TRINITY_DN102142_c0_g1_i1"	-0.535700678684314	"meanmale"
"TRINITY_DN102158_c0_g1_i1"	4.96565543600778	"meanmale"
"TRINITY_DN102159_c0_g1_i2"	6.70683755389653	"meanmale"
"TRINITY_DN102162_c0_g1_i1"	4.47203012692349	"meanmale"
"TRINITY_DN102167_c0_g1_i2"	4.176097879811	"meanmale"
"TRINITY_DN102186_c0_g1_i2"	8.56921183796381	"meanmale"
"TRINITY_DN102192_c0_g1_i1"	3.23512948172024	"meanmale"
"TRINITY_DN102193_c0_g2_i1"	2.17273641355158	"meanmale"
"TRINITY_DN102201_c0_g1_i1"	0.632792153727041	"meanmale"
"TRINITY_DN102218_c0_g1_i1"	0.993934127317874	"meanmale"
"TRINITY_DN102252_c0_g2_i1"	2.09766870169273	"meanmale"
"TRINITY_DN102255_c0_g2_i1"	2.94937257116746	"meanmale"
"TRINITY_DN102262_c0_g1_i1"	1.23360992792991	"meanmale"
"TRINITY_DN102276_c0_g1_i1"	1.9107916239513	"meanmale"
"TRINITY_DN102279_c0_g1_i1"	4.00167648733873	"meanmale"
"TRINITY_DN102279_c0_g2_i1"	2.94426130255918	"meanmale"
"TRINITY_DN102288_c0_g1_i1"	0.53523403928217	"meanmale"
"TRINITY_DN102300_c0_g1_i1"	2.20075218710766	"meanmale"
"TRINITY_DN102302_c0_g2_i1"	1.07982273278423	"meanmale"
"TRINITY_DN102312_c0_g1_i1"	5.20476679681459	"meanmale"
"TRINITY_DN102323_c0_g1_i1"	0.476827594012123	"meanmale"
"TRINITY_DN102326_c0_g3_i1"	2.51890098489632	"meanmale"
"TRINITY_DN102326_c0_g6_i1"	0.509803985711811	"meanmale"
"TRINITY_DN102383_c0_g1_i1"	3.20057852135294	"meanmale"
"TRINITY_DN102393_c0_g1_i1"	2.93067319199177	"meanmale"
"TRINITY_DN102400_c0_g1_i1"	4.61961873453326	"meanmale"
"TRINITY_DN102407_c0_g1_i1"	1.33407051569705	"meanmale"
"TRINITY_DN102425_c0_g1_i1"	0.701504744418491	"meanmale"
"TRINITY_DN102429_c0_g1_i2"	2.83821680346188	"meanmale"
"TRINITY_DN102449_c0_g1_i1"	2.67010807651657	"meanmale"
"TRINITY_DN102455_c0_g1_i1"	4.12056692257243	"meanmale"
"TRINITY_DN102456_c0_g1_i1"	3.46120622282722	"meanmale"
"TRINITY_DN102469_c0_g1_i1"	0.493301419009702	"meanmale"
"TRINITY_DN102489_c0_g3_i1"	2.77918643324552	"meanmale"
"TRINITY_DN102493_c0_g1_i1"	3.83113424725718	"meanmale"
