gid	logFC.XYtestis.XXovary	cutoff	co_sb	log2RPKM	sex
TRINITY_DN102894_c0_g1_i2	-15.8812175	FC7	female	NA	male
TRINITY_DN133080_c7_g9_i1	-13.96605638	FC7	female	NA	male
TRINITY_DN126983_c0_g1_i2	-13.39618094	FC7	female	NA	male
TRINITY_DN130516_c0_g2_i1	-13.01570633	FC7	female	NA	male
TRINITY_DN102894_c0_g2_i1	-12.80195346	FC7	female	NA	male
TRINITY_DN109666_c0_g1_i1	-12.70137726	FC7	female	NA	male
TRINITY_DN97753_c0_g1_i1	-12.4088295	FC7	female	NA	male
TRINITY_DN48710_c0_g1_i1	-11.73568699	FC7	female	NA	male
TRINITY_DN135526_c5_g2_i2	-11.71215045	FC7	female	NA	male
TRINITY_DN878_c0_g1_i1	-11.61762106	FC7	female	NA	male
TRINITY_DN105624_c0_g1_i1	-11.60949289	FC7	female	NA	male
TRINITY_DN124431_c0_g1_i2	-11.54728324	FC7	female	NA	male
TRINITY_DN128424_c0_g1_i2	-11.50046092	FC7	female	NA	male
TRINITY_DN105647_c0_g2_i1	-11.35528165	FC7	female	-1.892544262	male
TRINITY_DN133241_c4_g7_i1	-11.26824509	FC7	female	NA	male
TRINITY_DN74428_c0_g1_i1	-11.22724964	FC7	female	-3.5176257	male
TRINITY_DN83270_c0_g1_i1	-11.04923024	FC7	female	-3.08202262	male
TRINITY_DN135315_c3_g6_i1	-11.00323418	FC7	female	NA	male
TRINITY_DN135514_c0_g1_i1	-10.98610213	FC7	female	NA	male
TRINITY_DN109913_c0_g2_i1	-10.97800037	FC7	female	NA	male
TRINITY_DN131553_c0_g1_i1	-10.95610269	FC7	female	-3.488877269	male
TRINITY_DN111028_c0_g1_i1	-10.86220658	FC7	female	NA	male
TRINITY_DN122870_c0_g1_i3	-10.83237248	FC7	female	NA	male
TRINITY_DN97753_c0_g2_i1	-10.82588293	FC7	female	NA	male
TRINITY_DN94167_c0_g1_i1	-10.7946443	FC7	female	NA	male
TRINITY_DN131553_c0_g2_i1	-10.7570334	FC7	female	NA	male
TRINITY_DN117125_c0_g1_i1	-10.74143501	FC7	female	NA	male
TRINITY_DN125119_c3_g1_i1	-10.64346073	FC7	female	NA	male
TRINITY_DN135315_c2_g1_i1	-10.64190654	FC7	female	NA	male
TRINITY_DN123396_c0_g1_i4	-10.63911193	FC7	female	NA	male
TRINITY_DN128424_c0_g2_i1	-10.58915469	FC7	female	NA	male
TRINITY_DN92285_c0_g1_i1	-10.58707433	FC7	female	NA	male
TRINITY_DN128648_c7_g8_i1	-10.539753	FC7	female	NA	male
TRINITY_DN119058_c0_g2_i1	-10.43836852	FC7	female	NA	male
TRINITY_DN136699_c6_g5_i2	-10.40126224	FC7	female	NA	male
TRINITY_DN135315_c3_g4_i2	-10.38808666	FC7	female	NA	male
TRINITY_DN119116_c0_g1_i1	-10.35562891	FC7	female	-1.528901174	male
TRINITY_DN126545_c0_g3_i5	-10.30690607	FC7	female	-2.092531915	male
TRINITY_DN119288_c0_g1_i2	-10.30285706	FC7	female	-2.726940455	male
TRINITY_DN91852_c0_g1_i1	-10.25795449	FC7	female	NA	male
TRINITY_DN15800_c0_g2_i1	-10.25160301	FC7	female	NA	male
TRINITY_DN119011_c0_g1_i1	-10.22738256	FC7	female	NA	male
TRINITY_DN124411_c0_g2_i4	-10.15803741	FC7	female	0.312975454	male
TRINITY_DN110679_c0_g1_i1	-10.10451349	FC7	female	NA	male
TRINITY_DN111329_c0_g1_i2	-10.09109124	FC7	female	NA	male
TRINITY_DN135526_c5_g1_i1	-10.06488415	FC7	female	NA	male
TRINITY_DN128868_c0_g3_i1	-10.04374105	FC7	female	NA	male
TRINITY_DN120396_c0_g1_i4	-10.01588888	FC7	female	NA	male
TRINITY_DN123821_c0_g1_i1	-10.01397036	FC7	female	-3.387099804	male
TRINITY_DN83270_c0_g2_i1	-9.99279598	FC7	female	NA	male
TRINITY_DN120456_c0_g1_i1	-9.987126866	FC7	female	-0.545779701	male
TRINITY_DN135315_c3_g5_i3	-9.80594639	FC7	female	NA	male
TRINITY_DN98734_c0_g1_i1	-9.771932965	FC7	female	NA	male
TRINITY_DN133291_c0_g1_i1	-9.690493183	FC7	female	0.323627012	male
TRINITY_DN86592_c0_g2_i1	-9.681719563	FC7	female	NA	male
TRINITY_DN17174_c0_g1_i1	-9.663756301	FC7	female	NA	male
TRINITY_DN79738_c0_g1_i1	-9.653542743	FC7	female	NA	male
TRINITY_DN135727_c2_g6_i1	-9.652545545	FC7	female	NA	male
TRINITY_DN136525_c2_g5_i1	-9.592660567	FC7	female	NA	male
TRINITY_DN123349_c1_g3_i1	-9.577606797	FC7	female	-1.939757169	male
TRINITY_DN119908_c2_g1_i5	-9.559403443	FC7	female	NA	male
TRINITY_DN121733_c0_g1_i3	-9.543456858	FC7	female	NA	male
TRINITY_DN27351_c0_g1_i1	-9.496295229	FC7	female	NA	male
TRINITY_DN129237_c5_g4_i2	-9.48102897	FC7	female	NA	male
TRINITY_DN120463_c0_g1_i1	-9.441672907	FC7	female	-2.410988526	male
TRINITY_DN136353_c2_g4_i1	-9.425928688	FC7	female	NA	male
TRINITY_DN123147_c0_g1_i1	-9.404056896	FC7	female	NA	male
TRINITY_DN151548_c0_g1_i1	-9.392709597	FC7	female	-1.49874678	male
