gid	logFC.XYtestis.XXovary	cutoff	co_sb	meanXY
TRINITY_DN102894_c0_g1_i2	-15.8812175	7	female	NA
TRINITY_DN133080_c7_g9_i1	-13.96605638	7	female	NA
TRINITY_DN126983_c0_g1_i2	-13.39618094	7	female	NA
TRINITY_DN130516_c0_g2_i1	-13.01570633	7	female	NA
TRINITY_DN102894_c0_g2_i1	-12.80195346	7	female	NA
TRINITY_DN109666_c0_g1_i1	-12.70137726	7	female	NA
TRINITY_DN97753_c0_g1_i1	-12.4088295	7	female	NA
TRINITY_DN48710_c0_g1_i1	-11.73568699	7	female	NA
TRINITY_DN135526_c5_g2_i2	-11.71215045	7	female	NA
TRINITY_DN878_c0_g1_i1	-11.61762106	7	female	NA
TRINITY_DN105624_c0_g1_i1	-11.60949289	7	female	NA
TRINITY_DN124431_c0_g1_i2	-11.54728324	7	female	NA
TRINITY_DN128424_c0_g1_i2	-11.50046092	7	female	NA
TRINITY_DN105647_c0_g2_i1	-11.35528165	7	female	-1.892544262
TRINITY_DN133241_c4_g7_i1	-11.26824509	7	female	NA
TRINITY_DN74428_c0_g1_i1	-11.22724964	7	female	-3.5176257
TRINITY_DN83270_c0_g1_i1	-11.04923024	7	female	-3.08202262
TRINITY_DN135315_c3_g6_i1	-11.00323418	7	female	NA
TRINITY_DN135514_c0_g1_i1	-10.98610213	7	female	NA
TRINITY_DN109913_c0_g2_i1	-10.97800037	7	female	NA
TRINITY_DN131553_c0_g1_i1	-10.95610269	7	female	-3.488877269
TRINITY_DN111028_c0_g1_i1	-10.86220658	7	female	NA
TRINITY_DN122870_c0_g1_i3	-10.83237248	7	female	NA
TRINITY_DN97753_c0_g2_i1	-10.82588293	7	female	NA
TRINITY_DN94167_c0_g1_i1	-10.7946443	7	female	NA
TRINITY_DN131553_c0_g2_i1	-10.7570334	7	female	NA
TRINITY_DN117125_c0_g1_i1	-10.74143501	7	female	NA
TRINITY_DN125119_c3_g1_i1	-10.64346073	7	female	NA
TRINITY_DN135315_c2_g1_i1	-10.64190654	7	female	NA
TRINITY_DN123396_c0_g1_i4	-10.63911193	7	female	NA
TRINITY_DN128424_c0_g2_i1	-10.58915469	7	female	NA
TRINITY_DN92285_c0_g1_i1	-10.58707433	7	female	NA
TRINITY_DN128648_c7_g8_i1	-10.539753	7	female	NA
TRINITY_DN119058_c0_g2_i1	-10.43836852	7	female	NA
TRINITY_DN136699_c6_g5_i2	-10.40126224	7	female	NA
TRINITY_DN135315_c3_g4_i2	-10.38808666	7	female	NA
TRINITY_DN119116_c0_g1_i1	-10.35562891	7	female	-1.528901174
TRINITY_DN126545_c0_g3_i5	-10.30690607	7	female	-2.092531915
TRINITY_DN119288_c0_g1_i2	-10.30285706	7	female	-2.726940455
TRINITY_DN91852_c0_g1_i1	-10.25795449	7	female	NA
TRINITY_DN15800_c0_g2_i1	-10.25160301	7	female	NA
TRINITY_DN119011_c0_g1_i1	-10.22738256	7	female	NA
TRINITY_DN124411_c0_g2_i4	-10.15803741	7	female	0.312975454
TRINITY_DN110679_c0_g1_i1	-10.10451349	7	female	NA
TRINITY_DN111329_c0_g1_i2	-10.09109124	7	female	NA
TRINITY_DN135526_c5_g1_i1	-10.06488415	7	female	NA
TRINITY_DN128868_c0_g3_i1	-10.04374105	7	female	NA
TRINITY_DN120396_c0_g1_i4	-10.01588888	7	female	NA
TRINITY_DN123821_c0_g1_i1	-10.01397036	7	female	-3.387099804
TRINITY_DN83270_c0_g2_i1	-9.99279598	7	female	NA
TRINITY_DN120456_c0_g1_i1	-9.987126866	7	female	-0.545779701
TRINITY_DN135315_c3_g5_i3	-9.80594639	7	female	NA
TRINITY_DN98734_c0_g1_i1	-9.771932965	7	female	NA
TRINITY_DN133291_c0_g1_i1	-9.690493183	7	female	0.323627012
TRINITY_DN86592_c0_g2_i1	-9.681719563	7	female	NA
TRINITY_DN17174_c0_g1_i1	-9.663756301	7	female	NA
TRINITY_DN79738_c0_g1_i1	-9.653542743	7	female	NA
TRINITY_DN135727_c2_g6_i1	-9.652545545	7	female	NA
TRINITY_DN136525_c2_g5_i1	-9.592660567	7	female	NA
TRINITY_DN123349_c1_g3_i1	-9.577606797	7	female	-1.939757169
TRINITY_DN119908_c2_g1_i5	-9.559403443	7	female	NA
TRINITY_DN121733_c0_g1_i3	-9.543456858	7	female	NA
TRINITY_DN27351_c0_g1_i1	-9.496295229	7	female	NA
TRINITY_DN129237_c5_g4_i2	-9.48102897	7	female	NA
TRINITY_DN120463_c0_g1_i1	-9.441672907	7	female	-2.410988526
TRINITY_DN136353_c2_g4_i1	-9.425928688	7	female	NA
TRINITY_DN123147_c0_g1_i1	-9.404056896	7	female	NA
TRINITY_DN151548_c0_g1_i1	-9.392709597	7	female	-1.49874678
TRINITY_DN127129_c2_g3_i1	-9.38226151	7	female	-1.52283132
TRINITY_DN132047_c2_g1_i1	-9.367349727	7	female	NA
TRINITY_DN123052_c0_g1_i2	-9.366112174	7	female	-3.797130279
TRINITY_DN135535_c0_g1_i2	-9.360303205	7	female	-0.263195597
TRINITY_DN121562_c0_g1_i6	-9.346569343	7	female	NA
TRINITY_DN90220_c0_g1_i1	-9.339984708	7	female	NA
TRINITY_DN123456_c0_g3_i1	-9.330992456	7	female	NA
TRINITY_DN125309_c0_g1_i1	-9.282088624	7	female	-2.442844672
TRINITY_DN135160_c6_g1_i3	-9.266621685	7	female	NA
TRINITY_DN121355_c0_g1_i4	-9.265471547	7	female	NA
TRINITY_DN45542_c0_g1_i1	-9.199429651	7	female	-0.610808038
TRINITY_DN24472_c0_g1_i1	-9.196138803	7	female	NA
TRINITY_DN130577_c0_g2_i5	-9.164859028	7	female	NA
TRINITY_DN45107_c0_g1_i1	-9.159391307	7	female	NA
TRINITY_DN120314_c0_g2_i1	-9.157635504	7	female	NA
TRINITY_DN128784_c3_g3_i1	-9.148917064	7	female	NA
TRINITY_DN111968_c1_g1_i1	-9.144035516	7	female	NA
TRINITY_DN97559_c0_g1_i1	-9.118910288	7	female	0.644109543
TRINITY_DN69434_c0_g2_i1	-9.114576972	7	female	NA
TRINITY_DN131426_c0_g1_i1	-9.110760368	7	female	NA
TRINITY_DN131833_c2_g7_i1	-9.093575599	7	female	NA
TRINITY_DN208426_c0_g1_i1	-9.092152193	7	female	NA
TRINITY_DN104411_c0_g3_i1	-9.020018157	7	female	NA
TRINITY_DN119774_c0_g1_i2	-9.013128251	7	female	-1.763828974
TRINITY_DN136525_c2_g1_i1	-9.002121291	7	female	NA
TRINITY_DN132840_c3_g2_i1	-8.975522088	7	female	-2.597186898
TRINITY_DN133117_c1_g2_i4	-8.892580587	7	female	-2.194306284
TRINITY_DN118665_c1_g1_i1	-8.889348341	7	female	-2.351939251
TRINITY_DN207157_c0_g1_i1	-8.878625764	7	female	NA
TRINITY_DN67391_c0_g1_i1	-8.874925936	7	female	NA
TRINITY_DN134021_c2_g1_i2	-8.8636463	7	female	NA
TRINITY_DN72771_c0_g1_i1	-8.857663967	7	female	NA
TRINITY_DN103897_c0_g2_i1	-8.801574564	7	female	NA
TRINITY_DN135914_c0_g2_i1	-8.761479033	7	female	-2.930484522
TRINITY_DN123456_c0_g4_i1	-8.759323186	7	female	0.040226411
TRINITY_DN122293_c0_g1_i1	-8.750816613	7	female	-1.422478019
