gid	sex	bias
1.588943267	meanmale	unbias
1.906306093	meanmale	unbias
5.426962393	meanmale	unbias
6.420289773	meanmale	unbias
NA?	meanmale	unbias
1.189906391	meanmale	unbias
0.689416774	meanmale	unbias
3.56816719	meanmale	unbias
1.307945976	meanmale	unbias
1.105184722	meanmale	unbias
2.222847001	meanmale	unbias
0.567967254	meanmale	unbias
7.879933525	meanmale	unbias
6.414939691	meanmale	unbias
NA?	meanmale	unbias
1.266746718	meanmale	unbias
2.849165036	meanmale	unbias
1.377546313	meanmale	unbias
1.495369994	meanmale	unbias
3.19187959	meanmale	unbias
2.828764164	meanmale	unbias
7.151999921	meanmale	unbias
1.197177467	meanmale	unbias
1.130553716	meanmale	unbias
3.061134027	meanmale	unbias
5.941233087	meanmale	unbias
3.3224867	meanmale	unbias
0.426356483	meanmale	unbias
2.326700339	meanmale	unbias
2.769337721	meanmale	unbias
2.161364148	meanmale	unbias
2.770256955	meanmale	unbias
3.433233171	meanmale	unbias
7.112977387	meanmale	unbias
3.611837963	meanmale	unbias
1.419071503	meanmale	unbias
5.79685459	meanmale	unbias
3.605240561	meanmale	unbias
6.768071418	meanmale	unbias
6.771631668	meanmale	unbias
1.764731937	meanmale	unbias
3.597471811	meanmale	unbias
0.101916418	meanmale	unbias
5.209311218	meanmale	unbias
1.805660218	meanmale	unbias
1.794726333	meanmale	unbias
NA?	meanmale	unbias
5.178532247	meanmale	unbias
3.852474239	meanmale	unbias
4.694292516	meanmale	unbias
6.827875633	meanmale	unbias
1.835452824	meanmale	unbias
4.918477996	meanmale	unbias
2.381551229	meanmale	unbias
1.774270087	meanmale	unbias
4.55607418	meanmale	unbias
-1.899764939	meanmale	unbias
3.652849105	meanmale	unbias
2.004000765	meanmale	unbias
1.978854943	meanmale	unbias
7.850766083	meanmale	unbias
6.722046826	meanmale	unbias
1.679418944	meanmale	unbias
0.171756512	meanmale	unbias
6.835457957	meanmale	unbias
-0.307723391	meanmale	unbias
3.565152859	meanmale	unbias
2.521880634	meanmale	unbias
-1.525175482	meanmale	unbias
-0.936561454	meanmale	unbias
4.563482871	meanmale	unbias
7.289420884	meanmale	unbias
3.732525725	meanmale	unbias
0.574061756	meanmale	unbias
0.415959918	meanmale	unbias
2.072270457	meanmale	unbias
2.359343821	meanmale	unbias
2.117392958	meanmale	unbias
6.918846024	meanmale	unbias
7.561529591	meanmale	unbias
2.974407774	meanmale	unbias
2.810280965	meanmale	unbias
2.284024878	meanmale	unbias
7.983299334	meanmale	unbias
2.107594738	meanmale	unbias
6.216336769	meanmale	unbias
1.161613797	meanmale	unbias
1.733794993	meanmale	unbias
5.3902764	meanmale	unbias
7.193595647	meanmale	unbias
2.514865127	meanmale	unbias
1.546423823	meanmale	unbias
1.720272155	meanmale	unbias
2.43268918	meanmale	unbias
6.564215599	meanmale	unbias
0.687166457	meanmale	unbias
6.384812622	meanmale	unbias
3.961011627	meanmale	unbias
NA?	meanmale	unbias
2.447613349	meanmale	unbias
0.741467159	meanmale	unbias
5.408515501	meanmale	unbias
0.484304335	meanmale	unbias
6.905347676	meanmale	unbias
1.494357872	meanmale	unbias
0.029562491	meanmale	unbias
6.728926048	meanmale	unbias
2.727892272	meanmale	unbias
6.292114758	meanmale	unbias
3.553726952	meanmale	unbias
0.299235657	meanmale	unbias
1.017264013	meanmale	unbias
3.991430096	meanmale	unbias
1.051241601	meanmale	unbias
0.667729085	meanmale	unbias
1.804862286	meanmale	unbias
2.898944056	meanmale	unbias
1.476851276	meanmale	unbias
3.780012999	meanmale	unbias
1.297393722	meanmale	unbias
5.068022918	meanmale	unbias
3.15616224	meanmale	unbias
4.452081448	meanmale	unbias
-0.693635098	meanmale	unbias
0.361255134	meanmale	unbias
-0.568871763	meanmale	unbias
-0.969591816	meanmale	unbias
5.8509658	meanmale	unbias
2.205157903	meanmale	unbias
NA?	meanmale	unbias
0.966402818	meanmale	unbias
4.465060141	meanmale	unbias
-0.197116049	meanmale	unbias
1.604115613	meanmale	unbias
6.192519963	meanmale	unbias
0.209168012	meanmale	unbias
2.244206946	meanmale	unbias
3.000316711	meanmale	unbias
0.345882494	meanmale	unbias
3.266894718	meanmale	unbias
1.90912934	meanmale	unbias
2.877545271	meanmale	unbias
1.379184519	meanmale	unbias
1.29909784	meanmale	unbias
0.614177399	meanmale	unbias
3.773466813	meanmale	unbias
4.752712068	meanmale	unbias
1.253479763	meanmale	unbias
1.183630899	meanmale	unbias
1.470316039	meanmale	unbias
2.78829976	meanmale	unbias
1.096017463	meanmale	unbias
1.621234252	meanmale	unbias
2.638243077	meanmale	unbias
1.040479324	meanmale	unbias
4.087099371	meanmale	unbias
4.206163071	meanmale	unbias
1.113860398	meanmale	unbias
4.220348176	meanmale	unbias
-0.040535302	meanmale	unbias
1.958393624	meanmale	unbias
4.540178354	meanmale	unbias
5.744892559	meanmale	unbias
5.136132702	meanmale	unbias
1.940690833	meanmale	unbias
-0.013171935	meanmale	unbias
7.405913722	meanmale	unbias
5.787313612	meanmale	unbias
8.570824314	meanmale	unbias
4.32891879	meanmale	unbias
1.905680368	meanmale	unbias
0.546677927	meanmale	unbias
3.053804379	meanmale	unbias
NA?	meanmale	unbias
3.412574514	meanmale	unbias
-0.215309759	meanmale	unbias
0.85162494	meanmale	unbias
2.995603302	meanmale	unbias
7.776941495	meanmale	unbias
0.222479274	meanmale	unbias
3.653921497	meanmale	unbias
3.145126865	meanmale	unbias
1.830733554	meanmale	unbias
3.768542083	meanmale	unbias
4.182233505	meanmale	unbias
6.777782698	meanmale	unbias
3.929507591	meanmale	unbias
4.373432449	meanmale	unbias
3.860234542	meanmale	unbias
-0.452257481	meanmale	unbias
0.528589333	meanmale	unbias
0.059703453	meanmale	unbias
1.500757783	meanmale	unbias
4.823408668	meanmale	unbias
1.861627283	meanmale	unbias
0.962655594	meanmale	unbias
0.3279369	meanmale	unbias
6.133493848	meanmale	unbias
4.963743223	meanmale	unbias
0.092177884	meanmale	unbias
0.873062646	meanmale	unbias
1.560529777	meanmale	unbias
2.527176464	meanmale	unbias
4.752196526	meanmale	unbias
1.336759842	meanmale	unbias
8.103811594	meanmale	unbias
0.843221183	meanmale	unbias
2.648965621	meanmale	unbias
0.620132115	meanmale	unbias
1.844050032	meanmale	unbias
-0.806380117	meanmale	unbias
3.925375355	meanmale	unbias
2.303875123	meanmale	unbias
1.732725671	meanmale	unbias
0.036010533	meanmale	unbias
5.358095017	meanmale	unbias
6.79678248	meanmale	unbias
2.256224606	meanmale	unbias
-0.490453546	meanmale	unbias
3.636902007	meanmale	unbias
2.619421652	meanmale	unbias
1.855117541	meanmale	unbias
1.726048935	meanmale	unbias
