gid	log2RPKM	sex	cutoff
TRINITY_DN128065_c4_g6_i1	3.619381158	meanmale	FC1
TRINITY_DN118885_c0_g1_i1	5.107861119	meanmale	FC1
TRINITY_DN133911_c4_g9_i1	3.121237129	meanmale	FC1
TRINITY_DN193423_c0_g1_i1	4.715570598	meanmale	FC1
TRINITY_DN124548_c3_g1_i1	4.249667714	meanmale	FC1
TRINITY_DN132067_c0_g1_i6	3.948295792	meanmale	FC1
TRINITY_DN124990_c0_g3_i2	7.696316228	meanmale	FC1
TRINITY_DN127460_c5_g2_i1	4.622408994	meanmale	FC1
TRINITY_DN130953_c3_g3_i1	6.330969435	meanmale	FC1
TRINITY_DN130362_c0_g1_i1	1.473958129	meanmale	FC1
TRINITY_DN122195_c3_g2_i1	3.343485716	meanmale	FC1
TRINITY_DN123723_c1_g1_i1	8.091446051	meanmale	FC1
TRINITY_DN131896_c3_g1_i2	6.546621903	meanmale	FC1
TRINITY_DN129860_c0_g3_i1	7.125787968	meanmale	FC1
TRINITY_DN131771_c1_g1_i2	4.701869668	meanmale	FC1
TRINITY_DN96922_c0_g1_i1	4.830114624	meanmale	FC1
TRINITY_DN119358_c1_g2_i4	3.038339657	meanmale	FC1
TRINITY_DN100376_c0_g3_i1	4.941318983	meanmale	FC1
TRINITY_DN111143_c0_g1_i2	5.175174331	meanmale	FC1
TRINITY_DN130699_c6_g2_i2	5.890813333	meanmale	FC1
TRINITY_DN136241_c3_g1_i3	3.379568173	meanmale	FC1
TRINITY_DN44500_c0_g1_i1	3.79262924	meanmale	FC1
TRINITY_DN159788_c0_g1_i1	5.400786007	meanmale	FC1
TRINITY_DN130675_c0_g1_i3	5.759515385	meanmale	FC1
TRINITY_DN122349_c0_g1_i2	1.945515627	meanmale	FC1
TRINITY_DN132293_c0_g2_i1	1.17950065	meanmale	FC1
TRINITY_DN124234_c1_g3_i1	6.362743892	meanmale	FC1
TRINITY_DN131738_c0_g7_i11	5.07269415	meanmale	FC1
TRINITY_DN126104_c3_g4_i3	2.993137527	meanmale	FC1
TRINITY_DN119631_c0_g1_i1	6.47006305	meanmale	FC1
TRINITY_DN132129_c0_g1_i2	4.008736271	meanmale	FC1
TRINITY_DN124922_c6_g7_i1	3.841826915	meanmale	FC1
TRINITY_DN130050_c8_g5_i3	3.200724712	meanmale	FC1
TRINITY_DN121659_c3_g1_i2	4.89355535	meanmale	FC1
TRINITY_DN59305_c0_g1_i1	3.15210604	meanmale	FC1
TRINITY_DN132176_c6_g1_i1	4.590486102	meanmale	FC1
TRINITY_DN135638_c10_g1_i1	0.301473704	meanmale	FC1
TRINITY_DN93628_c0_g1_i1	3.407515347	meanmale	FC1
TRINITY_DN118037_c0_g1_i1	2.942399561	meanmale	FC1
TRINITY_DN131144_c0_g5_i1	5.967335977	meanmale	FC1
TRINITY_DN124971_c4_g3_i1	10.10013519	meanmale	FC1
TRINITY_DN119671_c0_g2_i1	7.748868136	meanmale	FC1
