gid	tissue1	sexbias	gid2	tissue2	sexbias2	direction
TRINITY_DN101042_c0_g2_i1	Gonad	female	TRINITY_DN101042_c0_g2_i1	G46	female	no
TRINITY_DN101457_c0_g1_i1	Gonad	female	TRINITY_DN101457_c0_g1_i1	G46	female	no
TRINITY_DN102065_c0_g1_i1	Gonad	female	TRINITY_DN102065_c0_g1_i1	G46	female	no
TRINITY_DN103526_c0_g1_i1	Gonad	female	TRINITY_DN103526_c0_g1_i1	G46	female	no
TRINITY_DN103621_c0_g1_i2	Gonad	female	TRINITY_DN103621_c0_g1_i2	G46	female	no
TRINITY_DN103622_c0_g3_i3	Gonad	female	TRINITY_DN103622_c0_g3_i3	G46	female	no
TRINITY_DN103653_c0_g1_i1	Gonad	female	TRINITY_DN103653_c0_g1_i1	G46	female	no
TRINITY_DN103783_c0_g1_i1	Gonad	female	TRINITY_DN103783_c0_g1_i1	G46	female	no
TRINITY_DN103838_c0_g1_i1	Gonad	female	TRINITY_DN103838_c0_g1_i1	G46	female	no
TRINITY_DN104751_c0_g1_i2	Gonad	female	TRINITY_DN104751_c0_g1_i2	G46	female	no
TRINITY_DN105440_c0_g1_i1	Gonad	female	TRINITY_DN105440_c0_g1_i1	G46	female	no
TRINITY_DN105578_c0_g1_i1	Gonad	female	TRINITY_DN105578_c0_g1_i1	G46	female	no
TRINITY_DN105601_c0_g1_i1	Gonad	female	TRINITY_DN105601_c0_g1_i1	G46	female	no
TRINITY_DN105647_c0_g2_i1	Gonad	female	TRINITY_DN105647_c0_g2_i1	G46	female	no
TRINITY_DN106065_c0_g1_i2	Gonad	female	TRINITY_DN106065_c0_g1_i2	G46	female	no
TRINITY_DN106464_c0_g2_i1	Gonad	female	TRINITY_DN106464_c0_g2_i1	G46	female	no
TRINITY_DN106942_c0_g1_i1	Gonad	female	TRINITY_DN106942_c0_g1_i1	G46	female	no
TRINITY_DN107308_c0_g1_i1	Gonad	female	TRINITY_DN107308_c0_g1_i1	G46	female	no
TRINITY_DN107530_c1_g1_i1	Gonad	female	TRINITY_DN107530_c1_g1_i1	G46	female	no
TRINITY_DN107696_c0_g1_i4	Gonad	female	TRINITY_DN107696_c0_g1_i4	G46	female	no
TRINITY_DN107740_c0_g1_i1	Gonad	female	TRINITY_DN107740_c0_g1_i1	G46	female	no
TRINITY_DN108427_c0_g3_i5	Gonad	female	TRINITY_DN108427_c0_g3_i5	G46	female	no
TRINITY_DN108436_c0_g1_i2	Gonad	female	TRINITY_DN108436_c0_g1_i2	G46	female	no
TRINITY_DN108930_c0_g1_i3	Gonad	female	TRINITY_DN108930_c0_g1_i3	G46	female	no
TRINITY_DN108932_c0_g1_i1	Gonad	female	TRINITY_DN108932_c0_g1_i1	G46	female	no
TRINITY_DN109275_c0_g1_i1	Gonad	female	TRINITY_DN109275_c0_g1_i1	G46	female	no
TRINITY_DN109430_c0_g5_i1	Gonad	female	TRINITY_DN109430_c0_g5_i1	G46	female	no
TRINITY_DN109560_c0_g1_i1	Gonad	female	TRINITY_DN109560_c0_g1_i1	G46	female	no
TRINITY_DN109596_c0_g1_i1	Gonad	female	TRINITY_DN109596_c0_g1_i1	G46	female	no
TRINITY_DN109666_c0_g1_i1	Gonad	female	TRINITY_DN109666_c0_g1_i1	G46	female	no
TRINITY_DN109667_c0_g1_i2	Gonad	female	TRINITY_DN109667_c0_g1_i2	G46	female	no
TRINITY_DN109913_c0_g1_i1	Gonad	female	TRINITY_DN109913_c0_g1_i1	G46	female	no
TRINITY_DN109929_c0_g1_i1	Gonad	female	TRINITY_DN109929_c0_g1_i1	G46	female	no
TRINITY_DN109936_c0_g2_i1	Gonad	female	TRINITY_DN109936_c0_g2_i1	G46	female	no
TRINITY_DN110022_c0_g1_i1	Gonad	female	TRINITY_DN110022_c0_g1_i1	G46	female	no
TRINITY_DN110037_c0_g1_i1	Gonad	female	TRINITY_DN110037_c0_g1_i1	G46	female	no
TRINITY_DN110103_c0_g1_i1	Gonad	female	TRINITY_DN110103_c0_g1_i1	G46	female	no
TRINITY_DN110265_c0_g1_i1	Gonad	female	TRINITY_DN110265_c0_g1_i1	G46	female	no
TRINITY_DN110346_c0_g1_i2	Gonad	female	TRINITY_DN110346_c0_g1_i2	G46	female	no
TRINITY_DN110679_c0_g1_i1	Gonad	female	TRINITY_DN110679_c0_g1_i1	G46	female	no
TRINITY_DN110780_c0_g1_i2	Gonad	female	TRINITY_DN110780_c0_g1_i2	G46	female	no
TRINITY_DN110993_c0_g1_i2	Gonad	female	TRINITY_DN110993_c0_g1_i2	G46	female	no
TRINITY_DN111028_c0_g1_i1	Gonad	female	TRINITY_DN111028_c0_g1_i1	G46	female	no
TRINITY_DN111223_c0_g1_i1	Gonad	female	TRINITY_DN111223_c0_g1_i1	G46	female	no
TRINITY_DN111236_c0_g1_i1	Gonad	female	TRINITY_DN111236_c0_g1_i1	G46	female	no
TRINITY_DN111590_c0_g1_i1	Gonad	female	TRINITY_DN111590_c0_g1_i1	G46	female	no
TRINITY_DN111594_c0_g1_i2	Gonad	female	TRINITY_DN111594_c0_g1_i2	G46	female	no
TRINITY_DN111860_c0_g1_i1	Gonad	female	TRINITY_DN111860_c0_g1_i1	G46	female	no
TRINITY_DN112103_c0_g1_i1	Gonad	female	TRINITY_DN112103_c0_g1_i1	G46	female	no
TRINITY_DN112117_c1_g1_i4	Gonad	female	TRINITY_DN112117_c1_g1_i4	G46	female	no
TRINITY_DN112166_c0_g2_i1	Gonad	female	TRINITY_DN112166_c0_g2_i1	G46	female	no
TRINITY_DN112272_c0_g1_i1	Gonad	female	TRINITY_DN112272_c0_g1_i1	G46	female	no
TRINITY_DN112341_c0_g1_i1	Gonad	female	TRINITY_DN112341_c0_g1_i1	G46	female	no
TRINITY_DN112453_c0_g3_i1	Gonad	female	TRINITY_DN112453_c0_g3_i1	G46	female	no
TRINITY_DN112473_c1_g1_i1	Gonad	female	TRINITY_DN112473_c1_g1_i1	G46	female	no
TRINITY_DN112473_c1_g2_i2	Gonad	female	TRINITY_DN112473_c1_g2_i2	G46	female	no
TRINITY_DN112501_c0_g1_i7	Gonad	female	TRINITY_DN112501_c0_g1_i7	G46	female	no
TRINITY_DN112693_c0_g2_i1	Gonad	female	TRINITY_DN112693_c0_g2_i1	G46	female	no
TRINITY_DN112755_c0_g2_i1	Gonad	female	TRINITY_DN112755_c0_g2_i1	G46	female	no
TRINITY_DN112841_c0_g1_i1	Gonad	female	TRINITY_DN112841_c0_g1_i1	G46	female	no
TRINITY_DN112907_c0_g2_i1	Gonad	female	TRINITY_DN112907_c0_g2_i1	G46	female	no
TRINITY_DN112953_c0_g1_i2	Gonad	female	TRINITY_DN112953_c0_g1_i2	G46	female	no
TRINITY_DN113124_c0_g1_i3	Gonad	female	TRINITY_DN113124_c0_g1_i3	G46	female	no
TRINITY_DN113212_c0_g2_i2	Gonad	female	TRINITY_DN113212_c0_g2_i2	G46	female	no
TRINITY_DN113341_c0_g1_i2	Gonad	female	TRINITY_DN113341_c0_g1_i2	G46	female	no
TRINITY_DN113530_c0_g1_i1	Gonad	female	TRINITY_DN113530_c0_g1_i1	G46	female	no
TRINITY_DN113561_c0_g1_i1	Gonad	female	TRINITY_DN113561_c0_g1_i1	G46	female	no
TRINITY_DN113595_c0_g2_i2	Gonad	female	TRINITY_DN113595_c0_g2_i2	G46	female	no
TRINITY_DN113605_c0_g1_i1	Gonad	female	TRINITY_DN113605_c0_g1_i1	G46	female	no
TRINITY_DN113753_c1_g1_i1	Gonad	female	TRINITY_DN113753_c1_g1_i1	G46	female	no
TRINITY_DN113760_c0_g3_i2	Gonad	female	TRINITY_DN113760_c0_g3_i2	G46	female	no
TRINITY_DN113911_c0_g2_i1	Gonad	female	TRINITY_DN113911_c0_g2_i1	G46	female	no
TRINITY_DN113980_c0_g1_i2	Gonad	female	TRINITY_DN113980_c0_g1_i2	G46	female	no
TRINITY_DN114052_c0_g1_i1	Gonad	female	TRINITY_DN114052_c0_g1_i1	G46	female	no
TRINITY_DN114190_c0_g1_i2	Gonad	female	TRINITY_DN114190_c0_g1_i2	G46	female	no
TRINITY_DN114305_c0_g2_i2	Gonad	female	TRINITY_DN114305_c0_g2_i2	G46	female	no
TRINITY_DN114338_c0_g2_i2	Gonad	female	TRINITY_DN114338_c0_g2_i2	G46	female	no
TRINITY_DN114344_c0_g2_i1	Gonad	female	TRINITY_DN114344_c0_g2_i1	G46	female	no
TRINITY_DN114443_c0_g1_i1	Gonad	female	TRINITY_DN114443_c0_g1_i1	G46	female	no
TRINITY_DN114651_c0_g1_i3	Gonad	female	TRINITY_DN114651_c0_g1_i3	G46	female	no
