ID	Am1_434	Am2_433	Am2_434	Am4_434	Am4_435	Am5_433
TRINITY_DN123251_c6_g3_i2	1568	1083	2141	1538	1880	512
TRINITY_DN156222_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN64972_c0_g2_i1	2	0	0	0	1	1
TRINITY_DN133587_c0_g2_i3	147	165	470	208	233	134
TRINITY_DN193631_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN207257_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN129324_c1_g2_i2	3	3	7	16	31	5
TRINITY_DN129861_c5_g3_i1	213	117	215	214	265	185
TRINITY_DN21401_c0_g1_i1	0	0	3	0	1	0
TRINITY_DN133466_c6_g1_i2	901	462	883	344	883	209
TRINITY_DN70265_c0_g3_i1	0	0	0	0	0	0
TRINITY_DN135460_c2_g13_i1	1	0	3	11	3	4
TRINITY_DN166017_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN61622_c0_g1_i1	3.01988	0	5.08113	6.09199	9.7864	1.0553
TRINITY_DN135397_c0_g2_i3	270	140	263	152	175	78
TRINITY_DN135228_c1_g1_i1	3051	1241	939	908	1359	2410
TRINITY_DN157009_c0_g1_i1	25.7349	16.7227	41.8026	35.8655	36.3969	31.9829
TRINITY_DN89906_c0_g1_i1	0	0	4.18324	0	0	0
TRINITY_DN136059_c1_g3_i1	40	39	42	30	66	93
TRINITY_DN124732_c1_g2_i1	390	304	441	356	304	529
TRINITY_DN177853_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN209647_c0_g1_i1	1	1	4	0	2	0
TRINITY_DN83932_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN118211_c0_g2_i1	152	60	64	624	182	378
TRINITY_DN120400_c0_g2_i1	15.7331	0	8.97662	0	0	0
TRINITY_DN92228_c0_g1_i1	6	8	7	10	1	5
TRINITY_DN127084_c1_g4_i2	27	9	67	73	73	10
TRINITY_DN145428_c0_g1_i1	0	0	0	0	0	0
TRINITY_DN123478_c2_g2_i1	0	0	1	0	2	0
TRINITY_DN121425_c1_g2_i1	404	132	323	440	529	234
TRINITY_DN127708_c3_g1_i2	630	566	858	573	1061	1166
