ID	Am2_463	Am2_464	Am4_461	Am6_462	Am6_464
TRINITY_DN100099_c0_g1_i1	63	116	59	60	84
TRINITY_DN100105_c0_g1_i1	8	5	17	7	15
TRINITY_DN100108_c0_g1_i1	17	13	25	12	18
TRINITY_DN100115_c0_g1_i1	100	455	146	223	679
TRINITY_DN100194_c0_g1_i1	42.176	43.9621	87.0749	118.751	63.1855
TRINITY_DN100230_c0_g1_i1	16	13	62	71	19
TRINITY_DN100260_c0_g2_i1	341	985	532	654	1463
TRINITY_DN100287_c0_g2_i1	3182	2488	4953	6415	4081
TRINITY_DN100348_c0_g1_i1	0	0	1	0	0
TRINITY_DN100358_c0_g1_i1	339	256	547	511	433
TRINITY_DN100376_c0_g1_i1	216	233	647	426	627
TRINITY_DN100418_c0_g1_i1	42	19	15	58	19
TRINITY_DN100514_c0_g1_i1	0	0	1	2	3
TRINITY_DN100638_c0_g2_i1	1518	2585	2849	2577	3502
TRINITY_DN100830_c0_g1_i2	4	6	1	1	7
TRINITY_DN100835_c0_g1_i1	250	152	538	414	347
TRINITY_DN101042_c0_g2_i1	82.5281	356.466	148.782	149.076	285.467
TRINITY_DN101047_c0_g1_i2	21	242	53	97	437
TRINITY_DN101072_c0_g2_i2	2	5130	2	3	8684
TRINITY_DN101150_c0_g2_i1	327	421	392	482	288
TRINITY_DN101193_c0_g1_i1	121	112	176	130	164
TRINITY_DN101232_c0_g1_i1	84	71	166	170	157
TRINITY_DN101247_c0_g3_i1	13	21	26	9	14
TRINITY_DN101292_c0_g1_i3	18	20	28.0077	36.01	19.0048
TRINITY_DN101326_c0_g1_i1	73	62	106	64	45
TRINITY_DN101356_c0_g1_i1	24	231	74	61	251
TRINITY_DN101361_c0_g1_i2	258	207	558	321	337
TRINITY_DN101369_c0_g1_i1	0	7	0	1	15
TRINITY_DN101457_c0_g1_i1	354	1294.93	562	660	1724
TRINITY_DN101488_c0_g2_i2	627	800	982	1011	1238
TRINITY_DN101542_c0_g1_i1	1051.17	2124.72	1959.57	1847.14	3146.29
TRINITY_DN101606_c0_g1_i1	0	1	11	4	1
TRINITY_DN101610_c0_g2_i1	6440	3735	8183	10531	6801
TRINITY_DN101728_c0_g2_i1	1252.16	824.347	2725.34	3499.4	1439.67
TRINITY_DN101751_c0_g1_i1	48	509	76	103	597
TRINITY_DN101798_c0_g1_i1	3	2	0	8	11
TRINITY_DN101809_c0_g1_i2	149	108	445	312	227
TRINITY_DN101821_c0_g1_i1	82	49	159	110	155
TRINITY_DN101833_c0_g1_i1	1104	1485	330	738	1434
TRINITY_DN101895_c0_g1_i1	58	35	91	98	83
TRINITY_DN101903_c0_g2_i2	256	527	484	463	629
TRINITY_DN101930_c0_g2_i1	1	0	2	2	0
TRINITY_DN101930_c0_g4_i3	3	0	0	3	0
TRINITY_DN101966_c0_g1_i1	24	24	44	80	26
TRINITY_DN102026_c0_g1_i2	96	50	167	190	112
TRINITY_DN102065_c0_g1_i1	512	2544	665	896	3254
TRINITY_DN102078_c0_g1_i1	858	1495	1353	1074	2788
TRINITY_DN102094_c0_g3_i1	83	69	176	117	215
TRINITY_DN102159_c0_g1_i2	3844	2343	7151	4850	4551
TRINITY_DN102162_c0_g1_i1	431	684	584	754	1355
TRINITY_DN102167_c0_g1_i2	779	1355	1271	1257	1843
TRINITY_DN102186_c0_g1_i2	5136	2019	6340	6423	5473
TRINITY_DN102193_c0_g2_i1	181	202	361	375	341
