gid	tau	tissue	stage	perc
TRINITY_DN120582_c1_g2_i1	0.131377723	Testis_mean	G27	top10
TRINITY_DN125523_c6_g3_i1	0.39929648	G23_mmean	G27	top10
TRINITY_DN133014_c5_g4_i7	0.281428433	Brain_mmean	G27	top10
TRINITY_DN132231_c0_g2_i2	0.117911184	Liver_fmean	G27	top10
TRINITY_DN127626_c0_g3_i1	0.0941685	Testis_mean	G27	top10
TRINITY_DN127274_c0_g2_i1	0.595705669	G23_mmean	G27	top10
TRINITY_DN169041_c0_g1_i1	0.685625754	G27_mmean	G27	top10
TRINITY_DN115163_c0_g1_i1	0.334950001	G27_fmean	G27	top10
TRINITY_DN113795_c0_g1_i4	0.188101652	Brain_mmean	G27	top10
TRINITY_DN128975_c2_g1_i4	0.296230499	Ovary_mean	G27	top10
TRINITY_DN114600_c0_g1_i1	0.106183983	G43_M_mean	G27	top10
TRINITY_DN116635_c0_g1_i1	0.651146014	G27_fmean	G27	top10
TRINITY_DN110298_c0_g2_i1	0.183550683	G46_F_mean	G27	top10
TRINITY_DN119788_c0_g1_i2	0.163404653	Liver_fmean	G27	top10
TRINITY_DN120501_c0_g1_i2	0.274697131	Ovary_mean	G27	top10
TRINITY_DN131962_c1_g8_i4	0.373400665	G46_M_mean	G27	top10
TRINITY_DN109907_c0_g1_i1	0.204514594	Testis_mean	G27	top10
TRINITY_DN123553_c0_g1_i1	0.114952845	G43_M_mean	G27	top10
TRINITY_DN128521_c1_g1_i4	0.260035122	Ovary_mean	G27	top10
TRINITY_DN128334_c1_g2_i2	0.408057934	G46_M_mean	G27	top10
TRINITY_DN117897_c2_g4_i3	0.260911836	Liver_mmean	G27	top10
TRINITY_DN126582_c1_g1_i4	0.17868001	Liver_mmean	G27	top10
TRINITY_DN123398_c4_g2_i4	0.11251504	G23_fmean	G27	top10
TRINITY_DN117817_c0_g1_i1	0.120561329	G23_fmean	G27	top10
TRINITY_DN132278_c0_g1_i3	0.253023137	Ovary_mean	G27	top10
TRINITY_DN111882_c0_g2_i2	0.308685589	Ovary_mean	G27	top10
TRINITY_DN135325_c0_g2_i6	0.641256496	G27_mmean	G27	top10
TRINITY_DN122437_c0_g1_i2	0.105862599	Ovary_mean	G27	top10
TRINITY_DN127250_c1_g1_i3	0.270482868	G27_mmean	G27	top10
TRINITY_DN123869_c1_g1_i1	0.131404231	G23_fmean	G27	top10
TRINITY_DN136434_c0_g2_i1	0.334818993	G43_F_mean	G27	top10
TRINITY_DN113502_c0_g1_i1	0.112230398	G23_mmean	G27	top10
TRINITY_DN132809_c8_g1_i2	0.486496662	Testis_mean	G27	top10
TRINITY_DN120936_c0_g1_i1	0.194582401	Ovary_mean	G27	top10
TRINITY_DN129523_c0_g4_i3	0.59003442	Brain_fmean	G27	top10
TRINITY_DN132176_c6_g1_i1	0.284546995	Ovary_mean	G27	top10
TRINITY_DN116298_c0_g1_i2	0.218693406	G46_F_mean	G27	top10
TRINITY_DN180067_c0_g1_i1	0.682044861	G27_mmean	G27	top10
TRINITY_DN128202_c1_g1_i2	0.574396105	G31_fmean	G27	top10
TRINITY_DN136154_c1_g3_i1	0.043482097	G43_M_mean	G27	top10
TRINITY_DN93194_c0_g1_i1	0.472886001	G43_F_mean	G27	top10
TRINITY_DN115662_c0_g1_i1	0.216952235	Ovary_mean	G27	top10
TRINITY_DN119122_c0_g1_i3	0.431273488	Ovary_mean	G27	top10
TRINITY_DN123838_c1_g2_i2	0.25016989	Ovary_mean	G27	top10
TRINITY_DN119978_c0_g1_i1	0.152351879	Ovary_mean	G27	top10
TRINITY_DN125851_c4_g2_i4	0.135946156	G23_fmean	G27	top10
TRINITY_DN105250_c0_g1_i2	0.260473284	Brain_fmean	G27	top10
TRINITY_DN134910_c0_g2_i3	0.316181226	Ovary_mean	G27	top10
TRINITY_DN127575_c5_g1_i3	0.121215893	G23_fmean	G27	top10
TRINITY_DN124193_c2_g2_i3	0.233452652	G27_mmean	G27	top10
TRINITY_DN133597_c0_g2_i1	0.119972868	Ovary_mean	G27	top10
TRINITY_DN129521_c3_g1_i1	0.29065119	G23_mmean	G27	top10
TRINITY_DN108683_c0_g3_i1	0.126396601	G23_mmean	G27	top10
TRINITY_DN87751_c0_g2_i1	0.146093847	G23_mmean	G27	top10
TRINITY_DN115767_c0_g1_i3	0.188145734	G23_fmean	G27	top10
TRINITY_DN123626_c0_g1_i1	0.397727441	G23_fmean	G27	top10
TRINITY_DN131594_c0_g1_i3	0.197833263	G23_fmean	G27	top10
TRINITY_DN127151_c1_g2_i1	0.060381836	Testis_mean	G27	top10
TRINITY_DN135037_c6_g3_i7	0.48028768	Brain_mmean	G27	top10
TRINITY_DN108146_c0_g1_i2	0.212059109	Brain_fmean	G27	top10
TRINITY_DN128948_c4_g1_i1	0.21451029	G23_mmean	G27	top10
TRINITY_DN116935_c0_g1_i1	0.168744562	Ovary_mean	G27	top10
TRINITY_DN136704_c14_g1_i1	0.386960842	Brain_mmean	G27	top10
TRINITY_DN134131_c2_g2_i1	0.434610432	G31_fmean	G27	top10
TRINITY_DN127113_c0_g1_i2	0.238940596	Ovary_mean	G27	top10
TRINITY_DN118126_c0_g1_i1	0.140103828	G23_mmean	G27	top10
TRINITY_DN122611_c2_g3_i4	0.21234437	Ovary_mean	G27	top10
TRINITY_DN127072_c5_g2_i1	0.564543705	Ovary_mean	G27	top10
TRINITY_DN121182_c1_g2_i2	0.243535645	Testis_mean	G27	top10
TRINITY_DN131409_c0_g1_i2	0.09632391	Testis_mean	G27	top10
TRINITY_DN132719_c0_g1_i3	0.169695204	Brain_fmean	G27	top10
TRINITY_DN104919_c0_g1_i1	0.118203734	Brain_fmean	G27	top10
TRINITY_DN136422_c3_g1_i2	0.341048727	G43_F_mean	G27	top10
TRINITY_DN179808_c0_g1_i1	0.202183028	Ovary_mean	G27	top10
TRINITY_DN116830_c0_g1_i1	0.22249264	Ovary_mean	G27	top10
TRINITY_DN127680_c4_g2_i3	0.084212658	Testis_mean	G27	top10
TRINITY_DN128683_c0_g1_i2	0.667829272	G27_fmean	G27	top10
TRINITY_DN117147_c0_g3_i2	0.281135332	Ovary_mean	G27	top10
TRINITY_DN126672_c0_g1_i2	0.793348984	G27_mmean	G27	top10
TRINITY_DN128810_c1_g5_i4	0.16799382	Testis_mean	G27	top10
TRINITY_DN125860_c0_g1_i1	0.558149489	G27_mmean	G27	top10
TRINITY_DN115111_c0_g1_i1	0.097294457	G43_F_mean	G27	top10
TRINITY_DN135574_c5_g5_i2	0.161839082	Brain_mmean	G27	top10
TRINITY_DN129170_c1_g2_i2	0.086875192	Testis_mean	G27	top10
TRINITY_DN127031_c0_g2_i3	0.094807387	Liver_fmean	G27	top10
TRINITY_DN111338_c0_g1_i1	0.177308433	G43_F_mean	G27	top10
TRINITY_DN131158_c5_g3_i1	0.166860224	Liver_fmean	G27	top10
