ID	A2FL1	A17ML1	A17FL1	A15ML1	A12ML1	A12FL1	A7FL1	A8FL1	A8ML1
TRINITY_DN86923_c0_g1_i1	0	0	0	0	0	0	4	0	0
TRINITY_DN211045_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN151085_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN15160_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131408_c1_g3_i2	1	0	0	1	1.11839	1	10	2	3
TRINITY_DN135495_c0_g4_i4	845	643	1672	1221	1764	2336	3376	1391	1243
TRINITY_DN131528_c2_g1_i1	1	1	1	1	2	4	2	2	4
TRINITY_DN126312_c0_g1_i4	7	0	4	0	0	16	4	9.69993	1
TRINITY_DN25704_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN44120_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN77205_c0_g3_i1	0	0	0	0	0	0	3	0	0
TRINITY_DN30819_c0_g1_i1	2	0	0	0	0	0	4	0	0
TRINITY_DN133310_c0_g2_i1	10	685	14	489	10	16	269	293	12
TRINITY_DN155306_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN152130_c0_g1_i1	0	0	0	0	0	0	2	0	0
TRINITY_DN126328_c0_g2_i1	108	18	45	33	40	18	99	92	38
TRINITY_DN110993_c0_g3_i1	7	0	2	3	4	1	12	4	2
TRINITY_DN136320_c0_g1_i1	11	38	32	67	95	53	135	27	36
TRINITY_DN125015_c6_g1_i1	36.7426	15.6704	15.1692	23.3411	20.3394	26.9524	70.634	47.7628	35.2318
TRINITY_DN127376_c0_g1_i1	27	13	40.6468	24	23.1058	54	93	48	39
TRINITY_DN127901_c0_g2_i1	52.4363	45.2379	35.6537	68.6019	82.7666	86.9861	90.6839	194.92	111.539
TRINITY_DN107798_c0_g2_i1	2	0	6	0	0	0	2	6	0
TRINITY_DN125214_c0_g1_i1	131	53	129	82	97	141	421	190	85
TRINITY_DN136216_c2_g1_i1	260.43	162.073	184.515	228.854	286.827	248.932	527.43	115.481	152.605
TRINITY_DN115599_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN115304_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN78339_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN76836_c0_g2_i1	0	0	0	0	0	0	8	0	0
TRINITY_DN179737_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119931_c0_g1_i1	435	98	139	140	122	185	483	264	138
TRINITY_DN75935_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128516_c1_g3_i2	19.5161	12.1159	9.52711	24.1436	7.31363	5.53875	80.8658	36.1301	12.3686
TRINITY_DN116342_c0_g2_i1	0	0	0	5	0	0	0	1	0
TRINITY_DN316_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN110146_c0_g1_i3	182	471	514	1247	1082	1028	795	463	886
TRINITY_DN93335_c0_g2_i1	549.333	880.652	1150.51	1537.93	1309.4	1360.38	1759.54	1005.56	689
TRINITY_DN189172_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN25687_c0_g1_i1	0	0	0	0	1	1	2	0	0
TRINITY_DN121522_c0_g1_i3	0	0	0	0	0	0	0	0	0
TRINITY_DN121834_c1_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN84343_c0_g3_i2	0	0	0	0	0	2	0	1	0
TRINITY_DN116988_c0_g1_i1	1	0	2	0	0	3.66054	5.78015	0	0
TRINITY_DN125389_c0_g2_i1	64	53.8953	65	59.6555	62	45	207.316	28.8192	46.4391
TRINITY_DN104790_c0_g1_i1	15	2	7.02496	15	20	69	35.0912	5	70
TRINITY_DN135536_c0_g5_i3	3	5	5	3	10	20	18	7	13
TRINITY_DN138947_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN179341_c0_g1_i1	0	0	1	0	0	0	0	0	0
TRINITY_DN122521_c1_g1_i1	12	3	3	5	7	8	13	2	5
TRINITY_DN215710_c0_g1_i1	0	0	0	0	0	0	2	0	1
TRINITY_DN176837_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN121040_c0_g3_i2	1	0	0	1	3	1	8	0	0
TRINITY_DN216792_c0_g1_i1	0	0	0	0	0	0	3	0	0
TRINITY_DN157929_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN44213_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN152327_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN195750_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN106221_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136027_c5_g1_i1	5	8	13	7	19	8	18	12	15
TRINITY_DN73873_c0_g2_i1	5	0	0	0	0	0	5	0	4
TRINITY_DN209879_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136232_c2_g1_i2	58	57	108	71	94	156	321	214	130
TRINITY_DN197955_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN130370_c3_g3_i3	187	98	162	175	228	134	247	220	165
TRINITY_DN3289_c0_g1_i1	0	0	0	0	0	0	1	0	0
TRINITY_DN84079_c0_g2_i1	0	0	0	0	0	0	9	0	0
TRINITY_DN88548_c0_g1_i1	1	0	0	0	1	2	1	0	2
TRINITY_DN112907_c0_g2_i1	29.6188	42.6944	68	66.8239	75.9954	90	477	144	111.54
TRINITY_DN121419_c0_g1_i2	99.1257	47.0957	27.7906	59.4612	94.9995	63.0863	127.024	105.314	45.107
TRINITY_DN164867_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN128639_c1_g5_i1	23.9564	10.0214	7.43432	11.1424	13.4864	9.90472	55.0793	47.2901	19.5749
TRINITY_DN140989_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN38313_c0_g1_i1	1	0	1	0	1	0	6	5	0
TRINITY_DN116944_c0_g1_i1	351	148	332	196	220	318	711	379	242
TRINITY_DN80439_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN68403_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN76922_c0_g3_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN120724_c0_g1_i1	10	9	9	16	12	18	56	29	13
TRINITY_DN126177_c8_g2_i3	54.9136	61.2297	80	84.1658	69.0527	94.8896	389.641	95.8235	95.8804
TRINITY_DN102142_c0_g1_i1	4	1	1	3	5	6	33	3	2
TRINITY_DN128543_c0_g14_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN194447_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136324_c5_g3_i1	8	3	11	6	5	22	8	12	17
TRINITY_DN133534_c2_g9_i5	41775	12525	16710	15476	24486	24293	20696	27267	19127
TRINITY_DN182689_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN129806_c2_g1_i1	16.55	3.31971	6.1325	16.3567	16.59	13.2143	13.7024	40.6823	9.8897
TRINITY_DN130167_c0_g1_i1	28.3065	104.825	167.403	274.682	300.004	128.595	627.94	117.074	232.406
TRINITY_DN80325_c0_g1_i1	0	0	0	0	0	0	4	0	0
TRINITY_DN170960_c0_g1_i1	0	0	0	0	0	0	1	0	0
TRINITY_DN16223_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN136717_c7_g2_i2	67	89	124	159	63	76	517	84	95
TRINITY_DN120174_c0_g4_i1	0	0	0	3.94398	0	0	0	0	0
TRINITY_DN134008_c0_g3_i1	216.289	167.022	199.461	322.889	295.324	250.345	537.543	136.939	162.12
TRINITY_DN124216_c1_g3_i9	352	256	333	591	864	420	1581	824	515
TRINITY_DN145298_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN183511_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125780_c3_g4_i1	0	0	0	0	0	0	0	2	0
TRINITY_DN140959_c0_g1_i1	17	12	14	25	27	5	79	33	26
TRINITY_DN38574_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123066_c0_g1_i1	1	1	1	8	4	2	8	6.202	2
TRINITY_DN66897_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN31936_c0_g2_i1	0	0	0	0	0	0	2	0	0
TRINITY_DN14454_c0_g1_i1	2	0	0	0	0	0	0	0	0
TRINITY_DN80908_c0_g1_i1	0	0	0	0	0	0	11.4867	1	0
TRINITY_DN65434_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN133488_c1_g1_i1	11	2	11	17	11	9	57	13	5
TRINITY_DN116991_c0_g2_i1	4.56578	6	3	3	4.32856	17.6599	7.26341	12.0373	0
TRINITY_DN45651_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN113900_c0_g1_i1	12	0	19	4	3	11	53	10	4
TRINITY_DN115726_c0_g4_i1	30.0321	27.9209	17	15	8.43219	1	9.46701	1	15.4497
TRINITY_DN209101_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125983_c0_g2_i1	10	3	5	6	9	23	17	26	8
TRINITY_DN165645_c0_g1_i1	32	9	31	25	21	34	88	37.265	23
TRINITY_DN196744_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN132807_c1_g1_i7	6	1	9	3	3	3	7	6	4
TRINITY_DN197088_c0_g1_i1	0	0	0	0	1	0	1	0	1
TRINITY_DN111228_c0_g1_i1	5	0	18	11	6	12	14	2	10
TRINITY_DN70363_c0_g1_i1	0	0.333333	1	0	0	0	0	0	0
TRINITY_DN217402_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN133473_c0_g8_i4	36	78	59	54	85	36	78	104	35
TRINITY_DN170631_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN166440_c0_g1_i1	0	0	0	0	0	0	1	0	0
TRINITY_DN34241_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN131426_c0_g2_i1	1	0	0	0	1	0	3	1	0
TRINITY_DN130224_c3_g3_i1	6	29	91	36	139	66	51	232	153
TRINITY_DN131300_c5_g1_i1	213	54	130	126	115	193	611	319	126
TRINITY_DN128838_c1_g1_i1	40	4	25.034	16	33.2093	37.2383	102	54.2458	37.208
TRINITY_DN134872_c1_g1_i1	487.443	437.66	1346	1006	1254	1496.13	4616.92	2001.92	899
TRINITY_DN47484_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN97551_c0_g5_i1	7	0	7.00326	2.00066	6.0037	7.00242	15.009	1.00109	5.00401
TRINITY_DN9019_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN123382_c4_g5_i1	14	10	24	19	30	22	82	54	30
TRINITY_DN119152_c0_g1_i4	2	16	16	18	26	26	100	42	30
TRINITY_DN176750_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN119009_c0_g2_i2	0	2	7	6	10	6	67	28	10
TRINITY_DN126289_c6_g2_i1	98	99	101	106.304	125.122	71.3289	455.997	234.558	137
TRINITY_DN126410_c3_g6_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN126925_c1_g1_i1	67.3852	81	114	72.2562	104.462	148	204.945	235.936	128.277
TRINITY_DN126784_c0_g4_i1	20.3361	12	19.2764	18.1196	15	15.6107	66.5284	35.1552	17.9584
TRINITY_DN133663_c0_g1_i1	1214	513	525	1014	1198	1035	920	489	1083
TRINITY_DN125578_c3_g2_i4	71	23.5449	32	25	57	26.2099	111.158	40.3394	27
TRINITY_DN14121_c0_g1_i1	0	0	0	0	0	0	5	0	0
TRINITY_DN134157_c2_g1_i1	70	17	26	49	19	50	367	48	27
TRINITY_DN166074_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN113959_c0_g1_i1	0	0	0	0	0	0	0	0	1
TRINITY_DN77733_c0_g1_i1	1	0	0	0	0	0	2	0	0
TRINITY_DN127999_c10_g6_i2	92.6272	31.0532	88.032	13.4955	75.2337	116.713	341.503	137.859	95.7275
TRINITY_DN133961_c2_g7_i1	4.9269	4.3082	1.1412	1.86507	13.0219	1.77501	2.02837	3.08778	1.40404
TRINITY_DN131857_c0_g3_i1	0	0	0	0	1.09887	7.10684	1.07663	1	1
TRINITY_DN82615_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN126256_c6_g2_i1	7.23882	6	12.0234	11.1825	12.2812	16.3004	22.8409	7.11186	6.13675
TRINITY_DN39535_c0_g1_i1	0	0	0	0	0	0	4	0	0
TRINITY_DN77060_c0_g1_i1	0	0	0	0	0	0	0	2	1
TRINITY_DN113272_c0_g1_i1	6.4	0	0	0	0	14	0	24.7619	0
TRINITY_DN131805_c5_g1_i1	3	1	4	7	8	12	37	38	3
TRINITY_DN133214_c1_g4_i1	144	39	165	25.8132	83	108	263	441.958	64.924
TRINITY_DN123057_c1_g2_i1	5	10	33	13	15	10	79	33	3
TRINITY_DN134963_c2_g9_i1	0	0	0	8.77573	0	62.6903	15.9525	52.5677	0.00418598
TRINITY_DN127250_c1_g4_i1	0.250875	0	14.8978	22.9157	2.75086	77.4121	4.96538	0	0.0116961
TRINITY_DN117152_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN162142_c0_g1_i1	0	0	0	1	0	0	0	0	0
TRINITY_DN113985_c0_g1_i1	0	0	0	3	0	0	0	0	0
TRINITY_DN49255_c0_g1_i1	86.9703	19.9016	44.2257	20.2226	70.8929	33.5116	127.465	81.9513	64.9067
TRINITY_DN114033_c0_g1_i2	0	3	2	1	3	5	4	0	2
TRINITY_DN128540_c2_g1_i1	2.07875	1.02429	4.21391	1.03714	1.02895	4.12702	17.0532	2.18921	3.07711
TRINITY_DN135526_c5_g2_i2	0	1	5	0	0	2	0	3	0
TRINITY_DN185591_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN134913_c0_g3_i1	14.6419	4.50842	6.62694	5.74181	9.79203	12.3363	42.0064	11.6058	5.95787
TRINITY_DN88755_c0_g2_i1	0	0	0	0	0	0	3	0	0
TRINITY_DN151907_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN135255_c2_g1_i11	203	74	142	200	153	213	717	311	150
TRINITY_DN122166_c0_g1_i3	205	93	150	193	166	171	2324	304	204
TRINITY_DN118819_c0_g1_i1	5518	4397	7152	5733	6384	6195	13005	9633	5710
TRINITY_DN134766_c0_g2_i4	3	0	2	0	3	2	0	0	0
TRINITY_DN119206_c2_g1_i3	207	99	189	159	193	276	534	282	182
TRINITY_DN118236_c0_g2_i2	11	12	16	18	24	21.6749	28	17	31
TRINITY_DN123846_c1_g1_i1	0	0	0	0	0	0	1	0	0
TRINITY_DN123779_c0_g1_i1	2	1	6	11	3	0	24.1429	5	3
TRINITY_DN117216_c0_g2_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN59031_c0_g1_i1	0	0	0	0	0	0	1	0	0
TRINITY_DN134012_c4_g1_i1	0	0	0	0	1	0	0	0	0
TRINITY_DN142102_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN125136_c3_g2_i1	0	0	2	1	2	0	5	0	0
TRINITY_DN128797_c4_g2_i1	548	513	777	682	893	1365	3282	1544	811
TRINITY_DN110193_c0_g1_i1	42.7444	36.5364	17.5378	7.16467	3.43145	34.4866	148.882	1.45264	98.2723
TRINITY_DN129080_c3_g2_i1	0	2	3	3	1	0	25	9	3
TRINITY_DN132705_c7_g1_i2	6	6	8	6	16	17	44	28	13
TRINITY_DN28533_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN165627_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN47794_c0_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN134673_c2_g2_i1	0	0	1	0	0	0	0	0	0
TRINITY_DN131164_c4_g1_i1	0	0	0	0	0	0	0	0	0
TRINITY_DN103744_c0_g1_i2	1210.18	809.995	1101	1467	1292	1305.02	6038.23	2907.65	1630.64
TRINITY_DN121016_c0_g1_i1	0	0	1	0	0	0	0	0	0
TRINITY_DN100467_c0_g2_i1	0	0	0	0	0	0	0	12.1729	0
TRINITY_DN15146_c0_g1_i1	0	0	0	0	0	0	3	0	0
TRINITY_DN104140_c0_g1_i1	1	0	0	3	1	0	0	0	0
TRINITY_DN124009_c0_g1_i3	187	163	271	360	338	311	896	323	247
