gene	logFC	FDR
1	TRINITY_DN117036_c0_g1_i1	2.59400215838286	0.00813023223112816
2	TRINITY_DN122025_c0_g1_i3	1.24430284427281	0.00592080460407167
3	TRINITY_DN128465_c0_g5_i9	2.51649921772787	0.0267331325542609
4	TRINITY_DN130262_c0_g1_i1	0.723964766454798	0.0317797690693775
5	TRINITY_DN127570_c1_g1_i1	1.16288629612182	0.0492125774003997
6	TRINITY_DN126485_c2_g1_i2	2.14584313060332	0.00320934035786858
7	TRINITY_DN133534_c1_g5_i1	2.44512392500346	0.0123092062682446
8	TRINITY_DN118022_c0_g1_i1	4.32858541267098	0.000135925020338506
9	TRINITY_DN131767_c0_g2_i1	0.831248693413865	0.00333273223676161
10	TRINITY_DN105687_c0_g1_i1	2.60289649317281	0.00145916106692041
11	TRINITY_DN93756_c0_g1_i1	8.43281793129063	4.41768717026151e-18
12	TRINITY_DN36259_c0_g1_i1	1.21388255871205	0.000382799118817307
13	TRINITY_DN133322_c1_g4_i1	2.34844725005486	0.00414678256926454
14	TRINITY_DN126942_c1_g2_i1	3.05407070733648	1.88598008625108e-10
15	TRINITY_DN129784_c1_g7_i1	3.04608498449804	0.0132557580770976
16	TRINITY_DN122960_c4_g4_i2	1.21968896354706	0.00179406642361757
17	TRINITY_DN120967_c0_g2_i1	1.37759703642373	0.00792282657657129
18	TRINITY_DN130569_c1_g1_i1	3.07521176129847	3.87233932242752e-06
19	TRINITY_DN133976_c2_g2_i1	1.51368847157263	0.0342877376465983
20	TRINITY_DN117360_c0_g1_i1	1.8241433286808	0.0108362887696246
21	TRINITY_DN134429_c5_g1_i1	1.29036601827506	0.0108480371937113
22	TRINITY_DN128367_c1_g4_i3	5.48643435371723	0.005119866277559
23	TRINITY_DN129658_c2_g4_i1	0.972258804318902	0.00606520716755923
24	TRINITY_DN132642_c5_g2_i1	7.92417635423385	5.41537953819629e-08
25	TRINITY_DN132765_c1_g1_i7	3.34202376600046	0.0111630765042585
26	TRINITY_DN122660_c2_g2_i4	0.924277877326639	0.0048202300122957
27	TRINITY_DN135864_c0_g11_i1	8.0542939134509	3.84597240881906e-51
28	TRINITY_DN125115_c2_g1_i1	3.1649483136024	0.0106698392675254
29	TRINITY_DN114504_c0_g2_i2	1.86774696007208	0.0480031526571265
30	TRINITY_DN105267_c0_g2_i2	1.30416748788166	0.00319705979017103
31	TRINITY_DN38445_c0_g1_i1	4.4627162924194	0.000384648066558794
32	TRINITY_DN132104_c0_g2_i3	2.34071268017929	0.0246056413481615
33	TRINITY_DN135618_c2_g1_i1	1.10878878170487	0.00365144232021205
34	TRINITY_DN131925_c1_g2_i3	1.92925784154266	0.0409240005252039
35	TRINITY_DN127055_c1_g7_i1	1.85676422152399	0.0216940207867479
36	TRINITY_DN133064_c1_g2_i1	7.87906565468908	0.000100379249737982
37	TRINITY_DN125892_c0_g1_i1	2.36868919655742	0.012953168263792
38	TRINITY_DN127888_c0_g2_i1	3.56412889845329	0.000452049143187517
39	TRINITY_DN123754_c0_g1_i2	1.26190285221846	0.00376386391312766
40	TRINITY_DN113301_c1_g1_i1	1.09394576233385	0.0164626837442462
41	TRINITY_DN20122_c0_g1_i1	6.34109289587126	2.24215183816983e-05
42	TRINITY_DN134318_c0_g3_i1	0.84618154873318	0.0492374480101454
43	TRINITY_DN134235_c0_g1_i1	2.55968871995048	0.0139303253446301
44	TRINITY_DN115328_c0_g1_i1	1.08962723618439	0.0265176464773175
45	TRINITY_DN115904_c0_g3_i2	1.03431080786901	0.0214544584024349
46	TRINITY_DN106368_c0_g2_i1	0.908564456717348	0.00232838079201351
47	TRINITY_DN134524_c3_g3_i1	3.93472523170357	0.00792282657657129
48	TRINITY_DN173093_c0_g1_i1	3.79795220143976	0.00365144232021205
49	TRINITY_DN91309_c0_g1_i2	2.21137577566892	0.0226178854525436
50	TRINITY_DN135896_c2_g3_i1	4.5825998647315	0.00380000772133419
51	TRINITY_DN117646_c0_g2_i1	1.83269384203519	0.0176353966818084
52	TRINITY_DN123054_c2_g2_i2	1.29097297308807	0.0102905245877833
53	TRINITY_DN209985_c0_g1_i1	2.85194685644041	2.42611144412374e-09
54	TRINITY_DN117446_c0_g1_i2	1.96979141713391	0.00301364781313562
55	TRINITY_DN132560_c1_g7_i1	3.95296064169224	0.0265176464773175
56	TRINITY_DN131144_c0_g8_i1	1.82236904582167	0.0144593436575506
57	TRINITY_DN122118_c0_g1_i1	1.59723512520755	0.0101531109564749
58	TRINITY_DN110989_c1_g2_i1	3.76496536352564	0.000644537190244909
59	TRINITY_DN131753_c0_g4_i1	3.4083138132014	0.00665733948459299
60	TRINITY_DN135966_c1_g1_i10	0.718413301497774	0.0179839886376883
61	TRINITY_DN86341_c0_g2_i1	9.17268585971253	1.5755313445762e-24
62	TRINITY_DN117550_c0_g1_i1	1.01454826078149	0.0265176464773175
63	TRINITY_DN132123_c0_g1_i2	1.03269970543967	0.00921703667961331
64	TRINITY_DN109305_c0_g2_i2	3.28503585989721	0.0111630765042585
65	TRINITY_DN126719_c0_g1_i3	5.45971542366247	2.21214147764511e-06
66	TRINITY_DN131144_c0_g4_i3	2.41430365613083	0.0150679817787483
67	TRINITY_DN120979_c0_g1_i3	1.50754518323562	0.00179406642361757
68	TRINITY_DN131220_c7_g1_i1	1.14525737371872	0.0434130680391435
69	TRINITY_DN123918_c0_g2_i1	2.56855379642839	0.00792282657657129
70	TRINITY_DN128095_c4_g3_i3	2.11444686384403	0.0111630765042585
71	TRINITY_DN123558_c0_g1_i1	1.30149814278171	0.0492374480101454
72	TRINITY_DN134062_c1_g1_i3	3.99220566683686	0.0198916287636869
73	TRINITY_DN136506_c0_g1_i1	2.75855691954375	0.0374191186942187
74	TRINITY_DN129733_c3_g5_i1	2.10110306739801	8.72300458902273e-05
75	TRINITY_DN121505_c1_g3_i1	1.51175212670386	0.0229485477563759
76	TRINITY_DN120963_c0_g1_i2	3.60248691071478	0.00132646536434535
77	TRINITY_DN128884_c3_g1_i1	1.39771339027568	0.0177594595211976
78	TRINITY_DN113348_c0_g3_i1	6.75772549672082	9.1127492515563e-17
79	TRINITY_DN136241_c3_g1_i3	1.42130481380742	0.000202016497193439
80	TRINITY_DN131154_c3_g9_i2	1.02352674029641	0.0442735096251659
81	TRINITY_DN130300_c0_g1_i3	3.07542687922336	0.0279493493468524
82	TRINITY_DN122261_c0_g1_i1	3.06524828128084	0.0101531109564749
83	TRINITY_DN135666_c0_g3_i1	0.767251058457194	0.0480031526571265
