gene	logFC
TRINITY_DN127464_c0_g2_i1	9.03560950106331
TRINITY_DN135864_c0_g11_i1	11.3141259827093
TRINITY_DN131242_c2_g2_i1	4.06954452527374
TRINITY_DN112907_c0_g1_i1	9.2535326587064
TRINITY_DN128967_c0_g4_i1	5.87534306998344
TRINITY_DN93628_c0_g1_i1	3.68071506352103
TRINITY_DN180950_c0_g1_i1	3.2785857410883
TRINITY_DN209985_c0_g1_i1	2.41357018029041
TRINITY_DN127464_c0_g7_i1	9.73905909289115
TRINITY_DN129733_c3_g5_i1	4.45492636338113
TRINITY_DN180929_c0_g1_i1	2.94016851945007
TRINITY_DN127055_c1_g5_i1	10.9769985088194
TRINITY_DN126986_c0_g1_i1	2.78469605144012
TRINITY_DN113348_c0_g3_i1	7.82898159517211
TRINITY_DN128130_c4_g11_i1	9.19052449182546
TRINITY_DN134625_c0_g1_i4	2.44925829458114
