gene	logFC	FDR
1	TRINITY_DN131077_c0_g9_i1	3.57411606981151	0.00246665408305818
2	TRINITY_DN127055_c1_g5_i1	8.86910882525998	8.61882657336554e-19
3	TRINITY_DN135864_c0_g11_i1	7.35123226677795	1.34185072484298e-34
4	TRINITY_DN79823_c0_g1_i1	9.33139845194093	8.84448689364116e-07
5	TRINITY_DN123655_c6_g3_i1	6.46956324541969	2.33373169168219e-05
6	TRINITY_DN119122_c0_g3_i1	9.96510107334184	0.000217195664661965
7	TRINITY_DN129733_c3_g5_i1	3.21445078652158	6.97863789912047e-07
8	TRINITY_DN113348_c0_g3_i1	6.65484118451792	1.54474945371915e-19
9	TRINITY_DN131565_c0_g8_i1	1.82715036496585	0.0153800454435501
10	TRINITY_DN135426_c4_g1_i1	3.49915562648774	0.000660907132566481
11	TRINITY_DN209985_c0_g1_i1	2.82554097875493	2.97485061067172e-05
12	TRINITY_DN131032_c0_g4_i1	2.28314708281632	0.00472944979716829
13	TRINITY_DN128124_c11_g2_i3	1.86084508713974	0.0148477213414735
14	TRINITY_DN142384_c0_g1_i1	1.87476271228071	0.0101095934380418
15	TRINITY_DN121041_c1_g3_i1	3.14247432654411	0.000129047467935447
16	TRINITY_DN127464_c0_g2_i1	9.48174045705437	2.65882891143849e-25
17	TRINITY_DN127464_c0_g7_i1	6.92848836828659	3.71598939631455e-24
18	TRINITY_DN126159_c0_g1_i2	1.37859550051122	0.0386185591796663
