gene	FDR	logFC
TRINITY_DN6060_c0_g2_i1	0.999875410745285	0.407108379707229
TRINITY_DN130708_c0_g1_i1	0.999875410745285	0.313702436675317
TRINITY_DN130442_c4_g1_i1	0.999875410745285	-0.0774828678900637
TRINITY_DN110445_c1_g1_i3	0.999875410745285	-0.233325699920787
TRINITY_DN130050_c7_g2_i1	0.999875410745285	-0.624222318100115
TRINITY_DN124379_c1_g1_i3	0.999875410745285	0.0317148264655792
TRINITY_DN131294_c5_g2_i10	0.999875410745285	-0.346780999401984
TRINITY_DN118062_c0_g1_i1	0.999875410745285	0.0984021385850178
TRINITY_DN135315_c3_g6_i1	0.00688059473516188	-3.59522394710156
TRINITY_DN131013_c0_g5_i1	0.999875410745285	0.00651766123908911
TRINITY_DN132741_c0_g3_i1	0.999875410745285	0.234605815683935
TRINITY_DN124825_c0_g3_i2	0.999875410745285	-0.0940781913543442
TRINITY_DN121924_c0_g2_i2	0.999875410745285	-0.0276854214229934
TRINITY_DN122445_c11_g2_i1	0.999875410745285	0.120601600370351
TRINITY_DN135185_c0_g4_i1	0.999875410745285	-0.0850405938316724
TRINITY_DN132613_c1_g1_i1	0.999875410745285	0.0395415288466015
TRINITY_DN132152_c3_g2_i3	0.999875410745285	0.00322647583931947
TRINITY_DN128939_c0_g4_i2	0.999875410745285	0.277752008627721
TRINITY_DN136589_c3_g3_i1	0.999875410745285	-0.0310952778693913
TRINITY_DN127852_c0_g2_i1	0.999875410745285	-0.334426389480807
TRINITY_DN127672_c1_g5_i2	0.999875410745285	0.0487227842644693
TRINITY_DN113363_c0_g1_i1	0.999875410745285	0.0185659639035111
TRINITY_DN134708_c12_g1_i1	0.999875410745285	-0.223160103200939
TRINITY_DN135638_c9_g1_i1	0.999875410745285	-0.692516208422199
TRINITY_DN132725_c0_g1_i1	0.999875410745285	0.226759762825297
TRINITY_DN126813_c2_g10_i1	0.999875410745285	-0.66530249551522
TRINITY_DN129445_c0_g1_i3	0.999875410745285	0.147398084942477
TRINITY_DN124809_c0_g2_i2	0.999875410745285	-0.179009212109973
TRINITY_DN124301_c1_g1_i1	0.999875410745285	-0.753254273347833
TRINITY_DN134751_c2_g1_i2	0.999875410745285	-0.184893493392915
TRINITY_DN133347_c5_g4_i2	0.999875410745285	0.446619107180257
TRINITY_DN134556_c6_g1_i1	0.999875410745285	-0.192331585604159
TRINITY_DN124217_c2_g4_i3	0.999875410745285	0.437620068823064
TRINITY_DN132363_c0_g1_i2	0.999875410745285	0.121097828368261
TRINITY_DN132822_c6_g2_i1	0.999875410745285	0.620980989343272
TRINITY_DN134386_c0_g3_i1	0.999875410745285	0.359672284846608
TRINITY_DN124935_c0_g2_i1	0.999875410745285	0.277585340458611
TRINITY_DN126163_c7_g4_i1	0.999875410745285	0.513886852688672
TRINITY_DN135599_c7_g1_i3	0.999875410745285	0.310657861744516
TRINITY_DN206266_c0_g1_i1	0.999875410745285	-0.0784976483997277
TRINITY_DN126198_c0_g1_i2	0.999875410745285	-0.404193916454303
TRINITY_DN123896_c1_g1_i2	0.999875410745285	0.38414973700752
TRINITY_DN111428_c0_g1_i1	0.999875410745285	-0.21918028060992
TRINITY_DN124436_c7_g2_i2	0.999875410745285	-0.418679846893668
TRINITY_DN7659_c0_g2_i1	0.999875410745285	0.924576450650369
TRINITY_DN126554_c3_g6_i2	0.999875410745285	0.539876747189566
TRINITY_DN134513_c2_g1_i2	0.999875410745285	0.182650099913318
TRINITY_DN122146_c0_g9_i1	0.999875410745285	0.657676669232157
TRINITY_DN136372_c3_g2_i1	0.999875410745285	-0.306162434315673
TRINITY_DN131092_c0_g1_i3	0.999875410745285	-0.138007676159138
TRINITY_DN131741_c0_g1_i1	0.999875410745285	-0.0708306516553681
TRINITY_DN120334_c0_g1_i4	0.999875410745285	0.054936444631235
TRINITY_DN98819_c0_g2_i1	0.999875410745285	-0.102355035178795
TRINITY_DN124248_c0_g3_i1	0.999875410745285	-0.164777447387047
TRINITY_DN128901_c2_g1_i7	0.999875410745285	-0.533474346923437
TRINITY_DN153256_c0_g1_i1	0.999875410745285	-1.06137240454349
TRINITY_DN125806_c6_g2_i1	0.999875410745285	0.297277389944675
TRINITY_DN131950_c2_g2_i2	0.999875410745285	-0.0324030956624857
TRINITY_DN115695_c0_g3_i3	0.999875410745285	-0.158132119087049
TRINITY_DN135505_c7_g1_i1	0.999875410745285	-0.369241067672636
TRINITY_DN131750_c1_g4_i1	0.999875410745285	0.0261581287791951
TRINITY_DN132868_c3_g1_i6	0.999875410745285	0.644827482279035
TRINITY_DN130441_c1_g1_i3	0.999875410745285	-0.396707661709802
TRINITY_DN115257_c0_g1_i2	0.999875410745285	0.611791519924789
TRINITY_DN126275_c0_g1_i5	0.999875410745285	0.233734252404615
TRINITY_DN117822_c0_g1_i1	0.999875410745285	-0.559580087346951
TRINITY_DN134394_c0_g1_i2	0.999875410745285	0.064373672138607
TRINITY_DN132235_c2_g2_i1	0.999875410745285	-0.958384865579873
TRINITY_DN129930_c1_g3_i2	0.999875410745285	-0.275148304036188
TRINITY_DN122787_c0_g1_i5	0.999875410745285	-0.0246248812180562
TRINITY_DN128973_c2_g5_i1	0.999875410745285	-0.0507689407703079
TRINITY_DN127479_c3_g1_i1	0.999875410745285	-0.13809151072231
TRINITY_DN132337_c1_g6_i2	0.999875410745285	-0.0136353471059028
TRINITY_DN126532_c2_g1_i11	0.999875410745285	0.157712565322368
TRINITY_DN120651_c0_g5_i1	0.999875410745285	0.673982808529005
TRINITY_DN124071_c0_g1_i1	0.999875410745285	0.556434611131662
TRINITY_DN135785_c0_g4_i1	0.999875410745285	0.546757123518076
TRINITY_DN114117_c0_g1_i3	0.999875410745285	-1.39163349955654
TRINITY_DN131937_c13_g1_i3	0.999875410745285	0.122844874380242
TRINITY_DN124529_c3_g1_i1	0.999875410745285	0.39237473685354
TRINITY_DN133074_c6_g1_i1	0.999875410745285	-0.947255497176563
TRINITY_DN42017_c0_g2_i1	0.999875410745285	0.0903396427774851
TRINITY_DN127572_c5_g1_i1	0.999875410745285	0.10412448715823
TRINITY_DN131685_c1_g1_i1	0.999875410745285	1.00303109774741
TRINITY_DN127464_c0_g4_i1	0.999875410745285	0.555582544385121
TRINITY_DN120613_c0_g1_i2	0.999875410745285	-0.110206640059239
TRINITY_DN120988_c0_g1_i1	0.999875410745285	0.994881123458948
TRINITY_DN130657_c0_g2_i1	0.999875410745285	-0.0256481939257224
TRINITY_DN95815_c0_g1_i1	0.999875410745285	-0.318417632441944
TRINITY_DN123184_c1_g2_i1	0.999875410745285	0.28392685420588
TRINITY_DN132489_c2_g2_i5	0.999875410745285	-0.842032911896429
TRINITY_DN130587_c0_g1_i1	0.999875410745285	0.644038331580334
TRINITY_DN122613_c2_g1_i1	0.999875410745285	-0.119754963738299
TRINITY_DN134659_c7_g1_i2	0.999875410745285	0.111355793364035
TRINITY_DN209551_c0_g1_i1	0.999875410745285	1.53237441764706
TRINITY_DN125690_c0_g1_i1	0.999875410745285	-0.110637470664758
TRINITY_DN129844_c2_g1_i9	0.999875410745285	0.184298932236277
TRINITY_DN122247_c0_g6_i1	0.999875410745285	1.09779645431082
TRINITY_DN130223_c0_g4_i1	0.999875410745285	0.507816286234919
TRINITY_DN130165_c0_g1_i1	0.999875410745285	0.794472482994602
TRINITY_DN107308_c0_g1_i1	0.999875410745285	-0.222361150926333
TRINITY_DN134655_c0_g1_i1	0.999875410745285	-0.20181812135085
TRINITY_DN134448_c0_g1_i2	0.999875410745285	-0.358742871475411
TRINITY_DN135454_c0_g9_i1	0.999875410745285	2.95541724855573
TRINITY_DN125929_c0_g1_i1	0.999875410745285	-0.0426145488675719
TRINITY_DN133361_c0_g10_i1	0.999875410745285	-0.30333279000221
TRINITY_DN153359_c0_g1_i1	0.999875410745285	-1.29303147851395
TRINITY_DN131974_c1_g5_i2	0.999875410745285	-0.068953781713109
TRINITY_DN131383_c2_g6_i2	0.999875410745285	0.384820103643797
TRINITY_DN126933_c3_g1_i3	0.999875410745285	0.425041229314242
TRINITY_DN122142_c0_g2_i2	0.999875410745285	1.02576707925677
TRINITY_DN114850_c0_g1_i1	0.999875410745285	-0.0352231869006287
TRINITY_DN127926_c0_g5_i10	0.999875410745285	-0.167650158438705
TRINITY_DN132442_c1_g1_i1	0.999875410745285	-0.3186325065866
TRINITY_DN130195_c3_g4_i1	0.999875410745285	-0.10867146887451
TRINITY_DN98304_c0_g1_i1	0.999875410745285	-0.563060642507637
TRINITY_DN131111_c0_g2_i2	0.999875410745285	-0.343711554585989
TRINITY_DN129548_c5_g1_i1	0.999875410745285	0.329506625083439
TRINITY_DN67289_c1_g1_i1	0.999875410745285	-0.225443973067589
TRINITY_DN208757_c0_g1_i1	0.999875410745285	0.441543631485244
TRINITY_DN129665_c1_g3_i1	0.999875410745285	1.10457620467122
TRINITY_DN131915_c0_g1_i1	0.999875410745285	-0.154115847079916
TRINITY_DN193345_c0_g1_i1	0.999875410745285	-0.330820285946338
TRINITY_DN132752_c0_g1_i1	0.999875410745285	0.34354120526224
TRINITY_DN130530_c0_g1_i2	0.999875410745285	0.210107825588451
TRINITY_DN129490_c1_g2_i2	0.999875410745285	-0.203862630681364
TRINITY_DN116529_c1_g1_i1	0.999875410745285	-0.622071742986936
TRINITY_DN125063_c1_g9_i1	0.999875410745285	0.774631836115333
TRINITY_DN129084_c8_g2_i1	0.999875410745285	0.45009744251733
