gene	logFC	FDR
1	TRINITY_DN129533_c4_g2_i3	3.31820636831573	0.0183480749045756
2	TRINITY_DN180950_c0_g1_i1	5.7315929855379	0.000660013608128431
3	TRINITY_DN142384_c0_g1_i1	2.1314056554119	0.04682840044053
4	TRINITY_DN128130_c4_g11_i1	9.1678468086193	2.04367423408876e-09
5	TRINITY_DN121490_c3_g1_i3	2.7467494738064	0.0120220792772833
6	TRINITY_DN121465_c5_g2_i1	7.91085993247873	3.55391075927298e-13
7	TRINITY_DN131565_c0_g5_i1	2.24757282015619	0.0391315166851542
8	TRINITY_DN133889_c1_g4_i7	3.17650572337689	0.00637443073687875
9	TRINITY_DN135864_c0_g11_i1	11.0253295835369	4.50362828296803e-19
10	TRINITY_DN133889_c1_g7_i1	2.85064491923406	0.0313826698616398
11	TRINITY_DN127464_c0_g2_i1	9.86490973897967	1.68729939673284e-11
12	TRINITY_DN119926_c0_g1_i1	2.931996685084	0.0248212447346783
13	TRINITY_DN130291_c2_g1_i1	3.61313189976634	0.000201945466097045
14	TRINITY_DN27210_c0_g1_i1	6.84587957201506	0.0014106054002473
15	TRINITY_DN127464_c0_g7_i1	9.88868964711185	1.00369357764075e-12
16	TRINITY_DN116044_c0_g1_i1	3.21245717463338	0.0482615938195733
17	TRINITY_DN127614_c0_g1_i2	3.78188060566357	0.0359747533108316
18	TRINITY_DN129733_c3_g5_i1	3.48985499840998	0.000260346426605348
19	TRINITY_DN129279_c4_g4_i1	5.34333743179783	1.4465654093157e-06
20	TRINITY_DN125925_c5_g1_i1	4.06826636194978	0.0317302108180884
21	TRINITY_DN113348_c0_g3_i1	7.53776316214089	4.3392930421817e-09
22	TRINITY_DN127436_c2_g1_i1	2.55593669596771	0.0343949449929372
23	TRINITY_DN116044_c0_g2_i1	3.02278227197974	0.0404493905318184
24	TRINITY_DN130234_c0_g4_i4	4.77736544142014	0.0257713013388612
25	TRINITY_DN134625_c0_g1_i4	4.98426061069918	0.000181054857345118
26	TRINITY_DN209985_c0_g1_i1	2.79308322285348	0.00688059473516188
27	TRINITY_DN127093_c0_g4_i1	9.68734611956198	3.71972401523292e-05
28	TRINITY_DN126159_c0_g1_i2	2.36354672620559	0.0472478185012575
29	TRINITY_DN124874_c1_g1_i1	2.16427580184468	0.0011667592208845
30	TRINITY_DN127055_c1_g5_i1	9.90443509138595	1.0733931477796e-12
