gene	logFC
TRINITY_DN126089_c1_g1_i2	-3.23637687611095
TRINITY_DN37225_c0_g1_i1	-10.3175600358066
TRINITY_DN126304_c1_g1_i1	-9.25866526007087
TRINITY_DN131435_c1_g4_i1	-3.47145304059385
TRINITY_DN134505_c1_g8_i1	-1.92092236364628
TRINITY_DN75302_c0_g2_i1	-3.30011592760868
TRINITY_DN106825_c0_g1_i1	-3.22744457364495
TRINITY_DN131626_c4_g3_i1	-3.51081537297569
TRINITY_DN126137_c6_g8_i3	-1.8430341320411
TRINITY_DN132156_c4_g2_i1	-2.00333628536955
TRINITY_DN131907_c0_g25_i6	-8.92641658544636
TRINITY_DN111831_c0_g2_i1	-3.92005385538248
TRINITY_DN133025_c0_g2_i6	-3.62516935909877
TRINITY_DN128966_c0_g1_i1	-2.43950374975345
TRINITY_DN124929_c0_g6_i1	-2.85258508219299
TRINITY_DN119005_c4_g1_i1	-2.284138394751
TRINITY_DN111328_c0_g1_i1	-6.92714764681393
TRINITY_DN130497_c4_g6_i3	-1.7091589081664
TRINITY_DN103720_c0_g1_i2	-1.99135862628895
TRINITY_DN128714_c1_g1_i1	-9.54830946529674
TRINITY_DN111790_c1_g2_i1	-3.4299059688975
TRINITY_DN127323_c0_g1_i9	-1.60778100728901
TRINITY_DN131071_c0_g1_i1	-2.41584921863935
TRINITY_DN108746_c0_g3_i1	-8.35000373824798
TRINITY_DN129342_c0_g1_i2	-2.44191002191566
TRINITY_DN43685_c0_g2_i1	-9.07942794866723
TRINITY_DN119556_c0_g11_i1	-8.4338177058269
TRINITY_DN121083_c0_g1_i2	-3.82693376414605
TRINITY_DN99021_c0_g2_i1	-10.7524043484582
