gene	FDR
TRINITY_DN126421_c2_g1_i1	1
TRINITY_DN127387_c0_g1_i2	0.409286363521911
TRINITY_DN131026_c3_g5_i2	0.446343305894259
TRINITY_DN129065_c4_g6_i1	0.532678328771212
TRINITY_DN127022_c2_g2_i2	0.788124324151744
TRINITY_DN96901_c0_g1_i1	0.536340370194463
TRINITY_DN130180_c1_g7_i9	0.774260816920939
TRINITY_DN120448_c1_g1_i3	0.00918770626222552
TRINITY_DN128780_c0_g1_i1	1
TRINITY_DN114358_c0_g2_i1	0.632487464549482
TRINITY_DN133551_c0_g1_i1	0.322008715952091
TRINITY_DN129746_c0_g2_i1	1
TRINITY_DN127265_c3_g3_i2	0.760328470537505
TRINITY_DN2318_c0_g1_i1	0.403035890302215
TRINITY_DN131463_c0_g1_i2	0.0587786903564258
TRINITY_DN113938_c0_g1_i1	0.22507789698605
TRINITY_DN133707_c3_g2_i2	0.85647486627587
TRINITY_DN121351_c0_g1_i1	0.586822253761002
TRINITY_DN123695_c0_g4_i2	0.914874520872855
TRINITY_DN122714_c15_g1_i1	1
TRINITY_DN102078_c0_g1_i1	1
TRINITY_DN130934_c0_g1_i1	1
TRINITY_DN123711_c0_g1_i1	1
TRINITY_DN136537_c1_g1_i1	0.145845446846561
TRINITY_DN71418_c0_g2_i1	0.849580726521058
TRINITY_DN124189_c0_g5_i1	0.168218895546102
TRINITY_DN133161_c1_g1_i12	0.811801122875094
TRINITY_DN46159_c0_g1_i1	0.167720424095534
TRINITY_DN132574_c2_g1_i2	0.988436414467277
TRINITY_DN135785_c0_g4_i1	0.7726445291306
TRINITY_DN9782_c0_g1_i1	0.437572160231189
TRINITY_DN103037_c0_g1_i1	0.363620315821712
TRINITY_DN113011_c0_g3_i1	0.0586792493123642
TRINITY_DN136374_c5_g4_i2	0.627796093388936
TRINITY_DN111143_c0_g1_i2	0.757786775127861
TRINITY_DN74683_c0_g1_i1	0.00322241497058316
TRINITY_DN125487_c0_g2_i2	1
TRINITY_DN132552_c1_g1_i4	1
TRINITY_DN124078_c1_g4_i1	0.995297175584766
TRINITY_DN118942_c0_g9_i1	0.539030567362595
TRINITY_DN115577_c1_g1_i1	0.511436027911417
TRINITY_DN120456_c0_g1_i1	1
TRINITY_DN135087_c10_g6_i1	0.0930785909386131
TRINITY_DN130950_c1_g1_i4	0.753872730611916
TRINITY_DN129483_c3_g3_i1	0.292060050477143
TRINITY_DN127771_c1_g4_i4	1
TRINITY_DN111029_c0_g1_i3	0.360378615211654
TRINITY_DN129483_c3_g2_i2	0.88901569128803
TRINITY_DN134572_c0_g3_i1	0.749156020817623
TRINITY_DN209657_c0_g1_i1	0.234197788759115
TRINITY_DN121352_c2_g1_i1	0.344492024830528
TRINITY_DN70496_c1_g1_i1	0.546423935825674
TRINITY_DN135749_c3_g3_i1	0.939595131088738
TRINITY_DN120255_c1_g1_i1	0.137218052446575
TRINITY_DN135832_c0_g1_i5	0.0658836908050031
TRINITY_DN110172_c1_g1_i1	0.186783305789569
TRINITY_DN125035_c3_g2_i1	0.898153524799473
TRINITY_DN127013_c6_g1_i2	1
TRINITY_DN37695_c0_g1_i1	0.545366638804271
TRINITY_DN135988_c4_g1_i1	0.435303134130161
TRINITY_DN129836_c0_g2_i1	0.000748992774836024
TRINITY_DN107751_c0_g1_i1	1
TRINITY_DN125523_c3_g3_i1	0.850846516336365
TRINITY_DN97717_c0_g2_i1	1
TRINITY_DN128113_c6_g2_i3	0.212513253843863
TRINITY_DN132560_c1_g8_i3	0.312587945077215
TRINITY_DN134583_c2_g1_i1	0.718290867507811
TRINITY_DN127261_c1_g2_i6	0.509661933569185
TRINITY_DN133511_c3_g1_i1	0.485614675837095
TRINITY_DN130260_c2_g1_i2	0.98885472806694
TRINITY_DN134995_c0_g1_i1	0.029782515334657
TRINITY_DN88677_c0_g3_i1	0.402005136708759
TRINITY_DN26896_c0_g2_i1	0.22728161519737
TRINITY_DN127822_c1_g5_i1	0.432454807703927
TRINITY_DN132433_c1_g3_i2	1
TRINITY_DN130221_c2_g6_i3	1
TRINITY_DN128155_c0_g1_i2	1
TRINITY_DN136021_c1_g2_i1	0.90087771434038
TRINITY_DN117503_c0_g2_i2	0.17010361344879
TRINITY_DN131679_c0_g1_i2	0.351624446545683
TRINITY_DN135829_c0_g1_i5	1
TRINITY_DN132014_c1_g4_i2	1
TRINITY_DN123460_c0_g1_i1	0.52647791652893
TRINITY_DN129347_c0_g6_i2	0.685290902687266
TRINITY_DN83795_c0_g1_i3	0.87331688457852
TRINITY_DN128344_c4_g1_i1	0.898153524799473
TRINITY_DN113801_c0_g1_i2	0.922659850064603
TRINITY_DN134432_c1_g1_i2	0.764839922688342
TRINITY_DN122121_c0_g3_i1	1
TRINITY_DN134025_c0_g1_i2	0.67900219637999
TRINITY_DN132047_c3_g1_i4	0.34390663278743
TRINITY_DN126501_c5_g3_i1	1
TRINITY_DN123436_c7_g2_i5	1
TRINITY_DN125840_c7_g1_i3	0.690817843852095
TRINITY_DN98355_c0_g2_i1	0.372660512672912
TRINITY_DN114634_c0_g1_i1	0.999012139121415
TRINITY_DN135508_c5_g1_i1	0.809248611627061
TRINITY_DN132981_c0_g2_i2	0.196836071399988
TRINITY_DN129616_c1_g2_i2	0.847734288737511
TRINITY_DN127160_c7_g1_i2	0.96080262865305
TRINITY_DN123049_c0_g4_i3	0.344913427405992
TRINITY_DN120708_c0_g1_i1	0.763130654330771
TRINITY_DN182232_c0_g1_i1	0.96020092529307
TRINITY_DN127867_c0_g2_i2	0.191233149484392
TRINITY_DN125014_c0_g1_i2	0.0775561648192296
TRINITY_DN132903_c2_g1_i4	0.639275605499427
TRINITY_DN128216_c3_g1_i1	0.638213648409798
TRINITY_DN130208_c5_g2_i3	0.180774659265862
TRINITY_DN133577_c1_g2_i1	0.199461641225037
TRINITY_DN135976_c1_g1_i1	0.596876844518307
TRINITY_DN121421_c0_g2_i1	0.394538462480089
TRINITY_DN93756_c0_g1_i1	7.34993377759175e-12
TRINITY_DN132158_c0_g1_i1	0.746820947688425
TRINITY_DN128194_c2_g2_i1	0.517043898100265
TRINITY_DN136119_c4_g5_i12	1
TRINITY_DN127525_c0_g1_i1	0.193166573764462
TRINITY_DN124154_c1_g1_i1	0.949738603768833
TRINITY_DN125252_c2_g2_i1	0.924024388825825
TRINITY_DN123817_c0_g1_i1	0.672345138680207
TRINITY_DN126357_c1_g1_i2	1
TRINITY_DN129121_c4_g2_i1	1
TRINITY_DN125399_c0_g1_i2	1
TRINITY_DN135090_c1_g1_i1	1
TRINITY_DN133320_c3_g2_i3	0.888286165771745
TRINITY_DN120457_c0_g1_i2	1
TRINITY_DN136091_c8_g2_i1	0.261741811736446
TRINITY_DN136314_c0_g1_i5	0.985712880005906
