gene	logFC
TRINITY_DN126421_c2_g1_i1	-3.42211064153562
TRINITY_DN128780_c0_g1_i1	-0.937420630788511
TRINITY_DN129746_c0_g2_i1	-3.02448608910746
TRINITY_DN122714_c15_g1_i1	-1.09282773521436
TRINITY_DN102078_c0_g1_i1	-1.10539083684002
TRINITY_DN130934_c0_g1_i1	-3.35023685396864
TRINITY_DN123711_c0_g1_i1	-0.967484350927219
TRINITY_DN125487_c0_g2_i2	-2.32400791459738
TRINITY_DN132552_c1_g1_i4	-1.46413722055039
TRINITY_DN120456_c0_g1_i1	-12.2567329036413
TRINITY_DN127771_c1_g4_i4	-1.26526059810118
TRINITY_DN127013_c6_g1_i2	-1.84560991218607
TRINITY_DN107751_c0_g1_i1	-1.12846772643686
TRINITY_DN97717_c0_g2_i1	-10.6973557328614
TRINITY_DN132433_c1_g3_i2	-3.05587933871996
TRINITY_DN130221_c2_g6_i3	-1.34528448414352
TRINITY_DN128155_c0_g1_i2	-0.895146818865115
TRINITY_DN135829_c0_g1_i5	-2.10576163155797
TRINITY_DN132014_c1_g4_i2	-1.62902640318573
TRINITY_DN122121_c0_g3_i1	-2.65322198237774
TRINITY_DN126501_c5_g3_i1	-0.766298543718691
TRINITY_DN123436_c7_g2_i5	-2.48737003840151
TRINITY_DN136119_c4_g5_i12	-1.33162743887861
TRINITY_DN126357_c1_g1_i2	-1.08954363642084
TRINITY_DN129121_c4_g2_i1	-1.19936925439331
TRINITY_DN125399_c0_g1_i2	-1.02236800914564
TRINITY_DN135090_c1_g1_i1	-1.84668099037858
TRINITY_DN120457_c0_g1_i2	-1.73936124230894
TRINITY_DN129806_c6_g1_i1	-1.03229475278112
TRINITY_DN126487_c0_g2_i2	-1.33503763931596
TRINITY_DN110230_c0_g1_i1	-1.26704339597172
TRINITY_DN127876_c3_g2_i2	-1.11544239820147
TRINITY_DN114649_c0_g1_i2	-1.55029037089225
TRINITY_DN126963_c1_g4_i2	-2.27592014735335
TRINITY_DN135439_c2_g1_i3	-1.7061679287995
TRINITY_DN125363_c4_g4_i4	-1.72726786095675
TRINITY_DN114945_c0_g2_i1	-1.90623552035415
TRINITY_DN135970_c0_g1_i2	-3.87892621602923
TRINITY_DN119970_c1_g2_i1	-1.54328113956411
TRINITY_DN124802_c6_g3_i1	-3.28267740871098
TRINITY_DN122469_c0_g1_i1	-2.40049570289197
TRINITY_DN126815_c0_g1_i5	-2.22607764293464
TRINITY_DN129986_c2_g2_i1	-2.05548596359238
TRINITY_DN126051_c1_g4_i2	-1.5777972152712
TRINITY_DN129273_c3_g1_i1	-1.03725305349989
TRINITY_DN126945_c0_g1_i2	-1.38973794355251
TRINITY_DN125176_c0_g1_i1	-1.10133374115164
TRINITY_DN125866_c5_g2_i2	-0.8892069413586
TRINITY_DN131160_c3_g1_i12	-2.05838582087844
TRINITY_DN83270_c0_g1_i1	-12.2267055499215
TRINITY_DN125696_c0_g1_i2	-0.830419699260904
TRINITY_DN124340_c1_g1_i4	-1.89458942670583
TRINITY_DN124818_c1_g1_i2	-1.14269288072389
TRINITY_DN84260_c0_g2_i1	-1.65907009158697
TRINITY_DN119040_c0_g1_i1	-1.69195646378784
TRINITY_DN117573_c0_g1_i2	-1.21033777124058
TRINITY_DN125330_c7_g1_i1	-1.41434245879159
TRINITY_DN133320_c3_g4_i2	-1.25483345322211
TRINITY_DN130378_c8_g3_i1	-3.41253065560342
TRINITY_DN132540_c1_g2_i1	-1.77365082578451
TRINITY_DN129115_c3_g1_i1	-1.14435479495578
TRINITY_DN135360_c8_g1_i2	-1.72202900184897
TRINITY_DN123639_c0_g1_i1	-0.86152528253413
TRINITY_DN109288_c0_g1_i1	-4.12242951049397
TRINITY_DN125629_c0_g2_i2	-1.99583351151512
TRINITY_DN114850_c0_g1_i1	-1.33415398641204
TRINITY_DN126089_c1_g1_i2	-6.72514160669367
TRINITY_DN126472_c2_g9_i2	-1.55797499711159
TRINITY_DN121480_c0_g1_i2	-1.24256873434795
TRINITY_DN118525_c2_g1_i1	-1.66937228706449
TRINITY_DN130422_c0_g2_i1	-1.10493909155287
TRINITY_DN127202_c3_g6_i1	-3.22173284316466
TRINITY_DN120594_c0_g1_i5	-2.20111278232069
TRINITY_DN121704_c7_g2_i1	-1.8482366902514
TRINITY_DN119936_c0_g1_i1	-0.924739417486095
TRINITY_DN109791_c0_g2_i1	-5.28255482053409
TRINITY_DN108436_c0_g1_i2	-1.38782102287184
TRINITY_DN132146_c0_g1_i1	-0.835070347506402
TRINITY_DN117189_c0_g2_i1	-1.2832783661442
TRINITY_DN129219_c5_g2_i5	-2.13646233627275
TRINITY_DN122597_c0_g1_i2	-3.80451276436336
TRINITY_DN130605_c0_g1_i4	-3.01752151719814
TRINITY_DN98334_c0_g1_i1	-6.80971779840276
TRINITY_DN125276_c0_g1_i7	-2.02764303313022
TRINITY_DN122337_c0_g1_i2	-4.027743922583
TRINITY_DN124133_c0_g2_i4	-1.93455520254028
TRINITY_DN131832_c0_g1_i2	-1.12941376711531
TRINITY_DN126533_c2_g4_i1	-0.961951868021348
TRINITY_DN109308_c0_g1_i1	-2.70791631150261
TRINITY_DN121548_c0_g1_i1	-10.8575718049764
TRINITY_DN132525_c0_g1_i2	-1.46951561954794
TRINITY_DN129702_c4_g2_i1	-2.00456120565592
TRINITY_DN136182_c0_g2_i3	-1.19466949728672
TRINITY_DN123099_c0_g1_i6	-1.53730366237154
TRINITY_DN104654_c0_g1_i1	-2.1062856074349
TRINITY_DN118275_c1_g1_i1	-1.09301757512351
TRINITY_DN129467_c0_g1_i1	-2.10410951384052
TRINITY_DN18341_c0_g1_i1	-1.43821577420141
TRINITY_DN131611_c1_g2_i2	-3.04579007547597
TRINITY_DN120766_c0_g2_i1	-1.62902562918949
TRINITY_DN135269_c8_g2_i2	-1.07857772746274
TRINITY_DN120868_c0_g2_i1	-2.64328822616817
TRINITY_DN111713_c0_g2_i1	-1.94097497090417
TRINITY_DN117665_c0_g2_i1	-2.08027632317876
TRINITY_DN106620_c0_g1_i1	-0.884477012427585
TRINITY_DN128047_c0_g2_i1	-4.46406084673876
TRINITY_DN136425_c0_g6_i1	-1.07420245913259
TRINITY_DN129170_c3_g6_i2	-2.29655148519053
TRINITY_DN125768_c2_g2_i1	-1.27268221516492
TRINITY_DN132667_c0_g6_i1	-1.60978028312578
TRINITY_DN48650_c0_g2_i1	-2.06190477304407
TRINITY_DN130418_c8_g2_i1	-1.23990003161721
TRINITY_DN128687_c0_g1_i2	-1.97431941657371
TRINITY_DN123795_c0_g1_i1	-1.99398524145758
TRINITY_DN129797_c1_g3_i1	-1.45882649645666
TRINITY_DN63832_c0_g1_i1	-4.05304199965197
TRINITY_DN98865_c0_g3_i1	-1.52323432774719
TRINITY_DN116899_c0_g1_i3	-1.71551853512156
TRINITY_DN113308_c0_g1_i2	-8.06376857232538
TRINITY_DN114033_c0_g1_i2	-7.23559725916559
TRINITY_DN110103_c0_g1_i1	-8.5756394088987
TRINITY_DN1127_c0_g2_i1	-1.77719450550325
TRINITY_DN97631_c0_g1_i2	-1.05301027867279
TRINITY_DN129183_c1_g1_i1	-0.899943677019503
TRINITY_DN134809_c0_g1_i1	-1.05733677817471
TRINITY_DN119494_c0_g1_i1	-9.02328793261339
TRINITY_DN135514_c0_g1_i1	-9.53176574628104
TRINITY_DN124410_c0_g4_i3	-2.41054087509564
TRINITY_DN134855_c0_g2_i1	-1.52838200242432
TRINITY_DN123557_c0_g2_i1	-2.2377095261975
TRINITY_DN136348_c3_g2_i4	-0.878817657427403
TRINITY_DN126177_c8_g1_i1	-5.95874150842396
TRINITY_DN113893_c0_g1_i1	-0.979932103564192
TRINITY_DN124202_c0_g1_i1	-1.9959305389788
TRINITY_DN151167_c0_g2_i1	-1.63499620881155
TRINITY_DN131777_c4_g4_i2	-0.848008358822437
TRINITY_DN118577_c0_g1_i1	-0.90145049680541
TRINITY_DN129120_c0_g5_i1	-1.27818875290537
TRINITY_DN136745_c34_g3_i2	-1.97657827991944
TRINITY_DN128534_c0_g1_i3	-0.884047928701524
TRINITY_DN128157_c0_g1_i3	-9.30495909773756
TRINITY_DN128684_c3_g2_i2	-1.05716395331777
TRINITY_DN123649_c5_g1_i1	-2.72739136747087
TRINITY_DN118439_c1_g2_i1	-1.78706177227308
TRINITY_DN131462_c0_g2_i1	-1.20236159606392
TRINITY_DN126245_c6_g1_i1	-2.83641420853452
TRINITY_DN118590_c0_g1_i1	-1.61269306752021
TRINITY_DN133588_c4_g3_i1	-2.18782566921163
TRINITY_DN113183_c0_g1_i2	-5.37495745240714
TRINITY_DN134164_c0_g2_i1	-1.2455521706825
TRINITY_DN122379_c0_g2_i1	-1.41570536136405
TRINITY_DN125698_c0_g1_i8	-3.04099603325781
TRINITY_DN135100_c1_g1_i8	-1.00191844287562
TRINITY_DN123377_c2_g3_i1	-1.10359129135765
TRINITY_DN126621_c0_g1_i1	-1.22745894129569
TRINITY_DN135189_c4_g1_i1	-5.02463706031312
TRINITY_DN134642_c6_g4_i1	-2.31454159692077
TRINITY_DN133212_c3_g3_i1	-1.9655637358109
TRINITY_DN124351_c0_g1_i8	-1.56213168901229
TRINITY_DN121372_c0_g1_i4	-1.17908545510896
TRINITY_DN120854_c0_g1_i3	-3.33705873954061
TRINITY_DN130905_c3_g2_i3	-0.927577453347903
TRINITY_DN131321_c4_g1_i7	-0.921658288889412
TRINITY_DN3025_c0_g1_i1	-3.89561416313943
TRINITY_DN112193_c0_g1_i1	-1.22469178261328
TRINITY_DN124404_c2_g1_i10	-2.04662037011691
TRINITY_DN122463_c7_g3_i2	-1.86668489705106
TRINITY_DN119637_c0_g1_i1	-1.49304807883904
TRINITY_DN128427_c0_g2_i2	-2.59358313027517
TRINITY_DN130393_c6_g2_i4	-8.50759527836751
TRINITY_DN127748_c2_g1_i4	-1.00063845347615
TRINITY_DN109077_c0_g1_i1	-2.8156642739164
TRINITY_DN126257_c0_g1_i1	-0.991570930427056
TRINITY_DN128113_c3_g3_i1	-1.63016580043054
TRINITY_DN136381_c0_g2_i1	-1.81039503896813
TRINITY_DN121815_c5_g2_i6	-2.23041440308594
TRINITY_DN134740_c0_g1_i1	-1.67084073822133
TRINITY_DN121771_c0_g1_i1	-1.01970825986699
TRINITY_DN132533_c5_g8_i3	-1.15402043209993
TRINITY_DN102894_c0_g1_i2	-14.9575064180422
TRINITY_DN124427_c8_g1_i1	-1.34809237426883
TRINITY_DN120000_c0_g1_i1	-1.84506891599903
TRINITY_DN131111_c0_g2_i2	-1.66373081332263
TRINITY_DN125025_c0_g1_i2	-6.49201365334968
TRINITY_DN125935_c1_g1_i2	-1.02765681200867
TRINITY_DN121931_c0_g1_i1	-3.03648735182816
TRINITY_DN117943_c0_g1_i3	-2.80138068788432
TRINITY_DN124280_c3_g2_i1	-2.5473049936199
TRINITY_DN132129_c1_g2_i2	-0.885706785264102
TRINITY_DN119705_c0_g1_i3	-1.02620436193414
TRINITY_DN101751_c0_g1_i1	-3.01117057253504
TRINITY_DN130677_c4_g1_i1	-2.08399037602728
TRINITY_DN131519_c3_g2_i3	-2.52289512297836
TRINITY_DN131079_c3_g2_i1	-3.83291131387725
TRINITY_DN129638_c0_g1_i3	-1.35943099508788
TRINITY_DN122606_c2_g1_i2	-0.972198675057235
TRINITY_DN126783_c1_g5_i3	-9.66833421222396
TRINITY_DN133268_c0_g3_i1	-2.130918056193
TRINITY_DN125052_c1_g2_i1	-2.05645888503721
TRINITY_DN129893_c3_g2_i4	-1.26051811442765
TRINITY_DN131823_c4_g5_i1	-1.3256740341579
TRINITY_DN123612_c2_g1_i1	-1.38449326262823
TRINITY_DN122373_c0_g2_i1	-4.72294594949877
TRINITY_DN121642_c2_g1_i3	-1.94913794255997
TRINITY_DN131630_c1_g1_i1	-3.18111021142711
TRINITY_DN121512_c0_g1_i1	-1.05015196667639
TRINITY_DN124959_c2_g1_i1	-1.06138323339277
TRINITY_DN125045_c0_g1_i2	-1.16716654605395
TRINITY_DN135315_c2_g1_i1	-11.8243614364727
TRINITY_DN115380_c0_g1_i1	-1.95607335039272
TRINITY_DN130027_c1_g1_i2	-1.14338760987789
TRINITY_DN134566_c2_g1_i1	-2.28245841819488
TRINITY_DN121296_c0_g2_i1	-1.07760483218306
TRINITY_DN135036_c1_g4_i1	-1.49392750587859
TRINITY_DN122708_c1_g6_i3	-2.30993066176874
TRINITY_DN118842_c0_g1_i2	-4.3205346815503
TRINITY_DN125355_c0_g1_i1	-0.916572506520664
TRINITY_DN123442_c0_g2_i1	-1.29866344070416
TRINITY_DN130961_c1_g4_i1	-2.06545390476861
TRINITY_DN128972_c3_g1_i2	-2.08898247412254
TRINITY_DN117547_c0_g1_i2	-1.06477991012655
TRINITY_DN132197_c4_g12_i2	-1.86627312275368
TRINITY_DN129027_c1_g2_i4	-1.29854774351912
TRINITY_DN107449_c0_g1_i2	-0.873437726038763
TRINITY_DN123427_c1_g1_i1	-4.02880846356975
TRINITY_DN127037_c0_g1_i1	-1.62571582900844
TRINITY_DN135139_c4_g1_i2	-0.837961561405135
TRINITY_DN116815_c0_g2_i2	-5.14920727580718
TRINITY_DN131600_c6_g13_i2	-2.38219840006325
TRINITY_DN117125_c0_g1_i1	-8.37070650227506
TRINITY_DN134491_c3_g1_i1	-1.7418693284052
TRINITY_DN123674_c0_g1_i5	-1.74976832334739
TRINITY_DN104751_c0_g1_i2	-1.47058043984609
TRINITY_DN136615_c4_g4_i1	-1.3953930328509
TRINITY_DN127842_c2_g1_i2	-1.75829402946893
TRINITY_DN130310_c4_g1_i2	-1.35087262764919
TRINITY_DN126225_c0_g3_i2	-1.11357983608117
TRINITY_DN130614_c2_g1_i1	-2.54829558299337
TRINITY_DN115461_c0_g1_i2	-1.47251427653437
TRINITY_DN126345_c5_g2_i1	-1.8842088082056
TRINITY_DN122146_c0_g6_i1	-1.50989803237615
TRINITY_DN126536_c4_g2_i2	-2.19030008808724
TRINITY_DN69456_c0_g1_i2	-12.0873626977936
TRINITY_DN127848_c6_g1_i1	-1.07163395151442
TRINITY_DN127814_c1_g1_i1	-2.81619421210588
TRINITY_DN119394_c0_g1_i1	-2.88748378058426
TRINITY_DN129618_c2_g1_i1	-2.12712177081227
TRINITY_DN126319_c1_g1_i2	-1.67913475732617
TRINITY_DN132389_c3_g13_i2	-1.86680247768958
TRINITY_DN128829_c2_g1_i2	-1.19331040922334
TRINITY_DN115118_c0_g1_i1	-2.41252875485173
TRINITY_DN135364_c0_g4_i2	-2.55449740603757
TRINITY_DN127952_c0_g1_i2	-1.89692249557676
TRINITY_DN130143_c0_g1_i2	-1.30823421570295
TRINITY_DN126078_c0_g1_i1	-13.6864670544407
TRINITY_DN135230_c0_g1_i5	-7.05324082916535
TRINITY_DN136529_c1_g2_i1	-5.44935622594356
TRINITY_DN132917_c3_g1_i2	-2.23416830705422
TRINITY_DN96270_c0_g1_i1	-0.881943291394129
TRINITY_DN124650_c4_g3_i2	-1.73429749354598
TRINITY_DN134088_c4_g4_i1	-1.36939797020456
TRINITY_DN129656_c4_g3_i2	-1.06787161218512
TRINITY_DN136221_c4_g1_i1	-1.1239966958552
TRINITY_DN129774_c0_g2_i2	-1.07269564547488
TRINITY_DN124117_c6_g4_i3	-0.899923305680031
TRINITY_DN134800_c12_g7_i1	-3.39884030244121
TRINITY_DN133533_c1_g1_i4	-1.22345407106722
TRINITY_DN121488_c3_g6_i1	-3.64410640769531
TRINITY_DN115561_c0_g1_i1	-0.897103582771874
TRINITY_DN129987_c0_g1_i1	-1.66984581780386
TRINITY_DN13815_c0_g2_i1	-2.16714158362906
TRINITY_DN130057_c11_g2_i3	-3.87293293384093
TRINITY_DN130709_c0_g1_i3	-0.822951758347141
TRINITY_DN130794_c4_g14_i1	-4.2604717021022
TRINITY_DN131766_c7_g1_i1	-2.24853077309831
TRINITY_DN126648_c0_g2_i1	-1.15039373756504
TRINITY_DN111861_c0_g1_i1	-1.35389742646662
TRINITY_DN134002_c4_g7_i3	-0.962878440742471
TRINITY_DN115672_c0_g1_i2	-1.35584202637202
TRINITY_DN129466_c1_g3_i1	-3.76012433558863
TRINITY_DN125546_c0_g2_i2	-2.69173720763878
TRINITY_DN71292_c0_g1_i1	-1.03078135062006
TRINITY_DN92528_c0_g1_i2	-2.11882739441712
TRINITY_DN129466_c1_g2_i3	-7.31699385773731
TRINITY_DN109646_c1_g1_i3	-4.42502135896648
TRINITY_DN122666_c5_g2_i1	-1.25957592665407
TRINITY_DN130955_c0_g1_i1	-5.62965564354761
TRINITY_DN129335_c9_g1_i1	-1.4660556641924
TRINITY_DN131869_c0_g3_i1	-2.50136165086963
TRINITY_DN129165_c2_g1_i1	-2.15863080372653
TRINITY_DN120797_c1_g4_i1	-0.828017153608049
TRINITY_DN126847_c0_g1_i3	-1.78267765761321
TRINITY_DN121209_c1_g1_i1	-3.03282620173413
TRINITY_DN124831_c8_g3_i6	-1.59343681159139
TRINITY_DN92751_c0_g1_i1	-2.25274693780714
TRINITY_DN114777_c0_g1_i1	-1.01003345384884
TRINITY_DN119779_c0_g2_i3	-2.56795405505294
TRINITY_DN107990_c0_g1_i1	-0.815439852561312
TRINITY_DN135461_c7_g4_i1	-1.0058585202118
TRINITY_DN125663_c7_g4_i1	-1.03469048802157
TRINITY_DN132885_c0_g3_i1	-1.6301644865643
TRINITY_DN114964_c0_g1_i1	-1.03166821222252
TRINITY_DN125445_c4_g5_i1	-2.87958732251987
TRINITY_DN134813_c1_g1_i1	-1.95136050054721
TRINITY_DN44076_c0_g2_i1	-2.03517350335725
TRINITY_DN130870_c3_g1_i2	-1.28467980491138
