gene	logFC	FDR
1	TRINITY_DN74683_c0_g1_i1	2.4450880286923	0.0449934522363337
2	TRINITY_DN129836_c0_g2_i1	1.57602112266542	0.0116790741284758
3	TRINITY_DN134995_c0_g1_i1	1.75147768038744	0.00334726874720933
4	TRINITY_DN93756_c0_g1_i1	8.7274946465509	3.2429384218551e-09
5	TRINITY_DN133889_c1_g1_i1	2.3053777627792	0.0256876082534421
6	TRINITY_DN105372_c0_g1_i1	1.26799295504505	0.0137906883203573
7	TRINITY_DN125594_c3_g4_i2	1.51525912303134	0.0487404861634905
8	TRINITY_DN121052_c0_g1_i2	1.58415642006599	0.0252389538672812
9	TRINITY_DN124664_c0_g1_i1	1.78673335266575	0.0393825154531025
10	TRINITY_DN123549_c0_g1_i2	1.66537337567005	0.0272963280299512
11	TRINITY_DN119624_c1_g1_i2	1.41497539166747	0.0436656001431203
12	TRINITY_DN136119_c4_g13_i9	1.21368555765447	0.0498979516945571
13	TRINITY_DN131236_c0_g1_i1	2.15549066344275	0.000302377909310439
14	TRINITY_DN102367_c0_g1_i2	1.800189152348	0.0425183152146173
15	TRINITY_DN132745_c0_g3_i2	1.46857475119443	0.00728294370921007
16	TRINITY_DN132151_c0_g1_i1	2.11494317987864	0.0211439320236687
17	TRINITY_DN131607_c2_g2_i8	1.48141476771523	0.0238518948350625
18	TRINITY_DN131756_c6_g1_i1	3.39133722505306	0.000129317962501918
19	TRINITY_DN121192_c0_g1_i1	1.31610619196085	0.0137055817386297
20	TRINITY_DN132348_c2_g2_i2	1.44291542020559	0.0377271192633279
21	TRINITY_DN126131_c2_g4_i4	2.08831676334439	0.0392413268292697
22	TRINITY_DN133960_c2_g1_i1	1.78054151955508	0.0316161620172078
23	TRINITY_DN121675_c2_g1_i3	1.56120825312402	0.0291773973062262
24	TRINITY_DN133266_c1_g2_i8	1.33974955887258	0.028238194305893
25	TRINITY_DN37225_c0_g1_i1	10.3175600358066	8.11878842607656e-12
26	TRINITY_DN123074_c1_g1_i1	1.8167861855965	0.0132874542323923
27	TRINITY_DN135336_c6_g3_i3	2.1844558748383	0.00610652713390609
28	TRINITY_DN113773_c0_g1_i1	2.39103831869975	0.016364261016207
29	TRINITY_DN129039_c0_g1_i1	1.67139821867769	0.0449898851576221
30	TRINITY_DN126777_c3_g1_i1	1.58481216095515	0.0353502145527037
31	TRINITY_DN132087_c0_g1_i2	2.32639159865525	0.000130119294757297
32	TRINITY_DN132634_c5_g2_i2	1.31181562217939	0.0312844667480802
33	TRINITY_DN128912_c6_g1_i1	2.68840122932246	0.00665857145698164
34	TRINITY_DN133908_c1_g1_i4	2.31457062325728	0.044999753645552
35	TRINITY_DN128988_c1_g1_i4	1.63842323198274	0.0219206155684604
36	TRINITY_DN134053_c4_g1_i1	2.61774668138929	5.96453763787138e-07
37	TRINITY_DN105993_c0_g1_i1	4.84976758882579	0.0149628454616404
