gene	logFC	FDR
1	TRINITY_DN126421_c2_g1_i1	-0.132215853545308	1
2	TRINITY_DN127387_c0_g1_i2	-0.231179853043462	1
3	TRINITY_DN131026_c3_g5_i2	0.138168243902287	1
4	TRINITY_DN129065_c4_g6_i1	-0.524277001342063	1
5	TRINITY_DN127022_c2_g2_i2	-0.0572723724795497	1
6	TRINITY_DN96901_c0_g1_i1	-0.163461244203654	1
7	TRINITY_DN130180_c1_g7_i9	0.213590242686542	1
8	TRINITY_DN120448_c1_g1_i3	1.37274747570268	1
9	TRINITY_DN128780_c0_g1_i1	0.0239635973841961	1
10	TRINITY_DN114358_c0_g2_i1	0.376007046529347	1
11	TRINITY_DN133551_c0_g1_i1	0.0264545102321597	1
12	TRINITY_DN129746_c0_g2_i1	0.0800912351306219	1
13	TRINITY_DN127265_c3_g3_i2	-0.171720495212899	1
14	TRINITY_DN2318_c0_g1_i1	-0.0877132037093088	1
15	TRINITY_DN131463_c0_g1_i2	-0.0212582646944891	1
16	TRINITY_DN113938_c0_g1_i1	1.47864786515766	1
17	TRINITY_DN133707_c3_g2_i2	0.0150567829423535	1
18	TRINITY_DN121351_c0_g1_i1	-0.101111955266314	1
19	TRINITY_DN123695_c0_g4_i2	0.20614643251346	1
20	TRINITY_DN122714_c15_g1_i1	-0.0645723177706722	1
21	TRINITY_DN102078_c0_g1_i1	0.1005518629306	1
22	TRINITY_DN130934_c0_g1_i1	0.667063434601721	1
23	TRINITY_DN123711_c0_g1_i1	-0.147841245251043	1
24	TRINITY_DN136537_c1_g1_i1	-0.00349421979598742	1
25	TRINITY_DN71418_c0_g2_i1	-0.644706770824736	1
26	TRINITY_DN124189_c0_g5_i1	0.359623434202731	1
27	TRINITY_DN133161_c1_g1_i12	0.374649198321746	1
28	TRINITY_DN46159_c0_g1_i1	0.547555012647784	1
29	TRINITY_DN132574_c2_g1_i2	0.0491542643704861	1
30	TRINITY_DN135785_c0_g4_i1	-0.737747592975279	1
31	TRINITY_DN9782_c0_g1_i1	-0.25423919013268	1
32	TRINITY_DN103037_c0_g1_i1	1.87544490808503	1
33	TRINITY_DN113011_c0_g3_i1	0.652265654581729	1
34	TRINITY_DN136374_c5_g4_i2	0.275809960546916	1
35	TRINITY_DN111143_c0_g1_i2	0.586007665845219	1
36	TRINITY_DN74683_c0_g1_i1	0.227788513599643	1
37	TRINITY_DN125487_c0_g2_i2	-0.117732556510039	1
38	TRINITY_DN132552_c1_g1_i4	0.475465449928974	1
39	TRINITY_DN124078_c1_g4_i1	0.615004280307766	1
40	TRINITY_DN118942_c0_g9_i1	-0.510169652773706	1
41	TRINITY_DN115577_c1_g1_i1	-0.10621696674288	1
42	TRINITY_DN120456_c0_g1_i1	-0.988724876280272	1
43	TRINITY_DN135087_c10_g6_i1	0.0966202102721326	1
44	TRINITY_DN130950_c1_g1_i4	-0.00724885768514841	1
45	TRINITY_DN129483_c3_g3_i1	-0.279221620443167	1
46	TRINITY_DN127771_c1_g4_i4	-0.175742395030013	1
47	TRINITY_DN111029_c0_g1_i3	-0.605837137812625	1
48	TRINITY_DN129483_c3_g2_i2	-0.284231382523295	1
