gene	logFC	FDR
1	TRINITY_DN127387_c0_g1_i2	0.545850996877084	0.407185909233398
2	TRINITY_DN131026_c3_g5_i2	0.411028290533898	0.442803121411796
3	TRINITY_DN129065_c4_g6_i1	0.354330610705132	0.531626670654965
4	TRINITY_DN127022_c2_g2_i2	-0.139514921391589	0.787388796235568
5	TRINITY_DN96901_c0_g1_i1	0.582198917844332	0.527235057285884
6	TRINITY_DN130180_c1_g7_i9	0.186628504983496	0.772918100346561
7	TRINITY_DN114358_c0_g2_i1	-0.395576760359684	0.62543291337081
8	TRINITY_DN133551_c0_g1_i1	-0.584564570892746	0.31918393607191
9	TRINITY_DN127265_c3_g3_i2	-0.225715518479696	0.757686096048639
10	TRINITY_DN2318_c0_g1_i1	0.801706420440981	0.389883653895214
11	TRINITY_DN131463_c0_g1_i2	-0.749328248769027	0.0586664715911956
12	TRINITY_DN113938_c0_g1_i1	0.928576063086073	0.215759105768316
13	TRINITY_DN133707_c3_g2_i2	-0.180012776484813	0.852501776161479
14	TRINITY_DN121351_c0_g1_i1	-0.277233265934219	0.585491487645705
15	TRINITY_DN123695_c0_g4_i2	-0.0983970174152772	0.913873055547515
16	TRINITY_DN136537_c1_g1_i1	-0.966014063850062	0.141961859104
17	TRINITY_DN71418_c0_g2_i1	0.211856244842863	0.845682432392092
18	TRINITY_DN124189_c0_g5_i1	-0.650406597127319	0.167545069674172
19	TRINITY_DN133161_c1_g1_i12	-0.15069902957903	0.810168151276506
20	TRINITY_DN46159_c0_g1_i1	0.851647545793215	0.163419553921008
21	TRINITY_DN132574_c2_g1_i2	-0.0113718923898446	0.988203419921684
22	TRINITY_DN135785_c0_g4_i1	0.29708035634339	0.767139702522931
23	TRINITY_DN9782_c0_g1_i1	0.664776255907194	0.429795332966662
24	TRINITY_DN103037_c0_g1_i1	-1.09963555889449	0.357545697227115
25	TRINITY_DN113011_c0_g3_i1	1.5090340557623	0.0525023810637299
26	TRINITY_DN136374_c5_g4_i2	0.371051582733601	0.623513646267876
27	TRINITY_DN111143_c0_g1_i2	0.262261819519385	0.75674906530746
28	TRINITY_DN124078_c1_g4_i1	0.00597793339129165	0.995164486461006
29	TRINITY_DN118942_c0_g9_i1	0.587135987540106	0.532941163187278
30	TRINITY_DN115577_c1_g1_i1	0.376782314932204	0.50825819704307
31	TRINITY_DN135087_c10_g6_i1	1.39962917600982	0.0927529074416288
32	TRINITY_DN130950_c1_g1_i4	0.190996568651758	0.753474977911006
33	TRINITY_DN129483_c3_g3_i1	1.01592842076971	0.280735256496447
34	TRINITY_DN111029_c0_g1_i3	-1.08803863499403	0.356491555007888
35	TRINITY_DN129483_c3_g2_i2	0.133954937340285	0.887696845860223
36	TRINITY_DN134572_c0_g3_i1	0.242163444562279	0.746565647959745
37	TRINITY_DN209657_c0_g1_i1	0.626957942960163	0.232225979569585
38	TRINITY_DN121352_c2_g1_i1	0.639436780177771	0.340993316398363
39	TRINITY_DN70496_c1_g1_i1	0.395427705700301	0.541344731170803
40	TRINITY_DN135749_c3_g3_i1	0.0548619185707486	0.939204926297592
41	TRINITY_DN120255_c1_g1_i1	0.691941277958216	0.13709863993782
42	TRINITY_DN135832_c0_g1_i5	0.809090859271583	0.0659961432001872
43	TRINITY_DN110172_c1_g1_i1	-0.693109580697751	0.18475613204613
44	TRINITY_DN125035_c3_g2_i1	0.0880698477639667	0.897254501834709
45	TRINITY_DN37695_c0_g1_i1	0.397126740584914	0.540691300521159
46	TRINITY_DN135988_c4_g1_i1	0.470177407207132	0.43209314786568
47	TRINITY_DN125523_c3_g3_i1	0.165024125268098	0.848771978523476
48	TRINITY_DN128113_c6_g2_i3	0.981184642732038	0.211658871367906
49	TRINITY_DN132560_c1_g8_i3	0.601746443408407	0.311052086376452
50	TRINITY_DN134583_c2_g1_i1	0.182986917959739	0.717797154861115
51	TRINITY_DN127261_c1_g2_i6	0.376153727209811	0.506501960550152
