gene	logFC	FDR
1	TRINITY_DN113202_c0_g1_i1	1.86926329346839	0.0231378274901276
2	TRINITY_DN132067_c0_g1_i6	1.27419202962544	0.0125073663455502
3	TRINITY_DN131507_c1_g1_i1	8.29211105764566	8.58395207641159e-09
4	TRINITY_DN59305_c0_g1_i1	1.55197579571641	0.04750484435902
5	TRINITY_DN123704_c2_g4_i2	4.38959762734106	5.53074925873225e-06
6	TRINITY_DN134398_c2_g2_i2	1.73999193590986	0.00286557244175381
7	TRINITY_DN117920_c0_g1_i5	2.44137636592499	0.000392259789801049
8	TRINITY_DN136241_c3_g1_i3	1.37939873665055	0.0285445900140981
9	TRINITY_DN87581_c0_g1_i1	2.49014070177486	0.00633698468736264
10	TRINITY_DN126104_c3_g4_i3	1.50659666413085	0.049666485689245
11	TRINITY_DN159788_c0_g1_i1	1.40875297587918	0.0398447326001645
12	TRINITY_DN122892_c0_g1_i1	3.15282281213608	0.00066841316157652
13	TRINITY_DN127904_c4_g1_i1	2.62123795646633	0.000201865777771962
14	TRINITY_DN128065_c4_g6_i1	1.16176348418545	0.0432101614031272
15	TRINITY_DN100376_c0_g3_i1	1.33815849140757	0.0196413674617945
16	TRINITY_DN120237_c0_g2_i1	1.76868981644795	0.00752930113827015
17	TRINITY_DN116300_c0_g1_i1	2.38208477243903	0.0368866786034987
18	TRINITY_DN114003_c0_g1_i1	1.75345025244943	0.0149842698976788
19	TRINITY_DN120232_c0_g1_i1	1.70996626785433	0.0264415009699295
20	TRINITY_DN93825_c0_g1_i2	2.90417481721114	0.0108739639229528
21	TRINITY_DN129489_c0_g1_i5	2.67735268948605	0.0129398090425762
22	TRINITY_DN129430_c0_g1_i1	2.83685914722429	0.00017567700980571
23	TRINITY_DN112720_c0_g1_i1	2.04544267210341	0.0117901360819609
24	TRINITY_DN125819_c0_g7_i4	1.67196558607043	0.00177930136794059
25	TRINITY_DN125191_c7_g1_i1	1.75103470775954	0.028687697761804
26	TRINITY_DN131896_c3_g1_i2	1.31822668045587	0.0466448009055339
27	TRINITY_DN132129_c0_g1_i2	1.51093954176536	0.0110188992351546
28	TRINITY_DN127236_c4_g6_i1	3.69390794466466	0.0129398090425762
29	TRINITY_DN131771_c1_g1_i2	1.32617554411049	0.0108468997607516
30	TRINITY_DN135638_c10_g1_i1	1.57808710281411	0.0370281234644414
31	TRINITY_DN122018_c0_g2_i1	2.03302997969135	0.006672706628126
32	TRINITY_DN129698_c3_g1_i2	1.78445892888813	0.0110188992351546
33	TRINITY_DN124548_c3_g1_i1	1.26869040677781	0.0431911386445626
34	TRINITY_DN128547_c9_g1_i2	1.81593030833349	0.0227172194524432
35	TRINITY_DN121831_c0_g1_i1	2.77194226636096	5.13066279523018e-05
36	TRINITY_DN121659_c3_g1_i2	1.54793777385348	0.00633698468736264
37	TRINITY_DN124874_c1_g1_i1	2.82494080104698	0.00370087173043276
38	TRINITY_DN130675_c0_g1_i3	1.43166419703613	0.0236745225885933
39	TRINITY_DN130008_c0_g2_i4	1.9785633791139	1.34859720109852e-05
40	TRINITY_DN130177_c4_g1_i1	3.47394059399572	6.71899383252361e-07
41	TRINITY_DN131144_c0_g5_i1	1.63222275394409	0.0202945413348689
42	TRINITY_DN119358_c1_g2_i4	1.33536467201517	0.042699090520823
43	TRINITY_DN115622_c0_g2_i1	1.84013331020141	0.00166858635249539
44	TRINITY_DN93628_c0_g1_i1	1.60802449185411	0.0209660828857904
45	TRINITY_DN124922_c6_g7_i1	1.51968430340672	0.02277443735539
46	TRINITY_DN132137_c3_g3_i1	1.70915122456714	0.00203503168529732
47	TRINITY_DN119671_c0_g2_i1	1.66506386337704	0.0209660828857904
48	TRINITY_DN130953_c3_g3_i1	1.28869396698129	0.0497313895244002
49	TRINITY_DN124971_c4_g3_i1	1.64959678672112	0.0323839265859387
50	TRINITY_DN109189_c0_g1_i1	2.13569486688248	0.0379637746462337
51	TRINITY_DN111143_c0_g1_i2	1.34620250586172	0.00947237422061039
52	TRINITY_DN118885_c0_g1_i1	1.22049670443018	0.0398447326001645
53	TRINITY_DN131738_c0_g7_i11	1.48089235679789	0.0243109803292357
54	TRINITY_DN133911_c4_g9_i1	1.23003060044102	0.0153684988649023
55	TRINITY_DN118037_c0_g1_i1	1.62718937611871	0.0367626822871057
56	TRINITY_DN123723_c1_g1_i1	1.31676247803548	0.0412711118000515
57	TRINITY_DN130050_c8_g5_i3	1.5278615299881	0.00476917888988715
58	TRINITY_DN127460_c5_g2_i1	1.28224259743439	0.00939778233810101
59	TRINITY_DN116909_c0_g1_i3	1.93383267227707	0.0367626822871057
60	TRINITY_DN129860_c0_g3_i1	1.32271568886159	0.0206652151796433
61	TRINITY_DN123466_c0_g1_i2	2.82682041219143	0.00812608061311466
62	TRINITY_DN132978_c0_g1_i2	2.55636253216689	0.00215117067768144
63	TRINITY_DN112525_c0_g1_i1	2.16133450243661	0.0116752532242434
64	TRINITY_DN124380_c13_g1_i1	4.20553692405729	0.0397987001974945
65	TRINITY_DN130291_c2_g1_i1	3.90085577113231	1.06923049778376e-06
66	TRINITY_DN129251_c2_g1_i5	1.69612221338415	0.0152937491847776
67	TRINITY_DN119631_c0_g1_i1	1.51033448926764	0.00560189019930662
68	TRINITY_DN131346_c3_g1_i2	2.2822200944573	0.0178039888210354
69	TRINITY_DN131144_c0_g3_i1	1.74087589477167	0.0286220732962803
70	TRINITY_DN130362_c0_g1_i1	1.28985995590111	0.0444409221457399
71	TRINITY_DN133763_c2_g2_i1	1.82762086622271	0.0100096087986042
72	TRINITY_DN130699_c6_g2_i2	1.35443405384864	0.017079503401674
73	TRINITY_DN124990_c0_g3_i2	1.27913071552603	0.0435638913021247
74	TRINITY_DN122349_c0_g1_i2	1.44192282128022	0.0435638913021247
75	TRINITY_DN128940_c2_g1_i1	4.62518616323151	4.00708707103061e-10
76	TRINITY_DN142384_c0_g1_i1	2.57025668388188	8.62867294894524e-05
77	TRINITY_DN119647_c0_g2_i1	1.90909779121141	0.0401041258366914
78	TRINITY_DN117521_c0_g1_i1	3.19601030439349	0.0375514878513185
79	TRINITY_DN193423_c0_g1_i1	1.25753856760723	0.0389175156119719
80	TRINITY_DN135864_c0_g11_i1	10.0584123126786	3.77857405040957e-29
81	TRINITY_DN130045_c0_g3_i2	1.99097688227041	0.00794737949921105
82	TRINITY_DN133317_c0_g2_i7	1.68184942288501	0.00812608061311466
83	TRINITY_DN129354_c0_g1_i2	3.79998263867059	9.02336981213012e-06
84	TRINITY_DN121044_c0_g1_i1	3.42260611431199	4.34129950946773e-07
85	TRINITY_DN134012_c5_g2_i1	5.1185670056013	3.55026103849383e-13
86	TRINITY_DN121821_c2_g2_i4	1.84435951398692	0.034719330604074
87	TRINITY_DN130651_c1_g2_i1	3.5333891136008	0.0370514312212148
88	TRINITY_DN130095_c2_g1_i1	1.8383771769554	0.000457742507563598
89	TRINITY_DN122195_c3_g2_i1	1.31597102988062	0.0318291267911247
90	TRINITY_DN44500_c0_g1_i1	1.40291146617738	0.0214886833711035
91	TRINITY_DN132176_c6_g1_i1	1.55777966652724	0.00348076179220548
92	TRINITY_DN133435_c0_g5_i1	2.45209498444881	0.00442365880390887
93	TRINITY_DN113348_c0_g3_i1	5.37252151553881	1.90237568689218e-14
94	TRINITY_DN129964_c1_g5_i2	2.5487439665258	0.00503685471919168
95	TRINITY_DN96922_c0_g1_i1	1.33424760306444	0.0110920968141442
96	TRINITY_DN179330_c0_g1_i1	5.41517957646091	0.000113612736695474
97	TRINITY_DN124234_c1_g3_i1	1.46343285562177	0.0372712313876775
98	TRINITY_DN96852_c0_g2_i1	2.65224353186499	0.0367635808951077
99	TRINITY_DN132293_c0_g2_i1	1.45302173306196	0.0379550629665504
100	TRINITY_DN126089_c1_g1_i2	5.70430539181783	0.000277445267407823
