gene	logFC	FDR
1	TRINITY_DN127323_c0_g1_i9	-1.60796298309795	0.0267780827656732
2	TRINITY_DN121083_c0_g1_i2	-3.82697239821492	1.4553090963286e-08
3	TRINITY_DN131071_c0_g1_i1	-2.41599506507446	0.0245236319022688
4	TRINITY_DN132156_c4_g2_i1	-2.00343283213411	0.0466427211803426
5	TRINITY_DN119005_c4_g1_i1	-2.28413731516169	0.00326861939888327
6	TRINITY_DN103720_c0_g1_i2	-1.99145807187035	0.0114812748868732
7	TRINITY_DN43685_c0_g2_i1	-9.07955462592809	1.21072978089808e-11
8	TRINITY_DN124929_c0_g6_i1	-2.85270894457642	0.00179714734656795
9	TRINITY_DN108746_c0_g3_i1	-8.35013026115627	1.31350753700476e-08
10	TRINITY_DN131435_c1_g4_i1	-3.47084355891743	0.00975798842513138
11	TRINITY_DN128714_c1_g1_i1	-9.54858198529596	3.1310262724134e-48
12	TRINITY_DN111328_c0_g1_i1	-6.92759616265728	8.29017917501857e-14
13	TRINITY_DN119556_c0_g11_i1	-8.43394425068694	0.000820289083463918
14	TRINITY_DN126304_c1_g1_i1	-9.27403393116161	1.39650989206077e-05
15	TRINITY_DN75302_c0_g2_i1	-3.30011496575288	0.00864985266846874
16	TRINITY_DN111790_c1_g2_i1	-3.42986358642442	0.0114812748868732
17	TRINITY_DN37225_c0_g1_i1	-10.3176868482077	3.07257033283563e-15
18	TRINITY_DN106825_c0_g1_i1	-3.22757713841998	0.000117611986288634
19	TRINITY_DN126089_c1_g1_i2	-3.23641595131728	2.22637943055967e-09
20	TRINITY_DN99021_c0_g2_i1	-10.7525311867379	7.57806251009629e-07
21	TRINITY_DN130497_c4_g6_i3	-1.70939433806581	0.0272853283589023
22	TRINITY_DN111831_c0_g2_i1	-3.92002850247038	0.000463268914511957
23	TRINITY_DN134505_c1_g8_i1	-1.92111095000774	0.0176667704093187
24	TRINITY_DN133025_c0_g2_i6	-3.62524894585037	1.22339996253812e-06
25	TRINITY_DN131626_c4_g3_i1	-3.51089649940997	2.557265921649e-05
26	TRINITY_DN131907_c0_g25_i6	-8.92640728983759	1.65919646116854e-24
27	TRINITY_DN129342_c0_g1_i2	-2.44211492631788	0.000311279378223804
28	TRINITY_DN128966_c0_g1_i1	-2.43958583701096	0.0362300292538381
