gene	FDR
TRINITY_DN100022_c0_g1_i1	0.23510490775034
TRINITY_DN100034_c0_g1_i1	1
TRINITY_DN100035_c0_g1_i1	0.605944970011706
TRINITY_DN100099_c0_g1_i1	0.245229823301954
TRINITY_DN100099_c0_g2_i1	0.282624496934226
TRINITY_DN100115_c0_g1_i1	1
TRINITY_DN100132_c0_g1_i2	0.292075350935975
TRINITY_DN100230_c0_g1_i1	0.0898472446406531
TRINITY_DN100260_c0_g2_i1	1
TRINITY_DN100266_c0_g1_i1	0.773785834581061
TRINITY_DN100272_c0_g1_i1	0.187808579613488
TRINITY_DN100287_c0_g1_i1	0.966537258164114
TRINITY_DN100287_c0_g2_i1	0.343066725010874
TRINITY_DN100300_c0_g1_i1	0.996281980032522
TRINITY_DN100311_c0_g1_i1	0.374997805870514
TRINITY_DN100358_c0_g1_i1	0.376026912585401
TRINITY_DN100368_c0_g3_i1	0.566917727349217
TRINITY_DN100376_c0_g1_i1	1
TRINITY_DN100376_c0_g2_i1	0.162118594186346
TRINITY_DN100376_c0_g3_i1	0.537295282445737
TRINITY_DN100379_c0_g1_i1	0.783204856758497
TRINITY_DN100410_c0_g1_i1	0.566484603641271
TRINITY_DN100418_c0_g1_i1	0.388606046808805
TRINITY_DN100549_c0_g1_i1	0.345940267450639
TRINITY_DN100586_c0_g1_i1	0.12066680540758
TRINITY_DN100586_c0_g2_i1	0.598073005597844
TRINITY_DN100595_c0_g1_i1	0.49367538961213
TRINITY_DN100638_c0_g2_i1	0.294432916841288
TRINITY_DN100681_c0_g1_i1	0.347476177304141
TRINITY_DN100684_c0_g1_i1	0.466805806932884
TRINITY_DN100684_c0_g3_i1	0.0239934265503825
TRINITY_DN100706_c0_g3_i1	0.776365982740554
TRINITY_DN100751_c0_g1_i1	0.395742182299455
TRINITY_DN100754_c0_g1_i1	0.00357303571770321
TRINITY_DN100779_c0_g1_i1	0.312619406691314
TRINITY_DN100784_c0_g2_i1	0.0865614904023027
TRINITY_DN100835_c0_g1_i1	0.202236459980643
TRINITY_DN100846_c0_g1_i2	0.0818235736908881
TRINITY_DN100856_c0_g1_i1	1
TRINITY_DN100856_c0_g2_i1	0.0872432935811635
TRINITY_DN100882_c0_g1_i1	1
TRINITY_DN100904_c0_g1_i1	1
TRINITY_DN100932_c0_g1_i1	0.145000902625255
TRINITY_DN100986_c0_g2_i2	0.698703540816024
TRINITY_DN100998_c0_g1_i1	0.21229509496609
TRINITY_DN101035_c0_g3_i1	0.522870939819922
TRINITY_DN101042_c0_g2_i1	1
TRINITY_DN101047_c0_g1_i2	1
TRINITY_DN101072_c0_g2_i2	1
TRINITY_DN101074_c0_g1_i1	0.935427694325881
TRINITY_DN101087_c0_g1_i1	1
TRINITY_DN101111_c0_g1_i2	1
TRINITY_DN101150_c0_g1_i1	0.802396238504585
TRINITY_DN101150_c0_g2_i1	0.674496907790504
TRINITY_DN101180_c0_g1_i1	0.508461208098998
TRINITY_DN101193_c0_g1_i1	0.995654202044636
TRINITY_DN101232_c0_g1_i1	0.700618208767208
TRINITY_DN101244_c0_g1_i1	0.309799454957361
TRINITY_DN101269_c0_g2_i1	0.883308418691905
TRINITY_DN101294_c0_g1_i1	0.857561099291249
TRINITY_DN101325_c0_g1_i1	0.695225780186436
TRINITY_DN101325_c0_g2_i1	0.382620683510401
TRINITY_DN101326_c0_g1_i1	0.612226628416661
TRINITY_DN101332_c0_g1_i1	0.163104155114783
TRINITY_DN101356_c0_g1_i1	1
TRINITY_DN101361_c0_g1_i2	0.472503064409417
TRINITY_DN101365_c0_g1_i1	0.953676032733527
TRINITY_DN101409_c0_g1_i1	0.435799936179704
TRINITY_DN101432_c0_g2_i1	0.359369430140554
TRINITY_DN101437_c0_g1_i1	1
TRINITY_DN101457_c0_g1_i1	1
TRINITY_DN101472_c0_g1_i1	0.300166030292008
TRINITY_DN101477_c0_g1_i2	0.310820994337824
TRINITY_DN101488_c0_g2_i2	0.552804758023067
TRINITY_DN101537_c1_g1_i2	0.939674114175919
TRINITY_DN101542_c0_g1_i1	0.0500299428172507
TRINITY_DN101558_c0_g1_i1	0.85255233276005
TRINITY_DN101570_c0_g1_i1	0.881067868558378
TRINITY_DN101610_c0_g2_i1	0.221438330660173
TRINITY_DN101728_c0_g2_i1	0.011054070630831
TRINITY_DN101738_c0_g2_i1	0.558091537985538
TRINITY_DN101739_c1_g1_i2	0.454791458737252
TRINITY_DN101751_c0_g1_i1	1
TRINITY_DN101753_c0_g1_i1	0.465378060543247
TRINITY_DN101758_c0_g1_i1	0.695114067965332
TRINITY_DN101809_c0_g1_i2	0.168530412025528
TRINITY_DN101813_c0_g1_i1	0.996440227627584
TRINITY_DN101821_c0_g1_i1	0.759387577040382
TRINITY_DN101833_c0_g1_i1	0.231424913907423
TRINITY_DN101867_c0_g1_i1	0.688755786221261
TRINITY_DN101895_c0_g1_i1	0.484497455450537
TRINITY_DN101897_c0_g1_i1	0.828325826381216
TRINITY_DN101901_c0_g1_i2	0.35025067004821
TRINITY_DN101903_c0_g1_i1	0.184151059636557
TRINITY_DN101903_c0_g2_i2	0.137816820399991
TRINITY_DN101919_c0_g1_i1	0.488831075606032
TRINITY_DN101924_c0_g1_i2	0.514637003362466
TRINITY_DN101945_c0_g2_i1	0.00575620788752063
TRINITY_DN101949_c0_g1_i1	0.778611327202765
TRINITY_DN101950_c0_g1_i1	0.785148236546799
TRINITY_DN101953_c0_g1_i3	0.467672488199741
TRINITY_DN101966_c0_g1_i1	0.276446207741192
TRINITY_DN101967_c0_g1_i4	0.835510309317421
TRINITY_DN101983_c0_g1_i1	0.0615870919421738
TRINITY_DN101988_c0_g1_i1	0.727697526540683
TRINITY_DN102000_c0_g1_i1	0.510916937671581
TRINITY_DN102010_c0_g1_i1	0.380070323942764
TRINITY_DN102010_c0_g3_i1	0.487002168111344
TRINITY_DN102016_c0_g1_i1	1
TRINITY_DN10201_c0_g1_i1	1
TRINITY_DN102026_c0_g1_i2	0.140303855299628
TRINITY_DN102065_c0_g1_i1	1
TRINITY_DN102067_c0_g2_i1	0.3394445916247
TRINITY_DN102070_c0_g3_i2	0.181651819325066
TRINITY_DN102078_c0_g1_i1	1
TRINITY_DN102078_c0_g2_i1	0.326569132792227
TRINITY_DN102085_c0_g1_i1	0.671037406780157
TRINITY_DN102094_c0_g1_i1	0.797580559748762
TRINITY_DN102094_c0_g3_i1	0.723531032091518
