gene	FDR	logFC
TRINITY_DN124355_c0_g1_i2	1	0.320125117151031
TRINITY_DN117448_c0_g2_i1	1	-0.186649236002745
TRINITY_DN132533_c5_g5_i1	1	-1.37157198196805
TRINITY_DN76735_c0_g1_i1	1	0.158245903328037
TRINITY_DN115726_c0_g4_i1	0.0905448999714373	-2.48340851464845
TRINITY_DN116846_c0_g1_i3	1	-0.232105876620298
TRINITY_DN129806_c3_g1_i1	1	0.163074154179861
TRINITY_DN129942_c2_g2_i2	1	0.152490565645537
TRINITY_DN120495_c1_g2_i2	1	0.192887184281491
TRINITY_DN135298_c0_g2_i2	1	0.428215790362076
TRINITY_DN125507_c0_g7_i1	1	-0.159852101702113
TRINITY_DN13815_c0_g2_i1	1	-1.00748631728529
TRINITY_DN128281_c0_g1_i1	1	-0.0115107129361126
TRINITY_DN128663_c1_g3_i6	1	-0.0352419074584126
TRINITY_DN130531_c0_g1_i1	1	0.268820683528257
TRINITY_DN126555_c5_g5_i1	1	-0.368955873537076
TRINITY_DN128940_c2_g1_i1	1	2.01052457150405
TRINITY_DN123217_c1_g4_i1	1	0.0575172706406798
TRINITY_DN118438_c0_g1_i1	1	-0.0234909857459392
TRINITY_DN119262_c0_g1_i1	1	-0.0420218705188531
TRINITY_DN96172_c0_g1_i1	1	1.19203836642204
TRINITY_DN127451_c0_g1_i1	1	0.0776578720780805
TRINITY_DN129379_c8_g11_i1	1	-0.501630211337662
TRINITY_DN121664_c0_g2_i1	1	-1.21164656153479
TRINITY_DN124509_c0_g1_i1	1	-0.30666655474729
TRINITY_DN129479_c11_g4_i2	1	-0.329741837584455
TRINITY_DN125364_c0_g2_i1	1	0.193709725745044
TRINITY_DN119313_c0_g1_i1	1	-0.320146988137208
TRINITY_DN129049_c4_g1_i4	1	0.773145776658415
TRINITY_DN136034_c0_g2_i1	1	-0.412049831485946
TRINITY_DN118158_c0_g2_i1	1	-0.0964325198536839
TRINITY_DN127263_c1_g1_i1	1	0.592626862796769
TRINITY_DN116347_c0_g1_i1	1	0.526297243676899
TRINITY_DN126896_c1_g1_i1	1	-0.0241109459446452
TRINITY_DN130319_c0_g1_i2	1	-0.0324522749431841
TRINITY_DN112188_c0_g3_i1	1	-0.292170626772082
TRINITY_DN128704_c0_g2_i3	1	0.0835823241982207
TRINITY_DN109790_c0_g1_i1	1	-0.201176472714088
TRINITY_DN128835_c0_g1_i1	1	0.504476211428474
TRINITY_DN125304_c0_g1_i1	1	-0.160343696244817
TRINITY_DN118704_c0_g1_i3	1	0.229136803273849
TRINITY_DN130416_c5_g2_i1	1	0.021461075296379
TRINITY_DN102279_c0_g1_i1	1	0.211152397295966
TRINITY_DN118925_c0_g1_i1	1	-0.104923591369346
TRINITY_DN127117_c2_g1_i1	1	0.360499515130821
