gene	logFC
TRINITY_DN122900_c0_g1_i1	3.70219037672919
TRINITY_DN98773_c0_g2_i1	6.55915733433252
TRINITY_DN126739_c1_g1_i1	11.3513053080136
TRINITY_DN119754_c2_g10_i1	7.8612269771013
TRINITY_DN104490_c0_g1_i1	8.28434868444167
TRINITY_DN101325_c0_g2_i1	9.84685722880947
TRINITY_DN134963_c2_g10_i1	8.63496084513794
TRINITY_DN133071_c2_g6_i2	3.10722729941214
TRINITY_DN128376_c2_g5_i2	11.4784207907712
TRINITY_DN134404_c1_g17_i1	13.3436416144733
TRINITY_DN124439_c0_g2_i1	2.01301026761107
TRINITY_DN67991_c0_g1_i1	14.7897644721
TRINITY_DN144998_c0_g1_i1	3.67817497880542
TRINITY_DN132876_c2_g4_i1	1.98169468169256
TRINITY_DN135448_c5_g1_i4	2.98531302981779
TRINITY_DN128927_c0_g1_i1	9.10690710354592
TRINITY_DN41677_c0_g2_i1	10.1143107621957
TRINITY_DN127464_c0_g2_i1	9.88403981579737
TRINITY_DN113301_c1_g1_i1	2.33055184768939
TRINITY_DN133534_c2_g6_i1	2.50224510488757
TRINITY_DN132653_c3_g3_i1	9.98168033568926
TRINITY_DN127464_c0_g7_i1	9.72359359928172
TRINITY_DN126202_c0_g2_i1	8.61365090715217
TRINITY_DN124874_c1_g1_i1	2.51461944587205
TRINITY_DN128639_c3_g3_i1	2.56688858797275
TRINITY_DN131435_c1_g2_i1	9.68143040627062
TRINITY_DN129504_c3_g3_i1	12.1823815189355
TRINITY_DN102489_c0_g3_i1	10.4058002873126
TRINITY_DN94325_c0_g2_i1	3.9622895071367
TRINITY_DN131144_c0_g1_i1	4.62550191774344
TRINITY_DN99286_c0_g1_i1	8.5481030403759
TRINITY_DN119281_c1_g1_i1	3.62623432647184
TRINITY_DN134026_c0_g2_i6	2.38016458599441
TRINITY_DN95094_c0_g3_i1	3.34718916023862
TRINITY_DN131744_c0_g4_i2	5.6808319012855
TRINITY_DN132560_c1_g3_i1	8.60327863304665
TRINITY_DN100376_c0_g3_i1	8.78524385698549
TRINITY_DN124256_c0_g4_i2	9.38856234275569
TRINITY_DN134711_c7_g13_i1	9.83442914576155
TRINITY_DN108182_c0_g5_i1	10.3432187151836
TRINITY_DN132313_c0_g2_i1	3.31324117270054
TRINITY_DN112947_c0_g1_i2	3.07520804860919
TRINITY_DN121226_c0_g1_i3	4.58850202238527
TRINITY_DN92151_c0_g2_i1	10.6852168076365
TRINITY_DN127236_c4_g3_i2	2.78889592084711
TRINITY_DN155175_c0_g1_i1	8.16015651133888
TRINITY_DN133387_c1_g5_i6	4.06810116453332
TRINITY_DN129733_c3_g5_i1	3.80703707479061
TRINITY_DN78129_c0_g1_i2	4.80717595979689
TRINITY_DN116959_c0_g6_i1	13.1003585069059
TRINITY_DN124256_c0_g2_i2	12.2275409561476
TRINITY_DN119416_c2_g1_i1	2.87128865732681
TRINITY_DN111958_c0_g1_i1	3.56380590504763
TRINITY_DN127857_c2_g7_i1	2.65230338554363
TRINITY_DN209985_c0_g1_i1	3.3980274375035
TRINITY_DN128882_c4_g1_i1	5.31352318738042
TRINITY_DN121465_c5_g5_i1	9.17453671466708
TRINITY_DN135683_c1_g1_i1	9.90640022374585
TRINITY_DN95726_c0_g1_i1	13.4575433622511
TRINITY_DN67822_c0_g2_i1	6.80225397729837
TRINITY_DN124950_c0_g3_i1	2.06067336393527
TRINITY_DN119920_c0_g2_i1	3.18303459210159
TRINITY_DN135864_c0_g11_i1	10.4715919342003
TRINITY_DN129842_c2_g4_i1	8.19458036770391
TRINITY_DN135828_c4_g4_i1	9.55182993123138
TRINITY_DN136429_c4_g4_i2	13.0457819207574
TRINITY_DN124034_c2_g15_i1	5.25500692725593
TRINITY_DN112881_c0_g1_i2	3.35295891064361
TRINITY_DN127055_c1_g5_i1	8.71532171550153
TRINITY_DN125523_c6_g3_i1	2.1309126583435
TRINITY_DN113704_c0_g2_i1	8.36668120876522
TRINITY_DN135454_c0_g9_i1	11.0526704891699
TRINITY_DN126590_c4_g3_i1	2.91644351893938
TRINITY_DN103834_c0_g4_i1	7.16030895573869
TRINITY_DN115526_c0_g1_i1	3.41903024234033
TRINITY_DN194007_c0_g1_i1	8.91384438146249
TRINITY_DN132472_c0_g2_i4	2.48311912317655
TRINITY_DN131900_c3_g4_i4	3.05375215632365
TRINITY_DN133914_c2_g1_i10	6.46180140283055
TRINITY_DN131669_c1_g5_i1	9.1967939562261
TRINITY_DN128941_c3_g5_i2	5.54632385637151
TRINITY_DN129279_c4_g4_i1	9.795250735994
TRINITY_DN112291_c0_g1_i1	2.0729539447432
TRINITY_DN107012_c1_g1_i1	8.72974633129262
TRINITY_DN127281_c1_g1_i3	3.03874104870052
TRINITY_DN39540_c0_g1_i1	11.9492121976925
TRINITY_DN63832_c0_g1_i1	8.53830263518571
TRINITY_DN125283_c5_g3_i3	2.43526201678689
TRINITY_DN133151_c2_g1_i1	4.92893161783435
TRINITY_DN141165_c0_g1_i1	3.32393437431179
