gene	logFC	FDR
1	TRINITY_DN124355_c0_g1_i2	-0.596260770571626	0.518624684346637
2	TRINITY_DN117448_c0_g2_i1	-0.0661669130744789	0.921599212100934
3	TRINITY_DN132533_c5_g5_i1	0.85625278092957	0.662707616303625
4	TRINITY_DN76735_c0_g1_i1	0.548685075603542	0.22408763635236
5	TRINITY_DN115726_c0_g4_i1	-0.0577757959226364	0.962984610276218
6	TRINITY_DN116846_c0_g1_i3	-0.593872334154255	0.303381135468109
7	TRINITY_DN129806_c3_g1_i1	0.415862789258997	0.616349095934617
8	TRINITY_DN120495_c1_g2_i2	0.827990136497803	0.498897399472795
9	TRINITY_DN135298_c0_g2_i2	0.0109862222465922	0.992915743417708
10	TRINITY_DN128281_c0_g1_i1	0.356002391385913	0.702835363865431
11	TRINITY_DN128663_c1_g3_i6	-0.145989510689431	0.859140960626962
12	TRINITY_DN130531_c0_g1_i1	-0.8505354463263	0.0708612027626109
13	TRINITY_DN128940_c2_g1_i1	-0.0671338539404635	0.956621067814718
14	TRINITY_DN123217_c1_g4_i1	0.396196963541471	0.413102676249374
15	TRINITY_DN118438_c0_g1_i1	0.454222079617257	0.499579252517483
16	TRINITY_DN119262_c0_g1_i1	0.396483569614448	0.439948078011512
17	TRINITY_DN96172_c0_g1_i1	1.2185625399537	0.0895062921821432
18	TRINITY_DN127451_c0_g1_i1	1.0881980598795	0.127284104177294
19	TRINITY_DN129379_c8_g11_i1	-0.689777791110983	0.387700590564279
20	TRINITY_DN121664_c0_g2_i1	0.289149498048814	0.733337540723308
21	TRINITY_DN129479_c11_g4_i2	-0.447242128908132	0.398182236149635
22	TRINITY_DN125364_c0_g2_i1	0.325579614430094	0.520310214526161
23	TRINITY_DN119313_c0_g1_i1	0.669418708682843	0.25576400790212
24	TRINITY_DN129049_c4_g1_i4	0.772974203460766	0.366003468544455
25	TRINITY_DN118158_c0_g2_i1	0.140892547334815	0.825475559699711
26	TRINITY_DN127263_c1_g1_i1	0.40758317642753	0.564247782616834
27	TRINITY_DN126896_c1_g1_i1	0.432534623806559	0.543175983058829
28	TRINITY_DN130319_c0_g1_i2	-0.604406950500194	0.205305797458845
29	TRINITY_DN112188_c0_g3_i1	1.35364118177708	0.153896310643565
30	TRINITY_DN128704_c0_g2_i3	-0.496108964681871	0.519881731864619
31	TRINITY_DN118704_c0_g1_i3	0.230930250772454	0.693999704197165
32	TRINITY_DN130416_c5_g2_i1	0.492131338767047	0.436692149412925
33	TRINITY_DN102279_c0_g1_i1	-0.0312047556071413	0.956476803617912
34	TRINITY_DN127117_c2_g1_i1	0.0586666278024435	0.935906504856936
35	TRINITY_DN130452_c0_g1_i1	1.16233190865875	0.146929636147147
36	TRINITY_DN132392_c3_g2_i2	0.218004028944687	0.723829335567224
37	TRINITY_DN133668_c1_g1_i2	0.0520354139661272	0.936561252364364
38	TRINITY_DN126303_c0_g2_i1	0.0193395030987222	0.986899198222927
39	TRINITY_DN103900_c0_g1_i1	0.141807950029879	0.868489126277213
40	TRINITY_DN114662_c0_g1_i1	0.379625332088387	0.693151506446857
41	TRINITY_DN95196_c0_g1_i1	-0.0807038883353713	0.938508388106926
42	TRINITY_DN116281_c0_g1_i2	0.272579834835914	0.593723362223207
43	TRINITY_DN133889_c1_g4_i7	0.720103941333064	0.319387737501252
44	TRINITY_DN168146_c0_g1_i1	0.703764282457421	0.161526290582207
45	TRINITY_DN124838_c4_g3_i1	-0.357872130434448	0.447107105292433
46	TRINITY_DN132467_c0_g2_i3	0.780102809149246	0.391929473798864
47	TRINITY_DN129314_c6_g2_i3	0.875678072896041	0.345351095421327
48	TRINITY_DN127413_c1_g1_i1	0.353470924149203	0.550906742227957
49	TRINITY_DN81712_c0_g2_i1	-0.483144864494264	0.672554465601412
50	TRINITY_DN128150_c9_g1_i2	0.788125297906583	0.21854271876243
51	TRINITY_DN135194_c0_g1_i3	0.215788398824593	0.78854172636476
52	TRINITY_DN134146_c2_g1_i2	0.523133115069375	0.277014487309624
53	TRINITY_DN129826_c0_g1_i4	-0.363881932719052	0.4307721341259
54	TRINITY_DN129827_c0_g1_i1	-0.38743799631016	0.617487473444519
55	TRINITY_DN108588_c0_g1_i1	0.156335276764605	0.848943262833277
56	TRINITY_DN128018_c0_g1_i1	-0.674994128593564	0.21315442212992
57	TRINITY_DN111838_c0_g1_i1	0.0251271864312584	0.974405038917327
58	TRINITY_DN131157_c1_g3_i2	-0.251516120076802	0.691263417141206
59	TRINITY_DN132410_c0_g2_i1	0.708745644476244	0.136116767929429
60	TRINITY_DN122900_c0_g1_i1	0.421504635358576	0.642848204003988
61	TRINITY_DN135294_c1_g1_i2	-0.0809272981636696	0.896310940190327
62	TRINITY_DN45599_c0_g2_i1	0.744030795059294	0.367659503455109
63	TRINITY_DN101244_c0_g1_i1	-0.685750600900276	0.309799454957361
64	TRINITY_DN133031_c0_g1_i3	0.908488204713184	0.0686820519673545
65	TRINITY_DN127721_c0_g1_i2	0.895983460730529	0.248443718170984
66	TRINITY_DN111510_c0_g2_i2	0.707254178571603	0.343236682300809
67	TRINITY_DN102085_c0_g1_i1	0.256033001824454	0.671037406780157
68	TRINITY_DN118721_c0_g1_i2	0.554329999494615	0.477138497902236
69	TRINITY_DN129038_c5_g11_i1	0.739800676016528	0.302286990273598
70	TRINITY_DN134433_c2_g1_i4	0.594667178148307	0.209518100959909
71	TRINITY_DN109331_c0_g1_i1	-0.310570791403902	0.501521689031483
72	TRINITY_DN108942_c0_g1_i1	0.486606818617788	0.283566644107603
73	TRINITY_DN118365_c0_g2_i1	0.346403208719131	0.679548683156414
74	TRINITY_DN130777_c4_g9_i3	0.490016445250879	0.469899153091126
75	TRINITY_DN121431_c0_g1_i3	0.870599114631743	0.219225173503043
76	TRINITY_DN131777_c2_g1_i2	0.602231025800018	0.527376292308117
77	TRINITY_DN127866_c0_g1_i3	0.358652585297232	0.614092561392339
78	TRINITY_DN135593_c0_g1_i1	-0.14610384561129	0.850749717246054
79	TRINITY_DN128230_c0_g2_i1	-0.203891267207163	0.821299799196276
80	TRINITY_DN129790_c0_g1_i6	-0.284881570702399	0.539005159602002
81	TRINITY_DN129407_c2_g1_i1	0.611883499152585	0.320387555374291
82	TRINITY_DN130870_c3_g2_i6	-0.939036798391536	0.192692407566916
83	TRINITY_DN130523_c0_g1_i1	0.595114242768975	0.532620568431698
84	TRINITY_DN124116_c0_g2_i1	-1.19634779287591	0.167831373680539
85	TRINITY_DN118994_c0_g1_i1	0.212072150824066	0.739587830326958
