gene	logFC
TRINITY_DN122900_c0_g1_i1	3.70780302523922
TRINITY_DN98773_c0_g2_i1	6.56943144786743
TRINITY_DN126739_c1_g1_i1	11.4010393733795
TRINITY_DN104490_c0_g1_i1	8.33379940914156
TRINITY_DN101325_c0_g2_i1	9.88823049242675
TRINITY_DN134963_c2_g10_i1	8.68980212411469
TRINITY_DN133071_c2_g6_i2	3.11140877763781
TRINITY_DN81405_c0_g1_i1	8.12513312292695
TRINITY_DN128376_c2_g5_i2	11.5279934517848
TRINITY_DN123443_c0_g2_i1	2.73803495533611
TRINITY_DN134404_c1_g17_i1	13.3941669213404
TRINITY_DN124439_c0_g2_i1	2.01707398894568
TRINITY_DN117967_c0_g1_i1	10.7474844980058
TRINITY_DN67991_c0_g1_i1	14.8393761205089
TRINITY_DN144998_c0_g1_i1	3.68262988324176
TRINITY_DN132876_c2_g4_i1	1.98578521378854
TRINITY_DN100846_c0_g1_i2	2.19925614200995
TRINITY_DN135448_c5_g1_i4	2.99042817652947
TRINITY_DN128927_c0_g1_i1	9.16089607728975
TRINITY_DN41677_c0_g2_i1	10.1637918909686
TRINITY_DN127464_c0_g2_i1	9.93294186256566
TRINITY_DN113301_c1_g1_i1	2.33459689953532
TRINITY_DN133534_c2_g6_i1	2.5064452511055
TRINITY_DN132653_c3_g3_i1	10.0313234143111
TRINITY_DN127464_c0_g7_i1	9.7714181072236
TRINITY_DN126202_c0_g2_i1	8.66339508682194
TRINITY_DN127748_c1_g2_i1	8.89403316354864
TRINITY_DN124874_c1_g1_i1	2.51866047841264
TRINITY_DN128639_c3_g3_i1	2.57098553384425
TRINITY_DN131435_c1_g2_i1	9.730756246898
TRINITY_DN129504_c3_g3_i1	12.231166760023
TRINITY_DN113348_c0_g3_i1	8.53101048031141
TRINITY_DN102489_c0_g3_i1	10.4559892044036
TRINITY_DN106855_c0_g1_i1	4.07318590970032
TRINITY_DN134877_c3_g1_i4	1.88791130512883
TRINITY_DN94325_c0_g2_i1	3.96745385568071
TRINITY_DN121359_c1_g3_i1	4.35918787717014
TRINITY_DN131144_c0_g1_i1	4.63066852997788
TRINITY_DN99286_c0_g1_i1	8.59766616638585
TRINITY_DN119281_c1_g1_i1	3.63193115717309
TRINITY_DN654_c0_g1_i1	9.44383356610807
TRINITY_DN130045_c0_g3_i2	2.34122897678112
TRINITY_DN134026_c0_g2_i6	2.38426402827953
TRINITY_DN95094_c0_g3_i1	3.35120669557386
TRINITY_DN131744_c0_g4_i2	5.6870557386049
TRINITY_DN132560_c1_g3_i1	8.65275342788397
TRINITY_DN27210_c0_g1_i1	6.87971186658102
TRINITY_DN100376_c0_g3_i1	8.83525076565299
TRINITY_DN126588_c4_g7_i1	8.12863488965704
TRINITY_DN124256_c0_g4_i2	9.43807017905054
TRINITY_DN134711_c7_g13_i1	9.88047623857129
TRINITY_DN108182_c0_g5_i1	10.3911610521109
TRINITY_DN112947_c0_g1_i2	3.07955809353393
TRINITY_DN133071_c2_g1_i1	2.77852475438444
TRINITY_DN121226_c0_g1_i3	4.59281385593184
TRINITY_DN92151_c0_g2_i1	10.7348819351609
TRINITY_DN127236_c4_g3_i2	2.79288868329548
TRINITY_DN155175_c0_g1_i1	8.20998619701898
TRINITY_DN133387_c1_g5_i6	4.07162380421104
TRINITY_DN129733_c3_g5_i1	3.81152982644202
TRINITY_DN78129_c0_g1_i2	4.81446581784227
TRINITY_DN116959_c0_g6_i1	13.1498850931592
TRINITY_DN124256_c0_g2_i2	12.2773000010575
TRINITY_DN119416_c2_g1_i1	2.87372533132427
TRINITY_DN111958_c0_g1_i1	3.56731133805204
TRINITY_DN127857_c2_g7_i1	2.65665946980284
TRINITY_DN209985_c0_g1_i1	3.40227021328582
TRINITY_DN128882_c4_g1_i1	5.31896055511878
TRINITY_DN121465_c5_g5_i1	9.2243540541151
TRINITY_DN135683_c1_g1_i1	9.95616702245845
TRINITY_DN95726_c0_g1_i1	13.5077930023408
TRINITY_DN124950_c0_g3_i1	2.0648560208404
TRINITY_DN119920_c0_g2_i1	3.18774568604625
TRINITY_DN135864_c0_g11_i1	10.5216039433906
TRINITY_DN129842_c2_g4_i1	8.24415161745944
TRINITY_DN135828_c4_g4_i1	9.60197537616218
TRINITY_DN136429_c4_g4_i2	13.0951443645758
TRINITY_DN124034_c2_g15_i1	5.26383434783489
TRINITY_DN112881_c0_g1_i2	3.35684318196726
TRINITY_DN123957_c6_g2_i1	3.3229822184478
TRINITY_DN127055_c1_g5_i1	8.76467656341236
TRINITY_DN129443_c5_g4_i10	3.79447041573641
TRINITY_DN117586_c0_g1_i1	4.32383504935867
TRINITY_DN125523_c6_g3_i1	2.13506794240404
TRINITY_DN113704_c0_g2_i1	8.42067892551921
TRINITY_DN135454_c0_g9_i1	11.1023886375343
TRINITY_DN126590_c4_g3_i1	2.92071959690918
TRINITY_DN115526_c0_g1_i1	3.42334311521655
TRINITY_DN194007_c0_g1_i1	8.96303993267823
TRINITY_DN132472_c0_g2_i4	2.48713554321372
TRINITY_DN131900_c3_g4_i4	3.0570276429376
TRINITY_DN131669_c1_g5_i1	9.24452393613706
TRINITY_DN128941_c3_g5_i2	5.55055464848594
TRINITY_DN129279_c4_g4_i1	9.84394745631253
TRINITY_DN112291_c0_g1_i1	2.0770776328272
TRINITY_DN127281_c1_g1_i3	3.04280773848829
TRINITY_DN127436_c2_g1_i1	2.36961158469332
TRINITY_DN39540_c0_g1_i1	11.9989582098316
TRINITY_DN63832_c0_g1_i1	8.59714319236958
TRINITY_DN125283_c5_g3_i3	2.43929140700053
TRINITY_DN133151_c2_g1_i1	4.93369495223096
TRINITY_DN141165_c0_g1_i1	3.32810171844216
