gene	FDR	logFC
TRINITY_DN131408_c1_g3_i2	1	0.434540975792675
TRINITY_DN135495_c0_g4_i4	1	-0.171954285755767
TRINITY_DN131528_c2_g1_i1	1	0.000115590631653523
TRINITY_DN126312_c0_g1_i4	1	0.136832566967555
TRINITY_DN133310_c0_g2_i1	1	-0.51279961380382
TRINITY_DN126328_c0_g2_i1	1	-0.397766323314254
TRINITY_DN136320_c0_g1_i1	1	-0.0101569794902848
TRINITY_DN125015_c6_g1_i1	1	0.193514687658284
TRINITY_DN127376_c0_g1_i1	1	-0.173935675897348
TRINITY_DN127901_c0_g2_i1	1	0.537239340844418
TRINITY_DN125214_c0_g1_i1	1	0.0543214324100767
TRINITY_DN136216_c2_g1_i1	1	-0.317197158136859
TRINITY_DN115599_c0_g1_i1	1	-0.255537232203435
TRINITY_DN119931_c0_g1_i1	1	-0.102513877648698
TRINITY_DN128516_c1_g3_i2	1	0.0690256439105865
TRINITY_DN110146_c0_g1_i3	1	0.0968189156688911
TRINITY_DN93335_c0_g2_i1	1	0.608273087839712
TRINITY_DN121522_c0_g1_i3	1	0
TRINITY_DN116988_c0_g1_i1	1	0.039911295745049
TRINITY_DN125389_c0_g2_i1	1	-0.135960638436144
TRINITY_DN104790_c0_g1_i1	1	0.677311527991281
TRINITY_DN135536_c0_g5_i3	1	-0.0823415101530079
TRINITY_DN122521_c1_g1_i1	1	-0.643916563272414
TRINITY_DN121040_c0_g3_i2	1	-0.396167264074068
TRINITY_DN136027_c5_g1_i1	1	0.147253777398206
TRINITY_DN136232_c2_g1_i2	1	-0.175372718957884
TRINITY_DN130370_c3_g3_i3	1	0.528347173892494
TRINITY_DN112907_c0_g2_i1	1	0.000387491675469521
TRINITY_DN121419_c0_g1_i2	1	0.301385739719608
TRINITY_DN128639_c1_g5_i1	1	0.0182621303619277
TRINITY_DN116944_c0_g1_i1	1	-0.151763002787052
TRINITY_DN120724_c0_g1_i1	1	-0.214307076713198
TRINITY_DN126177_c8_g2_i3	1	0.085631983481972
TRINITY_DN136324_c5_g3_i1	1	-0.147467264416397
TRINITY_DN133534_c2_g9_i5	1	0.702638312109507
TRINITY_DN130167_c0_g1_i1	1	-0.348874836477436
TRINITY_DN136717_c7_g2_i2	1	-0.193886763123778
TRINITY_DN134008_c0_g3_i1	1	-0.0670841498979254
TRINITY_DN124216_c1_g3_i9	1	0.0315184564399595
TRINITY_DN140959_c0_g1_i1	1	0.328191420758757
TRINITY_DN123066_c0_g1_i1	1	0.459947475394694
TRINITY_DN133488_c1_g1_i1	1	-0.600771253653692
TRINITY_DN116991_c0_g2_i1	1	-0.420345431142381
TRINITY_DN115726_c0_g4_i1	0.943168574571751	1.29687368605295
TRINITY_DN125983_c0_g2_i1	1	-0.307999134098836
TRINITY_DN165645_c0_g1_i1	1	-0.237284397625158
TRINITY_DN132807_c1_g1_i7	1	0.404852113254532
TRINITY_DN133473_c0_g8_i4	1	-0.400247235737467
TRINITY_DN130224_c3_g3_i1	1	-0.376316681385846
TRINITY_DN131300_c5_g1_i1	1	0.0464674098294107
TRINITY_DN128838_c1_g1_i1	1	0.140383985299284
TRINITY_DN134872_c1_g1_i1	1	-0.0260482233535512
TRINITY_DN123382_c4_g5_i1	1	0.188400806961967
TRINITY_DN119152_c0_g1_i4	1	-0.31989688833348
TRINITY_DN119009_c0_g2_i2	1	-0.0117288393607151
TRINITY_DN126289_c6_g2_i1	1	-0.0120045976956475
TRINITY_DN126925_c1_g1_i1	1	0.142345979390053
TRINITY_DN126784_c0_g4_i1	1	0.176987400274794
TRINITY_DN133663_c0_g1_i1	1	0.368410621878352
TRINITY_DN125578_c3_g2_i4	1	0.0595902923219818
TRINITY_DN134157_c2_g1_i1	1	-0.131887661970732
TRINITY_DN127999_c10_g6_i2	1	0.546229280356327
TRINITY_DN133961_c2_g7_i1	1	0.276324679629347
TRINITY_DN126256_c6_g2_i1	1	-0.0302520611006204
TRINITY_DN131805_c5_g1_i1	1	0.0502857399060942
TRINITY_DN133214_c1_g4_i1	1	0.0889270674150625
TRINITY_DN123057_c1_g2_i1	1	-0.157261278968638
TRINITY_DN117152_c0_g1_i1	1	0.0472483470896566
TRINITY_DN113985_c0_g1_i1	1	-0.160108176667829
TRINITY_DN49255_c0_g1_i1	1	0.156164767733401
TRINITY_DN114033_c0_g1_i2	1	1.69927848414816
TRINITY_DN128540_c2_g1_i1	1	-0.0254960127369199
TRINITY_DN135526_c5_g2_i2	1	-0.7129521844046
TRINITY_DN134913_c0_g3_i1	1	0.563032064477908
TRINITY_DN135255_c2_g1_i11	1	0.164504233171805
TRINITY_DN122166_c0_g1_i3	1	-0.0789143646182778
TRINITY_DN118819_c0_g1_i1	1	-0.0686009009756902
TRINITY_DN134766_c0_g2_i4	1	0.50474142976767
TRINITY_DN119206_c2_g1_i3	1	-0.0873583326505614
TRINITY_DN118236_c0_g2_i2	1	0.190058630172572
TRINITY_DN123846_c1_g1_i1	0.95513792898355	-2.27961468406855
TRINITY_DN128797_c4_g2_i1	1	0.26437518998267
TRINITY_DN110193_c0_g1_i1	1	-0.357321922035647
TRINITY_DN132705_c7_g1_i2	1	0.278530149635028
TRINITY_DN134673_c2_g2_i1	1	-0.669661935375545
TRINITY_DN103744_c0_g1_i2	1	0.0232060681201962
TRINITY_DN124009_c0_g1_i3	1	0.0361535492397557
TRINITY_DN121510_c0_g1_i1	1	0.0422478056646933
TRINITY_DN131265_c3_g3_i1	1	0.697664104026954
TRINITY_DN111407_c0_g1_i1	1	0.210974096146812
TRINITY_DN125103_c0_g1_i3	1	-0.140245823517062
TRINITY_DN119168_c0_g1_i2	1	-0.124571033288049
TRINITY_DN117646_c0_g2_i1	0.065942887677012	1.81580232678464
TRINITY_DN114622_c0_g1_i3	1	-0.153136757704212
TRINITY_DN131967_c0_g3_i2	1	-1.1595747919886
TRINITY_DN27210_c0_g1_i1	1	1.19883630461004
TRINITY_DN130634_c6_g2_i1	1	0.75659356394495
TRINITY_DN131256_c2_g1_i9	1	-0.0860838320279451
TRINITY_DN82945_c0_g1_i1	1	0.0205957479447159
TRINITY_DN126073_c0_g2_i3	1	-0.0790054335149971
TRINITY_DN120539_c0_g1_i1	1	-0.163467951624148
TRINITY_DN50464_c0_g1_i1	1	-0.0657658882727774
TRINITY_DN131589_c8_g2_i1	1	0.278879049212098
TRINITY_DN118751_c0_g1_i2	1	0.254401106670676
TRINITY_DN129285_c0_g1_i3	1	0.526450171146065
