gene	logFC	FDR
1	TRINITY_DN131528_c2_g1_i1	4.92369240868922	6.00006610449767e-41
2	TRINITY_DN136216_c2_g1_i1	1.07734818033235	0.00389186835596319
3	TRINITY_DN128516_c1_g3_i2	1.4686086506009	0.000306112789160966
4	TRINITY_DN110146_c0_g1_i3	1.02904652859738	0.00761206361363039
5	TRINITY_DN125389_c0_g2_i1	1.00672629044475	0.00662135424372261
6	TRINITY_DN136232_c2_g1_i2	2.3662981624394	1.95241471480534e-11
7	TRINITY_DN120724_c0_g1_i1	1.21285889371828	0.000123501930897749
8	TRINITY_DN126177_c8_g2_i3	1.88508747382842	1.08356109001883e-07
9	TRINITY_DN136324_c5_g3_i1	1.07920463431783	0.0287650397510938
10	TRINITY_DN133534_c2_g9_i5	2.08758243027033	1.28657592955608e-05
11	TRINITY_DN134008_c0_g3_i1	0.861697418896196	0.00610925793574666
12	TRINITY_DN124216_c1_g3_i9	1.50849660004301	3.09699662842406e-07
13	TRINITY_DN133488_c1_g1_i1	2.57592289496147	3.39948544082346e-09
14	TRINITY_DN128838_c1_g1_i1	1.50520813952242	0.000403656031647131
15	TRINITY_DN119152_c0_g1_i4	2.77264920087807	6.09614860008659e-09
16	TRINITY_DN119009_c0_g2_i2	3.05027949325816	4.8839892202712e-07
17	TRINITY_DN126289_c6_g2_i1	3.0675341474508	7.05162882985045e-12
18	TRINITY_DN133663_c0_g1_i1	1.51976980197751	3.79647824211925e-05
19	TRINITY_DN127999_c10_g6_i2	3.09739821848901	2.52412108572892e-07
20	TRINITY_DN117152_c0_g1_i1	2.26644635288891	0.0489586044464695
21	TRINITY_DN114033_c0_g1_i2	1.12277048292203	0.0278548391658487
22	TRINITY_DN128540_c2_g1_i1	2.32585920732459	1.50774959363448e-05
23	TRINITY_DN122166_c0_g1_i3	0.746317807631001	0.0391778696229225
24	TRINITY_DN118819_c0_g1_i1	3.39035172761125	6.48201530990287e-15
25	TRINITY_DN119206_c2_g1_i3	1.8794253591216	5.06366288710922e-18
26	TRINITY_DN118236_c0_g2_i2	3.15985796679064	2.91280139109407e-31
27	TRINITY_DN123846_c1_g1_i1	1.80226365331011	0.0135691108971331
28	TRINITY_DN110193_c0_g1_i1	1.80813954594183	0.0176999917467796
29	TRINITY_DN132705_c7_g1_i2	1.14513008068239	0.0394843802262056
30	TRINITY_DN103744_c0_g1_i2	0.942055451343639	0.000319595715151278
31	TRINITY_DN124009_c0_g1_i3	2.96978989741127	6.06198639506655e-34
32	TRINITY_DN111407_c0_g1_i1	1.11066449636094	0.00939019157879122
33	TRINITY_DN130634_c6_g2_i1	3.86466243830248	2.19955879257101e-11
34	TRINITY_DN120539_c0_g1_i1	1.98176272535699	4.11444639268317e-05
35	TRINITY_DN129285_c0_g1_i3	2.94577181559406	4.57690638098098e-07
36	TRINITY_DN126256_c5_g1_i6	0.986961210239236	0.000120142416721974
37	TRINITY_DN111985_c0_g2_i1	1.66377630796746	0.00198390959322612
38	TRINITY_DN125805_c1_g1_i1	1.31374220956616	1.3369484905941e-05
39	TRINITY_DN108182_c0_g2_i1	5.17443792385408	0.00357582436666801
40	TRINITY_DN2377_c0_g1_i1	0.778598686686647	0.0192188895610709
41	TRINITY_DN105698_c0_g1_i1	2.18301973567074	0.0129348431438661
42	TRINITY_DN135460_c2_g3_i2	4.07536219828509	0.00133901567608362
43	TRINITY_DN131635_c0_g1_i2	2.27461468399896	0.000163621411876267
44	TRINITY_DN122980_c0_g2_i2	2.22738800469909	9.35007765788691e-06
45	TRINITY_DN116374_c0_g1_i2	1.44169233318137	7.59210547256349e-06
46	TRINITY_DN128841_c1_g1_i1	0.868728140548331	0.0134443547824244
47	TRINITY_DN118699_c0_g1_i6	1.2877736084515	0.00685503522265988
48	TRINITY_DN133484_c2_g2_i1	0.94140287649871	0.00545838775522676
49	TRINITY_DN130626_c2_g1_i3	1.87608842880172	2.50521331028e-07
50	TRINITY_DN133220_c5_g1_i1	1.155054332448	6.00799369612911e-05
51	TRINITY_DN131820_c1_g1_i1	1.55399128764238	0.0108683017652885
52	TRINITY_DN130872_c8_g5_i1	2.25639020582353	1.16849874092576e-05
53	TRINITY_DN128935_c0_g2_i1	1.92311134836129	0.0015392878376532
54	TRINITY_DN96535_c0_g2_i1	10.6583361333668	6.26839028600597e-11
55	TRINITY_DN127745_c0_g1_i1	1.24257070860199	6.90632561731128e-05
56	TRINITY_DN120338_c0_g3_i1	1.74351529591117	0.000100298071307352
57	TRINITY_DN119306_c0_g1_i2	1.09631718504721	0.0130382203093063
58	TRINITY_DN128027_c3_g2_i2	3.99856088342152	4.28600152260668e-08
59	TRINITY_DN115971_c0_g1_i1	2.25712784843618	5.90414261290288e-07
60	TRINITY_DN132529_c0_g1_i1	0.867538389192395	0.00292446228158493
61	TRINITY_DN136208_c0_g1_i3	2.59089170866311	4.11309428109755e-17
62	TRINITY_DN127257_c3_g1_i5	1.91039144473376	2.60079860545912e-05
63	TRINITY_DN132319_c0_g1_i1	1.13761751655358	0.0107586402699671
64	TRINITY_DN112264_c1_g2_i1	9.36647542501273	4.98006202922367e-13
65	TRINITY_DN130629_c1_g3_i5	1.82093047310922	0.000642324990754096
66	TRINITY_DN118840_c0_g1_i1	3.23470576012437	3.28658228330705e-08
67	TRINITY_DN129953_c1_g1_i1	1.12569980633534	7.30813281264593e-05
68	TRINITY_DN133342_c2_g9_i4	1.82795175241607	9.89578017790059e-07
69	TRINITY_DN136448_c0_g6_i1	1.15114555590048	0.00576816267565469
70	TRINITY_DN125270_c0_g2_i2	1.70678485896288	1.51731355871214e-09
71	TRINITY_DN127647_c0_g1_i3	3.37587835220919	1.6972517389254e-17
72	TRINITY_DN136175_c0_g1_i4	1.32438193074399	6.52259653815361e-07
73	TRINITY_DN130320_c0_g7_i1	1.19973493714174	0.0424527073072726
74	TRINITY_DN130037_c1_g7_i5	0.819099585074218	0.00429004437243992
75	TRINITY_DN126871_c1_g2_i4	2.44322685376587	1.87916900871487e-10
76	TRINITY_DN125925_c5_g2_i1	1.97612785640793	0.000284407008571924
77	TRINITY_DN123296_c1_g1_i2	1.41245179745451	0.000113147631162355
78	TRINITY_DN126761_c1_g1_i3	2.04794561904151	0.000214756774984383
79	TRINITY_DN120492_c0_g1_i1	0.87616237461401	0.0159602820235041
80	TRINITY_DN128678_c1_g2_i1	4.85226904496062	1.46392518985151e-05
81	TRINITY_DN125509_c2_g4_i13	2.98146832217596	6.08912323305028e-09
82	TRINITY_DN118911_c0_g2_i1	1.21688808219065	0.0357094317240464
83	TRINITY_DN123469_c0_g1_i1	1.78787951203538	0.00299611124777305
84	TRINITY_DN115530_c0_g1_i1	2.37100249512204	3.18954712276705e-07
85	TRINITY_DN128702_c0_g1_i3	1.27652145047954	0.00156882443173859
86	TRINITY_DN74628_c0_g2_i1	1.1970074526867	0.0439663963825657
87	TRINITY_DN135859_c1_g2_i3	2.03752490758741	1.51860555761113e-13
88	TRINITY_DN136214_c2_g1_i2	0.644672954307412	0.0338753261701255
89	TRINITY_DN116269_c0_g2_i1	5.3939162019724	1.49593218305394e-11
90	TRINITY_DN115023_c0_g1_i1	2.89196978173271	0.0488799119737164
91	TRINITY_DN126852_c0_g1_i1	0.987306486123281	0.0409704786556
