gene	logFC	FDR
1	TRINITY_DN131408_c1_g3_i2	0.434540975792675	1
2	TRINITY_DN135495_c0_g4_i4	-0.171954285755767	1
3	TRINITY_DN131528_c2_g1_i1	0.000115590631653523	1
4	TRINITY_DN126312_c0_g1_i4	0.136832566967555	1
5	TRINITY_DN133310_c0_g2_i1	-0.51279961380382	1
6	TRINITY_DN126328_c0_g2_i1	-0.397766323314254	1
7	TRINITY_DN136320_c0_g1_i1	-0.0101569794902848	1
8	TRINITY_DN125015_c6_g1_i1	0.193514687658284	1
9	TRINITY_DN127376_c0_g1_i1	-0.173935675897348	1
10	TRINITY_DN127901_c0_g2_i1	0.537239340844418	1
11	TRINITY_DN125214_c0_g1_i1	0.0543214324100767	1
12	TRINITY_DN136216_c2_g1_i1	-0.317197158136859	1
13	TRINITY_DN115599_c0_g1_i1	-0.255537232203435	1
14	TRINITY_DN119931_c0_g1_i1	-0.102513877648698	1
15	TRINITY_DN128516_c1_g3_i2	0.0690256439105865	1
16	TRINITY_DN110146_c0_g1_i3	0.0968189156688911	1
17	TRINITY_DN93335_c0_g2_i1	0.608273087839712	1
18	TRINITY_DN121522_c0_g1_i3	0	1
19	TRINITY_DN116988_c0_g1_i1	0.039911295745049	1
20	TRINITY_DN125389_c0_g2_i1	-0.135960638436144	1
21	TRINITY_DN104790_c0_g1_i1	0.677311527991281	1
22	TRINITY_DN135536_c0_g5_i3	-0.0823415101530079	1
23	TRINITY_DN122521_c1_g1_i1	-0.643916563272414	1
24	TRINITY_DN121040_c0_g3_i2	-0.396167264074068	1
25	TRINITY_DN136027_c5_g1_i1	0.147253777398206	1
26	TRINITY_DN136232_c2_g1_i2	-0.175372718957884	1
27	TRINITY_DN130370_c3_g3_i3	0.528347173892494	1
28	TRINITY_DN112907_c0_g2_i1	0.000387491675469521	1
29	TRINITY_DN121419_c0_g1_i2	0.301385739719608	1
30	TRINITY_DN128639_c1_g5_i1	0.0182621303619277	1
31	TRINITY_DN116944_c0_g1_i1	-0.151763002787052	1
32	TRINITY_DN120724_c0_g1_i1	-0.214307076713198	1
33	TRINITY_DN126177_c8_g2_i3	0.085631983481972	1
34	TRINITY_DN136324_c5_g3_i1	-0.147467264416397	1
35	TRINITY_DN133534_c2_g9_i5	0.702638312109507	1
36	TRINITY_DN130167_c0_g1_i1	-0.348874836477436	1
37	TRINITY_DN136717_c7_g2_i2	-0.193886763123778	1
38	TRINITY_DN134008_c0_g3_i1	-0.0670841498979254	1
39	TRINITY_DN124216_c1_g3_i9	0.0315184564399595	1
40	TRINITY_DN140959_c0_g1_i1	0.328191420758757	1
41	TRINITY_DN123066_c0_g1_i1	0.459947475394694	1
42	TRINITY_DN133488_c1_g1_i1	-0.600771253653692	1
43	TRINITY_DN116991_c0_g2_i1	-0.420345431142381	1
44	TRINITY_DN115726_c0_g4_i1	1.29687368605295	0.943168574571751
45	TRINITY_DN125983_c0_g2_i1	-0.307999134098836	1
46	TRINITY_DN165645_c0_g1_i1	-0.237284397625158	1
47	TRINITY_DN132807_c1_g1_i7	0.404852113254532	1
48	TRINITY_DN133473_c0_g8_i4	-0.400247235737467	1
49	TRINITY_DN130224_c3_g3_i1	-0.376316681385846	1
50	TRINITY_DN131300_c5_g1_i1	0.0464674098294107	1
51	TRINITY_DN128838_c1_g1_i1	0.140383985299284	1
52	TRINITY_DN134872_c1_g1_i1	-0.0260482233535512	1
