gene	FDR	logFC
TRINITY_DN131408_c1_g3_i2	0.999984990642638	0.43704843560881
TRINITY_DN135495_c0_g4_i4	0.999984990642638	-0.16523202392012
TRINITY_DN131528_c2_g1_i1	0.999984990642638	0.00423371469235202
TRINITY_DN126312_c0_g1_i4	0.999984990642638	0.145917015399609
TRINITY_DN133310_c0_g2_i1	0.999984990642638	-0.513487819382839
TRINITY_DN126328_c0_g2_i1	0.999984990642638	-0.393163814849384
TRINITY_DN136320_c0_g1_i1	0.999984990642638	-0.00202265923734082
TRINITY_DN125015_c6_g1_i1	0.999984990642638	0.205625317551886
TRINITY_DN127376_c0_g1_i1	0.999984990642638	-0.16989886557834
TRINITY_DN127901_c0_g2_i1	0.999984990642638	0.538089302447069
TRINITY_DN125214_c0_g1_i1	0.999984990642638	0.0598781076414584
TRINITY_DN136216_c2_g1_i1	0.999984990642638	-0.320848203679113
TRINITY_DN115599_c0_g1_i1	0.999984990642638	-0.252288493108492
TRINITY_DN119931_c0_g1_i1	0.999984990642638	-0.0970843087345364
TRINITY_DN128516_c1_g3_i2	0.999984990642638	0.0731795202828516
TRINITY_DN110146_c0_g1_i3	0.999984990642638	0.0954378546139096
TRINITY_DN93335_c0_g2_i1	0.999984990642638	0.613385105920679
TRINITY_DN116988_c0_g1_i1	0.999984990642638	0.0470150607664101
TRINITY_DN125389_c0_g2_i1	0.999984990642638	-0.132499006632489
TRINITY_DN135536_c0_g5_i3	0.999984990642638	-0.0773810837130825
TRINITY_DN121040_c0_g3_i2	0.999984990642638	-0.391562620266417
TRINITY_DN44213_c0_g1_i1	0.999984990642638	-0.524505579161499
TRINITY_DN136027_c5_g1_i1	0.999984990642638	0.152140186042435
TRINITY_DN136232_c2_g1_i2	0.999984990642638	-0.169144806215612
TRINITY_DN130370_c3_g3_i3	0.128140918446432	0.536868126063699
TRINITY_DN84079_c0_g2_i1	5.18644460186632e-05	-6.07237134885418
TRINITY_DN112907_c0_g2_i1	0.999984990642638	0.00970185302037677
TRINITY_DN121419_c0_g1_i2	0.999984990642638	0.305007824630158
TRINITY_DN128639_c1_g5_i1	0.999984990642638	0.0297925353912448
TRINITY_DN116944_c0_g1_i1	0.999984990642638	-0.146413198105825
TRINITY_DN120724_c0_g1_i1	0.999984990642638	-0.207127837344992
TRINITY_DN126177_c8_g2_i3	0.999984990642638	0.0896170244599164
TRINITY_DN136324_c5_g3_i1	0.999984990642638	-0.142473792771258
TRINITY_DN133534_c2_g9_i5	0.847493304563635	0.705576351909282
TRINITY_DN130167_c0_g1_i1	0.713591986293935	-0.343987241924768
TRINITY_DN136717_c7_g2_i2	0.999984990642638	-0.186264477689578
TRINITY_DN134008_c0_g3_i1	0.999984990642638	-0.0594976000833975
TRINITY_DN124216_c1_g3_i9	0.999984990642638	0.0378512326437521
TRINITY_DN140959_c0_g1_i1	0.999984990642638	0.32870563839392
TRINITY_DN123066_c0_g1_i1	0.999984990642638	0.464030825604639
TRINITY_DN133488_c1_g1_i1	0.795881848928945	-0.5951167899518
TRINITY_DN113900_c0_g1_i1	0.983722158375826	0.777545888129658
TRINITY_DN115726_c0_g4_i1	0.0246522213240819	1.29860781554135
TRINITY_DN125983_c0_g2_i1	0.999984990642638	-0.309433912859588
TRINITY_DN165645_c0_g1_i1	0.999984990642638	-0.229269598275838
TRINITY_DN132807_c1_g1_i7	0.999984990642638	0.409280618620635
TRINITY_DN133473_c0_g8_i4	0.999984990642638	-0.396696930958645
TRINITY_DN130224_c3_g3_i1	0.999984990642638	-0.362427040093444
TRINITY_DN131300_c5_g1_i1	0.999984990642638	0.0533503545671766
TRINITY_DN128838_c1_g1_i1	0.999984990642638	0.145528164498734
TRINITY_DN134872_c1_g1_i1	0.999984990642638	-0.0203568040167514
TRINITY_DN123382_c4_g5_i1	0.999984990642638	0.192597893313423
TRINITY_DN119152_c0_g1_i4	0.999984990642638	-0.309327003546791
TRINITY_DN119009_c0_g2_i2	0.999984990642638	-0.00503866953023676
TRINITY_DN126289_c6_g2_i1	0.999984990642638	6.83457225049362e-05
TRINITY_DN126925_c1_g1_i1	0.999984990642638	0.149839321224491
TRINITY_DN126784_c0_g4_i1	0.999984990642638	0.179327312816732
TRINITY_DN133663_c0_g1_i1	0.870068507041526	0.370432506909866
TRINITY_DN125578_c3_g2_i4	0.999984990642638	0.0670312863111238
TRINITY_DN134157_c2_g1_i1	0.999984990642638	-0.125034854600153
TRINITY_DN127999_c10_g6_i2	0.999984990642638	0.555890549153088
TRINITY_DN133961_c2_g7_i1	0.999984990642638	0.279371811683664
TRINITY_DN82615_c0_g1_i1	0.00450801736098881	-4.11895685341213
TRINITY_DN126256_c6_g2_i1	0.999984990642638	-0.0276734531285666
TRINITY_DN131805_c5_g1_i1	0.999984990642638	0.0540545781352239
TRINITY_DN133214_c1_g4_i1	0.999984990642638	0.0931823409537168
TRINITY_DN123057_c1_g2_i1	0.999984990642638	-0.15456215492118
TRINITY_DN117152_c0_g1_i1	0.999984990642638	0.0532363658296328
TRINITY_DN113985_c0_g1_i1	0.999984990642638	-0.153178153126962
TRINITY_DN49255_c0_g1_i1	0.999984990642638	0.16438939422559
TRINITY_DN128540_c2_g1_i1	0.999984990642638	-0.0181157680575051
TRINITY_DN134913_c0_g3_i1	0.999984990642638	0.553917144763685
TRINITY_DN135255_c2_g1_i11	0.999984990642638	0.170658252667593
TRINITY_DN122166_c0_g1_i3	0.999984990642638	-0.0740855729696833
TRINITY_DN118819_c0_g1_i1	0.999984990642638	-0.0638679440778705
TRINITY_DN134766_c0_g2_i4	0.999984990642638	0.516952664581167
TRINITY_DN119206_c2_g1_i3	0.999984990642638	-0.0811718519752021
TRINITY_DN118236_c0_g2_i2	0.999984990642638	0.191027211937408
TRINITY_DN125136_c3_g2_i1	0.999984990642638	0.128729042058024
TRINITY_DN128797_c4_g2_i1	0.999984990642638	0.272659797689762
TRINITY_DN110193_c0_g1_i1	0.999984990642638	-0.349428428643703
TRINITY_DN132705_c7_g1_i2	0.999984990642638	0.278801528733634
TRINITY_DN134673_c2_g2_i1	0.999984990642638	-0.661980433992246
TRINITY_DN103744_c0_g1_i2	0.999984990642638	0.0312599971819507
TRINITY_DN124009_c0_g1_i3	0.999984990642638	0.0416461541160075
TRINITY_DN135453_c2_g3_i2	0.999984990642638	-0.85913853403048
TRINITY_DN121510_c0_g1_i1	0.999984990642638	0.0495476478187317
TRINITY_DN111407_c0_g1_i1	0.999984990642638	0.223847116241358
TRINITY_DN125103_c0_g1_i3	0.999984990642638	-0.139489860862638
TRINITY_DN119168_c0_g1_i2	0.999984990642638	-0.122667353288924
TRINITY_DN117646_c0_g2_i1	0.0050428098078639	1.83662494473162
TRINITY_DN114622_c0_g1_i3	0.999984990642638	-0.150274380753421
TRINITY_DN27210_c0_g1_i1	0.999984990642638	1.17556239630167
TRINITY_DN130634_c6_g2_i1	0.999984990642638	0.768395272928198
TRINITY_DN131256_c2_g1_i9	0.999984990642638	-0.0821828060291056
TRINITY_DN82945_c0_g1_i1	0.999984990642638	0.0283696818429137
TRINITY_DN126073_c0_g2_i3	0.999984990642638	-0.0645334065049441
TRINITY_DN120539_c0_g1_i1	0.999984990642638	-0.1597835526764
TRINITY_DN50464_c0_g1_i1	0.999984990642638	-0.062334979703107
TRINITY_DN131589_c8_g2_i1	0.999984990642638	0.281734058729505
TRINITY_DN118751_c0_g1_i2	0.999984990642638	0.25921204613479
TRINITY_DN126256_c5_g1_i6	0.999984990642638	-0.0364370557179287
TRINITY_DN133977_c8_g3_i1	0.999984990642638	-0.260072236320221
TRINITY_DN23687_c0_g1_i1	0.999984990642638	-0.10207721154257
TRINITY_DN111985_c0_g2_i1	0.699651644055747	-0.761312719389679
TRINITY_DN121407_c0_g1_i1	0.999984990642638	-0.116350822653151
TRINITY_DN125805_c1_g1_i1	0.999984990642638	-0.305181366344132
TRINITY_DN108182_c0_g2_i1	0.999984990642638	-0.325895531560953
TRINITY_DN126133_c2_g1_i1	0.999984990642638	-0.0445255702370798
TRINITY_DN122732_c0_g2_i1	0.999984990642638	-0.374631473021387
TRINITY_DN116959_c0_g6_i1	0.999984990642638	-0.116169585622272
TRINITY_DN132079_c8_g1_i1	0.999984990642638	0.592786061947412
TRINITY_DN118707_c0_g1_i1	0.999984990642638	0.23604449386173
TRINITY_DN128905_c8_g2_i1	0.999984990642638	-0.0735313992698183
TRINITY_DN133167_c0_g1_i1	0.999984990642638	-0.0468419776595314
TRINITY_DN118466_c0_g1_i1	0.999984990642638	-0.010626459178092
TRINITY_DN115448_c1_g1_i1	0.999984990642638	-0.223974051604595
TRINITY_DN2377_c0_g1_i1	0.999984990642638	-0.288721992024809
TRINITY_DN131763_c0_g1_i1	0.999984990642638	-0.0205185238093097
TRINITY_DN99547_c0_g1_i3	0.999984990642638	0.253523057493264
TRINITY_DN129074_c0_g1_i1	0.999984990642638	-0.159174446929226
TRINITY_DN105698_c0_g1_i1	0.999984990642638	0.307935690885758
TRINITY_DN133456_c2_g1_i4	0.999984990642638	0.00242359021281229
TRINITY_DN106189_c0_g2_i1	0.999984990642638	0.116526402205499
TRINITY_DN13860_c0_g1_i1	0.999984990642638	-0.11413888124518
TRINITY_DN119236_c0_g1_i1	0.999984990642638	-0.282942646671392
TRINITY_DN118783_c0_g1_i1	0.999984990642638	0.0529857351177073
TRINITY_DN136717_c2_g1_i1	0.999984990642638	0.276125421379546
TRINITY_DN131635_c0_g1_i2	0.999984990642638	-0.189417113170376
TRINITY_DN125440_c1_g1_i1	0.999984990642638	0.127636368622639
TRINITY_DN130485_c2_g8_i2	0.999984990642638	0.0796860863739772
TRINITY_DN110191_c0_g2_i1	0.111263878965201	-1.27137796897342
TRINITY_DN125527_c2_g3_i3	0.999984990642638	0.0100525926568452
TRINITY_DN124893_c2_g2_i3	0.999984990642638	-0.020369621884356
TRINITY_DN130800_c2_g2_i2	0.999984990642638	0.00623939052538513
TRINITY_DN122980_c0_g2_i2	0.999984990642638	-0.0840922788467215
TRINITY_DN116374_c0_g1_i2	0.999984990642638	0.00294876822625843
TRINITY_DN124034_c2_g12_i1	0.999984990642638	-0.338574739769981
TRINITY_DN128841_c1_g1_i1	0.999984990642638	0.252365446274007
TRINITY_DN103877_c0_g1_i1	0.0819168348104425	1.89537879527307
TRINITY_DN107361_c0_g1_i2	0.999984990642638	-0.062083178393718
TRINITY_DN118699_c0_g1_i6	0.999984990642638	-0.0651393378845749
TRINITY_DN179538_c0_g1_i1	0.999984990642638	-0.109200844554571
TRINITY_DN133484_c2_g2_i1	0.999984990642638	-0.145198769475443
TRINITY_DN131500_c1_g2_i1	0.999984990642638	0.025059760496043
TRINITY_DN114302_c1_g1_i4	0.999984990642638	0.296902892447058
TRINITY_DN137338_c0_g1_i1	0.999984990642638	0.215041610932056
TRINITY_DN130626_c2_g1_i3	0.999984990642638	0.00560032437309685
TRINITY_DN102489_c0_g3_i1	0.999984990642638	-0.442865506771789
TRINITY_DN130734_c4_g1_i2	0.999984990642638	-0.0215992230444179
TRINITY_DN125389_c0_g4_i1	0.999984990642638	-0.768014116389077
TRINITY_DN116467_c0_g1_i2	0.999984990642638	-0.0378684901898629
TRINITY_DN133220_c5_g1_i1	0.999984990642638	0.155363298271176
TRINITY_DN5080_c0_g2_i1	4.82874009597528e-06	-7.83788965995414
TRINITY_DN130829_c4_g2_i3	0.999984990642638	0.532263525628585
TRINITY_DN128891_c3_g1_i7	0.999984990642638	0.187856866955917
TRINITY_DN121244_c2_g1_i3	0.999984990642638	0.0870349775164858
TRINITY_DN126877_c0_g1_i1	0.999984990642638	0.169190066126646
TRINITY_DN130096_c4_g9_i1	0.999984990642638	-0.108883160633346
TRINITY_DN129468_c0_g2_i1	0.999984990642638	0.322571718680064
TRINITY_DN116040_c0_g1_i1	0.999984990642638	-0.0350032549466979
TRINITY_DN130265_c2_g2_i3	0.999984990642638	0.180948747958631
TRINITY_DN123909_c5_g1_i1	0.999984990642638	-0.153015648295011
TRINITY_DN131820_c1_g1_i1	0.999984990642638	-0.534890377477505
TRINITY_DN123719_c0_g1_i4	0.999984990642638	-0.120730520981279
TRINITY_DN130872_c8_g5_i1	0.999984990642638	-0.0430919045806448
TRINITY_DN24863_c0_g1_i1	0.000272587120551878	-5.07844481007239
TRINITY_DN128935_c0_g2_i1	0.999984990642638	-0.0971495882878426
TRINITY_DN96535_c0_g2_i1	0.999984990642638	-0.232987894269578
TRINITY_DN146514_c0_g1_i1	0.999984990642638	-0.0556413100367198
TRINITY_DN121652_c0_g1_i6	0.999984990642638	0.550688387203981
TRINITY_DN21687_c0_g2_i1	0.999984990642638	0.0152093128026322
TRINITY_DN127745_c0_g1_i1	0.999984990642638	-0.262695038784126
TRINITY_DN120338_c0_g3_i1	0.999984990642638	0.32407273383829
TRINITY_DN119306_c0_g1_i2	0.999984990642638	0.192384676724784
TRINITY_DN123064_c3_g1_i1	0.247593172441243	0.623901465243003
TRINITY_DN135701_c6_g1_i1	0.999984990642638	-0.0358778374057188
TRINITY_DN124894_c7_g3_i3	0.999984990642638	0.0479284889893469
TRINITY_DN111380_c0_g1_i1	0.999984990642638	0.21373980054596
