gene	logFC	FDR
1	TRINITY_DN131408_c1_g3_i2	0.437190675916387	0.99997547654359
2	TRINITY_DN135495_c0_g4_i4	-0.164880510373534	0.99997547654359
3	TRINITY_DN131528_c2_g1_i1	0.00448185500753129	0.99997547654359
4	TRINITY_DN126312_c0_g1_i4	0.145659059088241	0.99997547654359
5	TRINITY_DN133310_c0_g2_i1	-0.51363851609411	0.99997547654359
6	TRINITY_DN126328_c0_g2_i1	-0.392667571885704	0.99997547654359
7	TRINITY_DN136320_c0_g1_i1	-0.00131441680822822	0.99997547654359
8	TRINITY_DN125015_c6_g1_i1	0.205869392563471	0.99997547654359
9	TRINITY_DN127376_c0_g1_i1	-0.169689601124212	0.99997547654359
10	TRINITY_DN127901_c0_g2_i1	0.538476928572166	0.99997547654359
11	TRINITY_DN125214_c0_g1_i1	0.0601086943102319	0.99997547654359
12	TRINITY_DN136216_c2_g1_i1	-0.320725995709852	0.99997547654359
13	TRINITY_DN115599_c0_g1_i1	-0.252117949029395	0.99997547654359
14	TRINITY_DN119931_c0_g1_i1	-0.0968368075366933	0.99997547654359
15	TRINITY_DN128516_c1_g3_i2	0.0733662515826016	0.99997547654359
16	TRINITY_DN110146_c0_g1_i3	0.0954939354223098	0.99997547654359
17	TRINITY_DN93335_c0_g2_i1	0.614896237505529	0.99997547654359
18	TRINITY_DN116988_c0_g1_i1	0.0473266510843302	0.99997547654359
19	TRINITY_DN125389_c0_g2_i1	-0.132181509754899	0.99997547654359
20	TRINITY_DN135536_c0_g5_i3	-0.0779896062193915	0.99997547654359
21	TRINITY_DN121040_c0_g3_i2	-0.391161292356741	0.99997547654359
22	TRINITY_DN44213_c0_g1_i1	-0.524414040870866	0.99997547654359
23	TRINITY_DN136027_c5_g1_i1	0.152440971151803	0.99997547654359
24	TRINITY_DN136232_c2_g1_i2	-0.168901759856297	0.99997547654359
25	TRINITY_DN130370_c3_g3_i3	0.537165960110194	0.131842916746349
26	TRINITY_DN112907_c0_g2_i1	0.0100378026570523	0.99997547654359
27	TRINITY_DN121419_c0_g1_i2	0.305222658258839	0.99997547654359
28	TRINITY_DN128639_c1_g5_i1	0.0298333010532117	0.99997547654359
29	TRINITY_DN116944_c0_g1_i1	-0.146082723025953	0.99997547654359
30	TRINITY_DN120724_c0_g1_i1	-0.20676124438997	0.99997547654359
31	TRINITY_DN126177_c8_g2_i3	0.0899300850647627	0.99997547654359
32	TRINITY_DN136324_c5_g3_i1	-0.142634047340337	0.99997547654359
33	TRINITY_DN133534_c2_g9_i5	0.706014999721377	0.840722986827521
34	TRINITY_DN130167_c0_g1_i1	-0.343695346601775	0.72077886970131
35	TRINITY_DN136717_c7_g2_i2	-0.18561692828774	0.99997547654359
36	TRINITY_DN134008_c0_g3_i1	-0.0591775005657505	0.99997547654359
37	TRINITY_DN124216_c1_g3_i9	0.0380568643429671	0.99997547654359
38	TRINITY_DN140959_c0_g1_i1	0.328946767132711	0.99997547654359
39	TRINITY_DN123066_c0_g1_i1	0.464467338703219	0.99997547654359
40	TRINITY_DN133488_c1_g1_i1	-0.594784247971874	0.782061991673011
41	TRINITY_DN113900_c0_g1_i1	0.777692698753833	0.932989609804623
42	TRINITY_DN125983_c0_g2_i1	-0.310253614078357	0.99997547654359
43	TRINITY_DN165645_c0_g1_i1	-0.229056809993031	0.99997547654359
44	TRINITY_DN132807_c1_g1_i7	0.409612122794656	0.99997547654359
45	TRINITY_DN133473_c0_g8_i4	-0.396539558525727	0.99997547654359
46	TRINITY_DN130224_c3_g3_i1	-0.3622884349981	0.99997547654359
47	TRINITY_DN131300_c5_g1_i1	0.0536752726638658	0.99997547654359
48	TRINITY_DN128838_c1_g1_i1	0.14578373339624	0.99997547654359
49	TRINITY_DN134872_c1_g1_i1	-0.0199881678027032	0.99997547654359
50	TRINITY_DN123382_c4_g5_i1	0.192876247391576	0.99997547654359
51	TRINITY_DN119152_c0_g1_i4	-0.309109603862355	0.99997547654359
52	TRINITY_DN119009_c0_g2_i2	-0.00471207291040829	0.99997547654359
53	TRINITY_DN126289_c6_g2_i1	0.000625637836008038	0.99997547654359
54	TRINITY_DN126925_c1_g1_i1	0.150184477508349	0.99997547654359
55	TRINITY_DN126784_c0_g4_i1	0.17965452112937	0.99997547654359
56	TRINITY_DN133663_c0_g1_i1	0.370565249403817	0.877928586075451
57	TRINITY_DN125578_c3_g2_i4	0.0674552028739586	0.99997547654359
58	TRINITY_DN134157_c2_g1_i1	-0.124899893637402	0.99997547654359
59	TRINITY_DN127999_c10_g6_i2	0.556423832603709	0.99997547654359
60	TRINITY_DN133961_c2_g7_i1	0.279328231753995	0.99997547654359
61	TRINITY_DN126256_c6_g2_i1	-0.0275321247619158	0.99997547654359
62	TRINITY_DN131805_c5_g1_i1	0.0543446109077353	0.99997547654359
63	TRINITY_DN133214_c1_g4_i1	0.093438642298419	0.99997547654359
64	TRINITY_DN123057_c1_g2_i1	-0.154213470987562	0.99997547654359
65	TRINITY_DN117152_c0_g1_i1	0.0535629032657645	0.99997547654359
66	TRINITY_DN113985_c0_g1_i1	-0.152879581154857	0.99997547654359
67	TRINITY_DN49255_c0_g1_i1	0.164763127546113	0.99997547654359
68	TRINITY_DN128540_c2_g1_i1	-0.017832672009063	0.99997547654359
69	TRINITY_DN134913_c0_g3_i1	0.555277309055854	0.99997547654359
70	TRINITY_DN135255_c2_g1_i11	0.170945994983886	0.99997547654359
71	TRINITY_DN122166_c0_g1_i3	-0.0738625539016748	0.99997547654359
72	TRINITY_DN118819_c0_g1_i1	-0.0636686803113022	0.99997547654359
73	TRINITY_DN134766_c0_g2_i4	0.517462201390637	0.99997547654359
74	TRINITY_DN119206_c2_g1_i3	-0.080902603998307	0.99997547654359
75	TRINITY_DN118236_c0_g2_i2	0.191190018724261	0.99997547654359
76	TRINITY_DN125136_c3_g2_i1	0.129508182157565	0.99997547654359
77	TRINITY_DN128797_c4_g2_i1	0.27316359056462	0.99997547654359
78	TRINITY_DN110193_c0_g1_i1	-0.349013379465074	0.99997547654359
79	TRINITY_DN132705_c7_g1_i2	0.279820607352029	0.99997547654359
80	TRINITY_DN134673_c2_g2_i1	-0.661913420969258	0.99997547654359
81	TRINITY_DN103744_c0_g1_i2	0.0315533554887749	0.99997547654359
82	TRINITY_DN124009_c0_g1_i3	0.0418780801782677	0.99997547654359
83	TRINITY_DN135453_c2_g3_i2	-0.858761726536395	0.99997547654359
84	TRINITY_DN121510_c0_g1_i1	0.0497640743087844	0.99997547654359
85	TRINITY_DN111407_c0_g1_i1	0.223956904651674	0.99997547654359
86	TRINITY_DN125103_c0_g1_i3	-0.13944550789024	0.99997547654359
87	TRINITY_DN119168_c0_g1_i2	-0.122398248105995	0.99997547654359
88	TRINITY_DN114622_c0_g1_i3	-0.150073300163411	0.99997547654359
89	TRINITY_DN27210_c0_g1_i1	1.17467309117938	0.99997547654359
90	TRINITY_DN130634_c6_g2_i1	0.768892584211727	0.99997547654359
91	TRINITY_DN131256_c2_g1_i9	-0.0819461945223085	0.99997547654359
92	TRINITY_DN82945_c0_g1_i1	0.0286676967578213	0.99997547654359
93	TRINITY_DN126073_c0_g2_i3	-0.0641245176404594	0.99997547654359
94	TRINITY_DN120539_c0_g1_i1	-0.159509531890567	0.99997547654359
95	TRINITY_DN50464_c0_g1_i1	-0.0621679232824931	0.99997547654359
96	TRINITY_DN131589_c8_g2_i1	0.281986603694248	0.99997547654359
97	TRINITY_DN118751_c0_g1_i2	0.259421263591518	0.99997547654359
98	TRINITY_DN126256_c5_g1_i6	-0.0361587994832153	0.99997547654359
99	TRINITY_DN133977_c8_g3_i1	-0.259865822872014	0.99997547654359
100	TRINITY_DN23687_c0_g1_i1	-0.101858271469421	0.99997547654359
101	TRINITY_DN111985_c0_g2_i1	-0.760823643459945	0.690496128959198
102	TRINITY_DN121407_c0_g1_i1	-0.116066969883246	0.99997547654359
103	TRINITY_DN125805_c1_g1_i1	-0.305059678567147	0.99997547654359
104	TRINITY_DN108182_c0_g2_i1	-0.325462383737801	0.99997547654359
105	TRINITY_DN126133_c2_g1_i1	-0.0441836830492667	0.99997547654359
106	TRINITY_DN122732_c0_g2_i1	-0.371974528022486	0.99997547654359
107	TRINITY_DN116959_c0_g6_i1	-0.116705387756283	0.99997547654359
108	TRINITY_DN132079_c8_g1_i1	0.593420239804459	0.99997547654359
109	TRINITY_DN118707_c0_g1_i1	0.236343290778292	0.99997547654359
110	TRINITY_DN128905_c8_g2_i1	-0.0733438082422898	0.99997547654359
111	TRINITY_DN133167_c0_g1_i1	-0.0466648385392257	0.99997547654359
112	TRINITY_DN118466_c0_g1_i1	-0.0103810358851417	0.99997547654359
113	TRINITY_DN115448_c1_g1_i1	-0.223525592273525	0.99997547654359
114	TRINITY_DN2377_c0_g1_i1	-0.288478563675244	0.99997547654359
115	TRINITY_DN131763_c0_g1_i1	-0.0201185736288735	0.99997547654359
116	TRINITY_DN99547_c0_g1_i3	0.254162771964803	0.99997547654359
117	TRINITY_DN129074_c0_g1_i1	-0.158866748116199	0.99997547654359
118	TRINITY_DN105698_c0_g1_i1	0.308248258009325	0.99997547654359
119	TRINITY_DN133456_c2_g1_i4	0.00271689930245316	0.99997547654359
120	TRINITY_DN106189_c0_g2_i1	0.116540168250238	0.99997547654359
121	TRINITY_DN13860_c0_g1_i1	-0.114189240892906	0.99997547654359
122	TRINITY_DN119236_c0_g1_i1	-0.282644489041627	0.99997547654359
123	TRINITY_DN118783_c0_g1_i1	0.0531622862525251	0.99997547654359
124	TRINITY_DN136717_c2_g1_i1	0.276129261510836	0.99997547654359
125	TRINITY_DN131635_c0_g1_i2	-0.18914196280959	0.99997547654359
126	TRINITY_DN125440_c1_g1_i1	0.127960772260251	0.99997547654359
127	TRINITY_DN130485_c2_g8_i2	0.0798958645883024	0.99997547654359
128	TRINITY_DN110191_c0_g2_i1	-1.2711267245086	0.108958782104547
129	TRINITY_DN125527_c2_g3_i3	0.0103534313858602	0.99997547654359
130	TRINITY_DN124893_c2_g2_i3	-0.0202887501557008	0.99997547654359
131	TRINITY_DN130800_c2_g2_i2	0.00652377827349057	0.99997547654359
132	TRINITY_DN122980_c0_g2_i2	-0.0838278630391673	0.99997547654359
133	TRINITY_DN116374_c0_g1_i2	0.00319867115081183	0.99997547654359
134	TRINITY_DN124034_c2_g12_i1	-0.338316107263575	0.99997547654359
135	TRINITY_DN128841_c1_g1_i1	0.252656600580435	0.99997547654359
136	TRINITY_DN107361_c0_g1_i2	-0.0627235875798233	0.99997547654359
137	TRINITY_DN118699_c0_g1_i6	-0.0648494821659846	0.99997547654359
138	TRINITY_DN179538_c0_g1_i1	-0.108761454327166	0.99997547654359
139	TRINITY_DN133484_c2_g2_i1	-0.14497217382738	0.99997547654359
140	TRINITY_DN131500_c1_g2_i1	0.0253807324662166	0.99997547654359
141	TRINITY_DN137338_c0_g1_i1	0.215260325242143	0.99997547654359
142	TRINITY_DN130626_c2_g1_i3	0.00612673905887343	0.99997547654359
143	TRINITY_DN102489_c0_g3_i1	-0.442990125171453	0.99997547654359
144	TRINITY_DN130734_c4_g1_i2	-0.0213210988635277	0.99997547654359
145	TRINITY_DN125389_c0_g4_i1	-0.768044926476168	0.99997547654359
146	TRINITY_DN116467_c0_g1_i2	-0.0372653828667621	0.99997547654359
147	TRINITY_DN133220_c5_g1_i1	0.155636784492635	0.99997547654359
148	TRINITY_DN130829_c4_g2_i3	0.532325455342433	0.99997547654359
149	TRINITY_DN128891_c3_g1_i7	0.188045694656642	0.99997547654359
150	TRINITY_DN121244_c2_g1_i3	0.0873529675083605	0.99997547654359
151	TRINITY_DN126877_c0_g1_i1	0.169402072014907	0.99997547654359
152	TRINITY_DN130096_c4_g9_i1	-0.108598406319518	0.99997547654359
153	TRINITY_DN129468_c0_g2_i1	0.324509963125586	0.99997547654359
154	TRINITY_DN116040_c0_g1_i1	-0.0347869046094175	0.99997547654359
