gene	logFC	FDR
1	TRINITY_DN117646_c0_g2_i1	1.87168442539784	0.00862345980067499
2	TRINITY_DN131605_c2_g1_i2	0.655497617667481	0.035134345500493
3	TRINITY_DN76716_c0_g1_i1	2.92390769162472	0.00586731827912494
4	TRINITY_DN132765_c1_g1_i7	3.16829563757643	0.010891685069788
5	TRINITY_DN131738_c0_g7_i11	0.971181787668888	0.0176016851365178
6	TRINITY_DN117550_c0_g1_i1	1.12283948436398	0.00225812004267666
7	TRINITY_DN129733_c3_g5_i1	2.07076991724343	9.01472593260004e-05
8	TRINITY_DN131154_c3_g9_i2	0.929134621607252	0.0413843428353506
9	TRINITY_DN116365_c0_g1_i1	3.7549420457049	0.00561084276021566
10	TRINITY_DN106665_c0_g1_i1	3.03321245658354	0.0211769174733373
11	TRINITY_DN14364_c0_g1_i1	2.60292987877608	0.0178838517846056
12	TRINITY_DN93756_c0_g1_i1	8.40402146547335	1.80433760134452e-14
13	TRINITY_DN135643_c7_g7_i1	1.17688703509367	0.0124076615462786
14	TRINITY_DN128095_c4_g3_i3	2.20685954074908	0.00395175313148714
15	TRINITY_DN103781_c0_g2_i1	1.35268319521725	0.0137500289770234
16	TRINITY_DN134021_c2_g1_i2	2.52011941847789	0.0499162818245943
17	TRINITY_DN116138_c0_g2_i2	3.92499193145064	0.0460562556812498
18	TRINITY_DN134507_c0_g7_i2	1.10429499421833	0.0205125565724236
19	TRINITY_DN123558_c0_g1_i1	1.14184971512145	0.0403749987073454
20	TRINITY_DN112930_c0_g1_i1	1.76404002158457	0.0300984082829474
21	TRINITY_DN126145_c3_g1_i2	0.875164255533268	0.019804047501133
22	TRINITY_DN109305_c0_g2_i2	3.53387547566126	0.00273961037946002
23	TRINITY_DN113301_c1_g1_i1	1.15556461390636	0.00342343998777815
24	TRINITY_DN136412_c0_g7_i1	2.69239022114397	0.022364063956501
25	TRINITY_DN132119_c0_g1_i1	1.34451760111379	0.0141868602160225
26	TRINITY_DN117036_c0_g1_i1	2.52458118244731	0.00639829836777697
27	TRINITY_DN121505_c1_g3_i1	1.62040645084843	0.00584076077239817
28	TRINITY_DN132560_c1_g7_i1	3.6231846970313	0.0270314156336187
29	TRINITY_DN125090_c0_g1_i3	1.56658307025432	0.0352271385484181
30	TRINITY_DN131220_c7_g1_i1	1.28584497151275	0.00288342467102144
31	TRINITY_DN122524_c0_g1_i1	0.966861593711319	0.0384272261010969
32	TRINITY_DN126037_c0_g3_i1	0.985743571276232	0.0391050125776555
33	TRINITY_DN128884_c3_g1_i1	1.53217029310775	0.00208999624351632
34	TRINITY_DN122025_c0_g1_i3	1.10960494498486	0.00470524988004616
35	TRINITY_DN133320_c2_g1_i1	0.649993640270881	0.018127630030996
36	TRINITY_DN124558_c3_g2_i6	0.727384834286197	0.0240440588461026
37	TRINITY_DN129658_c2_g4_i1	0.984462160230946	0.00207456600980239
38	TRINITY_DN124755_c3_g2_i1	1.52458327225253	0.00299885587153211
39	TRINITY_DN124934_c0_g2_i1	4.38184621796532	0.000199322322720372
40	TRINITY_DN126719_c0_g1_i3	5.38249640527782	1.94028801876505e-06
41	TRINITY_DN125021_c5_g6_i1	1.32506889498694	0.00234583620845639
42	TRINITY_DN128367_c1_g4_i3	5.82220761020192	0.00148328587441572
43	TRINITY_DN115328_c0_g1_i1	1.32924506308977	8.51525057004557e-05
44	TRINITY_DN122960_c4_g4_i2	1.09415936661353	0.0016170482018816
45	TRINITY_DN129213_c0_g2_i1	1.02763009669289	0.00914178466661042
46	TRINITY_DN131218_c0_g1_i10	1.98804625849078	0.0149932758360098
47	TRINITY_DN120963_c0_g1_i2	3.78159532638689	0.000383346549852654
48	TRINITY_DN126942_c1_g2_i1	2.85973846904768	3.09552671034298e-09
49	TRINITY_DN173093_c0_g1_i1	3.635960767259	0.00327909581828705
50	TRINITY_DN135666_c0_g3_i1	0.721731986173465	0.037695964926594
51	TRINITY_DN114504_c0_g2_i2	1.67705288502392	0.0449832788793737
52	TRINITY_DN125473_c3_g1_i1	1.05968938207075	0.00568769987889145
53	TRINITY_DN126602_c0_g1_i2	1.11444424526787	0.0431000347933955
54	TRINITY_DN38445_c0_g1_i1	4.81958625806834	7.81736369505422e-05
55	TRINITY_DN124848_c3_g1_i2	0.565008312440606	0.0449832788793737
56	TRINITY_DN118738_c0_g1_i3	1.0221873238363	0.0100797255349515
57	TRINITY_DN109728_c0_g1_i1	2.10112060385357	0.040327628108413
58	TRINITY_DN105267_c0_g2_i2	1.44561868217903	0.000263603793072348
59	TRINITY_DN121070_c1_g1_i1	1.0823789280587	0.0227252317330611
60	TRINITY_DN136565_c2_g1_i2	0.709044017432588	0.0329946125606193
61	TRINITY_DN126037_c0_g1_i1	1.98592202113724	0.0100446320575177
62	TRINITY_DN134235_c0_g1_i1	2.30719744960645	0.00561344915903272
63	TRINITY_DN120657_c0_g1_i5	0.885197768388562	0.0489802045311983
64	TRINITY_DN122118_c0_g1_i1	1.81838806667394	0.000387032628725637
65	TRINITY_DN135966_c1_g1_i10	0.648887760387346	0.016702943779377
66	TRINITY_DN128233_c1_g1_i1	1.18427062978815	0.00316131814486253
67	TRINITY_DN131144_c0_g4_i3	2.11440960283849	0.0110797058689854
68	TRINITY_DN127581_c0_g2_i6	5.48285740526836	0.00266891949251746
69	TRINITY_DN113162_c1_g1_i1	0.847457023629421	0.041699540834927
70	TRINITY_DN153451_c0_g1_i1	4.11833373844682	0.0256623191798421
71	TRINITY_DN110989_c1_g2_i1	3.65435010096328	0.00065874902876169
72	TRINITY_DN129784_c1_g7_i1	2.74711361422702	0.00733578316457263
73	TRINITY_DN123918_c0_g2_i1	2.58541884379716	0.00384722095884281
74	TRINITY_DN129885_c0_g2_i14	1.00734216678298	0.0258841773558843
75	TRINITY_DN134934_c4_g1_i2	0.742929265912631	0.01231471895104
76	TRINITY_DN130192_c1_g2_i1	1.08717361484067	0.0117734438429756
77	TRINITY_DN127888_c0_g2_i1	3.2268821717408	0.000199481238150005
