gene	logFC	FDR
1	TRINITY_DN131408_c1_g3_i2	0.209343689944156	0.814640860846202
2	TRINITY_DN135495_c0_g4_i4	-0.465835424247782	0.19561771948145
3	TRINITY_DN133310_c0_g2_i1	0.181837105798088	0.803643618002467
4	TRINITY_DN126328_c0_g2_i1	-0.436508300213783	0.452416347594359
5	TRINITY_DN110993_c0_g3_i1	-0.954622568196997	0.22930144239675
6	TRINITY_DN136320_c0_g1_i1	-0.00631924702623724	0.993487097620325
7	TRINITY_DN125015_c6_g1_i1	0.678512020684001	0.22124081143094
8	TRINITY_DN127376_c0_g1_i1	0.747114249915138	0.190907874456015
9	TRINITY_DN127901_c0_g2_i1	0.81346801637617	0.174272773424255
10	TRINITY_DN135536_c0_g5_i3	0.958563087039523	0.0849686287475786
11	TRINITY_DN136027_c5_g1_i1	-0.567237780403608	0.244533423012257
12	TRINITY_DN130370_c3_g3_i3	0.309460487158345	0.540883859003468
13	TRINITY_DN116944_c0_g1_i1	-0.44489892803794	0.16849438934828
14	TRINITY_DN102142_c0_g1_i1	1.56415235093039	0.0518149544151043
15	TRINITY_DN130167_c0_g1_i1	0.594214012374495	0.0782180561663505
16	TRINITY_DN136717_c7_g2_i2	-0.72071303062593	0.188234049272395
17	TRINITY_DN140959_c0_g1_i1	0.444317386005708	0.552427582186861
18	TRINITY_DN116991_c0_g2_i1	1.03625705089235	0.323365422914719
19	TRINITY_DN125983_c0_g2_i1	-0.905337522999761	0.252262140033636
20	TRINITY_DN132807_c1_g1_i7	0.723351474437355	0.486416080835629
21	TRINITY_DN134872_c1_g1_i1	0.114202331409691	0.720382348848291
22	TRINITY_DN123382_c4_g5_i1	0.240580920334875	0.613410906116664
23	TRINITY_DN126925_c1_g1_i1	0.30111754640934	0.589116034342699
24	TRINITY_DN126784_c0_g4_i1	-0.0908558205265489	0.877164443248551
25	TRINITY_DN131805_c5_g1_i1	0.520906334445516	0.331012443857995
26	TRINITY_DN123057_c1_g2_i1	-0.844499061156508	0.0684099363608716
27	TRINITY_DN113985_c0_g1_i1	-1.25230468437805	0.103842231131197
28	TRINITY_DN49255_c0_g1_i1	0.960540965137575	0.120299171553556
29	TRINITY_DN128797_c4_g2_i1	-0.736956405836449	0.195204822573899
30	TRINITY_DN132705_c7_g1_i2	1.19933526659152	0.0590763119870876
31	TRINITY_DN121510_c0_g1_i1	-0.673310771401505	0.287971114626867
32	TRINITY_DN119168_c0_g1_i2	0.420208685996911	0.336298124253458
33	TRINITY_DN27210_c0_g1_i1	0.51039742197424	0.804897408363173
34	TRINITY_DN131256_c2_g1_i9	-0.0972690199873664	0.881005406837063
35	TRINITY_DN82945_c0_g1_i1	-0.479944631896825	0.0935450091077642
36	TRINITY_DN126073_c0_g2_i3	0.616460495542879	0.338020389317284
37	TRINITY_DN166517_c0_g1_i1	1.8119363080618	0.0574875873817829
38	TRINITY_DN118751_c0_g1_i2	-0.48770152768687	0.440713584448012
39	TRINITY_DN133977_c8_g3_i1	-0.340228216141723	0.6949590272115
40	TRINITY_DN23687_c0_g1_i1	-0.304211317873211	0.560719983108696
41	TRINITY_DN112711_c0_g2_i1	-1.55602708291254	0.0764541913697532
42	TRINITY_DN116959_c0_g6_i1	0.928477583499328	0.589069598092161
43	TRINITY_DN118466_c0_g1_i1	0.528353349305607	0.134581028089381
44	TRINITY_DN131763_c0_g1_i1	-0.248671710769212	0.665052337891209
45	TRINITY_DN129074_c0_g1_i1	-0.478993881594895	0.290574591839566
46	TRINITY_DN133456_c2_g1_i4	0.179205605377528	0.704819654887117
47	TRINITY_DN106189_c0_g2_i1	0.0604510476980244	0.91795221228228
48	TRINITY_DN13860_c0_g1_i1	-0.757041692207657	0.206201436429193
49	TRINITY_DN119236_c0_g1_i1	-0.461453918762677	0.119807495959435
50	TRINITY_DN118783_c0_g1_i1	0.502276964614938	0.332821466497546
51	TRINITY_DN136717_c2_g1_i1	-0.106348521575289	0.869525237660975
52	TRINITY_DN130485_c2_g8_i2	-0.150173504533993	0.689942542912595
53	TRINITY_DN124893_c2_g2_i3	0.29471105659722	0.605293620113216
54	TRINITY_DN130800_c2_g2_i2	0.184439038381531	0.724482802023388
55	TRINITY_DN128841_c1_g1_i1	0.945226681396813	0.0680778188166749
56	TRINITY_DN131500_c1_g2_i1	-0.741080840442674	0.27769022138281
57	TRINITY_DN130734_c4_g1_i2	-0.148776102318289	0.730891491508216
58	TRINITY_DN130829_c4_g2_i3	0.516268854657301	0.458365730372188
59	TRINITY_DN128891_c3_g1_i7	-0.444531003790389	0.423205956361882
60	TRINITY_DN121244_c2_g1_i3	0.957980054990871	0.225212160472328
61	TRINITY_DN126877_c0_g1_i1	0.392619979050627	0.571673083467235
62	TRINITY_DN130096_c4_g9_i1	-0.00437900493820431	0.994135317740993
63	TRINITY_DN123909_c5_g1_i1	-0.409546459448751	0.336476288131839
64	TRINITY_DN123719_c0_g1_i4	0.379895115354778	0.284997768369986
65	TRINITY_DN146514_c0_g1_i1	-0.246878076896015	0.65067874046987
66	TRINITY_DN121652_c0_g1_i6	0.815450448651487	0.202629278666864
67	TRINITY_DN21687_c0_g2_i1	-0.391840886984213	0.425036758600916
68	TRINITY_DN123064_c3_g1_i1	-0.137739583175147	0.825884405577528
69	TRINITY_DN124894_c7_g3_i3	-0.0843249003242298	0.892482432664052
70	TRINITY_DN133136_c6_g1_i1	-0.809374099026878	0.160777789195664
71	TRINITY_DN111380_c0_g1_i1	-1.03412045060306	0.0900489271953727
72	TRINITY_DN42272_c0_g2_i1	-0.629887382853944	0.658574397311411
73	TRINITY_DN129036_c2_g2_i4	-0.1078704883268	0.757303851970382
74	TRINITY_DN123756_c5_g4_i3	-0.294801593883281	0.506588836784408
75	TRINITY_DN131273_c1_g4_i1	-0.0815642023550834	0.888778512043619
76	TRINITY_DN121235_c0_g1_i1	-0.325827164764466	0.660991613498406
77	TRINITY_DN123599_c7_g4_i1	0.259907055846654	0.668375010966112
78	TRINITY_DN131447_c0_g2_i1	-0.657085345005208	0.15178750551831
79	TRINITY_DN135062_c1_g1_i2	-0.0802859551132886	0.814327356407881
80	TRINITY_DN126258_c0_g1_i1	-0.148240549339186	0.65110346266553
81	TRINITY_DN126384_c1_g7_i2	-0.150445057053559	0.779639751546233
82	TRINITY_DN45169_c0_g2_i1	-0.704010191980897	0.570542258237757
83	TRINITY_DN122542_c0_g1_i5	-0.909750051863872	0.175014257110783
84	TRINITY_DN146441_c0_g1_i1	0.502992203407405	0.551340662212177
85	TRINITY_DN127578_c0_g2_i2	0.332812363869268	0.584774823383267
86	TRINITY_DN123762_c0_g2_i2	0.656878950115715	0.271721786159165
87	TRINITY_DN132725_c0_g1_i1	-0.502701827264504	0.0750393067602505
88	TRINITY_DN129701_c1_g8_i3	0.49735357407491	0.246038825568272
89	TRINITY_DN131600_c3_g3_i1	-0.767439351081154	0.181413714669161
90	TRINITY_DN112976_c0_g1_i1	0.7760074052319	0.167028488359335
91	TRINITY_DN134438_c0_g1_i3	-0.0578357248046239	0.938813271951736
92	TRINITY_DN124494_c1_g1_i4	-0.475292895340055	0.195910502998424
93	TRINITY_DN97604_c0_g1_i1	0.482059829805338	0.433467932923954
94	TRINITY_DN127957_c0_g2_i3	-0.37980090052038	0.451781002327125
95	TRINITY_DN135172_c1_g1_i2	0.443652450003244	0.469618693619274
96	TRINITY_DN130320_c0_g7_i1	1.27886435681637	0.0797696709485112
97	TRINITY_DN126506_c2_g4_i1	-0.694595049458579	0.126131140591954
98	TRINITY_DN122172_c0_g3_i2	0.635302681552141	0.25186529796793
99	TRINITY_DN127794_c2_g3_i1	-0.145956462639036	0.783590035772883
100	TRINITY_DN134707_c0_g4_i1	0.881336872196159	0.196671007071676
101	TRINITY_DN125891_c2_g1_i1	0.768620367901034	0.160086975621861
102	TRINITY_DN119519_c0_g1_i2	-0.368885539947487	0.516522502740712
103	TRINITY_DN125031_c0_g1_i1	-0.126864114714013	0.662808931294805
104	TRINITY_DN127361_c12_g1_i2	-0.0258166232105123	0.963953914034874
105	TRINITY_DN126650_c0_g1_i1	0.108753802777967	0.873053090077329
106	TRINITY_DN134051_c6_g3_i1	0.745689475532989	0.100761906134129
107	TRINITY_DN129335_c8_g2_i1	0.886184429686823	0.221880139653829
108	TRINITY_DN120492_c0_g1_i1	0.940285451880763	0.068527223503834
109	TRINITY_DN126871_c1_g3_i1	0.403215653906564	0.467453377488852
110	TRINITY_DN135876_c7_g5_i1	-0.646676275878221	0.24864470791088
111	TRINITY_DN133228_c5_g1_i1	-0.807878362890555	0.257029167620662
112	TRINITY_DN131379_c2_g4_i6	-0.125461266663974	0.790620688022171
113	TRINITY_DN74628_c0_g2_i1	1.25991086421678	0.0914171138130577
114	TRINITY_DN126156_c3_g3_i7	-0.71745302372941	0.0819022072626047
115	TRINITY_DN117580_c0_g1_i2	-0.400691694423585	0.302825861975179
116	TRINITY_DN152033_c0_g1_i1	-0.272749150367059	0.63786018831781
117	TRINITY_DN38356_c0_g2_i1	1.07869757052287	0.0812338527183417
118	TRINITY_DN127093_c0_g2_i1	0.134266347366524	0.826746890754066
119	TRINITY_DN136214_c2_g1_i2	0.721337229569009	0.0962431223646934
120	TRINITY_DN124548_c2_g1_i2	0.307874819029698	0.366283465697021
121	TRINITY_DN112086_c0_g1_i1	-0.446904577271242	0.492850800546023
122	TRINITY_DN136201_c7_g1_i2	0.388779719677234	0.206289570415154
123	TRINITY_DN125755_c0_g1_i1	0.788534801903717	0.0693473658002024
124	TRINITY_DN124031_c2_g3_i1	-0.319049200364591	0.555042362827362
125	TRINITY_DN130872_c7_g1_i1	0.207648487863628	0.77023177473146
126	TRINITY_DN121165_c2_g1_i1	-0.497650173168051	0.477150861593872
127	TRINITY_DN127250_c1_g1_i3	-0.736225921016132	0.0610277404192632
128	TRINITY_DN127053_c0_g1_i2	0.62118678707864	0.156639419158154
129	TRINITY_DN116874_c0_g1_i1	-0.0634143295771926	0.833436150185749
130	TRINITY_DN131184_c1_g2_i2	0.0950048276446654	0.737220680501785
131	TRINITY_DN131592_c2_g2_i2	1.35647393730937	0.186267895891495
132	TRINITY_DN113850_c0_g1_i2	0.138351278409683	0.71440652189534
133	TRINITY_DN133955_c0_g1_i3	0.576509097034018	0.446452492160216
134	TRINITY_DN126595_c0_g1_i2	-0.52418551795527	0.0727672033756778
135	TRINITY_DN87953_c0_g1_i1	0.792786164468306	0.16998503333848
136	TRINITY_DN133415_c0_g1_i7	-0.115033475250444	0.812265188263568
137	TRINITY_DN111504_c0_g1_i1	-0.652951144981904	0.0772287946626221
138	TRINITY_DN121800_c0_g1_i2	0.74667770824991	0.318303259243358
139	TRINITY_DN102407_c0_g1_i1	0.199915099026365	0.819655420783244
140	TRINITY_DN130491_c2_g1_i8	0.171160544797182	0.679942645239622
141	TRINITY_DN135168_c1_g1_i7	0.949307141696698	0.0694350205062281
142	TRINITY_DN135263_c2_g1_i1	0.902209518620829	0.0714670688668548
143	TRINITY_DN126511_c4_g3_i1	-0.0519432243859345	0.882961827894916
144	TRINITY_DN130605_c0_g1_i4	-0.855685167173922	0.0780750579196555
145	TRINITY_DN125453_c0_g2_i1	-0.534569096156257	0.106757008658963
146	TRINITY_DN128828_c5_g4_i1	-0.223343986368243	0.700526228120531
147	TRINITY_DN121310_c0_g1_i1	0.184081344983924	0.751962710633645
148	TRINITY_DN131158_c7_g2_i1	0.296533010527257	0.640609893583935
149	TRINITY_DN108746_c0_g3_i1	-0.0636718231590683	0.960202145178092
150	TRINITY_DN123524_c0_g1_i2	-0.0561573843820462	0.927422489516574
151	TRINITY_DN135700_c0_g2_i2	-0.481940003669651	0.118543980118266
152	TRINITY_DN121783_c1_g3_i1	-0.0697412657760221	0.932141947762171
153	TRINITY_DN99718_c0_g1_i4	0.0711338717308352	0.905264228775647
154	TRINITY_DN134658_c2_g8_i3	0.553273244652161	0.215296058173252
155	TRINITY_DN133361_c0_g2_i1	-0.419566148248233	0.519337987518784
156	TRINITY_DN129311_c0_g4_i1	1.49501082448728	0.339774610218055
157	TRINITY_DN135223_c1_g12_i1	-0.305504351027716	0.584999941146225
158	TRINITY_DN129140_c0_g5_i6	0.115697801391261	0.743419119177187
159	TRINITY_DN112060_c0_g1_i2	0.34530759564994	0.583883293216899
160	TRINITY_DN107747_c0_g1_i1	0.129843968041372	0.822800447799358
161	TRINITY_DN133951_c0_g1_i5	0.164389734637049	0.793795025643384
162	TRINITY_DN132883_c2_g3_i1	0.203017079646293	0.675726454534798
163	TRINITY_DN132863_c1_g1_i1	0.391325155322136	0.228799748127586
164	TRINITY_DN132919_c4_g3_i1	0.778443021865694	0.141536954004291
165	TRINITY_DN128830_c1_g2_i5	-0.451368012393096	0.44918493060153
166	TRINITY_DN120549_c0_g1_i5	0.517466612817359	0.258432082320741
167	TRINITY_DN125191_c5_g7_i2	0.0832257782140357	0.883020877736697
168	TRINITY_DN129152_c5_g2_i1	1.45490464004665	0.195542856471144
169	TRINITY_DN139629_c0_g1_i1	-0.59739700729995	0.284813935060526
170	TRINITY_DN127064_c0_g1_i1	-0.202161192719373	0.704721791309414
171	TRINITY_DN134012_c7_g1_i1	-0.572012058301722	0.331023859762914
172	TRINITY_DN126404_c3_g1_i1	-0.518636715829501	0.177593668253266
173	TRINITY_DN136385_c5_g1_i2	1.28770736790681	0.0514693102070827
174	TRINITY_DN125293_c0_g1_i1	-0.28589980381974	0.619026368064395
175	TRINITY_DN124478_c0_g5_i6	0.830302508395592	0.0545629111478599
176	TRINITY_DN127710_c1_g2_i1	0.756843732817016	0.182265208839015
177	TRINITY_DN128894_c0_g4_i2	0.60999089473584	0.133880964746323
178	TRINITY_DN127319_c0_g5_i1	0.316395939973859	0.371670259181366
179	TRINITY_DN129022_c6_g4_i1	-0.897017454908225	0.0770695176037968
180	TRINITY_DN122742_c0_g1_i1	0.307477622671942	0.508114403184713
181	TRINITY_DN124935_c0_g2_i1	-0.103233493424123	0.899346275066164
182	TRINITY_DN102772_c0_g1_i1	-1.31257233157226	0.066909340581769
183	TRINITY_DN130151_c2_g4_i1	-0.644606976998601	0.100636856087165
184	TRINITY_DN126036_c6_g4_i2	0.365298222230717	0.30741749200603
185	TRINITY_DN111804_c0_g1_i4	0.077204029703301	0.879452577099737
186	TRINITY_DN119766_c0_g1_i1	-0.473297469573929	0.110410005065847
187	TRINITY_DN129827_c0_g1_i1	-0.0545243129401173	0.934915302943237
188	TRINITY_DN117584_c0_g1_i1	-0.452843885550604	0.199896121981291
189	TRINITY_DN130067_c1_g5_i4	-0.291116614261018	0.414976111409976
190	TRINITY_DN125602_c0_g1_i2	1.09354925206266	0.0881745912280776
191	TRINITY_DN133855_c0_g1_i1	0.325667294313053	0.266162528550514
192	TRINITY_DN124362_c0_g3_i8	-0.00318203859778896	0.996227133165785
193	TRINITY_DN124937_c1_g1_i1	0.862906315794656	0.209574169992732
194	TRINITY_DN124180_c0_g5_i1	1.63231168107356	0.0503270895306617
195	TRINITY_DN112851_c0_g1_i1	-1.18211689259573	0.0662845753208164
196	TRINITY_DN130075_c4_g1_i2	-0.135649362168896	0.848457952669116
197	TRINITY_DN133911_c2_g1_i1	0.666789772121969	0.294851888879319
198	TRINITY_DN126591_c0_g5_i1	-0.404926202494891	0.194298464169422
199	TRINITY_DN121247_c1_g2_i3	0.0665238015097931	0.913528841282836
200	TRINITY_DN130179_c1_g1_i1	0.118878846783581	0.85674228490808
201	TRINITY_DN127422_c1_g6_i1	0.479680309756908	0.312375310912294
202	TRINITY_DN130514_c4_g5_i1	-1.17876104097452	0.0812289890770815
203	TRINITY_DN129942_c2_g1_i1	-0.324978983887442	0.611488282182427
204	TRINITY_DN119794_c0_g1_i3	0.504634052406009	0.605513991572079
205	TRINITY_DN136341_c3_g1_i2	-0.307067757616984	0.397547139406678
206	TRINITY_DN127977_c0_g1_i1	0.395982155667757	0.344134775873169
207	TRINITY_DN127864_c2_g3_i1	1.16208032327476	0.315044026401037
208	TRINITY_DN132826_c1_g1_i2	0.105197421304702	0.889523262560127
209	TRINITY_DN128522_c2_g1_i1	-0.967263253304225	0.0946325352220545
210	TRINITY_DN135102_c0_g1_i1	0.759779650950785	0.120068710634545
211	TRINITY_DN123969_c1_g6_i1	-0.157638574586449	0.719679989872199
212	TRINITY_DN125035_c2_g4_i1	0.28795374196959	0.379202878846393
213	TRINITY_DN126225_c0_g3_i2	-0.187446352912128	0.747407670600948
214	TRINITY_DN133789_c3_g1_i3	0.590562050892879	0.308583948477803
215	TRINITY_DN135269_c8_g2_i2	0.377312752417992	0.437318269119942
216	TRINITY_DN132305_c5_g2_i2	-0.00211088182428462	0.99644114746811
217	TRINITY_DN115688_c0_g1_i1	0.886194759655634	0.0553778038689087
218	TRINITY_DN126819_c1_g2_i1	-0.599534319258849	0.506420631222897
