gene	logFC
TRINITY_DN98734_c0_g1_i1	-7.73030028561735
TRINITY_DN61041_c0_g1_i1	-2.86834922215922
TRINITY_DN90220_c0_g1_i1	-6.53388234121844
TRINITY_DN133058_c0_g1_i3	-3.0095212195317
TRINITY_DN133748_c2_g1_i1	-4.07921980661022
TRINITY_DN98620_c0_g2_i1	-6.23231846082664
TRINITY_DN26128_c0_g1_i1	-6.59350926888436
TRINITY_DN24512_c0_g1_i1	-4.15829487439576
TRINITY_DN27351_c0_g1_i1	-7.80903492782628
TRINITY_DN90720_c0_g1_i1	-4.52410478719598
TRINITY_DN111790_c1_g2_i1	-5.75732309974419
TRINITY_DN95743_c0_g1_i1	-9.0542004289966
TRINITY_DN60182_c0_g2_i1	-8.41279160023577
TRINITY_DN93345_c0_g1_i1	-7.43911797890028
TRINITY_DN123680_c0_g1_i1	-2.91910343512596
TRINITY_DN133888_c1_g5_i1	-6.13791540755958
TRINITY_DN129262_c0_g1_i1	-1.12193370026843
TRINITY_DN123398_c4_g3_i2	-8.66515226294765
TRINITY_DN120758_c3_g5_i1	-8.57376914839526
TRINITY_DN149203_c0_g1_i1	-5.64124760081557
TRINITY_DN135813_c0_g1_i1	-1.65147934002709
TRINITY_DN177856_c0_g1_i1	-8.90810382136445
TRINITY_DN130680_c2_g1_i1	-4.10774564474365
TRINITY_DN134983_c5_g1_i2	-6.86307351834247
TRINITY_DN123340_c0_g1_i1	-7.61860816990423
TRINITY_DN132431_c2_g3_i1	-3.4181905148723
TRINITY_DN117838_c2_g1_i2	-7.46495030487811
TRINITY_DN132968_c1_g4_i1	-8.85098542223748
TRINITY_DN113556_c0_g1_i2	-5.8761752707228
TRINITY_DN131251_c3_g6_i1	-7.4168383107158
TRINITY_DN127543_c0_g1_i2	-2.73943891324772
TRINITY_DN117634_c0_g2_i1	-9.44953340926136
TRINITY_DN106674_c0_g1_i1	-6.16128923855359
TRINITY_DN124875_c1_g1_i1	-2.02926819240184
TRINITY_DN127567_c6_g4_i1	-8.87992929383994
TRINITY_DN125863_c4_g1_i1	-2.3709921028115
TRINITY_DN130924_c0_g6_i1	-5.70939548890384
TRINITY_DN136202_c0_g1_i2	-3.79415037711485
TRINITY_DN127640_c0_g1_i3	-4.31838721808386
TRINITY_DN131565_c0_g8_i1	-2.860139768116
TRINITY_DN128662_c2_g1_i3	-1.59118130084929
TRINITY_DN119072_c0_g2_i2	-3.34661370711377
TRINITY_DN125191_c6_g2_i1	-2.74992381816823
TRINITY_DN130067_c1_g1_i1	-1.93477869797242
TRINITY_DN123024_c0_g1_i1	-7.07291368687237
TRINITY_DN122048_c0_g1_i1	-6.46238080530445
TRINITY_DN134769_c2_g1_i4	-6.32389631166896
TRINITY_DN127631_c8_g3_i1	-6.73055654707029
TRINITY_DN135947_c1_g1_i1	-3.92307340940046
TRINITY_DN107602_c0_g1_i1	-5.39930999617944
TRINITY_DN122073_c0_g1_i1	-3.27456929053101
TRINITY_DN120835_c1_g3_i1	-4.19816403387559
TRINITY_DN100360_c0_g1_i1	-7.01916695098087
TRINITY_DN129840_c0_g1_i3	-4.30335504496789
