gene	logFC
TRINITY_DN93756_c0_g1_i1	8.36005846639866
TRINITY_DN87820_c0_g1_i1	7.64970261257739
TRINITY_DN129471_c4_g1_i1	3.28194456767222
TRINITY_DN132837_c1_g8_i1	2.77618053185507
TRINITY_DN38445_c0_g1_i1	5.62131308987578
TRINITY_DN95743_c0_g3_i1	8.24788905178072
TRINITY_DN6551_c0_g1_i1	4.57294504045085
TRINITY_DN68643_c0_g1_i1	7.99584471589552
TRINITY_DN63601_c0_g1_i1	8.34237573020919
TRINITY_DN133064_c1_g2_i1	8.2013818693458
TRINITY_DN134573_c4_g6_i1	7.34952169147682
TRINITY_DN36259_c0_g1_i1	1.49356495758459
TRINITY_DN86493_c0_g1_i1	8.30019464370287
TRINITY_DN133012_c3_g6_i1	7.72259294165713
TRINITY_DN18389_c0_g2_i1	7.91370378232159
TRINITY_DN2374_c0_g1_i1	7.95138097272015
TRINITY_DN86341_c0_g2_i1	9.268968606757
TRINITY_DN20122_c0_g1_i1	9.32806045724607
TRINITY_DN47738_c0_g2_i1	7.46137494307683
TRINITY_DN132642_c5_g2_i1	7.67907742407015
TRINITY_DN133878_c1_g2_i1	7.63212442572012
TRINITY_DN199013_c0_g1_i1	7.56517252057334
TRINITY_DN129294_c9_g6_i1	7.42926483446642
TRINITY_DN120739_c0_g8_i5	3.64668204840358
TRINITY_DN130474_c2_g4_i1	7.33103046106564
TRINITY_DN130418_c1_g1_i1	7.31755019109587
TRINITY_DN101935_c0_g2_i1	3.04578042786036
TRINITY_DN110989_c1_g2_i1	4.39829641241101
TRINITY_DN134960_c2_g2_i1	8.98535697123344
TRINITY_DN135864_c0_g11_i1	11.2190648005353
TRINITY_DN133534_c1_g5_i1	4.06428886436514
TRINITY_DN108146_c0_g2_i1	9.82457250798824
TRINITY_DN131116_c0_g6_i1	7.61099840160581
TRINITY_DN121487_c0_g2_i1	8.2661355432392
TRINITY_DN110766_c0_g2_i1	7.3178843845372
TRINITY_DN135793_c0_g6_i1	8.35915850279265
TRINITY_DN128130_c4_g11_i1	8.19553703052134
TRINITY_DN130569_c1_g1_i1	3.22796088117146
TRINITY_DN126695_c0_g1_i4	3.20051550927544
TRINITY_DN132560_c1_g5_i1	4.62136423095004
TRINITY_DN120979_c0_g1_i3	1.9755403295184
TRINITY_DN116447_c1_g2_i1	7.22038490645999
TRINITY_DN131997_c11_g4_i1	10.3311213364151
TRINITY_DN130859_c0_g1_i1	7.28289073251062
TRINITY_DN136745_c32_g2_i1	9.93065424609594
TRINITY_DN102067_c0_g1_i1	7.26376478405302
TRINITY_DN199328_c0_g1_i1	7.35874424027086
TRINITY_DN124934_c0_g2_i1	5.00711679127585
TRINITY_DN129592_c0_g2_i1	7.16718253143287
TRINITY_DN124901_c3_g3_i1	7.59379551814451
TRINITY_DN117967_c0_g1_i1	9.58885459551871
TRINITY_DN136173_c2_g2_i1	7.60692034773934
TRINITY_DN122979_c0_g1_i1	2.23505771332148
TRINITY_DN134404_c1_g17_i1	9.66996878960075
TRINITY_DN113348_c0_g3_i1	5.52931981571183
TRINITY_DN136216_c2_g2_i1	9.74908973166865
TRINITY_DN126942_c1_g2_i1	3.10815616658208
TRINITY_DN135225_c6_g5_i1	2.96150429304557
TRINITY_DN115010_c0_g1_i1	3.51716467003167
TRINITY_DN126848_c2_g6_i1	7.38850226912038
TRINITY_DN209985_c0_g1_i1	2.74367721845762
