gene	logFC	FDR
1	TRINITY_DN93756_c0_g1_i1	8.36005846639866	2.3757093251988e-06
2	TRINITY_DN87820_c0_g1_i1	7.64970261257739	0.000595919914633427
3	TRINITY_DN129471_c4_g1_i1	3.28194456767222	0.0123771504333933
4	TRINITY_DN132837_c1_g8_i1	2.77618053185507	0.0355739640261879
5	TRINITY_DN38445_c0_g1_i1	5.62131308987578	0.00073443027390364
6	TRINITY_DN95743_c0_g3_i1	8.24788905178072	1.29990837273129e-06
7	TRINITY_DN6551_c0_g1_i1	4.57294504045085	0.0269092647084557
8	TRINITY_DN68643_c0_g1_i1	7.99584471589552	0.0105829670442663
9	TRINITY_DN63601_c0_g1_i1	8.34237573020919	1.53629750557006e-06
10	TRINITY_DN133064_c1_g2_i1	8.2013818693458	0.00492487487924538
11	TRINITY_DN134573_c4_g6_i1	7.34952169147682	0.000889823627414088
12	TRINITY_DN36259_c0_g1_i1	1.49356495758459	0.0381257177181526
13	TRINITY_DN86493_c0_g1_i1	8.30019464370287	4.22651918486962e-05
14	TRINITY_DN133012_c3_g6_i1	7.72259294165713	0.000269654184301592
15	TRINITY_DN18389_c0_g2_i1	7.91370378232159	0.00969085834810746
16	TRINITY_DN2374_c0_g1_i1	7.95138097272015	0.000427964894806192
17	TRINITY_DN86341_c0_g2_i1	9.268968606757	5.72737330781939e-10
18	TRINITY_DN20122_c0_g1_i1	9.32806045724607	0.00220539066939827
19	TRINITY_DN47738_c0_g2_i1	7.46137494307683	0.0344575142050926
20	TRINITY_DN132642_c5_g2_i1	7.67907742407015	0.0126702718766955
21	TRINITY_DN133878_c1_g2_i1	7.63212442572012	0.0116777114041715
22	TRINITY_DN199013_c0_g1_i1	7.56517252057334	0.0299704124124577
23	TRINITY_DN129294_c9_g6_i1	7.42926483446642	0.000105256628861153
24	TRINITY_DN120739_c0_g8_i5	3.64668204840358	0.00633590234407211
25	TRINITY_DN130474_c2_g4_i1	7.33103046106564	0.0004556452139863
26	TRINITY_DN130418_c1_g1_i1	7.31755019109587	0.000141732993142022
27	TRINITY_DN101935_c0_g2_i1	3.04578042786036	0.000434176548793168
28	TRINITY_DN110989_c1_g2_i1	4.39829641241101	0.0116777114041715
29	TRINITY_DN134960_c2_g2_i1	8.98535697123344	4.33255699201962e-07
30	TRINITY_DN135864_c0_g11_i1	11.2190648005353	1.38439233178869e-22
31	TRINITY_DN133534_c1_g5_i1	4.06428886436514	0.0221808027910859
32	TRINITY_DN108146_c0_g2_i1	9.82457250798824	0.0411478251134972
33	TRINITY_DN131116_c0_g6_i1	7.61099840160581	5.17380463794889e-05
34	TRINITY_DN121487_c0_g2_i1	8.2661355432392	0.0434844024690038
35	TRINITY_DN110766_c0_g2_i1	7.3178843845372	0.0213141555449847
36	TRINITY_DN135793_c0_g6_i1	8.35915850279265	2.81975969137638e-07
37	TRINITY_DN128130_c4_g11_i1	8.19553703052134	2.3757093251988e-06
38	TRINITY_DN130569_c1_g1_i1	3.22796088117146	0.00241154911360853
39	TRINITY_DN126695_c0_g1_i4	3.20051550927544	0.0105829670442663
40	TRINITY_DN132560_c1_g5_i1	4.62136423095004	0.0308993302881833
41	TRINITY_DN120979_c0_g1_i3	1.9755403295184	0.0349056180466355
42	TRINITY_DN116447_c1_g2_i1	7.22038490645999	0.0349514718622441
43	TRINITY_DN131997_c11_g4_i1	10.3311213364151	6.4437368339364e-05
44	TRINITY_DN130859_c0_g1_i1	7.28289073251062	0.0013629973832642
45	TRINITY_DN136745_c32_g2_i1	9.93065424609594	8.76680975895455e-16
46	TRINITY_DN102067_c0_g1_i1	7.26376478405302	0.0308993302881833
47	TRINITY_DN199328_c0_g1_i1	7.35874424027086	0.0152924026660162
48	TRINITY_DN124934_c0_g2_i1	5.00711679127585	0.0242890667813109
49	TRINITY_DN129592_c0_g2_i1	7.16718253143287	1.10121568747451e-13
50	TRINITY_DN124901_c3_g3_i1	7.59379551814451	0.00016536730496734
51	TRINITY_DN117967_c0_g1_i1	9.58885459551871	0.0004556452139863
52	TRINITY_DN136173_c2_g2_i1	7.60692034773934	7.06760274708953e-05
53	TRINITY_DN122979_c0_g1_i1	2.23505771332148	0.0013629973832642
54	TRINITY_DN134404_c1_g17_i1	9.66996878960075	0.000606807540667836
55	TRINITY_DN113348_c0_g3_i1	5.52931981571183	4.2471770053452e-05
56	TRINITY_DN136216_c2_g2_i1	9.74908973166865	0.000593618697180259
57	TRINITY_DN126942_c1_g2_i1	3.10815616658208	0.000294640911019496
58	TRINITY_DN135225_c6_g5_i1	2.96150429304557	0.00319853081762117
59	TRINITY_DN115010_c0_g1_i1	3.51716467003167	0.00352234285671382
60	TRINITY_DN126848_c2_g6_i1	7.38850226912038	0.00148784023089905
61	TRINITY_DN209985_c0_g1_i1	2.74367721845762	0.0018282621758317
