gene	FDR
TRINITY_DN76735_c0_g1_i1	0.222317221491048
TRINITY_DN13815_c0_g2_i1	0.00874840544094975
TRINITY_DN96172_c0_g1_i1	0.0869764502739896
TRINITY_DN129479_c11_g4_i2	0.390739415357432
TRINITY_DN127263_c1_g1_i1	0.557720019649057
TRINITY_DN116347_c0_g1_i1	1
TRINITY_DN118925_c0_g1_i1	0.000202897126461437
TRINITY_DN81712_c0_g2_i1	0.668857953974749
TRINITY_DN96624_c0_g3_i2	3.0403140259344e-12
TRINITY_DN134146_c2_g1_i2	0.273190657944047
TRINITY_DN45599_c0_g2_i1	0.363421514342453
TRINITY_DN133031_c0_g1_i3	0.0650292341036392
TRINITY_DN130777_c4_g9_i3	0.463843002044263
TRINITY_DN129407_c2_g1_i1	0.312570955556485
TRINITY_DN118994_c0_g1_i1	0.737344210105875
TRINITY_DN57850_c0_g1_i1	0.909367571345976
TRINITY_DN93262_c0_g1_i1	0.456405324274095
TRINITY_DN93473_c0_g1_i1	0.347000667846389
TRINITY_DN9690_c0_g1_i1	0.819980322851438
TRINITY_DN134567_c1_g1_i1	0.0769923246008306
TRINITY_DN134848_c3_g2_i2	0.538456180616062
TRINITY_DN82945_c0_g1_i1	4.44894251337163e-09
TRINITY_DN5131_c0_g1_i1	0.344106214856744
TRINITY_DN81329_c0_g1_i1	0.353607413360113
TRINITY_DN134515_c0_g1_i1	0.591527128451679
TRINITY_DN127260_c0_g3_i5	0.911811084744173
TRINITY_DN118957_c0_g2_i1	0.0854066516576154
TRINITY_DN130789_c5_g2_i2	0.460826494107806
TRINITY_DN51181_c0_g2_i1	0.655732807864522
TRINITY_DN116393_c0_g1_i2	0.592724941096859
TRINITY_DN98773_c0_g2_i1	0.06453520141478
TRINITY_DN48675_c0_g1_i1	0.0230269703593967
TRINITY_DN2358_c0_g1_i1	0.840677152204088
TRINITY_DN133710_c3_g1_i1	0.530397024920749
TRINITY_DN82326_c0_g1_i1	0.408180591100439
TRINITY_DN133040_c1_g1_i1	0.949827414773489
TRINITY_DN78109_c0_g1_i2	0.177798744594106
TRINITY_DN22167_c0_g1_i1	0.677814869795574
TRINITY_DN132638_c6_g3_i3	0.655732807864522
TRINITY_DN132600_c0_g1_i3	0.578868199508536
TRINITY_DN49812_c0_g1_i1	0.264387882897802
TRINITY_DN20017_c0_g2_i1	0.931548005868216
TRINITY_DN134184_c4_g8_i2	0.981267780155407
TRINITY_DN134529_c3_g1_i2	0.483033900145244
TRINITY_DN1451_c0_g1_i1	0.753228372123885
TRINITY_DN1360_c0_g1_i1	0.343779362802211
TRINITY_DN132624_c0_g1_i1	0.135462832783698
TRINITY_DN130784_c3_g1_i5	0.271550662190049
TRINITY_DN88548_c0_g1_i1	0.874193820246179
TRINITY_DN132844_c0_g3_i1	0.507847239014931
TRINITY_DN94888_c0_g1_i1	0.815838152016727
TRINITY_DN73510_c0_g1_i1	0.49869538955612
TRINITY_DN38783_c0_g1_i1	0.903088814274263
TRINITY_DN85438_c0_g1_i1	0.330640846490396
TRINITY_DN82636_c0_g1_i1	0.95017163332729
TRINITY_DN133793_c1_g4_i1	0.906358686812316
TRINITY_DN132618_c0_g1_i4	0.87323013063015
TRINITY_DN116560_c0_g1_i1	0.19720433334291
TRINITY_DN93335_c0_g2_i1	0.678418853084255
TRINITY_DN97245_c0_g2_i3	0.39558794484126
TRINITY_DN69260_c0_g1_i1	0.907415769767214
TRINITY_DN94387_c0_g1_i1	0.102003652107859
TRINITY_DN92997_c0_g1_i1	5.83154149803739e-05
TRINITY_DN132864_c0_g3_i1	0.000243356976976398
TRINITY_DN24326_c0_g1_i1	0.195244199305119
TRINITY_DN2177_c0_g1_i1	1
TRINITY_DN118035_c0_g1_i4	0.27797007068876
TRINITY_DN79517_c0_g2_i1	0.631083761920177
TRINITY_DN134165_c3_g3_i2	0.373171222641483
TRINITY_DN79365_c0_g3_i1	0.726510024375613
TRINITY_DN99075_c0_g2_i1	0.0580232700883979
TRINITY_DN94143_c0_g2_i1	0.00370346263114056
TRINITY_DN134867_c2_g1_i1	0.91348247328214
TRINITY_DN133789_c3_g3_i1	1
TRINITY_DN78105_c0_g1_i1	0.670675809981408
TRINITY_DN134131_c2_g5_i1	0.486208874966793
TRINITY_DN85311_c0_g1_i1	0.692615574602367
TRINITY_DN69999_c0_g2_i1	0.432858018483245
TRINITY_DN133738_c1_g7_i2	1
TRINITY_DN97356_c0_g2_i1	0.374186417470218
TRINITY_DN127243_c2_g1_i1	0.734551077644741
TRINITY_DN89883_c0_g1_i1	0.849202187297298
TRINITY_DN133074_c8_g2_i1	0.622674628033314
TRINITY_DN132836_c0_g2_i2	0.306387730267487
TRINITY_DN68305_c0_g1_i1	0.448015064653189
TRINITY_DN133020_c0_g1_i1	0.64850735094067
TRINITY_DN88853_c0_g1_i1	0.507976560825303
TRINITY_DN87787_c0_g2_i1	0.196818305402105
TRINITY_DN127282_c0_g1_i2	0.602379757925649
TRINITY_DN118066_c1_g1_i1	0.568672440387766
TRINITY_DN132800_c0_g1_i1	0.140504056383497
