gene	logFC
TRINITY_DN43685_c0_g2_i1	-9.07940940160655
TRINITY_DN75302_c0_g2_i1	-3.29983611152981
TRINITY_DN111790_c1_g2_i1	-3.42957018768111
TRINITY_DN37225_c0_g1_i1	-10.3175414689588
TRINITY_DN99021_c0_g2_i1	-10.7523857778213
TRINITY_DN134505_c1_g8_i1	-1.92060794629223
TRINITY_DN133025_c0_g2_i6	-3.62481757135783
TRINITY_DN127323_c0_g1_i9	-1.60749178099542
TRINITY_DN132156_c4_g2_i1	-2.00305993402611
TRINITY_DN131435_c1_g4_i1	-3.47138003002223
TRINITY_DN128714_c1_g1_i1	-9.54752204348096
TRINITY_DN111328_c0_g1_i1	-6.92652111609434
TRINITY_DN119556_c0_g11_i1	-8.43379917815225
TRINITY_DN106825_c0_g1_i1	-3.22719906229347
TRINITY_DN130497_c4_g6_i3	-1.70885947590732
TRINITY_DN111831_c0_g2_i1	-3.91981445218333
TRINITY_DN121083_c0_g1_i2	-3.82667955371033
TRINITY_DN131071_c0_g1_i1	-2.41557904758703
TRINITY_DN126304_c1_g1_i1	-9.27388867292428
TRINITY_DN126137_c6_g8_i3	-1.84524521537493
TRINITY_DN131626_c4_g3_i1	-3.51054929881472
TRINITY_DN131907_c0_g25_i6	-8.92626506548541
TRINITY_DN129342_c0_g1_i2	-2.44164308863524
TRINITY_DN119005_c4_g1_i1	-2.28390030947695
TRINITY_DN103720_c0_g1_i2	-1.9910867446664
TRINITY_DN124929_c0_g6_i1	-2.85227988611691
TRINITY_DN108746_c0_g3_i1	-8.34998521378749
TRINITY_DN126089_c1_g1_i2	-3.23608700594733
TRINITY_DN128966_c0_g1_i1	-2.43920560147096
