gene	FDR
TRINITY_DN76735_c0_g1_i1	0.621528022677802
TRINITY_DN13815_c0_g2_i1	0.496612593330364
TRINITY_DN96172_c0_g1_i1	0.989886826620941
TRINITY_DN129479_c11_g4_i2	0.913269009758112
TRINITY_DN127263_c1_g1_i1	0.89194547969055
TRINITY_DN116347_c0_g1_i1	0.336448839566263
TRINITY_DN118925_c0_g1_i1	0.0450892411072367
TRINITY_DN81712_c0_g2_i1	0.852670327066741
TRINITY_DN96624_c0_g3_i2	3.50449609841181e-05
TRINITY_DN134146_c2_g1_i2	0.25012036164834
TRINITY_DN45599_c0_g2_i1	0.735347838414768
TRINITY_DN133031_c0_g1_i3	0.340117610479438
TRINITY_DN130777_c4_g9_i3	0.479243038403781
TRINITY_DN129407_c2_g1_i1	0.987497583583213
TRINITY_DN118994_c0_g1_i1	0.839225800055398
TRINITY_DN57850_c0_g1_i1	0.0122051003978267
TRINITY_DN93262_c0_g1_i1	0.828416975153126
TRINITY_DN93473_c0_g1_i1	0.653081132787889
TRINITY_DN9690_c0_g1_i1	0.888532390896718
TRINITY_DN134567_c1_g1_i1	0.740353893842506
TRINITY_DN134848_c3_g2_i2	0.423465375388573
TRINITY_DN82945_c0_g1_i1	0.0010350375916831
TRINITY_DN5131_c0_g1_i1	0.660681566307694
TRINITY_DN81329_c0_g1_i1	0.655359802134463
TRINITY_DN134515_c0_g1_i1	0.502155714893452
TRINITY_DN127260_c0_g3_i5	0.14828063569502
TRINITY_DN118957_c0_g2_i1	0.781732510584989
TRINITY_DN130789_c5_g2_i2	0.586650602058079
TRINITY_DN51181_c0_g2_i1	0.934785029023012
TRINITY_DN116393_c0_g1_i2	0.804741237683411
TRINITY_DN98773_c0_g2_i1	0.000165007129681299
TRINITY_DN48675_c0_g1_i1	0.112666213896794
TRINITY_DN2358_c0_g1_i1	0.867536708637707
TRINITY_DN133710_c3_g1_i1	0.845642057171796
TRINITY_DN82326_c0_g1_i1	0.75436720693798
TRINITY_DN133040_c1_g1_i1	0.974182461248578
TRINITY_DN78109_c0_g1_i2	0.245985752072345
TRINITY_DN22167_c0_g1_i1	0.913204822306498
TRINITY_DN132638_c6_g3_i3	0.781732510584989
TRINITY_DN132600_c0_g1_i3	0.736543576420864
TRINITY_DN49812_c0_g1_i1	0.0754914210047422
TRINITY_DN20017_c0_g2_i1	0.998555474888169
TRINITY_DN134184_c4_g8_i2	0.924558735577603
TRINITY_DN134529_c3_g1_i2	0.832430209354697
TRINITY_DN1451_c0_g1_i1	0.975571422889733
TRINITY_DN1360_c0_g1_i1	0.154305845062456
TRINITY_DN132624_c0_g1_i1	0.171439778627682
TRINITY_DN130784_c3_g1_i5	0.719994269409277
TRINITY_DN88548_c0_g1_i1	0.974441527405263
TRINITY_DN132844_c0_g3_i1	0.721959533562128
TRINITY_DN94888_c0_g1_i1	0.578866621815912
TRINITY_DN73510_c0_g1_i1	0.189783462196886
TRINITY_DN38783_c0_g1_i1	0.913269009758112
TRINITY_DN85438_c0_g1_i1	0.181558336595192
TRINITY_DN82636_c0_g1_i1	0.731480752197856
TRINITY_DN133793_c1_g4_i1	0.098037371084617
TRINITY_DN132618_c0_g1_i4	0.813046687303095
TRINITY_DN116560_c0_g1_i1	0.891557547049407
TRINITY_DN93335_c0_g2_i1	0.823435774257233
TRINITY_DN97245_c0_g2_i3	0.0500890141991168
TRINITY_DN69260_c0_g1_i1	0.639161652683265
TRINITY_DN94387_c0_g1_i1	0.40117893357293
TRINITY_DN92997_c0_g1_i1	0.009078505362704
TRINITY_DN132864_c0_g3_i1	0.0720576579506634
TRINITY_DN24326_c0_g1_i1	1
TRINITY_DN2177_c0_g1_i1	0.682035189265106
TRINITY_DN118035_c0_g1_i4	0.275293199822343
TRINITY_DN79517_c0_g2_i1	0.68785949533062
TRINITY_DN134165_c3_g3_i2	0.490872299230379
TRINITY_DN79365_c0_g3_i1	0.825622914914918
TRINITY_DN99075_c0_g2_i1	0.477969566314763
TRINITY_DN94143_c0_g2_i1	0.0382810365335312
TRINITY_DN134867_c2_g1_i1	0.708185637711159
TRINITY_DN133789_c3_g3_i1	0.908608510289902
TRINITY_DN78105_c0_g1_i1	0.691788810292346
TRINITY_DN134131_c2_g5_i1	0.794116434242299
TRINITY_DN85311_c0_g1_i1	0.545262625251768
TRINITY_DN69999_c0_g2_i1	0.276282977798388
TRINITY_DN133738_c1_g7_i2	1
TRINITY_DN97356_c0_g2_i1	0.74227905379237
TRINITY_DN127243_c2_g1_i1	0.998354610627184
TRINITY_DN89883_c0_g1_i1	0.917698375373688
TRINITY_DN133074_c8_g2_i1	0.791139631471193
TRINITY_DN132836_c0_g2_i2	0.152285592936743
TRINITY_DN68305_c0_g1_i1	0.925846511446061
TRINITY_DN133020_c0_g1_i1	0.560186851039125
TRINITY_DN88853_c0_g1_i1	0.441331427455941
TRINITY_DN87787_c0_g2_i1	0.434406512020658
TRINITY_DN127282_c0_g1_i2	0.660465441589459
TRINITY_DN118066_c1_g1_i1	0.651230607157381
TRINITY_DN132800_c0_g1_i1	0.252721486006798
TRINITY_DN74648_c0_g1_i1	0.648746972972188
TRINITY_DN130746_c0_g1_i3	0.627691988318601
TRINITY_DN46401_c0_g1_i1	0.626816525430187
TRINITY_DN133781_c0_g1_i1	0.338328850321376
TRINITY_DN132832_c1_g5_i6	0.00905218086553251
TRINITY_DN132883_c2_g1_i1	0.13634714184423
TRINITY_DN87034_c0_g1_i1	0.757749323382588
TRINITY_DN23403_c0_g1_i1	0.630397293742328
TRINITY_DN96749_c0_g2_i1	0.238835982475697
TRINITY_DN93918_c0_g1_i1	0.602396408003555
TRINITY_DN129408_c7_g2_i3	0.844628605457861
TRINITY_DN98228_c0_g1_i1	0.99973983529744
TRINITY_DN134512_c2_g1_i1	0.565759526706622
TRINITY_DN127261_c2_g1_i2	0.473716301347013
TRINITY_DN23385_c0_g2_i1	0.0143496467623515
TRINITY_DN132632_c0_g1_i2	0.0906051780916706
TRINITY_DN84774_c0_g1_i1	0.0136082618472933
TRINITY_DN130738_c0_g1_i10	0.811383998350897
TRINITY_DN86592_c0_g1_i1	0.166278024073459
TRINITY_DN118042_c1_g2_i8	0.0987120970422775
TRINITY_DN130752_c0_g2_i9	0.627691988318601
TRINITY_DN132644_c5_g1_i1	0.671230206057351
TRINITY_DN67030_c0_g1_i1	0.854379934124969
TRINITY_DN20810_c0_g2_i1	0.833614771513739
TRINITY_DN37661_c0_g1_i1	0.246958392759856
TRINITY_DN21949_c0_g1_i1	0.801886374162495
TRINITY_DN134524_c3_g1_i2	0.578316463398987
TRINITY_DN134132_c0_g8_i1	0.989886826620941
TRINITY_DN74871_c0_g1_i1	0.292013627869364
TRINITY_DN132820_c6_g1_i4	0.393901041844706
TRINITY_DN118942_c0_g7_i1	0.149770049080798
TRINITY_DN75928_c0_g2_i1	0.627147524404524
TRINITY_DN50323_c0_g1_i1	1
TRINITY_DN132859_c11_g2_i2	0.704689635297197
TRINITY_DN74250_c0_g2_i1	0.0949185065950787
TRINITY_DN68733_c0_g2_i1	0.134300462344361
