gene	logFC
TRINITY_DN24326_c0_g1_i1	1.91505810321399
TRINITY_DN133738_c1_g7_i2	2.47603166390777
TRINITY_DN50323_c0_g1_i1	2.98042450917429
TRINITY_DN52336_c0_g1_i1	8.56350001563434
TRINITY_DN130792_c5_g2_i3	1.54036658017245
TRINITY_DN95094_c0_g1_i1	2.1737425307004
TRINITY_DN79346_c0_g2_i1	2.47807679608101
TRINITY_DN133064_c1_g5_i1	8.02916209328149
TRINITY_DN4687_c0_g1_i1	9.7748111550753
TRINITY_DN78127_c0_g1_i1	2.16804227734589
TRINITY_DN98218_c0_g1_i2	1.60173537926033
TRINITY_DN145554_c0_g1_i1	1.45672652533275
TRINITY_DN132850_c1_g1_i2	1.63221925153643
TRINITY_DN127277_c0_g2_i2	1.92083972172797
TRINITY_DN134898_c1_g7_i3	3.38314065086612
TRINITY_DN133060_c3_g1_i1	1.11312047346352
TRINITY_DN67847_c0_g1_i1	2.62524799895728
TRINITY_DN93145_c0_g1_i1	2.01405395088121
TRINITY_DN134565_c0_g1_i4	2.36024485445032
TRINITY_DN61744_c0_g2_i1	1.55428240770325
TRINITY_DN92689_c0_g1_i1	1.4915867916888
TRINITY_DN79738_c0_g2_i1	1.39813766499148
TRINITY_DN93756_c0_g1_i1	8.72747610897953
TRINITY_DN127211_c0_g1_i1	2.10851654346461
TRINITY_DN96905_c0_g4_i1	1.41395269567593
TRINITY_DN132647_c1_g1_i3	2.09831384431739
TRINITY_DN80615_c0_g1_i1	2.11599829405342
TRINITY_DN133796_c2_g4_i1	2.32186192305552
TRINITY_DN130770_c0_g2_i2	1.07768950253563
TRINITY_DN92427_c0_g1_i2	1.66596469282246
TRINITY_DN133770_c0_g3_i3	3.18275101834316
TRINITY_DN132602_c3_g1_i2	2.43412733180868
TRINITY_DN97493_c0_g2_i1	2.55066356118463
TRINITY_DN133085_c1_g1_i3	2.52355096578711
TRINITY_DN91433_c0_g1_i2	1.91526629108554
TRINITY_DN69027_c0_g2_i2	1.35431329627822
TRINITY_DN37225_c0_g1_i1	10.3175414689588
TRINITY_DN127208_c2_g8_i1	1.50604015103264
TRINITY_DN1740_c0_g1_i1	2.94712984099158
TRINITY_DN63583_c0_g1_i1	1.50630059412179
TRINITY_DN134157_c4_g3_i1	3.73628275844115
TRINITY_DN98180_c0_g1_i1	1.80562418136393
TRINITY_DN133016_c0_g2_i2	1.52306980064021
TRINITY_DN85339_c0_g1_i1	6.18115263117137
TRINITY_DN40257_c0_g1_i1	4.26160882987896
TRINITY_DN132634_c5_g2_i2	1.31229684575128
TRINITY_DN134513_c3_g2_i4	1.31802606783067
TRINITY_DN127208_c2_g6_i1	2.71180653271291
TRINITY_DN134898_c1_g8_i1	2.57930867893164
TRINITY_DN133099_c0_g3_i1	4.25805635516663
TRINITY_DN74683_c0_g1_i1	2.44519307783042
TRINITY_DN92151_c0_g1_i1	2.25928368215201
TRINITY_DN134885_c1_g1_i1	1.40297421240049
TRINITY_DN134830_c12_g5_i1	2.548322513501
TRINITY_DN127268_c1_g2_i1	2.11753930634422
TRINITY_DN88354_c0_g3_i1	2.43449733772268
TRINITY_DN132634_c3_g2_i1	1.60196316163112
TRINITY_DN134143_c0_g1_i1	1.73558601745346
TRINITY_DN132660_c2_g1_i1	2.00894185261496
TRINITY_DN131472_c0_g1_i1	1.75927882578965
TRINITY_DN100754_c0_g1_i1	1.58993086159551
TRINITY_DN129108_c0_g5_i7	1.40612505307145
TRINITY_DN130224_c3_g3_i1	1.49198740928371
TRINITY_DN127323_c0_g1_i9	1.83813543603878
TRINITY_DN117820_c0_g3_i1	2.96185884387131
TRINITY_DN134068_c1_g10_i4	1.86016499301019
TRINITY_DN132449_c1_g2_i1	1.24335893072643
TRINITY_DN124664_c0_g1_i1	1.78707510283072
TRINITY_DN120758_c3_g1_i1	2.67543594300246
TRINITY_DN120731_c0_g1_i5	1.86483511293214
TRINITY_DN126460_c0_g5_i1	1.80759858252774
TRINITY_DN131418_c2_g2_i2	2.62756713217374
TRINITY_DN128381_c2_g3_i3	2.0047662987785
TRINITY_DN132180_c9_g5_i6	1.29235978015777
TRINITY_DN134386_c0_g13_i1	2.40681707251892
TRINITY_DN119556_c0_g19_i1	2.6144277014893
TRINITY_DN127039_c0_g3_i7	3.30505076471184
TRINITY_DN130624_c0_g1_i2	1.4073886780438
TRINITY_DN116145_c0_g1_i2	2.57038106133506
TRINITY_DN105833_c0_g2_i1	9.16365005489031
TRINITY_DN109979_c0_g3_i2	8.20909148763856
TRINITY_DN118641_c0_g1_i3	1.59705309023223
