gene	logFC	FDR
1	TRINITY_DN24326_c0_g1_i1	1.91505810321399	0.0216240111312416
2	TRINITY_DN133738_c1_g7_i2	2.47603166390777	0.00141710542723827
3	TRINITY_DN50323_c0_g1_i1	2.98042450917429	0.0150500679130436
4	TRINITY_DN52336_c0_g1_i1	8.56350001563434	6.35817299589077e-08
5	TRINITY_DN130792_c5_g2_i3	1.54036658017245	0.00828337410761319
6	TRINITY_DN95094_c0_g1_i1	2.1737425307004	0.00407831989232485
7	TRINITY_DN79346_c0_g2_i1	2.47807679608101	0.0493985541807995
8	TRINITY_DN133064_c1_g5_i1	8.02916209328149	0.0020782155459635
9	TRINITY_DN4687_c0_g1_i1	9.7748111550753	5.96216457422482e-05
10	TRINITY_DN78127_c0_g1_i1	2.16804227734589	0.0155153719303547
11	TRINITY_DN98218_c0_g1_i2	1.60173537926033	0.00299860197216252
12	TRINITY_DN145554_c0_g1_i1	1.45672652533275	0.0337801748629348
13	TRINITY_DN132850_c1_g1_i2	1.63221925153643	0.0156426838549523
14	TRINITY_DN127277_c0_g2_i2	1.92083972172797	0.00135186679681985
15	TRINITY_DN134898_c1_g7_i3	3.38314065086612	0.00347636759374031
16	TRINITY_DN133060_c3_g1_i1	1.11312047346352	0.0434376523613376
17	TRINITY_DN67847_c0_g1_i1	2.62524799895728	2.16458544144248e-05
18	TRINITY_DN93145_c0_g1_i1	2.01405395088121	0.00706699475372214
19	TRINITY_DN134565_c0_g1_i4	2.36024485445032	0.0185610843318933
20	TRINITY_DN61744_c0_g2_i1	1.55428240770325	0.025959558308594
21	TRINITY_DN92689_c0_g1_i1	1.4915867916888	0.0491655047934031
22	TRINITY_DN79738_c0_g2_i1	1.39813766499148	0.0150710736922059
23	TRINITY_DN93756_c0_g1_i1	8.72747610897953	3.18098935752085e-09
24	TRINITY_DN127211_c0_g1_i1	2.10851654346461	0.0235732964764203
25	TRINITY_DN96905_c0_g4_i1	1.41395269567593	0.0121891957787737
26	TRINITY_DN132647_c1_g1_i3	2.09831384431739	0.00270398307197716
27	TRINITY_DN80615_c0_g1_i1	2.11599829405342	0.00923117976523782
28	TRINITY_DN133796_c2_g4_i1	2.32186192305552	0.0185610843318933
29	TRINITY_DN130770_c0_g2_i2	1.07768950253563	0.0492773414003576
30	TRINITY_DN92427_c0_g1_i2	1.66596469282246	0.0325324165826293
31	TRINITY_DN133770_c0_g3_i3	3.18275101834316	0.00469392059083247
32	TRINITY_DN132602_c3_g1_i2	2.43412733180868	0.0061085623744461
33	TRINITY_DN97493_c0_g2_i1	2.55066356118463	0.00283916697543016
34	TRINITY_DN133085_c1_g1_i3	2.52355096578711	0.0308533288023435
35	TRINITY_DN91433_c0_g1_i2	1.91526629108554	0.00662953775299899
36	TRINITY_DN69027_c0_g2_i2	1.35431329627822	0.0347216358447764
37	TRINITY_DN37225_c0_g1_i1	10.3175414689588	7.33237113890176e-12
38	TRINITY_DN127208_c2_g8_i1	1.50604015103264	0.0450298738230315
39	TRINITY_DN1740_c0_g1_i1	2.94712984099158	0.00651853082709351
40	TRINITY_DN63583_c0_g1_i1	1.50630059412179	0.0211153908979803
41	TRINITY_DN134157_c4_g3_i1	3.73628275844115	0.0136786910069246
42	TRINITY_DN98180_c0_g1_i1	1.80562418136393	0.0182231414684931
43	TRINITY_DN133016_c0_g2_i2	1.52306980064021	0.0339629300403369
44	TRINITY_DN85339_c0_g1_i1	6.18115263117137	0.0497308158239099
45	TRINITY_DN40257_c0_g1_i1	4.26160882987896	7.39199638058085e-05
46	TRINITY_DN132634_c5_g2_i2	1.31229684575128	0.0310123545748599
47	TRINITY_DN134513_c3_g2_i4	1.31802606783067	0.0487372696777178
48	TRINITY_DN127208_c2_g6_i1	2.71180653271291	0.0274357655286529
49	TRINITY_DN134898_c1_g8_i1	2.57930867893164	0.0455957529366151
50	TRINITY_DN133099_c0_g3_i1	4.25805635516663	2.50394158045102e-06
51	TRINITY_DN74683_c0_g1_i1	2.44519307783042	0.0445086687812763
52	TRINITY_DN92151_c0_g1_i1	2.25928368215201	0.00134336245414159
53	TRINITY_DN134885_c1_g1_i1	1.40297421240049	0.0106099799751505
54	TRINITY_DN134830_c12_g5_i1	2.548322513501	0.00682260177543879
55	TRINITY_DN127268_c1_g2_i1	2.11753930634422	0.000104294468565566
56	TRINITY_DN88354_c0_g3_i1	2.43449733772268	0.0151596228248805
57	TRINITY_DN132634_c3_g2_i1	1.60196316163112	0.024253434719237
58	TRINITY_DN134143_c0_g1_i1	1.73558601745346	0.0117894296395496
59	TRINITY_DN132660_c2_g1_i1	2.00894185261496	0.00717989690534821
60	TRINITY_DN131472_c0_g1_i1	1.75927882578965	0.00211910753617526
61	TRINITY_DN100754_c0_g1_i1	1.58993086159551	0.00524789353063873
62	TRINITY_DN129108_c0_g5_i7	1.40612505307145	0.0314065233216685
63	TRINITY_DN130224_c3_g3_i1	1.49198740928371	0.040351606559899
64	TRINITY_DN127323_c0_g1_i9	1.83813543603878	0.00102330662935471
65	TRINITY_DN117820_c0_g3_i1	2.96185884387131	0.0132662663409069
66	TRINITY_DN134068_c1_g10_i4	1.86016499301019	0.00280243645931445
67	TRINITY_DN132449_c1_g2_i1	1.24335893072643	0.0450892411072367
68	TRINITY_DN124664_c0_g1_i1	1.78707510283072	0.0392540093682075
69	TRINITY_DN120758_c3_g1_i1	2.67543594300246	2.53260048209022e-05
70	TRINITY_DN120731_c0_g1_i5	1.86483511293214	0.00711678787085148
71	TRINITY_DN126460_c0_g5_i1	1.80759858252774	0.0161424555955836
72	TRINITY_DN131418_c2_g2_i2	2.62756713217374	0.0423296580665795
73	TRINITY_DN128381_c2_g3_i3	2.0047662987785	0.0381890477264424
74	TRINITY_DN132180_c9_g5_i6	1.29235978015777	0.0359744003773412
75	TRINITY_DN134386_c0_g13_i1	2.40681707251892	0.0113590185922476
