gene	logFC	FDR
1	TRINITY_DN76735_c0_g1_i1	0.390358944759708	0.621528022677802
2	TRINITY_DN13815_c0_g2_i1	-1.15933501449131	0.496612593330364
3	TRINITY_DN96172_c0_g1_i1	0.0264418645571534	0.989886826620941
4	TRINITY_DN129479_c11_g4_i2	-0.11760047733115	0.913269009758112
5	TRINITY_DN127263_c1_g1_i1	-0.185174420421096	0.89194547969055
6	TRINITY_DN116347_c0_g1_i1	0.749883628099715	0.336448839566263
7	TRINITY_DN81712_c0_g2_i1	0.370080115882061	0.852670327066741
8	TRINITY_DN134146_c2_g1_i2	0.766338589108765	0.25012036164834
9	TRINITY_DN45599_c0_g2_i1	0.48696305131304	0.735347838414768
10	TRINITY_DN133031_c0_g1_i3	0.758129297377557	0.340117610479438
11	TRINITY_DN130777_c4_g9_i3	0.704636174484559	0.479243038403781
12	TRINITY_DN129407_c2_g1_i1	-0.0261866651534296	0.987497583583213
13	TRINITY_DN118994_c0_g1_i1	0.222653905153227	0.839225800055398
14	TRINITY_DN93262_c0_g1_i1	0.351711462276228	0.828416975153126
15	TRINITY_DN93473_c0_g1_i1	0.750964311734102	0.653081132787889
16	TRINITY_DN9690_c0_g1_i1	-0.260555358693681	0.888532390896718
17	TRINITY_DN134567_c1_g1_i1	-0.37790548550214	0.740353893842506
18	TRINITY_DN134848_c3_g2_i2	-0.962566445846835	0.423465375388573
19	TRINITY_DN5131_c0_g1_i1	0.491958116062232	0.660681566307694
20	TRINITY_DN81329_c0_g1_i1	0.39090422025058	0.655359802134463
21	TRINITY_DN134515_c0_g1_i1	0.511288679590313	0.502155714893452
22	TRINITY_DN127260_c0_g3_i5	3.11900230070563	0.14828063569502
23	TRINITY_DN118957_c0_g2_i1	-0.322356857447368	0.781732510584989
24	TRINITY_DN130789_c5_g2_i2	-0.433068784198327	0.586650602058079
25	TRINITY_DN51181_c0_g2_i1	-0.106524641978537	0.934785029023012
26	TRINITY_DN116393_c0_g1_i2	0.266882384189987	0.804741237683411
27	TRINITY_DN48675_c0_g1_i1	-1.58077770732358	0.112666213896794
28	TRINITY_DN2358_c0_g1_i1	-0.273319910080001	0.867536708637707
29	TRINITY_DN133710_c3_g1_i1	-0.347719157185528	0.845642057171796
30	TRINITY_DN82326_c0_g1_i1	0.353870799336633	0.75436720693798
31	TRINITY_DN133040_c1_g1_i1	0.045718853920334	0.974182461248578
32	TRINITY_DN78109_c0_g1_i2	-0.99560647648914	0.245985752072345
33	TRINITY_DN22167_c0_g1_i1	0.221739589325521	0.913204822306498
34	TRINITY_DN132638_c6_g3_i3	0.382852608922928	0.781732510584989
35	TRINITY_DN132600_c0_g1_i3	0.399554237074316	0.736543576420864
36	TRINITY_DN49812_c0_g1_i1	1.59024812546841	0.0754914210047422
37	TRINITY_DN20017_c0_g2_i1	0.0106750110313853	0.998555474888169
38	TRINITY_DN134184_c4_g8_i2	0.108388048744121	0.924558735577603
39	TRINITY_DN134529_c3_g1_i2	0.207917624629377	0.832430209354697
