gene	FDR	logFC
TRINITY_DN93335_c0_g2_i1	0.999764400973894	0.614383017344475
TRINITY_DN44213_c0_g1_i1	0.999764400973894	-0.529356877577294
TRINITY_DN132807_c1_g1_i7	0.999764400973894	0.405354933527144
TRINITY_DN134872_c1_g1_i1	0.999764400973894	-0.0248066020349237
TRINITY_DN134157_c2_g1_i1	0.999764400973894	-0.129831206557352
TRINITY_DN49255_c0_g1_i1	0.999764400973894	0.159748569789554
TRINITY_DN27210_c0_g1_i1	0.999764400973894	1.16785534580955
TRINITY_DN82945_c0_g1_i1	0.999764400973894	0.0241753222525695
TRINITY_DN50464_c0_g1_i1	0.999764400973894	-0.0670061556043397
TRINITY_DN23687_c0_g1_i1	0.999764400973894	-0.10628190311424
TRINITY_DN99547_c0_g1_i3	0.999764400973894	0.250465380502248
TRINITY_DN13860_c0_g1_i1	0.999764400973894	-0.120602970293095
TRINITY_DN116374_c0_g1_i2	0.999764400973894	-0.00122630962093136
TRINITY_DN137338_c0_g1_i1	0.999764400973894	0.211180624865549
TRINITY_DN130734_c4_g1_i2	0.999764400973894	-0.0261040443932362
TRINITY_DN129468_c0_g2_i1	0.999764400973894	0.324744898901989
TRINITY_DN96535_c0_g2_i1	0.999764400973894	-0.237806825928708
TRINITY_DN21687_c0_g2_i1	0.999764400973894	0.010942372710383
TRINITY_DN118043_c0_g3_i1	0.999764400973894	0.209287492988049
TRINITY_DN190001_c0_g1_i1	0.999764400973894	-0.118194320772708
TRINITY_DN127257_c3_g1_i5	0.999764400973894	-0.17853055807102
TRINITY_DN68105_c0_g1_i1	0.999764400973894	-0.0434926056712763
TRINITY_DN45169_c0_g2_i1	0.999764400973894	0.0132762167409254
TRINITY_DN79365_c0_g3_i1	0.999764400973894	0.220282541809977
TRINITY_DN97604_c0_g1_i1	0.999764400973894	0.079818193711083
TRINITY_DN118911_c0_g2_i1	0.999764400973894	-0.497700815829437
TRINITY_DN130788_c7_g2_i1	0.999764400973894	0.364898064100502
TRINITY_DN74628_c0_g2_i1	0.999764400973894	0.367668435357433
TRINITY_DN38356_c0_g2_i1	0.999764400973894	0.045815656594761
TRINITY_DN129439_c5_g1_i1	0.999764400973894	-0.719729891324357
TRINITY_DN47649_c0_g1_i1	0.999764400973894	-0.284628813960315
TRINITY_DN15901_c0_g2_i1	0.999764400973894	-0.924492844560488
TRINITY_DN127250_c1_g1_i3	0.999764400973894	0.541230127806906
TRINITY_DN89785_c0_g1_i1	0.999764400973894	0.00394714786180829
TRINITY_DN87953_c0_g1_i1	0.999764400973894	-0.307049421065449
TRINITY_DN99930_c0_g1_i1	0.999764400973894	-0.944741703991326
TRINITY_DN88993_c0_g2_i1	0.999764400973894	0.562460866427373
TRINITY_DN70613_c0_g1_i1	0.999764400973894	0.283079409298574
TRINITY_DN60894_c0_g1_i1	0.999764400973894	0.215636677817718
TRINITY_DN99718_c0_g1_i4	0.999764400973894	-0.295224788591336
TRINITY_DN86003_c0_g1_i1	0.999764400973894	-0.168786373053134
TRINITY_DN134508_c7_g1_i2	0.999764400973894	0.12742016305383
TRINITY_DN109422_c0_g1_i1	0.999764400973894	0.00297812821180307
TRINITY_DN83872_c0_g2_i1	0.999764400973894	0.29623929921181
TRINITY_DN134558_c0_g3_i3	0.999764400973894	0.185220119477759
TRINITY_DN132883_c2_g3_i1	0.999764400973894	-0.0705295958137835
TRINITY_DN132863_c1_g1_i1	0.999764400973894	0.124818859686406
TRINITY_DN133797_c1_g2_i2	0.999764400973894	0.157558708720126
TRINITY_DN139629_c0_g1_i1	0.999764400973894	-0.0371399112907803
TRINITY_DN49525_c0_g2_i1	0.999764400973894	0.153319896703594
TRINITY_DN89034_c0_g2_i1	0.999764400973894	0.0626240373999552
TRINITY_DN67326_c0_g2_i1	0.999764400973894	0.106313851310425
TRINITY_DN134848_c3_g3_i1	0.999764400973894	-0.0758569312173716
TRINITY_DN132874_c0_g1_i1	0.999764400973894	-0.0166529346857955
TRINITY_DN134898_c1_g7_i3	0.999764400973894	0.438143019002298
TRINITY_DN84278_c0_g3_i1	0.999764400973894	-0.110104229037548
TRINITY_DN133020_c2_g2_i3	0.999764400973894	0.0654744064989557
TRINITY_DN132826_c1_g1_i2	0.650683450635134	-0.490363645135506
TRINITY_DN133789_c3_g1_i3	0.595111181037513	0.968428796360946
TRINITY_DN132872_c5_g3_i5	0.999764400973894	0.0709730249425361
TRINITY_DN134882_c0_g1_i1	0.999764400973894	-0.0480406308940546
TRINITY_DN132690_c4_g1_i1	0.999764400973894	-0.174772094718532
TRINITY_DN133750_c2_g2_i4	0.999764400973894	-0.0581275155816607
TRINITY_DN95526_c0_g1_i1	0.999764400973894	-0.308118888623599
TRINITY_DN98819_c0_g1_i1	0.999764400973894	0.101455548458681
TRINITY_DN109468_c0_g1_i1	0.999764400973894	-0.118700577750707
TRINITY_DN132623_c1_g1_i1	0.999764400973894	-0.460934042578564
TRINITY_DN25091_c0_g1_i1	0.999764400973894	-0.568236017180069
TRINITY_DN95815_c0_g1_i1	0.999764400973894	0.178731398462752
TRINITY_DN84501_c0_g1_i1	0.999764400973894	0.105771661509602
TRINITY_DN93184_c0_g1_i1	0.999764400973894	-0.133991358247897
TRINITY_DN87076_c0_g1_i1	0.999764400973894	-0.102046163117792
TRINITY_DN88001_c0_g3_i1	0.999764400973894	0.0444286931564911
TRINITY_DN72014_c0_g1_i1	0.999764400973894	0.387630237301598
TRINITY_DN90201_c0_g1_i1	0.999764400973894	-0.111847555655401
TRINITY_DN118066_c2_g1_i1	0.999764400973894	0.00125201052549093
TRINITY_DN129417_c2_g1_i1	0.999764400973894	0.072620210290341
TRINITY_DN134863_c0_g5_i4	0.999764400973894	-0.0965071565909518
TRINITY_DN116507_c0_g2_i1	0.999764400973894	-0.0182595396901668
TRINITY_DN96081_c0_g2_i2	0.162671702390761	1.60792471602043
TRINITY_DN130702_c10_g3_i1	0.999764400973894	-0.327404267090706
TRINITY_DN130789_c4_g1_i2	0.999764400973894	0.0906311099843552
TRINITY_DN76716_c0_g1_i1	0.349101047067303	1.98183243083063
TRINITY_DN57864_c0_g1_i1	0.999764400973894	0.077775703490077
TRINITY_DN132858_c0_g7_i1	0.999764400973894	0.0873346235707343
TRINITY_DN130789_c2_g1_i1	0.999764400973894	0.0738378747513488
TRINITY_DN93647_c0_g1_i1	0.999764400973894	0.139555597841436
TRINITY_DN97999_c0_g1_i1	0.999764400973894	0.418044540820298
TRINITY_DN83285_c0_g1_i1	0.978820492507863	-1.78670247913571
TRINITY_DN70925_c0_g2_i1	0.999764400973894	0.382842221504496
TRINITY_DN116550_c0_g2_i2	0.999764400973894	-0.0747263399448598
TRINITY_DN133048_c3_g1_i3	0.999764400973894	-0.0920882098109669
TRINITY_DN88278_c0_g1_i1	0.999764400973894	0.356039476313618
TRINITY_DN83795_c0_g1_i3	0.999764400973894	0.0446656770246132
TRINITY_DN132642_c5_g3_i2	0.999764400973894	-0.055930068061391
TRINITY_DN92873_c0_g2_i1	0.999764400973894	-0.311112246637631
TRINITY_DN79981_c0_g1_i1	0.999764400973894	-0.0934608056456258
TRINITY_DN118072_c0_g1_i2	0.999764400973894	0.198786134339833
TRINITY_DN134126_c1_g4_i1	0.999764400973894	0.45124402488921
TRINITY_DN133012_c3_g1_i1	0.999764400973894	0.0915564299640175
TRINITY_DN118933_c1_g1_i1	0.999764400973894	-0.23835530455144
TRINITY_DN82332_c0_g1_i1	0.999764400973894	0.19774296308265
TRINITY_DN32641_c0_g2_i1	0.999764400973894	0.484922862611776
TRINITY_DN69217_c0_g2_i1	0.999764400973894	0.468167265794657
TRINITY_DN14256_c0_g1_i1	0.999764400973894	0.263738237386124
TRINITY_DN73625_c0_g2_i1	0.999764400973894	0.0330262709010136
TRINITY_DN90603_c0_g1_i1	0.999764400973894	0.454551663999719
TRINITY_DN134814_c5_g2_i1	0.999764400973894	-0.170426904292186
TRINITY_DN83852_c0_g1_i1	0.999764400973894	0.627628014744833
TRINITY_DN109459_c0_g2_i1	0.999764400973894	0.322675032591933
TRINITY_DN134149_c1_g8_i3	0.999764400973894	0.0494036420598691
TRINITY_DN133048_c4_g2_i1	0.999764400973894	-0.580873560275986
TRINITY_DN98592_c0_g2_i1	0.999764400973894	-0.521460074504647
TRINITY_DN134564_c0_g4_i1	0.999764400973894	-0.00363420240842277
