gene	FDR	logFC
TRINITY_DN127333_c1_g1_i5	1	0.192876314807972
TRINITY_DN125436_c0_g1_i6	1	-0.193952037154275
TRINITY_DN135409_c1_g3_i4	1	0.034698512191075
TRINITY_DN37970_c0_g1_i1	1	-0.423702900231355
TRINITY_DN120582_c1_g2_i1	1	-0.148600774136735
TRINITY_DN135828_c4_g29_i1	1	-0.206156422705975
TRINITY_DN104004_c0_g1_i1	1	0.0945716555046019
TRINITY_DN125523_c6_g3_i1	1	-0.529747921052574
TRINITY_DN125998_c1_g1_i4	1	0.259452761013129
TRINITY_DN105192_c0_g1_i2	1	0.101151704751193
TRINITY_DN123376_c1_g1_i2	1	0.0222929978878005
TRINITY_DN99798_c0_g2_i1	1	0.876890460350749
TRINITY_DN126328_c0_g1_i1	1	0.1208744583694
TRINITY_DN133014_c5_g4_i7	1	0.0351066700457251
TRINITY_DN124678_c1_g2_i1	1	0.607881117001902
TRINITY_DN123791_c1_g1_i1	1	-0.0517121645320819
TRINITY_DN122558_c2_g3_i1	1	0.662056586299826
TRINITY_DN131116_c0_g9_i1	1	2.3277022690528
TRINITY_DN121556_c12_g4_i1	1	0.078666342885583
TRINITY_DN155059_c0_g1_i1	1	0.561161726714459
TRINITY_DN122407_c3_g1_i3	1	-0.449311924747025
TRINITY_DN113089_c0_g1_i1	1	-0.317784350773561
TRINITY_DN119009_c0_g2_i2	1	-0.094215607119691
TRINITY_DN133934_c1_g2_i1	1	0.270963341490966
TRINITY_DN205013_c0_g1_i1	1	-0.342650925228388
TRINITY_DN118987_c0_g1_i1	1	-0.122949166668452
TRINITY_DN106470_c0_g1_i1	1	0.0784737234988373
TRINITY_DN131353_c0_g2_i1	1	0.242810716868115
TRINITY_DN119494_c0_g1_i1	1	0.410557564494149
TRINITY_DN132231_c0_g2_i2	1	0.258308067854555
TRINITY_DN134708_c12_g1_i1	1	-0.0152499333438609
TRINITY_DN131970_c0_g8_i2	1	-0.167659785736008
TRINITY_DN127557_c7_g5_i1	1	-0.131271308479456
TRINITY_DN128222_c5_g1_i3	1	-0.00341756850678826
TRINITY_DN119214_c0_g1_i2	1	0.850433447237057
TRINITY_DN128623_c0_g3_i1	1	-0.0646787057266078
TRINITY_DN127626_c0_g3_i1	1	-0.0433792096898157
TRINITY_DN125646_c0_g1_i1	1	0.0425150816127222
TRINITY_DN128434_c0_g1_i6	1	0.728869148041003
TRINITY_DN114596_c0_g2_i1	1	0.368684160828411
TRINITY_DN120511_c0_g1_i3	1	0.00747422459626019
TRINITY_DN123999_c6_g2_i3	1	-0.233397125295234
TRINITY_DN120770_c0_g2_i1	1	0.387659222216954
TRINITY_DN127274_c0_g2_i1	1	0.241869457452699
TRINITY_DN103614_c0_g2_i2	1	-0.625010337769136
TRINITY_DN131416_c0_g1_i2	1	0.419811235362532
TRINITY_DN203490_c0_g1_i1	1	-0.154499249620622
TRINITY_DN124239_c5_g1_i4	1	0.180711081866794
TRINITY_DN123498_c2_g1_i1	1	-0.0664957788832646
TRINITY_DN117634_c1_g1_i1	1	0.191809812046348
TRINITY_DN136318_c3_g3_i1	1	-0.703421652844763
TRINITY_DN126356_c1_g3_i1	1	-0.540961578784043
TRINITY_DN72899_c0_g1_i1	1	-0.178002080156621
TRINITY_DN129347_c0_g6_i2	1	-0.604596932369545
TRINITY_DN169041_c0_g1_i1	1	-0.652037030099668
TRINITY_DN106031_c0_g1_i1	1	0.262665670756692
TRINITY_DN115163_c0_g1_i1	1	0.0521371633223569
TRINITY_DN125613_c5_g2_i2	1	0.100244005459866
TRINITY_DN120182_c0_g1_i4	1	0.0187147376387096
TRINITY_DN125473_c4_g2_i1	1	0.36039821541243
TRINITY_DN113795_c0_g1_i4	1	0.148321806049591
TRINITY_DN128975_c2_g1_i4	1	-0.087506409333707
TRINITY_DN136539_c9_g1_i2	1	0.197943340594326
TRINITY_DN127931_c1_g1_i5	1	0.0527822761882327
TRINITY_DN118561_c1_g1_i1	1	-0.410322777939672
TRINITY_DN135224_c9_g6_i1	1	-0.0848688688152483
TRINITY_DN136458_c4_g3_i1	1	-0.372478766171291
TRINITY_DN135322_c0_g2_i1	1	-0.0668810222769708
TRINITY_DN121957_c0_g1_i4	1	0.199132406215546
TRINITY_DN112444_c0_g1_i3	1	-0.0850062680916721
TRINITY_DN132485_c2_g2_i9	1	-0.377468466282435
TRINITY_DN113630_c0_g1_i1	1	0.0194125665631302
TRINITY_DN131877_c0_g6_i1	1	-0.13581448664584
TRINITY_DN127271_c1_g3_i7	1	-0.0360634057973642
TRINITY_DN124990_c0_g2_i1	1	0.400603610926713
TRINITY_DN130109_c5_g4_i1	1	-0.155244441733455
TRINITY_DN128849_c0_g1_i1	1	0.248418139075584
TRINITY_DN114256_c0_g1_i1	1	-0.120785766930816
TRINITY_DN111938_c0_g1_i1	1	0.156385947645772
TRINITY_DN114600_c0_g1_i1	1	0.00368569741051098
TRINITY_DN115547_c0_g2_i1	1	0.0342709623907831
TRINITY_DN127929_c0_g1_i1	1	-0.343400717417609
TRINITY_DN132347_c2_g2_i1	1	0.157126513898021
TRINITY_DN136118_c3_g2_i3	1	-0.231501617412526
TRINITY_DN116326_c0_g1_i1	1	0.23286579589394
TRINITY_DN135554_c4_g1_i1	1	-0.434853765033737
TRINITY_DN125414_c1_g3_i6	1	-0.177602005171252
TRINITY_DN125956_c0_g1_i1	1	0.152580966654083
TRINITY_DN95726_c0_g1_i1	1	-0.298617699347277
TRINITY_DN136377_c0_g1_i5	1	0.468993356279455
TRINITY_DN130368_c4_g4_i1	1	0.563611282252697
TRINITY_DN133690_c1_g1_i2	1	-0.0973064467667778
TRINITY_DN128515_c0_g1_i7	1	0.243540818450229
TRINITY_DN83402_c0_g1_i1	1	-0.6866978040961
TRINITY_DN134984_c0_g1_i1	1	0.34908752345599
TRINITY_DN133028_c0_g1_i1	1	0.364933921329951
TRINITY_DN119379_c0_g1_i1	1	-0.572681302821095
TRINITY_DN128976_c1_g1_i1	1	0.200940728223539
TRINITY_DN135551_c0_g2_i1	1	-0.480926237223424
TRINITY_DN123426_c1_g4_i1	1	0.228575525954057
TRINITY_DN128847_c0_g1_i11	1	0.101520619362453
TRINITY_DN135460_c2_g3_i2	1	-0.0145438402028009
TRINITY_DN98835_c0_g3_i1	1	0.155661187577667
TRINITY_DN133003_c3_g1_i1	1	0.318350131636591
TRINITY_DN134318_c0_g3_i1	1	-0.311136801735511
TRINITY_DN130367_c5_g5_i2	1	0.0886747273523815
TRINITY_DN116635_c0_g1_i1	1	0.0704506674151513
TRINITY_DN127727_c1_g2_i3	1	0.288518202304295
TRINITY_DN130895_c0_g1_i1	1	0.580158617639925
TRINITY_DN128113_c3_g1_i1	1	-0.0519371222098017
TRINITY_DN132947_c0_g1_i4	1	0.694552886343663
TRINITY_DN134257_c1_g9_i5	1	-0.0019421625837025
TRINITY_DN110298_c0_g2_i1	1	0.184853312826519
TRINITY_DN129504_c3_g4_i1	1	0.0922823587286779
TRINITY_DN125638_c0_g1_i3	1	-0.12368082194531
TRINITY_DN119027_c0_g1_i5	1	-0.399401706048959
TRINITY_DN117235_c0_g3_i1	1	-0.0176377178942703
TRINITY_DN132821_c9_g1_i1	1	0.334660617279761
TRINITY_DN133256_c3_g3_i1	1	-0.0592408257003306
TRINITY_DN131085_c9_g2_i1	1	0.0204211871487072
TRINITY_DN133682_c1_g1_i3	1	-0.0106698760779462
TRINITY_DN109562_c0_g2_i1	1	-0.590083429921752
TRINITY_DN123602_c3_g8_i2	1	0.375109032927448
TRINITY_DN120342_c3_g4_i1	1	-0.0116856316864817
TRINITY_DN116764_c0_g1_i2	1	0.345748074194258
TRINITY_DN134311_c3_g2_i1	1	-0.0125313146490659
TRINITY_DN126007_c1_g4_i4	1	0.203382930783207
TRINITY_DN119788_c0_g1_i2	1	-0.0131527700827352
TRINITY_DN135454_c0_g10_i2	1	0.415660019198692
TRINITY_DN118108_c0_g2_i1	1	-0.19172504712923
TRINITY_DN128414_c0_g1_i5	1	-0.0576324755891696
TRINITY_DN129757_c0_g1_i1	1	0.420681916263741
