gene	logFC
TRINITY_DN119494_c0_g1_i1	-4.67956711555439
TRINITY_DN123052_c0_g1_i2	-4.34036104600481
TRINITY_DN124951_c0_g3_i3	-2.63541347918175
TRINITY_DN129939_c4_g4_i3	-2.59251688947703
TRINITY_DN118833_c0_g1_i2	-1.28549447379231
TRINITY_DN125519_c4_g4_i2	-4.39865628037504
TRINITY_DN114651_c0_g1_i3	-1.03989782914247
TRINITY_DN127178_c0_g3_i8	-1.6974220801581
TRINITY_DN109669_c1_g2_i1	-1.63874849170258
TRINITY_DN109666_c0_g1_i1	-5.94734695733878
TRINITY_DN108709_c0_g1_i2	-3.2994312005693
TRINITY_DN132480_c0_g2_i5	-2.33350651803169
TRINITY_DN126729_c2_g1_i2	-4.63015941057888
TRINITY_DN135230_c0_g1_i5	-2.72477257074178
TRINITY_DN133823_c0_g2_i1	-4.94134281988779
TRINITY_DN123147_c0_g1_i1	-7.75878045627894
TRINITY_DN101072_c0_g2_i2	-5.98997757354818
TRINITY_DN135315_c3_g4_i2	-5.31076623673911
TRINITY_DN111236_c0_g1_i1	-3.74338534664939
TRINITY_DN128589_c4_g2_i2	-2.65332463160331
TRINITY_DN123456_c0_g4_i1	-3.13389111986354
TRINITY_DN124389_c0_g1_i1	-5.46142215491284
TRINITY_DN123696_c0_g1_i1	-4.02890349016595
TRINITY_DN107978_c0_g1_i1	-3.02883649163421
TRINITY_DN124226_c0_g1_i1	-3.63704753773891
TRINITY_DN117638_c0_g1_i1	-3.91271665246164
TRINITY_DN131450_c1_g5_i5	-2.78394785412801
TRINITY_DN129466_c1_g5_i1	-4.38053656655432
TRINITY_DN119116_c0_g1_i1	-5.98166557320358
TRINITY_DN136663_c13_g1_i1	-6.04482935826244
TRINITY_DN130933_c7_g1_i2	-3.15744709343581
TRINITY_DN164909_c0_g1_i1	-4.27512974938593
TRINITY_DN128186_c0_g1_i4	-2.11878148951997
TRINITY_DN128948_c4_g2_i1	-11.2563879864809
TRINITY_DN125971_c0_g1_i2	-4.29513199299167
TRINITY_DN98815_c0_g2_i1	-5.56076119450536
TRINITY_DN117446_c0_g1_i2	-3.25600569910579
TRINITY_DN133080_c7_g9_i1	-3.40252323639777
TRINITY_DN125119_c3_g6_i1	-3.40100897383687
TRINITY_DN118665_c1_g1_i1	-2.22475657559675
TRINITY_DN131553_c0_g2_i1	-5.48994545623787
TRINITY_DN128648_c7_g2_i1	-2.49671662922306
TRINITY_DN121548_c0_g1_i1	-5.10474673346597
TRINITY_DN124523_c1_g1_i1	-1.60826935647173
