gene	FDR
TRINITY_DN127333_c1_g1_i5	1
TRINITY_DN125436_c0_g1_i6	0.591890508275698
TRINITY_DN135409_c1_g3_i4	0.143953252386643
TRINITY_DN37970_c0_g1_i1	0.705966189887924
TRINITY_DN120582_c1_g2_i1	0.615059167069658
TRINITY_DN135828_c4_g29_i1	0.386650431285111
TRINITY_DN104004_c0_g1_i1	0.931143623217088
TRINITY_DN125523_c6_g3_i1	0.67667763609901
TRINITY_DN125998_c1_g1_i4	0.742500660814771
TRINITY_DN105192_c0_g1_i2	0.428465181129154
TRINITY_DN123376_c1_g1_i2	0.114105547523106
TRINITY_DN99798_c0_g2_i1	3.11204217097292e-17
TRINITY_DN126328_c0_g1_i1	2.18649299332949e-10
TRINITY_DN133014_c5_g4_i7	0.999739338139526
TRINITY_DN124678_c1_g2_i1	0.975387965169954
TRINITY_DN123791_c1_g1_i1	0.53358976145806
TRINITY_DN122558_c2_g3_i1	0.539521368593036
TRINITY_DN131116_c0_g9_i1	0.484470887925036
TRINITY_DN121556_c12_g4_i1	0.00134537334058703
TRINITY_DN155059_c0_g1_i1	0.064589434832888
TRINITY_DN122407_c3_g1_i3	0.589679509992344
TRINITY_DN113089_c0_g1_i1	0.767114286687826
TRINITY_DN119009_c0_g2_i2	0.741885846784964
TRINITY_DN133934_c1_g2_i1	0.561242871601104
TRINITY_DN205013_c0_g1_i1	1
TRINITY_DN118987_c0_g1_i1	0.121021012061805
TRINITY_DN106470_c0_g1_i1	0.262210919775487
TRINITY_DN131353_c0_g2_i1	0.786088484826659
TRINITY_DN119494_c0_g1_i1	1.04651945032385e-26
TRINITY_DN132231_c0_g2_i2	0.889476216896103
TRINITY_DN134708_c12_g1_i1	0.516613736407571
TRINITY_DN131970_c0_g8_i2	0.277690043193038
TRINITY_DN127557_c7_g5_i1	0.406376898706806
TRINITY_DN128222_c5_g1_i3	0.728970804199512
TRINITY_DN119214_c0_g1_i2	0.848501238181161
TRINITY_DN128623_c0_g3_i1	0.590517870768379
TRINITY_DN127626_c0_g3_i1	0.473088584383045
TRINITY_DN125646_c0_g1_i1	0.806413225749684
TRINITY_DN128434_c0_g1_i6	0.850623512366075
TRINITY_DN114596_c0_g2_i1	0.585718425989185
TRINITY_DN120511_c0_g1_i3	0.904812347076199
TRINITY_DN123999_c6_g2_i3	0.111225974186211
TRINITY_DN120770_c0_g2_i1	0.00551803504239905
TRINITY_DN127274_c0_g2_i1	0.509596848907977
TRINITY_DN103614_c0_g2_i2	0.73710948053699
TRINITY_DN131416_c0_g1_i2	0.660816835277725
TRINITY_DN203490_c0_g1_i1	0.452525035581378
TRINITY_DN124239_c5_g1_i4	0.524091556548392
TRINITY_DN123498_c2_g1_i1	0.736931323064173
TRINITY_DN117634_c1_g1_i1	0.669648391993127
TRINITY_DN136318_c3_g3_i1	0.421423431641045
TRINITY_DN126356_c1_g3_i1	6.68519914565104e-05
TRINITY_DN72899_c0_g1_i1	5.4839435855885e-09
TRINITY_DN129347_c0_g6_i2	0.686462945271033
TRINITY_DN169041_c0_g1_i1	0.901180307940983
TRINITY_DN106031_c0_g1_i1	0.302582580480343
TRINITY_DN115163_c0_g1_i1	0.345117788337217
TRINITY_DN125613_c5_g2_i2	0.29960876791136
TRINITY_DN120182_c0_g1_i4	0.268910971397685
TRINITY_DN125473_c4_g2_i1	0.576591192524809
TRINITY_DN113795_c0_g1_i4	0.930683269246262
TRINITY_DN128975_c2_g1_i4	0.00407111807358575
TRINITY_DN136539_c9_g1_i2	0.881722865906037
TRINITY_DN127931_c1_g1_i5	0.0077947802802462
TRINITY_DN118561_c1_g1_i1	0.0513387766945437
TRINITY_DN135224_c9_g6_i1	1
TRINITY_DN136458_c4_g3_i1	0.455054139571173
TRINITY_DN135322_c0_g2_i1	0.434477874046408
TRINITY_DN121957_c0_g1_i4	0.00399314282038627
TRINITY_DN112444_c0_g1_i3	0.58141587276067
TRINITY_DN132485_c2_g2_i9	0.345860899559276
TRINITY_DN113630_c0_g1_i1	0.835260734014406
TRINITY_DN131877_c0_g6_i1	0.787742590749317
TRINITY_DN127271_c1_g3_i7	0.811675258259444
TRINITY_DN124990_c0_g2_i1	0.234539092550648
TRINITY_DN130109_c5_g4_i1	0.549559640871937
TRINITY_DN128849_c0_g1_i1	0.0707247872532611
TRINITY_DN114256_c0_g1_i1	0.00913061596121444
TRINITY_DN111938_c0_g1_i1	0.399316175077215
TRINITY_DN114600_c0_g1_i1	0.79655696339729
TRINITY_DN115547_c0_g2_i1	0.696658264765684
TRINITY_DN127929_c0_g1_i1	0.0910100161445249
TRINITY_DN132347_c2_g2_i1	0.147483098110591
TRINITY_DN136118_c3_g2_i3	0.32989194081335
TRINITY_DN116326_c0_g1_i1	0.958202711289447
TRINITY_DN135554_c4_g1_i1	0.674686871674768
TRINITY_DN125414_c1_g3_i6	0.473550476219696
TRINITY_DN125956_c0_g1_i1	0.940757093583393
TRINITY_DN95726_c0_g1_i1	0.277742115928454
TRINITY_DN136377_c0_g1_i5	0.60764836656033
TRINITY_DN130368_c4_g4_i1	0.287375878846927
TRINITY_DN133690_c1_g1_i2	0.94866742284218
TRINITY_DN128515_c0_g1_i7	0.677332667507736
TRINITY_DN83402_c0_g1_i1	0.538819133905135
TRINITY_DN134984_c0_g1_i1	0.395694471803192
TRINITY_DN133028_c0_g1_i1	0.01469513811967
TRINITY_DN119379_c0_g1_i1	0.928985400206349
TRINITY_DN128976_c1_g1_i1	0.869233780661854
TRINITY_DN135551_c0_g2_i1	0.759272982843881
TRINITY_DN123426_c1_g4_i1	0.811805115613278
TRINITY_DN128847_c0_g1_i11	0.479135942630605
TRINITY_DN135460_c2_g3_i2	0.568937914451805
TRINITY_DN98835_c0_g3_i1	1.35754569536663e-09
TRINITY_DN133003_c3_g1_i1	0.550556096830209
TRINITY_DN134318_c0_g3_i1	0.45861354084632
TRINITY_DN130367_c5_g5_i2	0.00917086417849732
TRINITY_DN116635_c0_g1_i1	0.866812217790903
TRINITY_DN127727_c1_g2_i3	0.0153285633268481
TRINITY_DN130895_c0_g1_i1	0.176692531793395
TRINITY_DN128113_c3_g1_i1	0.645942985811185
TRINITY_DN132947_c0_g1_i4	0.616370806197633
TRINITY_DN134257_c1_g9_i5	0.456231829443968
TRINITY_DN110298_c0_g2_i1	0.00206094523116854
TRINITY_DN129504_c3_g4_i1	0.862685434068592
TRINITY_DN125638_c0_g1_i3	0.939634258822235
TRINITY_DN119027_c0_g1_i5	0.485001368033381
TRINITY_DN117235_c0_g3_i1	7.12311260834556e-26
