gene	logFC
TRINITY_DN127333_c1_g1_i5	2.78736484653704
TRINITY_DN205013_c0_g1_i1	2.06733788752335
TRINITY_DN135224_c9_g6_i1	1.05879009866934
TRINITY_DN188190_c0_g1_i1	1.23800150437419
TRINITY_DN4687_c0_g1_i1	8.25620673513295
TRINITY_DN96202_c0_g1_i1	1.76172794559507
TRINITY_DN106183_c0_g1_i1	1.06442893175041
TRINITY_DN130021_c0_g6_i1	0.909438711901959
TRINITY_DN116156_c0_g2_i1	0.991039593902487
TRINITY_DN128683_c0_g1_i2	4.60639122603774
TRINITY_DN126149_c3_g1_i1	1.40430486294172
TRINITY_DN120758_c3_g1_i1	2.12237085878663
TRINITY_DN124217_c2_g4_i3	1.28404507967686
TRINITY_DN116805_c0_g1_i1	6.90352131978938
TRINITY_DN132630_c5_g3_i1	7.15547865682503
TRINITY_DN132547_c1_g4_i1	1.26489384934454
TRINITY_DN131978_c0_g1_i1	1.1572381194409
TRINITY_DN134306_c6_g3_i1	1.0092684616511
TRINITY_DN115676_c0_g1_i1	1.80633706378637
TRINITY_DN130791_c0_g2_i1	2.16829908256354
TRINITY_DN132634_c5_g2_i2	1.18556974154435
TRINITY_DN112760_c0_g1_i2	2.25483631172408
TRINITY_DN123670_c2_g1_i1	2.30368161932148
TRINITY_DN126384_c1_g6_i1	1.24633614091839
TRINITY_DN125552_c1_g2_i2	1.26294138474476
TRINITY_DN129733_c3_g5_i1	4.15654930128757
TRINITY_DN127520_c0_g3_i7	0.946855515324631
TRINITY_DN132741_c0_g1_i1	1.38114688870065
TRINITY_DN131379_c2_g1_i2	1.65886425319416
TRINITY_DN120714_c0_g1_i1	1.70093853290878
TRINITY_DN127248_c0_g2_i2	1.07040680795597
TRINITY_DN134679_c1_g1_i1	2.42769117244762
TRINITY_DN207170_c0_g1_i1	1.16532097926696
TRINITY_DN97551_c0_g5_i1	1.44036557689094
TRINITY_DN116761_c0_g1_i4	1.94994837794143
TRINITY_DN132616_c0_g2_i1	1.04401753399166
TRINITY_DN125661_c0_g1_i2	1.00304903665906
TRINITY_DN54980_c0_g1_i1	1.03040211468246
TRINITY_DN127403_c1_g4_i1	1.22419916522523
TRINITY_DN130136_c6_g1_i1	2.17676100827632
TRINITY_DN115474_c0_g1_i1	2.02497494182616
TRINITY_DN128513_c1_g2_i6	1.14015434910119
TRINITY_DN120686_c1_g1_i2	1.072515070117
TRINITY_DN134349_c1_g2_i1	1.26719738756607
TRINITY_DN127333_c1_g3_i1	2.28547854905704
TRINITY_DN136338_c11_g2_i1	2.46477942777666
TRINITY_DN133367_c3_g1_i4	1.04105483138639
TRINITY_DN135232_c0_g3_i5	2.72469215997561
TRINITY_DN94387_c0_g1_i1	1.35599357579716
TRINITY_DN40257_c0_g1_i1	3.17842816400502
TRINITY_DN132741_c0_g3_i1	1.60050478421325
TRINITY_DN121801_c0_g1_i2	0.889788593787757
TRINITY_DN116233_c0_g1_i1	1.36321345023082
TRINITY_DN134234_c6_g5_i2	7.56617164868146
TRINITY_DN123515_c0_g2_i1	0.976751650893023
TRINITY_DN119707_c0_g1_i1	1.14881846884463
TRINITY_DN113348_c0_g3_i1	4.58799979039555
TRINITY_DN75921_c0_g1_i1	2.73191530312239
TRINITY_DN127421_c2_g1_i1	1.85222748370144
TRINITY_DN124240_c0_g1_i2	1.21720373134651
TRINITY_DN126163_c7_g2_i1	0.963423291578707
TRINITY_DN121465_c5_g2_i1	9.50966033882022
TRINITY_DN129408_c6_g2_i2	0.939619089488583
TRINITY_DN123513_c0_g1_i2	1.67329294815971
TRINITY_DN133496_c0_g1_i3	1.24690808669685
TRINITY_DN131299_c0_g2_i2	1.36963745951534
TRINITY_DN136721_c2_g4_i2	1.43081518130926
TRINITY_DN128448_c2_g1_i2	1.0368396583464
TRINITY_DN17756_c0_g2_i1	1.74403527739047
TRINITY_DN114709_c0_g1_i1	0.924801050850111
TRINITY_DN115114_c1_g1_i1	1.15607654918011
TRINITY_DN98218_c0_g1_i2	1.27705337707383
TRINITY_DN131174_c1_g4_i1	1.73792140153356
TRINITY_DN129053_c3_g4_i1	2.74225753359949
TRINITY_DN96172_c0_g1_i1	1.22283041245473
TRINITY_DN136373_c3_g1_i3	1.88516028831816
TRINITY_DN125272_c0_g1_i3	1.3013486613687
TRINITY_DN46032_c0_g1_i1	6.3022692313625
TRINITY_DN136375_c6_g1_i1	2.50523115237841
TRINITY_DN120758_c3_g3_i1	10.6109860000742
TRINITY_DN133595_c5_g3_i2	0.973357562912208
TRINITY_DN133949_c2_g3_i2	1.08121052081878
TRINITY_DN127464_c0_g7_i1	9.888606082903
TRINITY_DN133534_c2_g6_i1	1.36480086889646
TRINITY_DN127870_c2_g2_i1	2.15602224282275
TRINITY_DN83621_c0_g1_i1	1.50008162761376
TRINITY_DN135164_c2_g1_i3	1.24944136407809
TRINITY_DN130880_c4_g3_i1	0.990933286452465
TRINITY_DN127017_c0_g1_i1	0.897543476825653
TRINITY_DN130068_c0_g4_i1	0.933076126479666
TRINITY_DN118393_c0_g1_i3	1.78866826723398
TRINITY_DN114220_c0_g1_i1	1.98658220615652
TRINITY_DN132560_c1_g7_i1	5.3706237156242
TRINITY_DN128761_c2_g3_i5	0.726878078389812
TRINITY_DN134763_c4_g2_i1	0.912468424853155
TRINITY_DN122751_c0_g1_i2	1.20757211526985
TRINITY_DN131588_c1_g1_i6	2.53236834604413
TRINITY_DN125044_c1_g5_i2	0.954561083780924
TRINITY_DN127819_c4_g2_i1	0.917306309791503
TRINITY_DN133519_c4_g1_i1	0.869000931630326
TRINITY_DN134134_c0_g1_i2	1.76075908053966
TRINITY_DN125138_c7_g3_i10	1.11323139884486
TRINITY_DN128660_c0_g1_i3	1.16551181900058
TRINITY_DN127998_c1_g5_i6	1.92982554152349
TRINITY_DN125174_c0_g8_i1	1.20354284854975
TRINITY_DN128511_c3_g1_i1	1.50010748620008
TRINITY_DN120324_c0_g1_i2	1.00626940781279
TRINITY_DN134495_c3_g5_i1	1.13593701902804
TRINITY_DN105833_c0_g2_i1	8.62206319965278
TRINITY_DN97008_c0_g1_i1	0.890893591962164
TRINITY_DN115967_c1_g3_i1	5.21267899713274
TRINITY_DN130291_c2_g1_i1	3.09534589380211
TRINITY_DN131264_c0_g1_i4	1.52289847320139
TRINITY_DN125326_c5_g1_i2	0.758380395409241
TRINITY_DN114406_c0_g1_i1	1.31916294013178
TRINITY_DN108540_c0_g1_i1	0.81748674017889
TRINITY_DN131607_c2_g2_i8	1.51488704918502
TRINITY_DN16306_c0_g2_i1	1.91384299144511
TRINITY_DN109995_c1_g3_i1	1.28989659047245
TRINITY_DN106189_c0_g2_i1	1.18814454747687
TRINITY_DN134306_c3_g1_i1	8.59578237642669
TRINITY_DN124744_c0_g1_i1	1.62449395666752
TRINITY_DN134898_c1_g7_i3	3.47693996798476
TRINITY_DN208125_c0_g1_i1	1.59338052488356
TRINITY_DN130854_c0_g3_i2	1.00046527556251
TRINITY_DN130304_c0_g1_i4	0.836982417974592
TRINITY_DN124874_c1_g1_i1	2.5837805581302
TRINITY_DN127496_c4_g2_i2	1.27835125550346
TRINITY_DN116347_c0_g1_i1	1.28223530976839
TRINITY_DN120481_c0_g1_i2	1.74164459878472
TRINITY_DN122600_c2_g2_i1	1.47041210682088
TRINITY_DN127055_c1_g5_i1	8.87787602744474
TRINITY_DN134215_c3_g1_i1	2.85031511249358
TRINITY_DN134053_c4_g1_i1	1.15426195478234
TRINITY_DN121065_c0_g1_i2	1.80942322128666
TRINITY_DN111532_c0_g2_i4	2.21390119482254
TRINITY_DN127994_c1_g1_i1	1.27671273623232
TRINITY_DN136469_c4_g1_i3	1.0168312218406
TRINITY_DN133721_c0_g1_i1	1.24758189071381
TRINITY_DN131180_c1_g2_i3	0.855372076362476
TRINITY_DN127648_c1_g6_i1	1.76589674153586
TRINITY_DN133616_c0_g1_i1	1.26182480670845
TRINITY_DN135458_c0_g2_i3	1.04046178362884
TRINITY_DN125260_c4_g1_i9	1.11432251976055
TRINITY_DN124536_c0_g2_i2	1.17324977265785
TRINITY_DN130634_c6_g2_i1	0.772000557158339
TRINITY_DN135018_c1_g1_i1	1.69203312998653
TRINITY_DN119516_c0_g2_i1	1.73540215667973
TRINITY_DN135370_c2_g7_i1	1.22479536830492
TRINITY_DN131744_c0_g4_i2	3.03731932717146
TRINITY_DN125160_c1_g1_i1	0.908005741058883
TRINITY_DN134963_c2_g3_i1	7.16671397351182
