gene	FDR	logFC
TRINITY_DN100099_c0_g1_i1	0.659058967460836	0.730346266791646
TRINITY_DN100105_c0_g1_i1	0.959308261284078	0.391842248620748
TRINITY_DN100108_c0_g1_i1	0.000561058403160546	-4.89895979336148
TRINITY_DN100115_c0_g1_i1	0.999557095418639	-0.144326547148784
TRINITY_DN100194_c0_g1_i1	0.999557095418639	-0.0864543743999101
TRINITY_DN100230_c0_g1_i1	0.999557095418639	0.105708383958343
TRINITY_DN100260_c0_g2_i1	0.999557095418639	-0.0591097611762588
TRINITY_DN100287_c0_g2_i1	0.999557095418639	0.118997065020653
TRINITY_DN100348_c0_g1_i1	0.999557095418639	0.21555713307799
TRINITY_DN100358_c0_g1_i1	0.999557095418639	0.353575925682514
TRINITY_DN100376_c0_g1_i1	0.999557095418639	0.583127169293457
TRINITY_DN100514_c0_g1_i1	0.999557095418639	0.346873481228025
TRINITY_DN100638_c0_g2_i1	0.999557095418639	0.128322686458285
TRINITY_DN100835_c0_g1_i1	0.999557095418639	0.250299206560909
TRINITY_DN101042_c0_g2_i1	0.999557095418639	-0.212907242296447
TRINITY_DN101047_c0_g1_i2	0.999557095418639	-0.114624381784018
TRINITY_DN101072_c0_g2_i2	0.327063539679354	-1.91354151246828
TRINITY_DN101150_c0_g2_i1	0.999557095418639	0.291732330606498
TRINITY_DN101232_c0_g1_i1	0.999557095418639	0.0766531700997634
TRINITY_DN101247_c0_g3_i1	0.999557095418639	0.0409351192213833
TRINITY_DN101292_c0_g1_i3	0.999557095418639	-0.130306956861516
TRINITY_DN101326_c0_g1_i1	0.623470334198002	-2.01476646458681
TRINITY_DN101356_c0_g1_i1	0.999557095418639	0.0504965430875309
TRINITY_DN101361_c0_g1_i2	0.999557095418639	0.130222795673154
TRINITY_DN101457_c0_g1_i1	0.999557095418639	0.0931630628930626
TRINITY_DN101488_c0_g2_i2	0.999557095418639	-0.0201440791300569
TRINITY_DN101542_c0_g1_i1	0.999557095418639	0.0100088718349382
TRINITY_DN101606_c0_g1_i1	0.959308261284078	0.938593346254546
TRINITY_DN101610_c0_g2_i1	0.999557095418639	0.226624846272764
TRINITY_DN101728_c0_g2_i1	0.999557095418639	0.238167377535181
TRINITY_DN101751_c0_g1_i1	0.999557095418639	-0.294136807306433
TRINITY_DN101798_c0_g1_i1	0.999557095418639	0.0583659050787024
TRINITY_DN101809_c0_g1_i2	0.999557095418639	-0.220403667061674
TRINITY_DN101821_c0_g1_i1	0.999557095418639	0.00968639081217734
TRINITY_DN101833_c0_g1_i1	0.999557095418639	-0.123321244189692
TRINITY_DN101895_c0_g1_i1	0.999557095418639	-0.240062291478932
TRINITY_DN101903_c0_g2_i2	0.999557095418639	0.169602796435844
TRINITY_DN101930_c0_g2_i1	0.999557095418639	0.0574516656774816
TRINITY_DN101930_c0_g4_i3	0.861818858330364	-0.65530239146861
TRINITY_DN102026_c0_g1_i2	0.999557095418639	0.0241898804789808
TRINITY_DN102065_c0_g1_i1	0.999557095418639	0.129029334653132
TRINITY_DN102078_c0_g1_i1	0.999557095418639	-0.136030217020811
TRINITY_DN102094_c0_g3_i1	0.999557095418639	-0.23870510352103
TRINITY_DN102159_c0_g1_i2	0.999557095418639	-0.0439124786718853
TRINITY_DN102162_c0_g1_i1	0.999557095418639	-0.296784190197208
TRINITY_DN102167_c0_g1_i2	0.999557095418639	0.122309697975488
TRINITY_DN102193_c0_g2_i1	0.999557095418639	-0.0930601039953159
TRINITY_DN102198_c0_g1_i3	0.999557095418639	-0.317996430550849
TRINITY_DN102252_c0_g2_i1	0.999557095418639	0.195176569159703
TRINITY_DN102272_c0_g1_i1	0.999557095418639	0.0149570282800783
TRINITY_DN102276_c0_g1_i1	0.999557095418639	-0.537660244229437
TRINITY_DN102279_c0_g1_i1	0.999557095418639	0.146731802302862
TRINITY_DN102288_c0_g1_i1	0.999557095418639	0.352683984262806
TRINITY_DN102312_c0_g1_i1	0.999557095418639	0.0995032248817544
TRINITY_DN102400_c0_g1_i1	0.999557095418639	-0.112505917085477
TRINITY_DN102455_c0_g1_i1	0.999557095418639	-0.0350089424333268
TRINITY_DN102459_c0_g1_i1	0.999557095418639	-0.00686187722064013
TRINITY_DN102469_c0_g1_i1	0.999557095418639	-0.460878832716745
TRINITY_DN10248_c0_g1_i1	0.999557095418639	0.0846448651945135
TRINITY_DN102493_c0_g1_i1	0.0615651570375197	0.482218950311947
TRINITY_DN102496_c0_g1_i1	0.999557095418639	0.0343471184003351
TRINITY_DN102500_c0_g1_i1	0.999557095418639	-0.152149368943468
TRINITY_DN102539_c0_g1_i1	0.999557095418639	0.103963762141611
TRINITY_DN102559_c0_g2_i1	0.999557095418639	0.0532888009327375
