gene	FDR	logFC
TRINITY_DN100099_c0_g1_i1	0.9999924889057	1.38049106099937
TRINITY_DN100105_c0_g1_i1	0.9999924889057	0.178508196312245
TRINITY_DN100115_c0_g1_i1	0.9999924889057	-0.466607609984724
TRINITY_DN100194_c0_g1_i1	0.9999924889057	-0.0959334010928947
TRINITY_DN100260_c0_g2_i1	0.9999924889057	-0.310885138633436
TRINITY_DN100287_c0_g2_i1	0.9999924889057	-0.14708852911913
TRINITY_DN100358_c0_g1_i1	0.9999924889057	0.0189106583267257
TRINITY_DN100376_c0_g1_i1	0.9999924889057	0.583764216870421
TRINITY_DN100418_c0_g1_i1	0.9999924889057	0.897976304430717
TRINITY_DN100638_c0_g2_i1	0.9999924889057	0.130016954734098
TRINITY_DN100835_c0_g1_i1	0.9999924889057	-0.132324393123497
TRINITY_DN101042_c0_g2_i1	0.9999924889057	0.280638196513239
TRINITY_DN101047_c0_g1_i2	0.9999924889057	-0.291119426164706
TRINITY_DN101072_c0_g2_i2	2.00133363908442e-07	-5.90557025443323
TRINITY_DN101150_c0_g2_i1	0.9999924889057	-0.0360120625846051
TRINITY_DN101193_c0_g1_i1	0.9999924889057	0.0035591938771413
TRINITY_DN101232_c0_g1_i1	0.9999924889057	0.143204217349003
TRINITY_DN101247_c0_g3_i1	0.9999924889057	0.161098551236405
TRINITY_DN101292_c0_g1_i3	0.9999924889057	0.0604468463599753
TRINITY_DN101326_c0_g1_i1	0.9999924889057	-0.334871013764822
TRINITY_DN101356_c0_g1_i1	0.9999924889057	0.364417999329225
TRINITY_DN101361_c0_g1_i2	0.9999924889057	-0.692914367710044
TRINITY_DN101457_c0_g1_i1	0.9999924889057	0.1671191150426
TRINITY_DN101488_c0_g2_i2	0.9999924889057	-0.246827250888709
TRINITY_DN101542_c0_g1_i1	0.9999924889057	0.000658523728525088
TRINITY_DN101610_c0_g2_i1	0.9999924889057	-0.701458716190537
TRINITY_DN101728_c0_g2_i1	0.9999924889057	-0.493032807390041
TRINITY_DN101751_c0_g1_i1	0.9999924889057	-0.441115704123117
TRINITY_DN101798_c0_g1_i1	0.9999924889057	-0.350112336886074
TRINITY_DN101809_c0_g1_i2	0.9999924889057	0.314795809072156
TRINITY_DN101821_c0_g1_i1	0.9999924889057	0.13485448470057
TRINITY_DN101833_c0_g1_i1	0.9999924889057	0.167868887771651
TRINITY_DN101895_c0_g1_i1	0.9999924889057	-0.181012856022991
TRINITY_DN101903_c0_g2_i2	0.9999924889057	0.47118697122299
TRINITY_DN101966_c0_g1_i1	0.9999924889057	-0.0301867168460305
TRINITY_DN102026_c0_g1_i2	0.9999924889057	0.313182331047101
TRINITY_DN102065_c0_g1_i1	0.9999924889057	-0.0725453001894541
TRINITY_DN102078_c0_g1_i1	0.9999924889057	-0.466375282212762
TRINITY_DN102094_c0_g3_i1	0.9999924889057	0.133840356093774
TRINITY_DN102159_c0_g1_i2	0.9999924889057	-0.275840595933479
TRINITY_DN102162_c0_g1_i1	0.9999924889057	-0.406884463452067
TRINITY_DN102167_c0_g1_i2	0.9999924889057	-0.0556207700811593
