gene	FDR
TRINITY_DN100099_c0_g1_i1	0.356687877725657
TRINITY_DN100108_c0_g1_i1	0.589972533086303
TRINITY_DN100115_c0_g1_i1	1
TRINITY_DN100194_c0_g1_i1	0.16433239167213
TRINITY_DN100230_c0_g1_i1	0.0141826189638342
TRINITY_DN100260_c0_g2_i1	1
TRINITY_DN100287_c0_g2_i1	0.0338776281162441
TRINITY_DN100358_c0_g1_i1	0.053131704087854
TRINITY_DN100376_c0_g1_i1	0.630785494174066
TRINITY_DN100418_c0_g1_i1	0.129966862650478
TRINITY_DN100638_c0_g2_i1	0.469795680435403
TRINITY_DN100835_c0_g1_i1	0.0158437100618067
TRINITY_DN101042_c0_g2_i1	1
TRINITY_DN101047_c0_g1_i2	1
TRINITY_DN101072_c0_g2_i2	1
TRINITY_DN101150_c0_g2_i1	0.556194854922955
TRINITY_DN101193_c0_g1_i1	0.577871760344116
TRINITY_DN101232_c0_g1_i1	0.274463451077081
TRINITY_DN101247_c0_g3_i1	0.969163341346077
TRINITY_DN101292_c0_g1_i3	0.387100589328216
TRINITY_DN101326_c0_g1_i1	0.233083990583036
TRINITY_DN101356_c0_g1_i1	1
TRINITY_DN101361_c0_g1_i2	0.0880738911803218
TRINITY_DN101457_c0_g1_i1	1
TRINITY_DN101488_c0_g2_i2	0.946668505330989
TRINITY_DN101542_c0_g1_i1	0.0772995354726897
TRINITY_DN101610_c0_g2_i1	0.0254699857781312
TRINITY_DN101728_c0_g2_i1	0.000125086176724439
TRINITY_DN101751_c0_g1_i1	1
TRINITY_DN101809_c0_g1_i2	0.0153105020859171
TRINITY_DN101821_c0_g1_i1	0.368371708275925
TRINITY_DN101833_c0_g1_i1	0.303457198412878
TRINITY_DN101895_c0_g1_i1	0.167909422710405
TRINITY_DN101903_c0_g2_i2	0.254205594916654
TRINITY_DN101966_c0_g1_i1	0.106255013104038
TRINITY_DN102026_c0_g1_i2	0.0156607648718266
TRINITY_DN102065_c0_g1_i1	1
TRINITY_DN102078_c0_g1_i1	1
TRINITY_DN102094_c0_g3_i1	0.868474141202573
TRINITY_DN102159_c0_g1_i2	0.0206266350293891
TRINITY_DN102162_c0_g1_i1	0.0940319769669236
TRINITY_DN102167_c0_g1_i2	0.231055600759702
TRINITY_DN102186_c0_g1_i2	0.0155496214016623
TRINITY_DN102193_c0_g2_i1	0.364427685076463
TRINITY_DN102252_c0_g2_i1	0.142933357084668
TRINITY_DN102271_c0_g3_i1	0.503795272716866
TRINITY_DN102272_c0_g1_i1	1
TRINITY_DN102276_c0_g1_i1	0.166615991846086
TRINITY_DN102279_c0_g1_i1	0.682890074047468
TRINITY_DN102288_c0_g1_i1	0.538922193878661
TRINITY_DN102312_c0_g1_i1	0.632644240895221
TRINITY_DN102326_c0_g6_i1	0.148950959459122
TRINITY_DN102393_c0_g1_i1	0.300180459090041
TRINITY_DN102400_c0_g1_i1	0.152123075718552
TRINITY_DN102455_c0_g1_i1	0.82220271077796
TRINITY_DN102459_c0_g1_i1	0.0092424303501553
TRINITY_DN102469_c0_g1_i1	0.159148510773802
TRINITY_DN102493_c0_g1_i1	0.592347040057045
TRINITY_DN102496_c0_g1_i1	0.231947483861112
TRINITY_DN102500_c0_g1_i1	0.686420676406368
TRINITY_DN102539_c0_g1_i1	0.495804665180184
TRINITY_DN102559_c0_g2_i1	1
TRINITY_DN102581_c0_g1_i2	1
TRINITY_DN102595_c0_g1_i2	0.282152189727086
TRINITY_DN103107_c0_g1_i1	0.484197712482626
TRINITY_DN103150_c0_g1_i1	0.236045091308634
TRINITY_DN103157_c0_g1_i2	0.287215617423053
TRINITY_DN103196_c0_g1_i2	0.0886319393903681
TRINITY_DN103209_c0_g3_i2	0.944262406864016
TRINITY_DN103509_c0_g1_i1	0.754741730744437
TRINITY_DN103526_c0_g1_i1	1
TRINITY_DN103537_c0_g2_i1	1
TRINITY_DN103544_c0_g1_i2	0.0109578729069937
TRINITY_DN103549_c0_g1_i1	1
TRINITY_DN103557_c0_g2_i2	1
TRINITY_DN103565_c0_g4_i1	1
TRINITY_DN103567_c0_g1_i1	0.728448445437362
TRINITY_DN103584_c0_g2_i1	0.211562090994154
TRINITY_DN103615_c0_g1_i1	0.388470557076885
TRINITY_DN103621_c0_g1_i2	1
TRINITY_DN103622_c0_g3_i3	1
TRINITY_DN103630_c0_g1_i1	0.36698321331592
TRINITY_DN103637_c0_g3_i1	1
TRINITY_DN103653_c0_g1_i1	1
TRINITY_DN103662_c0_g1_i1	0.288274079390964
TRINITY_DN103690_c0_g1_i1	4.16375734944231e-05
TRINITY_DN103698_c0_g1_i1	2.32539088556376e-05
TRINITY_DN103704_c0_g1_i1	1
TRINITY_DN103714_c0_g1_i2	0.807818448494216
TRINITY_DN103720_c0_g1_i2	0.758345169293783
TRINITY_DN103733_c0_g2_i1	0.967359430920033
TRINITY_DN103741_c0_g1_i2	1
TRINITY_DN103776_c0_g1_i1	0.0536721643861728
TRINITY_DN103783_c0_g1_i1	1
TRINITY_DN103812_c0_g1_i2	1
TRINITY_DN103830_c0_g1_i1	0.289789868753658
TRINITY_DN103838_c0_g1_i1	1
TRINITY_DN103847_c0_g1_i1	0.138945081366264
TRINITY_DN103855_c0_g1_i1	0.0321613377979496
TRINITY_DN103859_c0_g1_i1	0.619586728181062
TRINITY_DN103860_c0_g1_i1	1
TRINITY_DN103862_c0_g1_i1	0.40236253515436
TRINITY_DN103882_c0_g1_i1	0.465248923802163
TRINITY_DN103890_c0_g1_i2	0.233663118535954
TRINITY_DN103891_c0_g1_i1	0.126423575170237
TRINITY_DN103896_c0_g1_i2	0.350570380578269
TRINITY_DN103912_c0_g1_i1	1
TRINITY_DN103926_c0_g2_i1	0.245117330095148
TRINITY_DN103986_c0_g1_i1	0.213990979599765
TRINITY_DN103989_c0_g1_i1	1
TRINITY_DN104027_c0_g1_i1	0.0722216709259257
TRINITY_DN104136_c0_g1_i1	1
TRINITY_DN104155_c0_g1_i1	0.40042273569143
TRINITY_DN104173_c0_g1_i1	0.636383916795036
TRINITY_DN104207_c0_g1_i1	1
TRINITY_DN104287_c1_g1_i1	0.143254687552833
TRINITY_DN104334_c0_g1_i1	0.713181865668052
TRINITY_DN104339_c0_g1_i2	0.831479471080897
TRINITY_DN104365_c0_g3_i1	1
