gene	logFC	FDR
1	TRINITY_DN100099_c0_g1_i1	-0.556293979537052	0.356687877725657
2	TRINITY_DN100108_c0_g1_i1	0.432654917620634	0.589972533086303
3	TRINITY_DN100194_c0_g1_i1	0.763497321665748	0.16433239167213
4	TRINITY_DN100358_c0_g1_i1	0.648160967285569	0.053131704087854
5	TRINITY_DN100376_c0_g1_i1	0.207169325454717	0.630785494174066
6	TRINITY_DN100418_c0_g1_i1	1.26147897210187	0.129966862650478
7	TRINITY_DN100638_c0_g2_i1	-0.238802160450285	0.469795680435403
8	TRINITY_DN101150_c0_g2_i1	0.277886631313144	0.556194854922955
9	TRINITY_DN101193_c0_g1_i1	0.264058182902499	0.577871760344116
10	TRINITY_DN101232_c0_g1_i1	0.512441699382886	0.274463451077081
11	TRINITY_DN101247_c0_g3_i1	-0.0371551632232604	0.969163341346077
12	TRINITY_DN101292_c0_g1_i3	0.611627294768815	0.387100589328216
13	TRINITY_DN101326_c0_g1_i1	0.726876808180581	0.233083990583036
14	TRINITY_DN101361_c0_g1_i2	0.662869529884196	0.0880738911803218
15	TRINITY_DN101488_c0_g2_i2	-0.0233543129046878	0.946668505330989
16	TRINITY_DN101542_c0_g1_i1	-0.533038644227268	0.0772995354726897
17	TRINITY_DN101821_c0_g1_i1	0.481201455757014	0.368371708275925
18	TRINITY_DN101833_c0_g1_i1	-0.656311319343643	0.303457198412878
19	TRINITY_DN101895_c0_g1_i1	0.73114894062984	0.167909422710405
20	TRINITY_DN101903_c0_g2_i2	-0.394515437918538	0.254205594916654
21	TRINITY_DN101966_c0_g1_i1	1.07989989939448	0.106255013104038
22	TRINITY_DN102094_c0_g3_i1	0.0926290081981519	0.868474141202573
23	TRINITY_DN102162_c0_g1_i1	-0.543473170992693	0.0940319769669236
24	TRINITY_DN102167_c0_g1_i2	-0.362465165970555	0.231055600759702
25	TRINITY_DN102193_c0_g2_i1	0.34724466072697	0.364427685076463
26	TRINITY_DN102252_c0_g2_i1	0.621332084738826	0.142933357084668
27	TRINITY_DN102271_c0_g3_i1	0.638161257541587	0.503795272716866
28	TRINITY_DN102276_c0_g1_i1	0.685539722511723	0.166615991846086
29	TRINITY_DN102279_c0_g1_i1	0.132890836421432	0.682890074047468
30	TRINITY_DN102288_c0_g1_i1	-0.321753488822443	0.538922193878661
31	TRINITY_DN102312_c0_g1_i1	0.163021118029299	0.632644240895221
32	TRINITY_DN102326_c0_g6_i1	0.830826031519855	0.148950959459122
33	TRINITY_DN102393_c0_g1_i1	0.418031450898671	0.300180459090041
34	TRINITY_DN102400_c0_g1_i1	-0.4393157981569	0.152123075718552
35	TRINITY_DN102455_c0_g1_i1	0.0803298678311093	0.82220271077796
36	TRINITY_DN102469_c0_g1_i1	0.876219537340425	0.159148510773802
37	TRINITY_DN102493_c0_g1_i1	0.233215576509752	0.592347040057045
38	TRINITY_DN102496_c0_g1_i1	-0.411216598171757	0.231947483861112
39	TRINITY_DN102500_c0_g1_i1	0.187260988869655	0.686420676406368
40	TRINITY_DN102539_c0_g1_i1	0.213413764368256	0.495804665180184
41	TRINITY_DN102595_c0_g1_i2	0.638955158281025	0.282152189727086
42	TRINITY_DN103107_c0_g1_i1	0.21924944443559	0.484197712482626
43	TRINITY_DN103150_c0_g1_i1	0.660203393442272	0.236045091308634
44	TRINITY_DN103157_c0_g1_i2	0.534685557215262	0.287215617423053
45	TRINITY_DN103196_c0_g1_i2	-0.568670309217567	0.0886319393903681
46	TRINITY_DN103209_c0_g3_i2	-0.0253007928178309	0.944262406864016
47	TRINITY_DN103509_c0_g1_i1	0.166599648909266	0.754741730744437
48	TRINITY_DN103567_c0_g1_i1	-0.123302468005632	0.728448445437362
49	TRINITY_DN103584_c0_g2_i1	0.905799413207782	0.211562090994154
50	TRINITY_DN103615_c0_g1_i1	0.282571156320616	0.388470557076885
51	TRINITY_DN103630_c0_g1_i1	0.284059466523193	0.36698321331592
52	TRINITY_DN103662_c0_g1_i1	0.471375369196489	0.288274079390964
53	TRINITY_DN103714_c0_g1_i2	-0.101181186873605	0.807818448494216
54	TRINITY_DN103720_c0_g1_i2	-0.170993365368432	0.758345169293783
55	TRINITY_DN103733_c0_g2_i1	-0.014991870719227	0.967359430920033
56	TRINITY_DN103776_c0_g1_i1	1.60792391397084	0.0536721643861728
57	TRINITY_DN103830_c0_g1_i1	0.610232667567483	0.289789868753658
58	TRINITY_DN103847_c0_g1_i1	1.2728017898956	0.138945081366264
59	TRINITY_DN103859_c0_g1_i1	-0.32282406776708	0.619586728181062
60	TRINITY_DN103862_c0_g1_i1	0.426576405143527	0.40236253515436
61	TRINITY_DN103882_c0_g1_i1	-0.418431036667185	0.465248923802163
62	TRINITY_DN103890_c0_g1_i2	0.496481328512331	0.233663118535954
63	TRINITY_DN103891_c0_g1_i1	0.66094472571883	0.126423575170237
64	TRINITY_DN103896_c0_g1_i2	0.448051534933122	0.350570380578269
65	TRINITY_DN103926_c0_g2_i1	0.637659203148333	0.245117330095148
66	TRINITY_DN103986_c0_g1_i1	0.653054029940033	0.213990979599765
67	TRINITY_DN104027_c0_g1_i1	0.906977488263278	0.0722216709259257
68	TRINITY_DN104155_c0_g1_i1	0.467900606264066	0.40042273569143
69	TRINITY_DN104173_c0_g1_i1	-0.188835397218496	0.636383916795036
70	TRINITY_DN104287_c1_g1_i1	0.555881040686374	0.143254687552833
71	TRINITY_DN104334_c0_g1_i1	0.239863785439629	0.713181865668052
72	TRINITY_DN104339_c0_g1_i2	-0.0920785277426112	0.831479471080897
73	TRINITY_DN104428_c0_g1_i2	-0.297901954016158	0.399667591821127
74	TRINITY_DN104464_c0_g1_i1	0.338252101413485	0.549876037685959
75	TRINITY_DN104508_c0_g2_i3	0.223021110786854	0.503343166673666
76	TRINITY_DN104583_c0_g1_i1	0.51770357996852	0.196968036145396
77	TRINITY_DN104658_c0_g2_i1	-0.045588727601432	0.962950120950007
78	TRINITY_DN104667_c0_g1_i3	0.552335109026265	0.134454971133416
79	TRINITY_DN104694_c0_g1_i1	-0.575643305776062	0.142582449766645
80	TRINITY_DN104721_c0_g1_i1	0.531218905488887	0.15086725740472
81	TRINITY_DN104732_c0_g1_i1	1.04672760979757	0.136568903229913
82	TRINITY_DN104740_c0_g1_i2	-0.528836995444644	0.13443890097036
83	TRINITY_DN104748_c0_g2_i1	0.660558073021997	0.267792376731378
84	TRINITY_DN104757_c0_g1_i1	0.900635587155321	0.110398744717217
85	TRINITY_DN104786_c0_g1_i1	0.672341295088897	0.312669081339503
86	TRINITY_DN104801_c0_g1_i1	0.636462932709833	0.0697307656524411
87	TRINITY_DN104838_c0_g1_i1	-1.26633449051655	0.0518104112602645
88	TRINITY_DN104874_c0_g2_i2	0.459017761097519	0.136685825401731
89	TRINITY_DN104919_c0_g1_i1	0.551288334689546	0.117899649120941
