gene	logFC	FDR
1	TRINITY_DN100108_c0_g1_i1	-7.08309530547931	5.32221808607792e-09
2	TRINITY_DN100638_c0_g2_i1	-1.09734785303199	2.26058394244398e-07
3	TRINITY_DN101042_c0_g2_i1	-1.46049660928263	9.91919565475529e-06
4	TRINITY_DN101047_c0_g1_i2	-2.71134506124127	1.02615952208959e-22
5	TRINITY_DN101072_c0_g2_i2	-5.69263128370787	1.73794035943554e-47
6	TRINITY_DN101150_c0_g2_i1	-1.81584803615077	8.18717334285592e-09
7	TRINITY_DN101193_c0_g1_i1	-1.86613036503935	0.00340349488955722
8	TRINITY_DN101369_c0_g1_i1	-3.099140354696	1.09621653244699e-05
9	TRINITY_DN101457_c0_g1_i1	-1.80638944963642	1.52033488961788e-16
10	TRINITY_DN101542_c0_g1_i1	-1.09050319009578	8.90198765236601e-07
11	TRINITY_DN101751_c0_g1_i1	-1.4783569646196	7.12520152810143e-09
12	TRINITY_DN101833_c0_g1_i1	-2.50527445323087	7.29588189088351e-15
13	TRINITY_DN101903_c0_g2_i2	-1.7058588819522	3.5065275812337e-10
14	TRINITY_DN102065_c0_g1_i1	-1.8052848321244	1.41150200232131e-16
15	TRINITY_DN102078_c0_g1_i1	-0.548565435057247	0.0461243239701538
16	TRINITY_DN102094_c0_g3_i1	-4.92713000968713	6.52120114068928e-07
17	TRINITY_DN102162_c0_g1_i1	-1.82865651521245	3.62964746360986e-13
18	TRINITY_DN102167_c0_g1_i2	-0.64411430954147	0.00160540492208681
19	TRINITY_DN102272_c0_g1_i1	-0.601037360405395	0.0105019444902434
20	TRINITY_DN102455_c0_g1_i1	-0.662181930836057	0.0378374781919997
21	TRINITY_DN102559_c0_g2_i1	-0.920740397554481	0.00414569446516938
22	TRINITY_DN103196_c0_g1_i2	-1.13560760776536	0.000323566753388499
23	TRINITY_DN103526_c0_g1_i1	-2.40829402724936	9.53662830292545e-10
24	TRINITY_DN103549_c0_g1_i1	-0.783073953076415	0.000932823634037108
25	TRINITY_DN103557_c0_g2_i2	-0.73141990694189	0.00117990252510616
26	TRINITY_DN103565_c0_g4_i1	-1.81189182407648	1.18024401640247e-12
27	TRINITY_DN103567_c0_g1_i1	-1.41140243878861	4.28117226018573e-12
28	TRINITY_DN103621_c0_g1_i2	-1.5462375605702	0.000123431948063479
29	TRINITY_DN103622_c0_g3_i3	-2.48667277051824	1.63054168565005e-20
30	TRINITY_DN103637_c0_g3_i1	-2.87159819880488	4.67257412817935e-35
31	TRINITY_DN103653_c0_g1_i1	-4.26948724479504	1.17620955156734e-06
32	TRINITY_DN103704_c0_g1_i1	-1.60745637382685	0.0141958235698449
33	TRINITY_DN103741_c0_g1_i2	-0.772783835518255	0.0290392507460611
34	TRINITY_DN103783_c0_g1_i1	-1.0556197164724	0.000129749176036253
35	TRINITY_DN103838_c0_g1_i1	-6.30875180164145	3.31948660393855e-110
36	TRINITY_DN103860_c0_g1_i1	-0.698921514143531	0.0342942487320836
37	TRINITY_DN103882_c0_g1_i1	-1.15171909307149	0.000900230862227474
38	TRINITY_DN103912_c0_g1_i1	-1.76945436890957	6.96988682213139e-05
39	TRINITY_DN104136_c0_g1_i1	-3.33654770305378	7.95361949968914e-09
40	TRINITY_DN104428_c0_g1_i2	-0.804499399676688	0.00261002421428291
41	TRINITY_DN104496_c0_g2_i1	-4.98068883955607	7.79385732794676e-15
42	TRINITY_DN104508_c0_g2_i3	-0.721082753439772	0.008512035939666
43	TRINITY_DN104740_c0_g1_i2	-2.06899566464449	1.26092152946505e-13
44	TRINITY_DN104751_c0_g1_i2	-2.10289218655744	9.73672291515382e-14
45	TRINITY_DN104812_c0_g1_i2	-0.708829100540646	0.0089886592474897
46	TRINITY_DN104838_c0_g1_i1	-1.59832785698391	0.00204730624108476
47	TRINITY_DN105413_c0_g1_i1	-1.22505986054645	2.94619472383923e-06
48	TRINITY_DN105440_c0_g1_i1	-2.01893235630208	3.99287482389061e-10
49	TRINITY_DN105441_c0_g2_i3	-0.768294257347713	0.00291881358701859
50	TRINITY_DN105453_c0_g1_i1	-1.52365599036284	1.37703662881519e-07
51	TRINITY_DN105578_c0_g1_i1	-1.94399977678739	4.42744340937803e-05
52	TRINITY_DN105601_c0_g1_i1	-4.36085437607423	2.54102711459234e-69
53	TRINITY_DN105618_c0_g1_i1	-2.60095917630331	0.00113036281371821
54	TRINITY_DN105624_c0_g1_i1	-11.4450224477353	1.62259704286518e-110
55	TRINITY_DN105647_c0_g2_i1	-11.1643606110893	1.94400660816787e-138
56	TRINITY_DN105850_c0_g2_i1	-1.99125931606653	3.58227217583138e-17
57	TRINITY_DN105940_c0_g1_i2	-1.05916967100341	0.00874585087848819
58	TRINITY_DN106065_c0_g1_i2	-1.36736681447205	2.22149774962699e-11
59	TRINITY_DN106090_c0_g2_i1	-1.20149304388541	0.000173969795301406
60	TRINITY_DN106219_c0_g3_i1	-0.934832501972973	0.00025583660898697
61	TRINITY_DN106366_c0_g5_i1	-4.79216267742493	8.42013400610083e-49
62	TRINITY_DN106464_c0_g2_i1	-2.05552986664373	0.000180295486718183
63	TRINITY_DN106465_c0_g1_i1	-0.523066781375765	0.0420052349943538
64	TRINITY_DN106620_c0_g1_i1	-2.66283571849031	4.53224617202966e-29
65	TRINITY_DN106674_c0_g1_i1	-4.35598139238734	3.03889793278297e-05
66	TRINITY_DN106923_c0_g1_i1	-2.02551309222811	9.68258069231083e-05
67	TRINITY_DN106942_c0_g1_i1	-1.51404845176335	2.284129098528e-06
68	TRINITY_DN106959_c0_g2_i1	-0.66367709836343	0.0056014084556639
69	TRINITY_DN107178_c0_g3_i1	-0.951674241067359	0.000358857677849597
70	TRINITY_DN107229_c0_g1_i1	-3.82982843241886	9.61315326954922e-06
71	TRINITY_DN107308_c0_g1_i1	-1.24177897961197	0.000167354953804838
72	TRINITY_DN107374_c0_g2_i1	-2.34445906525341	4.00837024992116e-14
73	TRINITY_DN107447_c0_g1_i1	-2.37272353075631	0.00170409633760152
74	TRINITY_DN107449_c0_g1_i2	-0.663796860741532	0.00170084255795422
75	TRINITY_DN107450_c0_g3_i2	-2.6982904969165	2.42052644500679e-22
76	TRINITY_DN107473_c0_g2_i2	-1.89678051569202	0.00213775935534917
77	TRINITY_DN107530_c1_g1_i1	-1.41827111796849	1.03118221106504e-07
78	TRINITY_DN107586_c0_g1_i2	-0.718194264321862	0.0055852746902086
79	TRINITY_DN107645_c0_g1_i1	-0.84957836515678	0.00506216948155406
80	TRINITY_DN107696_c0_g1_i4	-2.05325175781329	7.40395627739595e-17
81	TRINITY_DN107740_c0_g1_i1	-2.33488542303864	1.41250676842163e-20
82	TRINITY_DN107748_c0_g3_i1	-3.74677070991261	6.51180074922052e-09
83	TRINITY_DN107787_c0_g1_i1	-1.22775009588947	4.27644026448953e-07
84	TRINITY_DN107852_c0_g1_i2	-0.883723287809688	6.59278532847173e-05
85	TRINITY_DN107990_c0_g1_i1	-0.983748175413892	1.25742009716868e-05
86	TRINITY_DN108052_c0_g1_i1	-5.73212506952932	3.43381703031651e-07
