gene	logFC
TRINITY_DN100108_c0_g1_i1	-7.08309530547931
TRINITY_DN100638_c0_g2_i1	-1.09734785303199
TRINITY_DN101042_c0_g2_i1	-1.46049660928263
TRINITY_DN101047_c0_g1_i2	-2.71134506124127
TRINITY_DN101072_c0_g2_i2	-5.69263128370787
TRINITY_DN101150_c0_g2_i1	-1.81584803615077
TRINITY_DN101193_c0_g1_i1	-1.86613036503935
TRINITY_DN101369_c0_g1_i1	-3.099140354696
TRINITY_DN101457_c0_g1_i1	-1.80638944963642
TRINITY_DN101542_c0_g1_i1	-1.09050319009578
TRINITY_DN101751_c0_g1_i1	-1.4783569646196
TRINITY_DN101833_c0_g1_i1	-2.50527445323087
TRINITY_DN101903_c0_g2_i2	-1.7058588819522
TRINITY_DN102065_c0_g1_i1	-1.8052848321244
TRINITY_DN102078_c0_g1_i1	-0.548565435057247
TRINITY_DN102094_c0_g3_i1	-4.92713000968713
TRINITY_DN102162_c0_g1_i1	-1.82865651521245
TRINITY_DN102167_c0_g1_i2	-0.64411430954147
TRINITY_DN102272_c0_g1_i1	-0.601037360405395
TRINITY_DN102455_c0_g1_i1	-0.662181930836057
TRINITY_DN102559_c0_g2_i1	-0.920740397554481
TRINITY_DN103196_c0_g1_i2	-1.13560760776536
TRINITY_DN103526_c0_g1_i1	-2.40829402724936
TRINITY_DN103549_c0_g1_i1	-0.783073953076415
TRINITY_DN103557_c0_g2_i2	-0.73141990694189
TRINITY_DN103565_c0_g4_i1	-1.81189182407648
TRINITY_DN103567_c0_g1_i1	-1.41140243878861
TRINITY_DN103621_c0_g1_i2	-1.5462375605702
TRINITY_DN103622_c0_g3_i3	-2.48667277051824
TRINITY_DN103637_c0_g3_i1	-2.87159819880488
TRINITY_DN103653_c0_g1_i1	-4.26948724479504
TRINITY_DN103704_c0_g1_i1	-1.60745637382685
TRINITY_DN103741_c0_g1_i2	-0.772783835518255
TRINITY_DN103783_c0_g1_i1	-1.0556197164724
TRINITY_DN103838_c0_g1_i1	-6.30875180164145
TRINITY_DN103860_c0_g1_i1	-0.698921514143531
TRINITY_DN103882_c0_g1_i1	-1.15171909307149
TRINITY_DN103912_c0_g1_i1	-1.76945436890957
TRINITY_DN104136_c0_g1_i1	-3.33654770305378
TRINITY_DN104428_c0_g1_i2	-0.804499399676688
TRINITY_DN104496_c0_g2_i1	-4.98068883955607
TRINITY_DN104508_c0_g2_i3	-0.721082753439772
TRINITY_DN104740_c0_g1_i2	-2.06899566464449
TRINITY_DN104751_c0_g1_i2	-2.10289218655744
TRINITY_DN104812_c0_g1_i2	-0.708829100540646
TRINITY_DN104838_c0_g1_i1	-1.59832785698391
TRINITY_DN105413_c0_g1_i1	-1.22505986054645
TRINITY_DN105440_c0_g1_i1	-2.01893235630208
TRINITY_DN105441_c0_g2_i3	-0.768294257347713
TRINITY_DN105453_c0_g1_i1	-1.52365599036284
TRINITY_DN105578_c0_g1_i1	-1.94399977678739
TRINITY_DN105601_c0_g1_i1	-4.36085437607423
TRINITY_DN105618_c0_g1_i1	-2.60095917630331
TRINITY_DN105624_c0_g1_i1	-11.4450224477353
TRINITY_DN105647_c0_g2_i1	-11.1643606110893
TRINITY_DN105850_c0_g2_i1	-1.99125931606653
TRINITY_DN105940_c0_g1_i2	-1.05916967100341
TRINITY_DN106065_c0_g1_i2	-1.36736681447205
TRINITY_DN106090_c0_g2_i1	-1.20149304388541
TRINITY_DN106219_c0_g3_i1	-0.934832501972973
TRINITY_DN106366_c0_g5_i1	-4.79216267742493
TRINITY_DN106464_c0_g2_i1	-2.05552986664373
TRINITY_DN106465_c0_g1_i1	-0.523066781375765
TRINITY_DN106620_c0_g1_i1	-2.66283571849031
TRINITY_DN106674_c0_g1_i1	-4.35598139238734
TRINITY_DN106923_c0_g1_i1	-2.02551309222811
TRINITY_DN106942_c0_g1_i1	-1.51404845176335
TRINITY_DN106959_c0_g2_i1	-0.66367709836343
TRINITY_DN107178_c0_g3_i1	-0.951674241067359
