gene	FDR	logFC
TRINITY_DN100099_c0_g1_i1	0.778396598773868	0.567855013173226
TRINITY_DN100108_c0_g1_i1	0.70281307391294	-1.10269205107832
TRINITY_DN100115_c0_g1_i1	0.382203987585103	1.36927325578574
TRINITY_DN100194_c0_g1_i1	0.493567897779394	0.70619317598027
TRINITY_DN100260_c0_g2_i1	0.725845633687737	0.293128525640449
TRINITY_DN100287_c0_g2_i1	0.924215001925376	0.119495648999045
TRINITY_DN100358_c0_g1_i1	0.97448684210974	0.0577942022254591
TRINITY_DN100376_c0_g1_i1	0.262229622554673	0.777726274033928
TRINITY_DN100418_c0_g1_i1	0.997728524428965	-0.00868647819810382
TRINITY_DN100638_c0_g2_i1	0.775882976494995	0.27061105125392
TRINITY_DN100835_c0_g1_i1	0.737585344403456	-0.36394118259512
TRINITY_DN101042_c0_g2_i1	0.312665480460293	-0.844650526851818
TRINITY_DN101047_c0_g1_i2	0.878604081975287	-0.268731561065498
TRINITY_DN101072_c0_g2_i2	0.000910483825127694	-4.56047826234391
TRINITY_DN101150_c0_g2_i1	0.0766266232222006	-0.984318380830588
TRINITY_DN101232_c0_g1_i1	0.114586169191432	2.01678140383885
TRINITY_DN101247_c0_g3_i1	0.936956123934357	0.183007052370128
TRINITY_DN101292_c0_g1_i3	0.924215001925376	0.259283844551041
TRINITY_DN101356_c0_g1_i1	0.984251949360647	0.043725174932438
TRINITY_DN101361_c0_g1_i2	0.519253156269508	0.639564618466873
TRINITY_DN101457_c0_g1_i1	0.85981598016005	-0.187509132305305
TRINITY_DN101488_c0_g2_i2	0.601626265658835	-0.417797906494051
TRINITY_DN101542_c0_g1_i1	0.901911616667185	-0.133880790888017
TRINITY_DN101610_c0_g2_i1	0.170235127187939	-0.954855670043458
TRINITY_DN101728_c0_g2_i1	0.973581955675488	-0.0668943851249876
TRINITY_DN101751_c0_g1_i1	0.924215001925376	-0.133906475796249
TRINITY_DN101809_c0_g1_i2	0.572855240719128	-0.427219933436956
TRINITY_DN101833_c0_g1_i1	0.06959893929408	-1.29165656067738
TRINITY_DN101895_c0_g1_i1	0.710361787653098	0.49542531186051
TRINITY_DN101903_c0_g2_i2	0.967703059445104	-0.0579383360210941
TRINITY_DN101966_c0_g1_i1	0.941844746237408	0.181128519953412
TRINITY_DN102026_c0_g1_i2	0.862056634072483	-0.346877581390107
TRINITY_DN102065_c0_g1_i1	0.0103385170558824	-1.11737777784512
TRINITY_DN102078_c0_g1_i1	0.57726144647112	0.421365933704469
TRINITY_DN102159_c0_g1_i2	0.792587353785562	0.360104143125644
TRINITY_DN102162_c0_g1_i1	0.819144785182569	-0.330638774152593
TRINITY_DN102167_c0_g1_i2	0.866303586669215	-0.173216144854607
TRINITY_DN102193_c0_g2_i1	0.961082856148915	-0.0729429896910843
TRINITY_DN102252_c0_g2_i1	0.0293005887197334	-2.12352888118974
TRINITY_DN102272_c0_g1_i1	0.812760447967687	-0.261300828476237
TRINITY_DN102276_c0_g1_i1	0.521123715405073	-0.879979790694871
TRINITY_DN102279_c0_g1_i1	0.928544774222476	-0.114783735358483
TRINITY_DN102288_c0_g1_i1	0.645725842809977	-1.08588423601754
TRINITY_DN102400_c0_g1_i1	0.984251949360647	-0.0266715689620405
TRINITY_DN102455_c0_g1_i1	0.417355050279351	0.523836039178486
TRINITY_DN102469_c0_g1_i1	0.759032872634291	0.297037819639959
TRINITY_DN102493_c0_g1_i1	0.979730643041528	0.0407146015570227
TRINITY_DN102496_c0_g1_i1	0.997361356693318	-0.00543185931626855
TRINITY_DN102539_c0_g1_i1	0.451355958136217	-0.665563480179214
