gene	logFC
TRINITY_DN101072_c0_g2_i2	-4.56047826234391
TRINITY_DN102065_c0_g1_i1	-1.11737777784512
TRINITY_DN102252_c0_g2_i1	-2.12352888118974
TRINITY_DN104464_c0_g1_i1	-2.11140061841871
TRINITY_DN105438_c0_g1_i1	-5.75666726947041
TRINITY_DN105647_c0_g2_i1	-4.50232668216377
TRINITY_DN107060_c0_g1_i1	-1.39956237477458
TRINITY_DN110103_c0_g1_i1	-3.75080904603561
TRINITY_DN110205_c0_g1_i1	-3.1118110311258
TRINITY_DN110867_c0_g1_i1	-2.80291855115192
TRINITY_DN111810_c0_g4_i1	-1.75398548838737
TRINITY_DN112248_c0_g1_i1	-4.42771783834718
TRINITY_DN112847_c0_g1_i1	-2.43669321228029
TRINITY_DN113738_c0_g2_i6	-2.53708651477771
TRINITY_DN114230_c0_g1_i1	-2.23894303548996
TRINITY_DN114606_c0_g2_i1	-5.62974047082214
TRINITY_DN114876_c0_g1_i1	-4.47175161818265
TRINITY_DN115604_c0_g3_i1	-1.31365313566101
TRINITY_DN115768_c0_g1_i1	-5.2613609723607
TRINITY_DN115794_c1_g1_i1	-1.85840040189713
TRINITY_DN116267_c0_g2_i1	-6.65327663554646
TRINITY_DN116445_c0_g1_i2	-7.37025129032051
TRINITY_DN116647_c0_g1_i2	-3.21980519434051
TRINITY_DN116754_c0_g4_i2	-1.31299005944783
TRINITY_DN117125_c0_g1_i1	-6.91557830599924
TRINITY_DN118217_c0_g1_i1	-3.73795705704199
TRINITY_DN118271_c0_g1_i1	-4.83992972751741
TRINITY_DN118490_c0_g1_i1	-5.7898370924862
TRINITY_DN119116_c0_g1_i1	-3.40231473640494
TRINITY_DN119230_c0_g1_i2	-1.7835807268991
TRINITY_DN119288_c0_g1_i2	-3.45132162196631
TRINITY_DN119996_c0_g1_i1	-6.51792028174529
TRINITY_DN120071_c0_g1_i2	-3.17962905388269
TRINITY_DN120246_c0_g2_i1	-1.62716443396595
TRINITY_DN120335_c0_g1_i2	-3.92755649981053
TRINITY_DN120502_c0_g1_i1	-2.87071524700493
TRINITY_DN120530_c0_g1_i1	-3.21853183886487
TRINITY_DN120932_c1_g1_i3	-1.78468259290336
TRINITY_DN121035_c0_g2_i1	-2.65160068502977
TRINITY_DN121201_c0_g1_i1	-1.1987542486611
TRINITY_DN121308_c0_g2_i1	-4.9956688774041
TRINITY_DN121505_c1_g3_i1	-4.27393139093159
TRINITY_DN121654_c1_g7_i2	-2.37003217177051
TRINITY_DN121738_c0_g2_i3	-1.88625018754378
TRINITY_DN122069_c0_g1_i6	-5.30511481806178
TRINITY_DN122533_c0_g1_i1	-3.8720403123911
TRINITY_DN122699_c0_g2_i1	-6.49597284164943
