gene	FDR
TRINITY_DN100099_c0_g1_i1	0.778396598773868
TRINITY_DN100108_c0_g1_i1	0.70281307391294
TRINITY_DN100115_c0_g1_i1	0.382203987585103
TRINITY_DN100194_c0_g1_i1	0.493567897779394
TRINITY_DN100260_c0_g2_i1	0.725845633687737
TRINITY_DN100287_c0_g2_i1	0.924215001925376
TRINITY_DN100358_c0_g1_i1	0.97448684210974
TRINITY_DN100376_c0_g1_i1	0.262229622554673
TRINITY_DN100418_c0_g1_i1	0.997728524428965
TRINITY_DN100638_c0_g2_i1	0.775882976494995
TRINITY_DN100835_c0_g1_i1	0.737585344403456
TRINITY_DN101042_c0_g2_i1	0.312665480460293
TRINITY_DN101047_c0_g1_i2	0.878604081975287
TRINITY_DN101072_c0_g2_i2	1
TRINITY_DN101150_c0_g2_i1	0.0766266232222006
TRINITY_DN101232_c0_g1_i1	0.114586169191432
TRINITY_DN101247_c0_g3_i1	0.936956123934357
TRINITY_DN101292_c0_g1_i3	0.924215001925376
TRINITY_DN101356_c0_g1_i1	0.984251949360647
TRINITY_DN101361_c0_g1_i2	0.519253156269508
TRINITY_DN101457_c0_g1_i1	0.85981598016005
TRINITY_DN101488_c0_g2_i2	0.601626265658835
TRINITY_DN101542_c0_g1_i1	0.901911616667185
TRINITY_DN101610_c0_g2_i1	0.170235127187939
TRINITY_DN101728_c0_g2_i1	0.973581955675488
TRINITY_DN101751_c0_g1_i1	0.924215001925376
TRINITY_DN101809_c0_g1_i2	0.572855240719128
TRINITY_DN101833_c0_g1_i1	0.06959893929408
TRINITY_DN101895_c0_g1_i1	0.710361787653098
TRINITY_DN101903_c0_g2_i2	0.967703059445104
TRINITY_DN101966_c0_g1_i1	0.941844746237408
TRINITY_DN102026_c0_g1_i2	0.862056634072483
TRINITY_DN102065_c0_g1_i1	1
TRINITY_DN102078_c0_g1_i1	0.57726144647112
TRINITY_DN102159_c0_g1_i2	0.792587353785562
TRINITY_DN102162_c0_g1_i1	0.819144785182569
TRINITY_DN102167_c0_g1_i2	0.866303586669215
TRINITY_DN102193_c0_g2_i1	0.961082856148915
TRINITY_DN102252_c0_g2_i1	1
TRINITY_DN102272_c0_g1_i1	0.812760447967687
TRINITY_DN102276_c0_g1_i1	0.521123715405073
TRINITY_DN102279_c0_g1_i1	0.928544774222476
TRINITY_DN102288_c0_g1_i1	0.645725842809977
TRINITY_DN102400_c0_g1_i1	0.984251949360647
TRINITY_DN102455_c0_g1_i1	0.417355050279351
TRINITY_DN102469_c0_g1_i1	0.759032872634291
TRINITY_DN102493_c0_g1_i1	0.979730643041528
TRINITY_DN102496_c0_g1_i1	0.997361356693318
TRINITY_DN102539_c0_g1_i1	0.451355958136217
TRINITY_DN102559_c0_g2_i1	0.503694107769424
TRINITY_DN102581_c0_g1_i2	0.971885193765684
TRINITY_DN103107_c0_g1_i1	0.984251949360647
TRINITY_DN103150_c0_g1_i1	0.976687503274209
TRINITY_DN103157_c0_g1_i2	0.983400148653396
TRINITY_DN103196_c0_g1_i2	0.872321921465931
TRINITY_DN103209_c0_g3_i2	0.46135825992895
TRINITY_DN103526_c0_g1_i1	0.151065844430081
TRINITY_DN103537_c0_g2_i1	0.536694292604487
TRINITY_DN103544_c0_g1_i2	0.968798559458968
TRINITY_DN103549_c0_g1_i1	0.836466527887543
TRINITY_DN103557_c0_g2_i2	0.620461005297669
TRINITY_DN103565_c0_g4_i1	0.742193364328699
TRINITY_DN103567_c0_g1_i1	0.917888825365966
TRINITY_DN103615_c0_g1_i1	0.74173338626471
TRINITY_DN103621_c0_g1_i2	0.816799899341083
TRINITY_DN103622_c0_g3_i3	0.940089131196394
TRINITY_DN103630_c0_g1_i1	0.983919947171307
TRINITY_DN103662_c0_g1_i1	0.73685053817907
TRINITY_DN103690_c0_g1_i1	0.728032506334492
TRINITY_DN103714_c0_g1_i2	0.55830801022608
TRINITY_DN103720_c0_g1_i2	0.953115089053172
TRINITY_DN103733_c0_g2_i1	0.623712064976104
TRINITY_DN103783_c0_g1_i1	0.661242238678176
TRINITY_DN103812_c0_g1_i2	0.270839588313013
TRINITY_DN103830_c0_g1_i1	0.650549497440792
TRINITY_DN103838_c0_g1_i1	0.840748525034924
TRINITY_DN103847_c0_g1_i1	0.809860207673442
TRINITY_DN103860_c0_g1_i1	0.851697735268095
TRINITY_DN103862_c0_g1_i1	0.811266112634025
TRINITY_DN103882_c0_g1_i1	0.809646608885703
TRINITY_DN103890_c0_g1_i2	0.557880972089986
TRINITY_DN103896_c0_g1_i2	0.957463211144483
TRINITY_DN103912_c0_g1_i1	0.828693829734121
TRINITY_DN103986_c0_g1_i1	0.915000827854037
TRINITY_DN103989_c0_g1_i1	0.866303586669215
TRINITY_DN104027_c0_g1_i1	0.362555953637338
TRINITY_DN104155_c0_g1_i1	0.81895264098407
TRINITY_DN104173_c0_g1_i1	0.72251238882215
TRINITY_DN104207_c0_g1_i1	0.465803747308481
TRINITY_DN104287_c1_g1_i1	0.703068777042878
TRINITY_DN104334_c0_g1_i1	0.927637006438852
TRINITY_DN104339_c0_g1_i2	0.988859969859522
TRINITY_DN104365_c0_g3_i1	0.5257828215535
TRINITY_DN104428_c0_g1_i2	0.798123614550633
TRINITY_DN104463_c0_g1_i1	0.902746199632445
TRINITY_DN104464_c0_g1_i1	1
TRINITY_DN104508_c0_g2_i3	0.70281307391294
TRINITY_DN104583_c0_g1_i1	0.634861692315747
TRINITY_DN104654_c0_g1_i1	0.811709982289149
TRINITY_DN104658_c0_g2_i1	0.18724888141035
TRINITY_DN104667_c0_g1_i3	0.655651071088412
TRINITY_DN104694_c0_g1_i1	0.984251949360647
TRINITY_DN104732_c0_g1_i1	0.723675856124298
TRINITY_DN104740_c0_g1_i2	0.957463211144483
TRINITY_DN104748_c0_g2_i1	0.0652458377770697
TRINITY_DN104751_c0_g1_i2	0.793947256814696
TRINITY_DN104783_c1_g1_i1	0.673311680790227
