Tissue_specific_index	Tissue_name
TRINITY_DN175633_c0_g1_i1	0.938444814069843	Ovary_mean
TRINITY_DN21989_c0_g1_i1	0.947791262046672	Brain_mean
TRINITY_DN115175_c0_g1_i4	0.931470602732997	Brain_mean
TRINITY_DN83780_c0_g1_i1	0.937004318922266	Ovary_mean
TRINITY_DN121765_c1_g1_i1	0.902549828402579	Brain_mean
TRINITY_DN197055_c0_g1_i1	0.919419759176445	Ovary_mean
TRINITY_DN213402_c0_g1_i1	0.943067422769472	Ovary_mean
TRINITY_DN75107_c0_g1_i1	0.936148238192043	Ovary_mean
TRINITY_DN132176_c6_g7_i1	0.91938953838231	Ovary_mean
TRINITY_DN75750_c0_g1_i1	0.948595143070289	Brain_mean
TRINITY_DN183163_c0_g1_i1	0.959012809860103	Ovary_mean
TRINITY_DN107791_c0_g1_i1	0.92705853797376	Brain_mean
TRINITY_DN134342_c3_g1_i5	0.927291709231134	G31_mean
TRINITY_DN165261_c0_g1_i1	0.930712336621611	Ovary_mean
