gid	gname	chr	start	end	logFC.XY43.XX43
TRINITY_DN100022_c0_g1_i1	NA	NA	NA	NA	0.25029612
TRINITY_DN100034_c0_g1_i1	myo9a	Chr03	82351034	82351034	-0.308220086
TRINITY_DN100099_c0_g1_i1	NA	NA	NA	NA	1.287648268
TRINITY_DN100099_c0_g2_i1	NA	NA	NA	NA	0.994444919
TRINITY_DN100105_c0_g1_i1	NA	NA	NA	NA	0.198804439
TRINITY_DN100115_c0_g1_i1	NA	NA	NA	NA	-0.418171006
TRINITY_DN100132_c0_g1_i2	NA	NA	NA	NA	0.031109366
TRINITY_DN100260_c0_g2_i1	znf408-like	Chr04	4986739	4986739	-0.284541343
TRINITY_DN100266_c0_g1_i1	NA	NA	NA	NA	-0.379938795
TRINITY_DN100287_c0_g1_i1	NA	NA	NA	NA	-1.159534132
TRINITY_DN100287_c0_g2_i1	NA	NA	NA	NA	0.134339371
TRINITY_DN100300_c0_g1_i1	NA	NA	NA	NA	0.326822689
TRINITY_DN100311_c0_g1_i1	NA	NA	NA	NA	-0.489764091
TRINITY_DN100358_c0_g1_i1	chrnb4	Chr03	80472595	80472595	0.196229205
TRINITY_DN100376_c0_g1_i1	NA	NA	NA	NA	0.7622727
TRINITY_DN100376_c0_g2_i1	nkx6-2	Chr07	12176665	12176665	0.355412316
TRINITY_DN100379_c0_g1_i1	NA	NA	NA	NA	0.647253317
TRINITY_DN100410_c0_g1_i1	NA	NA	NA	NA	-0.412198171
TRINITY_DN100418_c0_g1_i1	NA	NA	NA	NA	1.051464331
TRINITY_DN100418_c0_g3_i1	NA	NA	NA	NA	0.528491455
TRINITY_DN100549_c0_g1_i1	cndp2	scaffold_21	1670075	1670075	-0.013124011
TRINITY_DN100586_c0_g1_i1	NA	NA	NA	NA	0.359103315
TRINITY_DN100586_c0_g2_i1	NA	NA	NA	NA	-0.577164179
TRINITY_DN100595_c0_g1_i1	gde1	Chr09	25932397	25932397	-0.151644677
TRINITY_DN100636_c0_g1_i1	NA	NA	NA	NA	0.031080099
TRINITY_DN100638_c0_g2_i1	NA	NA	NA	NA	0.15914508
TRINITY_DN100681_c0_g1_i1	ocel1	Chr01	99481568	99481568	0.05654699
TRINITY_DN100684_c0_g1_i1	NA	NA	NA	NA	-0.728611331
TRINITY_DN100684_c0_g3_i1	NA	NA	NA	NA	0.189640414
TRINITY_DN100706_c0_g3_i1	NA	NA	NA	NA	0.022417693
TRINITY_DN100751_c0_g1_i1	NA	NA	NA	NA	0.048341254
TRINITY_DN100754_c0_g1_i1	cyth2	Chr10	15271968	15271968	0.373020773
TRINITY_DN100779_c0_g1_i1	atat1	Chr08	52476494	52476494	1.180885876
TRINITY_DN100784_c0_g2_i1	NA	NA	NA	NA	0.204159669
TRINITY_DN100788_c0_g1_i1	pls1	Chr05	116352087	116352087	-0.871550145
TRINITY_DN100835_c0_g1_i1	NA	NA	NA	NA	-0.077297231
TRINITY_DN100846_c0_g1_i2	NA	NA	NA	NA	1.429677951
TRINITY_DN100856_c0_g1_i1	NA	NA	NA	NA	-0.11296711
TRINITY_DN100856_c0_g2_i1	pmp2	Chr06	109097975	109097975	-0.748796911
TRINITY_DN100882_c0_g1_i1	NA	NA	NA	NA	-0.254656453
TRINITY_DN100932_c0_g1_i1	NA	NA	NA	NA	0.447775547
TRINITY_DN100945_c0_g2_i1	atp1b4-like	Chr08	24828563	24828563	0.668697904
TRINITY_DN100998_c0_g1_i1	NA	NA	NA	NA	-0.276050949
TRINITY_DN101023_c0_g2_i1	ssna1	Chr08	103347	103347	0.829688126
TRINITY_DN101035_c0_g3_i1	NA	NA	NA	NA	0.116029637
TRINITY_DN101042_c0_g2_i1	NA	NA	NA	NA	0.219652679
TRINITY_DN101047_c0_g1_i2	gldc	Chr01	114524252	114524252	-0.322644703
TRINITY_DN101072_c0_g2_i2	NA	NA	NA	NA	-5.96559315
TRINITY_DN101074_c0_g1_i1	NA	NA	NA	NA	-0.562759053
TRINITY_DN101087_c0_g1_i1	NA	NA	NA	NA	-0.302590819
TRINITY_DN101111_c0_g1_i2	NA	NA	NA	NA	0.159454253
TRINITY_DN101150_c0_g1_i1	NA	NA	NA	NA	-0.152709307
TRINITY_DN101150_c0_g2_i1	NA	NA	NA	NA	0.250816495
TRINITY_DN101180_c0_g1_i1	NA	NA	NA	NA	1.100800935
TRINITY_DN101193_c0_g1_i1	NA	NA	NA	NA	0.00480639
TRINITY_DN101211_c0_g2_i1	NA	NA	NA	NA	0.286552511
