gid	gname	chr	start	end	logCPM	logFC.XYbrain.XXbrain	PV.XYbrain.XXbrain	FDR.XYbrain.XXbrain
TRINITY_DN100108_c0_g1_i1	gapdh	Chr07	1685766	1685766	5.10328998005089	-4.89895979336148	5.91266759414256e-07	0.000561058403160546
TRINITY_DN103776_c0_g1_i1	LOC101732853	Chr02	50935698	50935698	0.289199618591937	4.33819092104845	3.38468283091313e-09	7.06586387781425e-06
TRINITY_DN105687_c0_g2_i1	LOC100498263	Chr08	19459739	19459739	2.81536543946949	2.11317897193084	0.000314744943836093	0.0402226726652944
TRINITY_DN106368_c0_g2_i1	aplnr	Chr01	131383517	131383517	5.24640905054428	0.912305068943162	7.13258738156001e-07	0.000584631339020939
TRINITY_DN106674_c0_g1_i1	rplp0	Chr01	143013157	143013157	4.61701299565642	-4.6080104793981	6.95502662560506e-09	1.03709382740094e-05
TRINITY_DN107988_c0_g2_i2	Xetrov90017416m	Chr07	1849813	1849813	5.2845440243796	1.1181148142699	0.000324577174161853	0.0402226726652944
TRINITY_DN110750_c1_g2_i1	c2orf47	Chr09	46187195	46187195	6.95747880309639	-0.69541880842225	0.000331381549032597	0.0402226726652944
TRINITY_DN113301_c1_g1_i1	Xetrov90005045m	Chr02	63411130	63411130	7.43938485467326	1.081702757724	1.73474846350392e-05	0.00548706195819816
TRINITY_DN114180_c0_g1_i1	mfsd2b	Chr05	141397142	141397142	2.99369534258395	-1.21017435624717	8.3771639443243e-05	0.0161927476390476
TRINITY_DN114651_c0_g1_i3	gtf2h3	Chr01	152363125	152363125	5.08136786849518	-1.16366318680839	1.15304356319395e-09	5.14480047638019e-06
TRINITY_DN115328_c0_g1_i1	LOC100487399	scaffold_19	216323	216323	5.48663563218967	1.07455737496664	4.17212661198324e-05	0.00946709947301763
TRINITY_DN116138_c0_g2_i2	Xetrov90010951m	Chr04	36003417	36003417	3.81822073143282	4.00124883235638	0.000371300562370452	0.0440413098866225
TRINITY_DN117036_c0_g1_i1	tmem98	Chr10	10632374	10632374	3.7156713811848	2.22120942039866	0.000129282919146231	0.0207608478468978
TRINITY_DN117446_c0_g1_i2	ddx4	Chr01	178458618	178458618	2.39417341131428	1.97267930839847	7.34560470220177e-06	0.00283975636598452
TRINITY_DN117550_c0_g1_i1	angptl7	Chr07	39873142	39873142	5.45345302583754	1.02901041691634	0.000101785368640176	0.0180073843706128
TRINITY_DN117646_c0_g2_i1	gmnc-like	Chr05	99423059	99423059	2.84730307055519	1.81437403238286	8.04716756361162e-05	0.0161531413517265
TRINITY_DN118329_c0_g1_i1	auh	Chr01	126397660	126397660	6.94481736249669	-0.810333530132541	1.85251895456264e-07	0.000193365928477248
TRINITY_DN119403_c0_g1_i1	dact1	Chr08	83069930	83069930	7.6382339986819	0.516357612650766	2.23894656929763e-05	0.00625857080383671
TRINITY_DN120105_c0_g1_i1	atg10-like	Chr01	168180809	168180809	5.21118423392707	-0.692369809679548	6.65262546300215e-05	0.0136157067809444
TRINITY_DN120649_c0_g2_i1	lgals9c	Chr02	101393331	101393331	3.70256548242262	-0.974405496603128	0.000331399678982115	0.0402226726652944
TRINITY_DN120657_c0_g1_i5	lpar2	Chr03	124503911	124503911	4.23491699584135	0.849692132399712	0.000291424339677226	0.038504901994315
TRINITY_DN120835_c1_g3_i1	h2afy	Chr03	16514310	16514310	2.60318931918459	-2.33780642852675	4.49536828935652e-06	0.00209880583785751
TRINITY_DN120963_c0_g1_i2	LOC100494554	Chr02	26934936	26934936	2.85026444772812	3.61345565433402	1.8503143857844e-06	0.00120709884742609
TRINITY_DN120967_c0_g2_i1	sulf1	Chr06	105111004	105111004	5.97221580351352	1.05483817464998	6.43393459268668e-05	0.0134314818556927
TRINITY_DN120979_c0_g1_i3	enpp2	Chr06	122905717	122905717	8.91296552400294	1.49719093922967	2.99323287076926e-06	0.00173574248361608
TRINITY_DN121102_c2_g1_i1	LOC100489129	Chr06	82005940	82005940	1.62865231465141	-2.65422110335205	0.000428799426825768	0.0488567247703781
TRINITY_DN121505_c1_g3_i1	elovl7	Chr01	176647919	176647919	3.32863728269238	1.51564420009431	8.25596258051764e-05	0.0161927476390476
TRINITY_DN122025_c0_g1_i3	ccnf	Chr09	16615834	16615834	4.49569950796668	1.24434622197455	4.61429916254929e-06	0.00209880583785751
TRINITY_DN122261_c0_g1_i1	kl	Chr02	150083364	150083364	2.74587869782036	3.06602665273934	3.3933940010262e-05	0.00863908453236865
TRINITY_DN122443_c0_g1_i3	krt8.2	scaffold_305	197019	197019	1.56383101492417	3.46949957070369	0.000436461576882008	0.0489869455859613
TRINITY_DN122660_c2_g2_i4	slc16a6-like	scaffold_443	29690	29690	6.22295838330242	0.934067225187138	5.18536124656579e-06	0.0022552000288189
TRINITY_DN123918_c0_g2_i1	Xetrov90003223m	Chr01	157376647	157376647	4.42011318375818	2.56462229582262	2.42389387057141e-05	0.00648733441564727
TRINITY_DN124558_c3_g2_i6	ca2	Chr06	110376963	110376963	8.09596936085775	0.676902609196844	3.77797766044796e-05	0.00938917400470377
TRINITY_DN124848_c3_g1_i2	slc12a2	Chr01	159210667	159210667	6.75463006380184	0.645151840306004	0.000116348698527741	0.0192769478608342
TRINITY_DN125115_c2_g1_i1	slc2a12	Chr05	35072933	35072933	4.81926447541572	3.01169087245894	4.15057662150349e-05	0.00946709947301763
